date,weekday,ATT1_Index_PX-LAST-CHF,imputed,ATT1_Index_start
2014-02-11,Tuesday,,,excluded
2014-02-12,Wednesday,,,excluded
2014-02-13,Thursday,,,excluded
2014-02-14,Friday,2100.85791,,start
2014-02-15,Saturday,2100.85791,imputed from 3,
2014-02-16,Sunday,2100.85791,imputed from 4,
2014-02-17,Monday,2112.17184,,
2014-02-18,Tuesday,2117.18179,,
2014-02-19,Wednesday,2096.27749,,
2014-02-20,Thursday,2097.93676,,
2014-02-21,Friday,2119.3483,,start
2014-02-22,Saturday,2119.3483,imputed from 10,
2014-02-23,Sunday,2119.3483,imputed from 11,
2014-02-24,Monday,2133.27023,,
2014-02-25,Tuesday,2134.0486,,
2014-02-26,Wednesday,2127.00248,,
2014-02-27,Thursday,2096.51418,,
2014-02-28,Friday,2049.21709,,start
2014-03-01,Saturday,2049.21709,imputed from 17,
2014-03-02,Sunday,2049.21709,imputed from 18,
2014-03-03,Monday,1976.28312,,
2014-03-04,Tuesday,2027.16559,,
2014-03-05,Wednesday,2022.07775,,
2014-03-06,Thursday,2050.42307,,
2014-03-07,Friday,2020.75743,,start
2014-03-08,Saturday,2020.75743,imputed from 24,
2014-03-09,Sunday,2020.75743,imputed from 25,
2014-03-10,Monday,1999.46125,,
2014-03-11,Tuesday,1976.64481,,
2014-03-12,Wednesday,1938.13478,,
2014-03-13,Thursday,1907.87526,,
2014-03-14,Friday,1887.46958,,start
2014-03-15,Saturday,1887.46958,imputed from 31,
2014-03-16,Sunday,1887.46958,imputed from 32,
2014-03-17,Monday,1931.57815,,
2014-03-18,Tuesday,1968.05594,,
2014-03-19,Wednesday,1972.57998,,
2014-03-20,Thursday,1959.91967,,
2014-03-21,Friday,1965.54476,,start
2014-03-22,Saturday,1965.54476,imputed from 38,
2014-03-23,Sunday,1965.54476,imputed from 39,
2014-03-24,Monday,1931.15306,,
2014-03-25,Tuesday,1949.09575,,
2014-03-26,Wednesday,1976.70008,,
2014-03-27,Thursday,1943.58991,,
2014-03-28,Friday,1967.8935,,start
2014-03-29,Saturday,1967.8935,imputed from 45,
2014-03-30,Sunday,1967.8935,imputed from 46,
2014-03-31,Monday,1999.26654,,
2014-04-01,Tuesday,2023.39846,,
2014-04-02,Wednesday,2033.47797,,
2014-04-03,Thursday,2048.72379,,
2014-04-04,Friday,2055.72655,,start
2014-04-05,Saturday,2055.72655,imputed from 52,
2014-04-06,Sunday,2055.72655,imputed from 53,
2014-04-07,Monday,2011.29731,,
2014-04-08,Tuesday,1984.37913,,
2014-04-09,Wednesday,2013.05695,,
2014-04-10,Thursday,1995.29521,,
2014-04-11,Friday,1973.52197,,start
2014-04-12,Saturday,1973.52197,imputed from 59,
2014-04-13,Sunday,1973.52197,imputed from 60,
2014-04-14,Monday,1953.94961,,
2014-04-15,Tuesday,1928.79067,,
2014-04-16,Wednesday,1955.58296,,
2014-04-17,Thursday,1964.28352,,
2014-04-18,Friday,1964.28352,imputed from 65,start
2014-04-19,Saturday,1964.28352,imputed from 66,
2014-04-20,Sunday,1964.28352,imputed from 67,
2014-04-21,Monday,1964.28352,imputed from 68,
2014-04-22,Tuesday,2002.34969,,
2014-04-23,Wednesday,2003.26992,,
2014-04-24,Thursday,1996.55523,,
2014-04-25,Friday,1969.16983,,start
2014-04-26,Saturday,1969.16983,imputed from 73,
2014-04-27,Sunday,1969.16983,imputed from 74,
2014-04-28,Monday,1971.53908,,
2014-04-29,Tuesday,2007.72008,,
2014-04-30,Wednesday,2010.7518,,
2014-05-01,Thursday,2010.7518,imputed from 78,
2014-05-02,Friday,2009.1846,,start
2014-05-03,Saturday,2009.1846,imputed from 80,
2014-05-04,Sunday,2009.1846,imputed from 81,
2014-05-05,Monday,1991.86691,,
2014-05-06,Tuesday,1970.30044,,
2014-05-07,Wednesday,1965.86223,,
2014-05-08,Thursday,1982.89798,,
2014-05-09,Friday,1981.57899,,start
2014-05-10,Saturday,1981.57899,imputed from 87,
2014-05-11,Sunday,1981.57899,imputed from 88,
2014-05-12,Monday,1990.20429,,
2014-05-13,Tuesday,1980.02165,,
2014-05-14,Wednesday,1974.06291,,
2014-05-15,Thursday,1928.37992,,
2014-05-16,Friday,1915.60918,,start
2014-05-17,Saturday,1915.60918,imputed from 94,
2014-05-18,Sunday,1915.60918,imputed from 95,
2014-05-19,Monday,1924.11316,,
2014-05-20,Tuesday,1924.27266,,
2014-05-21,Wednesday,1926.18879,,
2014-05-22,Thursday,1958.82531,,
2014-05-23,Friday,1975.7714,,start
2014-05-24,Saturday,1975.7714,imputed from 101,
2014-05-25,Sunday,1975.7714,imputed from 102,
2014-05-26,Monday,2004.35272,,
2014-05-27,Tuesday,2027.78435,,
2014-05-28,Wednesday,2025.74298,,
2014-05-29,Thursday,2024.89054,,
2014-05-30,Friday,2030.83895,,start
2014-05-31,Saturday,2030.83895,imputed from 108,
2014-06-01,Sunday,2030.83895,imputed from 109,
2014-06-02,Monday,2041.12549,,
2014-06-03,Tuesday,2027.59737,,
2014-06-04,Wednesday,2021.54056,,
2014-06-05,Thursday,2041.5781,,
2014-06-06,Friday,2067.88767,,start
2014-06-07,Saturday,2067.88767,imputed from 115,
2014-06-08,Sunday,2067.88767,imputed from 116,
2014-06-09,Monday,2068.83998,,
2014-06-10,Tuesday,2079.03119,,
2014-06-11,Wednesday,2063.33625,,
2014-06-12,Thursday,2071.37976,,
2014-06-13,Friday,2068.86115,,start
2014-06-14,Saturday,2068.86115,imputed from 122,
2014-06-15,Sunday,2068.86115,imputed from 123,
2014-06-16,Monday,2070.97336,,
2014-06-17,Tuesday,2072.86099,,
2014-06-18,Wednesday,2074.51234,,
2014-06-19,Thursday,2072.02983,,
2014-06-20,Friday,2073.6306,,start
2014-06-21,Saturday,2073.6306,imputed from 129,
2014-06-22,Sunday,2073.6306,imputed from 130,
2014-06-23,Monday,2045.56129,,
2014-06-24,Tuesday,2035.25699,,
2014-06-25,Wednesday,2018.4574,,
2014-06-26,Thursday,2019.03498,,
2014-06-27,Friday,2014.11998,,start
2014-06-28,Saturday,2014.11998,imputed from 136,
2014-06-29,Sunday,2014.11998,imputed from 137,
2014-06-30,Monday,2013.85506,,
2014-07-01,Tuesday,2020.27997,,
2014-07-02,Wednesday,2031.2384,,
2014-07-03,Thursday,2048.02888,,
2014-07-04,Friday,1991.08382,,start
2014-07-05,Saturday,1991.08382,imputed from 143,
2014-07-06,Sunday,1991.08382,imputed from 144,
2014-07-07,Monday,1962.38378,,
2014-07-08,Tuesday,1927.63757,,
2014-07-09,Wednesday,1932.58042,,
2014-07-10,Thursday,1909.18793,,
2014-07-11,Friday,1920.91729,,start
2014-07-12,Saturday,1920.91729,imputed from 150,
2014-07-13,Sunday,1920.91729,imputed from 151,
2014-07-14,Monday,1958.03008,,
2014-07-15,Tuesday,1930.35572,,
2014-07-16,Wednesday,1947.2755,,
2014-07-17,Thursday,1932.22584,,
2014-07-18,Friday,1917.85989,,start
2014-07-19,Saturday,1917.85989,imputed from 157,
2014-07-20,Sunday,1917.85989,imputed from 158,
2014-07-21,Monday,1906.54528,,
2014-07-22,Tuesday,1914.8938,,
2014-07-23,Wednesday,1922.04364,,
2014-07-24,Thursday,1923.64072,,
2014-07-25,Friday,1920.24231,,start
2014-07-26,Saturday,1920.24231,imputed from 164,
2014-07-27,Sunday,1920.24231,imputed from 165,
2014-07-28,Monday,1902.81903,,
