date,weekday,C 1_Comdty_PX-LAST-CHF,imputed,C 1_Comdty_start
1997-08-15,Friday,45.24858,,start
1997-08-16,Saturday,45.24858,imputed from 0,
1997-08-17,Sunday,45.24858,imputed from 1,
1997-08-18,Monday,45.53294,,
1997-08-19,Tuesday,46.2387,,
1997-08-20,Wednesday,46.29238,,
1997-08-21,Thursday,47.87417,,
1997-08-22,Friday,46.9917,,start
1997-08-23,Saturday,46.9917,imputed from 7,
1997-08-24,Sunday,46.9917,imputed from 8,
1997-08-25,Monday,47.01819,,
1997-08-26,Tuesday,45.33373,,
1997-08-27,Wednesday,46.45765,,
1997-08-28,Thursday,45.56368,,
1997-08-29,Friday,45.91724,,start
1997-08-30,Saturday,45.91724,imputed from 14,
1997-08-31,Sunday,45.91724,imputed from 15,
1997-09-01,Monday,45.91724,imputed from 16,
1997-09-02,Tuesday,46.75838,,
1997-09-03,Wednesday,46.54528,,
1997-09-04,Thursday,46.07951,,
1997-09-05,Friday,44.55461,,start
1997-09-06,Saturday,44.55461,imputed from 21,
1997-09-07,Sunday,44.55461,imputed from 22,
1997-09-08,Monday,44.59912,,
1997-09-09,Tuesday,45.01378,,
1997-09-10,Wednesday,45.22118,,
1997-09-11,Thursday,45.86162,,
1997-09-12,Friday,44.24986,,start
1997-09-13,Saturday,44.24986,imputed from 28,
1997-09-14,Sunday,44.24986,imputed from 29,
1997-09-15,Monday,43.8031,,
1997-09-16,Tuesday,43.64286,,
1997-09-17,Wednesday,44.07578,,
1997-09-18,Thursday,44.29172,,
1997-09-19,Friday,43.65488,,start
1997-09-20,Saturday,43.65488,imputed from 35,
1997-09-21,Sunday,43.65488,imputed from 36,
1997-09-22,Monday,44.16649,,
1997-09-23,Tuesday,44.08863,,
1997-09-24,Wednesday,43.47317,,
1997-09-25,Thursday,43.15221,,
1997-09-26,Friday,42.76082,,start
1997-09-27,Saturday,42.76082,imputed from 42,
1997-09-28,Sunday,42.76082,imputed from 43,
1997-09-29,Monday,42.93295,,
1997-09-30,Tuesday,42.6905,,
1997-10-01,Wednesday,42.72881,,
1997-10-02,Thursday,42.76925,,
