date,weekday,CL1_Comdty_PX-LAST-CHF,imputed,CL1_Comdty_start
1997-08-15,Friday,83.08894,,start
1997-08-16,Saturday,83.08894,imputed from 0,
1997-08-17,Sunday,83.08894,imputed from 1,
1997-08-18,Monday,82.70596,,
1997-08-19,Tuesday,83.98799,,
1997-08-20,Wednesday,84.23432,,
1997-08-21,Thursday,81.40498,,
1997-08-22,Friday,80.43529,,start
1997-08-23,Saturday,80.43529,imputed from 7,
1997-08-24,Sunday,80.43529,imputed from 8,
1997-08-25,Monday,78.82814,,
1997-08-26,Tuesday,78.24649,,
1997-08-27,Wednesday,80.60628,,
1997-08-28,Thursday,79.25545,,
1997-08-29,Friday,79.99283,,start
1997-08-30,Saturday,79.99283,imputed from 14,
1997-08-31,Sunday,79.99283,imputed from 15,
1997-09-01,Monday,79.99283,imputed from 16,
1997-09-02,Tuesday,80.7249,,
1997-09-03,Wednesday,80.34098,,
1997-09-04,Thursday,79.26867,,
1997-09-05,Friday,79.16832,,start
1997-09-06,Saturday,79.16832,imputed from 21,
1997-09-07,Sunday,79.16832,imputed from 22,
1997-09-08,Monday,78.89392,,
1997-09-09,Tuesday,78.9791,,
1997-09-10,Wednesday,78.45399,,
1997-09-11,Thursday,77.97689,,
1997-09-12,Friday,77.38512,,start
1997-09-13,Saturday,77.38512,imputed from 28,
1997-09-14,Sunday,77.38512,imputed from 29,
1997-09-15,Monday,75.97431,,
1997-09-16,Tuesday,77.68972,,
1997-09-17,Wednesday,77.62654,,
1997-09-18,Thursday,77.62544,,
1997-09-19,Friday,77.19346,,start
1997-09-20,Saturday,77.19346,imputed from 35,
1997-09-21,Sunday,77.19346,imputed from 36,
1997-09-22,Monday,78.95632,,
1997-09-23,Tuesday,79.01677,,
1997-09-24,Wednesday,78.88026,,
1997-09-25,Thursday,80.52769,,
1997-09-26,Friday,82.31019,,start
1997-09-27,Saturday,82.31019,imputed from 42,
1997-09-28,Sunday,82.31019,imputed from 43,
1997-09-29,Monday,83.77915,,
1997-09-30,Tuesday,83.31455,,
1997-10-01,Wednesday,83.36262,,
1997-10-02,Thursday,85.96011,,
1997-10-03,Friday,89.3754,,start
1997-10-04,Saturday,89.3754,imputed from 49,
1997-10-05,Sunday,89.3754,imputed from 50,
1997-10-06,Monday,86.26478,,
1997-10-07,Tuesday,86.15053,,
1997-10-08,Wednesday,87.09782,,
1997-10-09,Thursday,87.27612,,
1997-10-10,Friday,87.26913,,start
1997-10-11,Saturday,87.26913,imputed from 56,
1997-10-12,Sunday,87.26913,imputed from 57,
1997-10-13,Monday,84.54173,,
1997-10-14,Tuesday,81.98216,,
1997-10-15,Wednesday,81.57328,,
1997-10-16,Thursday,82.84107,,
1997-10-17,Friday,82.39525,,start
1997-10-18,Saturday,82.39525,imputed from 63,
1997-10-19,Sunday,82.39525,imputed from 64,
1997-10-20,Monday,82.69509,,
1997-10-21,Tuesday,83.50577,,
1997-10-22,Wednesday,85.16042,,
1997-10-23,Thursday,83.00965,,
1997-10-24,Friday,82.59369,,start
1997-10-25,Saturday,82.59369,imputed from 70,
1997-10-26,Sunday,82.59369,imputed from 71,
1997-10-27,Monday,82.28547,,
1997-10-28,Tuesday,78.09985,,
1997-10-29,Wednesday,78.84267,,
1997-10-30,Thursday,80.04864,,
1997-10-31,Friday,79.23162,,start
1997-11-01,Saturday,79.23162,imputed from 77,
1997-11-02,Sunday,79.23162,imputed from 78,
1997-11-03,Monday,79.42268,,
1997-11-04,Tuesday,78.09816,,
1997-11-05,Wednesday,76.89963,,
1997-11-06,Thursday,77.17514,,
1997-11-07,Friday,77.80412,,start
1997-11-08,Saturday,77.80412,imputed from 84,
1997-11-09,Sunday,77.80412,imputed from 85,
1997-11-10,Monday,76.12757,,
1997-11-11,Tuesday,76.78608,,
1997-11-12,Wednesday,77.00302,,
1997-11-13,Thursday,77.68097,,
1997-11-14,Friday,79.2018,,start
1997-11-15,Saturday,79.2018,imputed from 91,
1997-11-16,Sunday,79.2018,imputed from 92,
1997-11-17,Monday,76.72665,,
1997-11-18,Tuesday,75.57038,,
1997-11-19,Wednesday,74.75047,,
1997-11-20,Thursday,72.66381,,
1997-11-21,Friday,72.66381,imputed from 97,start
1997-11-22,Saturday,72.66381,imputed from 98,
1997-11-23,Sunday,72.66381,imputed from 99,
1997-11-24,Monday,72.37047,,
1997-11-25,Tuesday,72.04649,,
1997-11-26,Wednesday,70.48527,,
1997-11-27,Thursday,70.48527,imputed from 103,
1997-11-28,Friday,70.48527,imputed from 103,start
1997-11-29,Saturday,70.48527,imputed from 105,
1997-11-30,Sunday,70.48527,imputed from 106,
1997-12-01,Monday,69.37436,,
1997-12-02,Tuesday,69.76075,,
1997-12-03,Wednesday,69.61182,,
1997-12-04,Thursday,69.13198,,
1997-12-05,Friday,69.85164,,start
1997-12-06,Saturday,69.85164,imputed from 112,
1997-12-07,Sunday,69.85164,imputed from 113,
1997-12-08,Monday,71.20256,,
1997-12-09,Tuesday,70.68123,,
1997-12-10,Wednesday,67.95904,,
1997-12-11,Thursday,67.20503,,
1997-12-12,Friday,67.74861,,start
1997-12-13,Saturday,67.74861,imputed from 119,
