date,weekday,CN1_Comdty_PX-LAST-CHF,imputed,CN1_Comdty_start
1997-08-15,Friday,65.55593,,start
1997-08-16,Saturday,65.55593,imputed from 0,
1997-08-17,Sunday,65.55593,imputed from 1,
1997-08-18,Monday,65.84036,,
1997-08-19,Tuesday,65.7255,,
1997-08-20,Wednesday,65.55593,,
1997-08-21,Thursday,65.42466,,
1997-08-22,Friday,65.32073,,start
1997-08-23,Saturday,65.32073,imputed from 7,
1997-08-24,Sunday,65.32073,imputed from 8,
1997-08-25,Monday,65.30432,,
1997-08-26,Tuesday,65.21597,,
1997-08-27,Wednesday,65.23806,,
1997-08-28,Thursday,65.6246,,
1997-08-29,Friday,65.46998,,start
1997-08-30,Saturday,65.46998,imputed from 14,
1997-08-31,Sunday,65.46998,imputed from 15,
1997-09-01,Monday,65.46998,imputed from 16,
1997-09-02,Tuesday,65.64117,,
1997-09-03,Wednesday,65.49207,,
1997-09-04,Thursday,65.55282,,
1997-09-05,Friday,65.45342,,start
1997-09-06,Saturday,65.45342,imputed from 21,
1997-09-07,Sunday,65.45342,imputed from 22,
1997-09-08,Monday,65.53073,,
1997-09-09,Tuesday,65.4479,,
1997-09-10,Wednesday,65.37059,,
1997-09-11,Thursday,65.28775,,
1997-09-12,Friday,65.72952,,start
1997-09-13,Saturday,65.72952,imputed from 28,
1997-09-14,Sunday,65.72952,imputed from 29,
1997-09-15,Monday,65.86205,,
1997-09-16,Tuesday,66.44187,,
1997-09-17,Wednesday,66.51918,,
1997-09-18,Thursday,66.40874,,
1997-09-19,Friday,66.51366,,start
1997-09-20,Saturday,66.51366,imputed from 35,
1997-09-21,Sunday,66.51366,imputed from 36,
1997-09-22,Monday,66.60754,,
1997-09-23,Tuesday,66.56888,,
1997-09-24,Wednesday,66.82842,,
1997-09-25,Thursday,66.5744,,
1997-09-26,Friday,66.88916,,start
1997-09-27,Saturday,66.88916,imputed from 42,
1997-09-28,Sunday,66.88916,imputed from 43,
1997-09-29,Monday,66.61858,,
1997-09-30,Tuesday,66.60754,,
1997-10-01,Wednesday,66.97752,,
1997-10-02,Thursday,67.33645,,
1997-10-03,Friday,67.60704,,start
1997-10-04,Saturday,67.60704,imputed from 49,
1997-10-05,Sunday,67.60704,imputed from 50,
1997-10-06,Monday,67.73957,,
1997-10-07,Tuesday,67.72852,,
1997-10-08,Wednesday,67.40824,,
1997-10-09,Thursday,67.12109,,
1997-10-10,Friday,66.86155,,start
1997-10-11,Saturday,66.86155,imputed from 56,
1997-10-12,Sunday,66.86155,imputed from 57,
1997-10-13,Monday,66.86155,imputed from 58,
1997-10-14,Tuesday,67.01617,,
1997-10-15,Wednesday,67.01617,,
1997-10-16,Thursday,66.9996,,
1997-10-17,Friday,66.71798,,start
1997-10-18,Saturday,66.71798,imputed from 63,
1997-10-19,Sunday,66.71798,imputed from 64,
1997-10-20,Monday,66.91677,,
1997-10-21,Tuesday,66.8726,,
1997-10-22,Wednesday,66.83394,,
1997-10-23,Thursday,67.17631,,
1997-10-24,Friday,67.2481,,start
1997-10-25,Saturday,67.2481,imputed from 70,
1997-10-26,Sunday,67.2481,imputed from 71,
1997-10-27,Monday,67.71196,,
1997-10-28,Tuesday,67.51868,,
1997-10-29,Wednesday,67.74509,,
1997-10-30,Thursday,67.89418,,
