date,weekday,CT1_Comdty_PX-LAST-CHF,imputed,CT1_Comdty_start
1997-08-15,Friday,7.01575,,start
1997-08-16,Saturday,7.01575,imputed from 0,
1997-08-17,Sunday,7.01575,imputed from 1,
1997-08-18,Monday,6.95845,,
1997-08-19,Tuesday,6.97171,,
1997-08-20,Wednesday,7.01975,,
1997-08-21,Thursday,6.987,,
1997-08-22,Friday,6.88042,,start
1997-08-23,Saturday,6.88042,imputed from 7,
1997-08-24,Sunday,6.88042,imputed from 8,
1997-08-25,Monday,6.84177,,
1997-08-26,Tuesday,6.70721,,
1997-08-27,Wednesday,6.8201,,
1997-08-28,Thursday,6.77846,,
1997-08-29,Friday,6.78162,,start
1997-08-30,Saturday,6.78162,imputed from 14,
1997-08-31,Sunday,6.78162,imputed from 15,
1997-09-01,Monday,6.78208,,
1997-09-02,Tuesday,6.87673,,
1997-09-03,Wednesday,6.78303,,
1997-09-04,Thursday,6.81447,,
1997-09-05,Friday,6.69013,,start
1997-09-06,Saturday,6.69013,imputed from 21,
1997-09-07,Sunday,6.69013,imputed from 22,
1997-09-08,Monday,6.76853,,
1997-09-09,Tuesday,6.76956,,
1997-09-10,Wednesday,6.72825,,
1997-09-11,Thursday,6.67882,,
1997-09-12,Friday,6.76985,,start
1997-09-13,Saturday,6.76985,imputed from 28,
1997-09-14,Sunday,6.76985,imputed from 29,
1997-09-15,Monday,6.59786,,
1997-09-16,Tuesday,6.64073,,
1997-09-17,Wednesday,6.71213,,
1997-09-18,Thursday,6.72589,,
1997-09-19,Friday,6.68423,,start
1997-09-20,Saturday,6.68423,imputed from 35,
1997-09-21,Sunday,6.68423,imputed from 36,
1997-09-22,Monday,6.629,,
1997-09-23,Tuesday,6.76364,,
1997-09-24,Wednesday,6.67234,,
1997-09-25,Thursday,6.6326,,
1997-09-26,Friday,6.57501,,start
1997-09-27,Saturday,6.57501,imputed from 42,
1997-09-28,Sunday,6.57501,imputed from 43,
1997-09-29,Monday,6.55613,,
