date,weekday,DU1_Comdty_PX-LAST-CHF,imputed,DU1_Comdty_start
1997-08-15,Friday,140.57078,,start
1997-08-16,Saturday,140.57078,imputed from 0,
1997-08-17,Sunday,140.57078,imputed from 1,
1997-08-18,Monday,140.80173,,
1997-08-19,Tuesday,140.81532,,
1997-08-20,Wednesday,140.59795,,
1997-08-21,Thursday,140.57078,,
1997-08-22,Friday,140.43492,,start
1997-08-23,Saturday,140.43492,imputed from 7,
1997-08-24,Sunday,140.43492,imputed from 8,
1997-08-25,Monday,140.40775,,
1997-08-26,Tuesday,140.46209,,
1997-08-27,Wednesday,140.46209,,
1997-08-28,Thursday,140.77456,,
1997-08-29,Friday,140.62512,,start
1997-08-30,Saturday,140.62512,imputed from 14,
1997-08-31,Sunday,140.62512,imputed from 15,
1997-09-01,Monday,140.66588,,
1997-09-02,Tuesday,140.57078,,
1997-09-03,Wednesday,140.53002,,
1997-09-04,Thursday,140.59795,,
1997-09-05,Friday,140.6387,,start
1997-09-06,Saturday,140.6387,imputed from 21,
1997-09-07,Sunday,140.6387,imputed from 22,
1997-09-08,Monday,140.73423,,
1997-09-09,Tuesday,140.81611,,
1997-09-10,Wednesday,140.95257,,
1997-09-11,Thursday,140.92528,,
1997-09-12,Friday,140.88434,,start
1997-09-13,Saturday,140.88434,imputed from 28,
1997-09-14,Sunday,140.88434,imputed from 29,
1997-09-15,Monday,140.666,,
1997-09-16,Tuesday,140.72058,,
1997-09-17,Wednesday,140.72058,,
1997-09-18,Thursday,140.73423,,
1997-09-19,Friday,140.55683,,start
1997-09-20,Saturday,140.55683,imputed from 35,
1997-09-21,Sunday,140.55683,imputed from 36,
1997-09-22,Monday,140.48859,,
1997-09-23,Tuesday,140.6387,,
1997-09-24,Wednesday,140.76152,,
1997-09-25,Thursday,140.59777,,
1997-09-26,Friday,140.54318,,start
1997-09-27,Saturday,140.54318,imputed from 42,
1997-09-28,Sunday,140.54318,imputed from 43,
1997-09-29,Monday,140.54318,,
1997-09-30,Tuesday,140.61141,,
1997-10-01,Wednesday,140.62506,,
1997-10-02,Thursday,140.6387,,
1997-10-03,Friday,140.6387,imputed from 48,start
1997-10-04,Saturday,140.6387,imputed from 49,
1997-10-05,Sunday,140.6387,imputed from 50,
1997-10-06,Monday,140.6387,,
1997-10-07,Tuesday,140.65235,,
