date,weekday,FB1_Comdty_PX-LAST-CHF,imputed,FB1_Comdty_start
1997-08-15,Friday,81.55,,start
1997-08-16,Saturday,81.55,imputed from 0,
1997-08-17,Sunday,81.55,imputed from 1,
1997-08-18,Monday,81.67,,
1997-08-19,Tuesday,81.76,,
1997-08-20,Wednesday,81.79,,
1997-08-21,Thursday,81.72,,
1997-08-22,Friday,81.49,,start
1997-08-23,Saturday,81.49,imputed from 7,
1997-08-24,Sunday,81.49,imputed from 8,
1997-08-25,Monday,81.45,,
1997-08-26,Tuesday,81.46,,
1997-08-27,Wednesday,81.43,,
1997-08-28,Thursday,81.42,,
1997-08-29,Friday,81.38,,start
1997-08-30,Saturday,81.38,imputed from 14,
1997-08-31,Sunday,81.38,imputed from 15,
1997-09-01,Monday,81.35,,
1997-09-02,Tuesday,81.5,,
1997-09-03,Wednesday,81.45,,
1997-09-04,Thursday,81.53,,
1997-09-05,Friday,81.4,,start
1997-09-06,Saturday,81.4,imputed from 21,
1997-09-07,Sunday,81.4,imputed from 22,
1997-09-08,Monday,81.49,,
1997-09-09,Tuesday,81.42,,
1997-09-10,Wednesday,81.42,,
1997-09-11,Thursday,81.32,,
1997-09-12,Friday,81.31,,start
1997-09-13,Saturday,81.31,imputed from 28,
1997-09-14,Sunday,81.31,imputed from 29,
1997-09-15,Monday,81.31,,
1997-09-16,Tuesday,81.27,,
1997-09-17,Wednesday,81.43,,
1997-09-18,Thursday,81.85,,
1997-09-19,Friday,81.97,,start
1997-09-20,Saturday,81.97,imputed from 35,
1997-09-21,Sunday,81.97,imputed from 36,
1997-09-22,Monday,82.01,,
1997-09-23,Tuesday,81.86,,
1997-09-24,Wednesday,81.88,,
1997-09-25,Thursday,81.77,,
1997-09-26,Friday,81.69,,start
1997-09-27,Saturday,81.69,imputed from 42,
1997-09-28,Sunday,81.69,imputed from 43,
1997-09-29,Monday,81.67,,
1997-09-30,Tuesday,81.64,,
1997-10-01,Wednesday,81.96,,
1997-10-02,Thursday,82.1,,
1997-10-03,Friday,82.46,,start
1997-10-04,Saturday,82.46,imputed from 49,
1997-10-05,Sunday,82.46,imputed from 50,
1997-10-06,Monday,82.25,,
1997-10-07,Tuesday,82.22,,
1997-10-08,Wednesday,82.07,,
1997-10-09,Thursday,81.72,,
1997-10-10,Friday,81.26,,start
1997-10-11,Saturday,81.26,imputed from 56,
1997-10-12,Sunday,81.26,imputed from 57,
1997-10-13,Monday,81.44,,
1997-10-14,Tuesday,81.58,,
1997-10-15,Wednesday,81.57,,
1997-10-16,Thursday,81.38,,
1997-10-17,Friday,81.14,,start
1997-10-18,Saturday,81.14,imputed from 63,
1997-10-19,Sunday,81.14,imputed from 64,
1997-10-20,Monday,81.2,,
1997-10-21,Tuesday,81.18,,
1997-10-22,Wednesday,80.86,,
1997-10-23,Thursday,81.04,,
1997-10-24,Friday,81.2,,start
1997-10-25,Saturday,81.2,imputed from 70,
1997-10-26,Sunday,81.2,imputed from 71,
1997-10-27,Monday,81.28,,
1997-10-28,Tuesday,81.52,,
1997-10-29,Wednesday,81.43,,
1997-10-30,Thursday,81.65,,
1997-10-31,Friday,81.78,,start
1997-11-01,Saturday,81.78,imputed from 77,
1997-11-02,Sunday,81.78,imputed from 78,
1997-11-03,Monday,81.47,,
1997-11-04,Tuesday,81.58,,
1997-11-05,Wednesday,81.41,,
1997-11-06,Thursday,81.21,,
1997-11-07,Friday,81.36,,start
1997-11-08,Saturday,81.36,imputed from 84,
1997-11-09,Sunday,81.36,imputed from 85,
1997-11-10,Monday,81.3,,
1997-11-11,Tuesday,81.13,,
1997-11-12,Wednesday,81.03,,
1997-11-13,Thursday,81.17,,
1997-11-14,Friday,81.48,,start
1997-11-15,Saturday,81.48,imputed from 91,
1997-11-16,Sunday,81.48,imputed from 92,
1997-11-17,Monday,81.43,,
1997-11-18,Tuesday,81.56,,
1997-11-19,Wednesday,81.86,,
1997-11-20,Thursday,82.2,,
1997-11-21,Friday,81.93,,start
1997-11-22,Saturday,81.93,imputed from 98,
1997-11-23,Sunday,81.93,imputed from 99,
1997-11-24,Monday,82.16,,
1997-11-25,Tuesday,82.18,,
1997-11-26,Wednesday,82.2,,
1997-11-27,Thursday,82.01,,
1997-11-28,Friday,82.27,,start
1997-11-29,Saturday,82.27,imputed from 105,
1997-11-30,Sunday,82.27,imputed from 106,
1997-12-01,Monday,82.34,,
1997-12-02,Tuesday,82.25,,
1997-12-03,Wednesday,82.25,,
1997-12-04,Thursday,82.36,,
1997-12-05,Friday,82.29,,start
1997-12-06,Saturday,82.29,imputed from 112,
1997-12-07,Sunday,82.29,imputed from 113,
1997-12-08,Monday,82.56,,
1997-12-09,Tuesday,82.42,,
1997-12-10,Wednesday,82.66,,
1997-12-11,Thursday,83.04,,
1997-12-12,Friday,83.43,,start
1997-12-13,Saturday,83.43,imputed from 119,
1997-12-14,Sunday,83.43,imputed from 120,
1997-12-15,Monday,83.35,,
1997-12-16,Tuesday,83.32,,
1997-12-17,Wednesday,83.3,,
1997-12-18,Thursday,83.64,,
1997-12-19,Friday,83.89,,start
1997-12-20,Saturday,83.89,imputed from 126,
1997-12-21,Sunday,83.89,imputed from 127,
1997-12-22,Monday,84.01,,
1997-12-23,Tuesday,84.03,,
1997-12-24,Wednesday,84.02,,
1997-12-25,Thursday,84.02,imputed from 131,
1997-12-26,Friday,84.02,imputed from 131,start
1997-12-27,Saturday,84.02,imputed from 133,
1997-12-28,Sunday,84.02,imputed from 134,
1997-12-29,Monday,83.83,,
1997-12-30,Tuesday,83.48,,
1997-12-31,Wednesday,83.66,,
1998-01-01,Thursday,83.66,imputed from 138,
1998-01-02,Friday,83.66,imputed from 138,start
1998-01-03,Saturday,83.66,imputed from 140,
1998-01-04,Sunday,83.66,imputed from 141,
1998-01-05,Monday,84.17,,
1998-01-06,Tuesday,84.17,,
1998-01-07,Wednesday,84.26,,
1998-01-08,Thursday,84.49,,
1998-01-09,Friday,84.63,,start
1998-01-10,Saturday,84.63,imputed from 147,
1998-01-11,Sunday,84.63,imputed from 148,
1998-01-12,Monday,84.77,,
1998-01-13,Tuesday,84.81,,
1998-01-14,Wednesday,84.82,,
1998-01-15,Thursday,84.9,,
1998-01-16,Friday,84.88,,start
1998-01-17,Saturday,84.88,imputed from 154,
1998-01-18,Sunday,84.88,imputed from 155,
1998-01-19,Monday,84.8,,
1998-01-20,Tuesday,85.18,,
1998-01-21,Wednesday,84.95,,
1998-01-22,Thursday,85.06,,
1998-01-23,Friday,85.08,,start
1998-01-24,Saturday,85.08,imputed from 161,
1998-01-25,Sunday,85.08,imputed from 162,
1998-01-26,Monday,85.29,,
1998-01-27,Tuesday,85.65,,
1998-01-28,Wednesday,85.52,,
1998-01-29,Thursday,85.74,,
1998-01-30,Friday,85.87,,start
1998-01-31,Saturday,85.87,imputed from 168,
1998-02-01,Sunday,85.87,imputed from 169,
1998-02-02,Monday,85.79,,
1998-02-03,Tuesday,85.93,,
1998-02-04,Wednesday,85.88,,
1998-02-05,Thursday,85.92,,
1998-02-06,Friday,86.08,,start
1998-02-07,Saturday,86.08,imputed from 175,
1998-02-08,Sunday,86.08,imputed from 176,
1998-02-09,Monday,86.13,,
1998-02-10,Tuesday,86.27,,
1998-02-11,Wednesday,86.71,,
1998-02-12,Thursday,86.93,,
1998-02-13,Friday,87.37,,start
1998-02-14,Saturday,87.37,imputed from 182,
1998-02-15,Sunday,87.37,imputed from 183,
1998-02-16,Monday,87.73,,
1998-02-17,Tuesday,87.87,,
1998-02-18,Wednesday,87.5,,
1998-02-19,Thursday,87.38,,
1998-02-20,Friday,87.41,,start
1998-02-21,Saturday,87.41,imputed from 189,
1998-02-22,Sunday,87.41,imputed from 190,
1998-02-23,Monday,87.39,,
1998-02-24,Tuesday,87.25,,
1998-02-25,Wednesday,87.27,,
1998-02-26,Thursday,87.3,,
1998-02-27,Friday,87.07,,start
1998-02-28,Saturday,87.07,imputed from 196,
1998-03-01,Sunday,87.07,imputed from 197,
1998-03-02,Monday,87.05,,
1998-03-03,Tuesday,87.04,,
1998-03-04,Wednesday,86.41,,
1998-03-05,Thursday,86.61,,
1998-03-06,Friday,86.63,,start
1998-03-07,Saturday,86.63,imputed from 203,
1998-03-08,Sunday,86.63,imputed from 204,
1998-03-09,Monday,86.61,,
1998-03-10,Tuesday,87.11,,
1998-03-11,Wednesday,87.46,,
1998-03-12,Thursday,87.9,,
1998-03-13,Friday,87.66,,start
1998-03-14,Saturday,87.66,imputed from 210,
1998-03-15,Sunday,87.66,imputed from 211,
1998-03-16,Monday,87.57,,
1998-03-17,Tuesday,87.38,,
1998-03-18,Wednesday,87.17,,
1998-03-19,Thursday,86.63,,
1998-03-20,Friday,86.81,,start
1998-03-21,Saturday,86.81,imputed from 217,
1998-03-22,Sunday,86.81,imputed from 218,
1998-03-23,Monday,86.77,,
1998-03-24,Tuesday,87.06,,
1998-03-25,Wednesday,86.93,,
1998-03-26,Thursday,86.88,,
1998-03-27,Friday,86.66,,start
1998-03-28,Saturday,86.66,imputed from 224,
1998-03-29,Sunday,86.66,imputed from 225,
1998-03-30,Monday,86.16,,
1998-03-31,Tuesday,86.28,,
1998-04-01,Wednesday,86.1,,
1998-04-02,Thursday,86.14,,
1998-04-03,Friday,86.6,,start
1998-04-04,Saturday,86.6,imputed from 231,
1998-04-05,Sunday,86.6,imputed from 232,
1998-04-06,Monday,86.22,,
1998-04-07,Tuesday,85.95,,
1998-04-08,Wednesday,86.01,,
1998-04-09,Thursday,85.79,,
1998-04-10,Friday,85.79,imputed from 237,start
1998-04-11,Saturday,85.79,imputed from 238,
1998-04-12,Sunday,85.79,imputed from 239,
1998-04-13,Monday,85.79,imputed from 240,
1998-04-14,Tuesday,85.96,,
1998-04-15,Wednesday,85.43,,
1998-04-16,Thursday,85.31,,
1998-04-17,Friday,85.58,,start
1998-04-18,Saturday,85.58,imputed from 245,
1998-04-19,Sunday,85.58,imputed from 246,
1998-04-20,Monday,85.35,,
1998-04-21,Tuesday,84.96,,
1998-04-22,Wednesday,85.02,,
1998-04-23,Thursday,85.1,,
1998-04-24,Friday,84.87,,start
1998-04-25,Saturday,84.87,imputed from 252,
1998-04-26,Sunday,84.87,imputed from 253,
1998-04-27,Monday,84.71,,
1998-04-28,Tuesday,84.77,,
1998-04-29,Wednesday,84.73,,
1998-04-30,Thursday,85.14,,
1998-05-01,Friday,85.14,imputed from 258,start
1998-05-02,Saturday,85.14,imputed from 259,
1998-05-03,Sunday,85.14,imputed from 260,
1998-05-04,Monday,85.55,,
1998-05-05,Tuesday,85.19,,
