date,weekday,FV1_Comdty_PX-LAST,FV1_Comdty_CURRENCY-USD,FV1_Comdty_PX-LAST-CHF,imputed,FV1_Comdty_start
1997-08-15,Friday,68.1171875,1.5067,102.63216640625,,start
1997-08-16,Saturday,,,102.63216640625,imputed from 0,
1997-08-17,Sunday,,,102.63216640625,imputed from 1,
1997-08-18,Monday,68.2578125,1.5177,103.59488203125001,,
1997-08-19,Tuesday,68.234375,1.5147,103.35460781249999,,
1997-08-20,Wednesday,68.1484375,1.5243,103.87866328125,,
1997-08-21,Thursday,68.015625,1.513,102.907640625,,
1997-08-22,Friday,67.890625,1.4987,101.7476796875,,start
1997-08-23,Saturday,,,101.7476796875,imputed from 7,
1997-08-24,Sunday,,,101.7476796875,imputed from 8,
1997-08-25,Monday,67.828125,1.498,101.60653125,,
1997-08-26,Tuesday,67.8359375,1.4845,100.70244921874999,,
1997-08-27,Wednesday,67.8125,1.496,101.4475,,
1997-08-28,Thursday,68.0078125,1.4815,100.75357421875,,
1997-08-29,Friday,67.8984375,1.4925,101.33841796875,,start
1997-08-30,Saturday,,,101.33841796875,imputed from 14,
1997-08-31,Sunday,,,101.33841796875,imputed from 15,
1997-09-01,Monday,,1.4927,101.33841796875,imputed from 16,
1997-09-02,Tuesday,67.9765625,1.5068,102.42708437499999,,
1997-09-03,Wednesday,67.9296875,1.5008,101.948875,,
1997-09-04,Thursday,67.8984375,1.4978,101.6982796875,,
1997-09-05,Friday,67.8828125,1.4783,100.35116171874999,,start
1997-09-06,Saturday,,,100.35116171874999,imputed from 21,
1997-09-07,Sunday,,,100.35116171874999,imputed from 22,
1997-09-08,Monday,67.890625,1.4855,100.8515234375,,
1997-09-09,Tuesday,67.8671875,1.4875,100.95244140625,,
1997-09-10,Wednesday,67.8203125,1.4793,100.32658828125001,,
1997-09-11,Thursday,67.78125,1.473,99.84178125000001,,
1997-09-12,Friday,68.0390625,1.4633,99.56156015625,,start
1997-09-13,Saturday,,,99.56156015625,imputed from 28,
1997-09-14,Sunday,,,99.56156015625,imputed from 29,
1997-09-15,Monday,68.0625,1.446,98.418375,,
1997-09-16,Tuesday,68.5390625,1.4515,99.48444921875,,
1997-09-17,Wednesday,68.578125,1.4615,100.2269296875,,
1997-09-18,Thursday,68.53125,1.466,100.4668125,,
1997-09-19,Friday,68.5390625,1.4623,100.22467109374999,,start
1997-09-20,Saturday,,,100.22467109374999,imputed from 35,
1997-09-21,Sunday,,,100.22467109374999,imputed from 36,
1997-09-22,Monday,68.6171875,1.4693,100.81923359375,,
1997-09-23,Tuesday,68.53125,1.4703,100.76149687499999,,
1997-09-24,Wednesday,68.6484375,1.4573,100.04136796875001,,
1997-09-25,Thursday,68.4296875,1.4503,99.24357578125,,
1997-09-26,Friday,68.5546875,1.4512,99.4865625,,start
1997-09-27,Saturday,,,99.4865625,imputed from 42,
1997-09-28,Sunday,,,99.4865625,imputed from 43,
1997-09-29,Monday,68.5546875,1.4541,99.68537109374999,,
1997-09-30,Tuesday,68.515625,1.4476,99.18321875,,
1997-10-01,Wednesday,68.7265625,1.4605,100.37514453124999,,
1997-10-02,Thursday,68.7734375,1.4553,100.08598359375,,
1997-10-03,Friday,68.7890625,1.4475,99.57216796875,,start
1997-10-04,Saturday,,,99.57216796875,imputed from 49,
1997-10-05,Sunday,,,99.57216796875,imputed from 50,
1997-10-06,Monday,68.9140625,1.4488,99.84269375000001,,
1997-10-07,Tuesday,68.9765625,1.4487,99.92634609375001,,
1997-10-08,Wednesday,68.578125,1.443,98.958234375,,
1997-10-09,Thursday,68.53125,1.4573,99.870590625,,
1997-10-10,Friday,68.3984375,1.4571,99.66336328125,,start
1997-10-11,Saturday,,,99.66336328125,imputed from 56,
1997-10-12,Sunday,,,99.66336328125,imputed from 57,
1997-10-13,Monday,,1.4623,99.66336328125,imputed from 58,
1997-10-14,Tuesday,68.578125,1.4613,100.2132140625,,
1997-10-15,Wednesday,68.4765625,1.4585,99.87306640624999,,
1997-10-16,Thursday,68.4765625,1.4565,99.73611328125,,
1997-10-17,Friday,68.28125,1.4759,100.776296875,,start
1997-10-18,Saturday,,,100.776296875,imputed from 63,
1997-10-19,Sunday,,,100.776296875,imputed from 64,
1997-10-20,Monday,68.296875,1.4723,100.55348906249999,,
1997-10-21,Tuesday,68.296875,1.489,101.69404687500001,,
1997-10-22,Wednesday,68.3359375,1.4826,101.3148609375,,
1997-10-23,Thursday,68.640625,1.4633,100.4418265625,,
1997-10-24,Friday,68.703125,1.4661,100.72565156249999,,start
1997-10-25,Saturday,,,100.72565156249999,imputed from 70,
1997-10-26,Sunday,,,100.72565156249999,imputed from 71,
1997-10-27,Monday,69.09375,1.4428,99.6884625,,
1997-10-28,Tuesday,68.8203125,1.4268,98.192821875,,
1997-10-29,Wednesday,68.96875,1.4125,97.41835937500001,,
1997-10-30,Thursday,69.125,1.3973,96.5883625,,
1997-10-31,Friday,69.15625,1.3995,96.784171875,,start
1997-11-01,Saturday,,,96.784171875,imputed from 77,
1997-11-02,Sunday,,,96.784171875,imputed from 78,
1997-11-03,Monday,68.96875,1.4143,97.542503125,,
1997-11-04,Tuesday,68.8359375,1.4033,96.59747109375,,
1997-11-05,Wednesday,68.84375,1.4033,96.608434375,,
1997-11-06,Thursday,68.96875,1.4115,97.349390625,,
1997-11-07,Friday,68.9296875,1.392,95.950125,,start
1997-11-08,Saturday,,,95.950125,imputed from 84,
1997-11-09,Sunday,,,95.950125,imputed from 85,
1997-11-10,Monday,68.8984375,1.387,95.5621328125,,
1997-11-11,Tuesday,,1.392,95.5621328125,imputed from 87,
1997-11-12,Wednesday,68.9375,1.3922,95.9747875,,
1997-11-13,Thursday,68.984375,1.4,96.578125,,
1997-11-14,Friday,68.9921875,1.405,96.9340234375,,start
1997-11-15,Saturday,,,96.9340234375,imputed from 91,
1997-11-16,Sunday,,,96.9340234375,imputed from 92,
1997-11-17,Monday,69.0390625,1.4088,97.26223125,,
1997-11-18,Tuesday,69.0234375,1.4055,97.01244140625,,
1997-11-19,Wednesday,69.109375,1.4051,97.1055828125,,
1997-11-20,Thursday,69.0390625,1.4125,97.51767578125,,
1997-11-21,Friday,69.1484375,1.41,97.499296875,,start
1997-11-22,Saturday,,,97.499296875,imputed from 98,
1997-11-23,Sunday,,,97.499296875,imputed from 99,
1997-11-24,Monday,69.015625,1.4055,97.0014609375,,
1997-11-25,Tuesday,69.0078125,1.4125,97.47353515625001,,
1997-11-26,Wednesday,68.96875,1.4174,97.75630625,,
1997-11-27,Thursday,,1.424,97.75630625,imputed from 103,
1997-11-28,Friday,68.9140625,1.4269,98.33347578125,,start
1997-11-29,Saturday,,,98.33347578125,imputed from 105,
1997-11-30,Sunday,,,98.33347578125,imputed from 106,
1997-12-01,Monday,68.9140625,1.4315,98.65048046875,,
1997-12-02,Tuesday,68.9375,1.4335,98.82190625,,
1997-12-03,Wednesday,69.0078125,1.4305,98.71567578125001,,
1997-12-04,Thursday,69.0390625,1.4323,98.88464921875,,
1997-12-05,Friday,68.7734375,1.44,99.03375,,start
1997-12-06,Saturday,,,99.03375,imputed from 112,
1997-12-07,Sunday,,,99.03375,imputed from 113,
1997-12-08,Monday,68.6484375,1.4578,100.0756921875,,
1997-12-09,Tuesday,68.6953125,1.4543,99.90359296874999,,
1997-12-10,Wednesday,68.8671875,1.4468,99.63704687500001,,
1997-12-11,Thursday,69.0625,1.4235,98.31046875,,
1997-12-12,Friday,69.2734375,1.437,99.5459296875,,start
1997-12-13,Saturday,,,99.5459296875,imputed from 119,
1997-12-14,Sunday,,,99.5459296875,imputed from 120,
1997-12-15,Monday,69.171875,1.4333,99.1440484375,,
1997-12-16,Tuesday,69.1875,1.4398,99.6161625,,
1997-12-17,Wednesday,69.125,1.4363,99.28423749999999,,
1997-12-18,Thursday,69.203125,1.4373,99.4656515625,,
1997-12-19,Friday,69.3359375,1.4355,99.53173828125,,start
1997-12-20,Saturday,,,99.53173828125,imputed from 126,
1997-12-21,Sunday,,,99.53173828125,imputed from 127,
1997-12-22,Monday,69.3046875,1.4377,99.63934921875,,
1997-12-23,Tuesday,69.296875,1.4333,99.32321093750001,,
1997-12-24,Wednesday,69.2578125,1.4325,99.21181640625001,,
1997-12-25,Thursday,,1.4331,99.21181640625001,imputed from 131,
1997-12-26,Friday,69.2578125,1.434,99.315703125,,start
1997-12-27,Saturday,,,99.315703125,imputed from 133,
1997-12-28,Sunday,,,99.315703125,imputed from 134,
1997-12-29,Monday,69.21875,1.4485,100.263359375,,
1997-12-30,Tuesday,69.109375,1.4533,100.4366546875,,
1997-12-31,Wednesday,69.2578125,1.4619,101.24799609375,,
1998-01-01,Thursday,,1.4593,101.24799609375,imputed from 138,
1998-01-02,Friday,69.5078125,1.4702,102.1903859375,,start
1998-01-03,Saturday,,,102.1903859375,imputed from 140,
1998-01-04,Sunday,,,102.1903859375,imputed from 141,
1998-01-05,Monday,69.96875,1.4805,103.588734375,,
1998-01-06,Tuesday,70.0546875,1.4842,103.97516718749999,,
1998-01-07,Wednesday,69.96875,1.4783,103.434803125,,
1998-01-08,Thursday,70.21875,1.4767,103.692028125,,
1998-01-09,Friday,70.5234375,1.477,104.1631171875,,start
1998-01-10,Saturday,,,104.1631171875,imputed from 147,
1998-01-11,Sunday,,,104.1631171875,imputed from 148,
1998-01-12,Monday,70.5078125,1.4768,104.12593749999999,,
1998-01-13,Tuesday,70.3984375,1.478,104.048890625,,
1998-01-14,Wednesday,70.25,1.4833,104.201825,,
1998-01-15,Thursday,70.25,1.498,105.2345,,
1998-01-16,Friday,70.0625,1.4977,104.93260625,,start
1998-01-17,Saturday,,,104.93260625,imputed from 154,
1998-01-18,Sunday,,,104.93260625,imputed from 155,
1998-01-19,Monday,,1.4978,104.93260625,imputed from 156,
1998-01-20,Tuesday,69.984375,1.4957,104.6756296875,,
1998-01-21,Wednesday,70.0625,1.4753,103.36320625,,
1998-01-22,Thursday,70.125,1.469,103.013625,,
1998-01-23,Friday,69.734375,1.44,100.41749999999999,,start
1998-01-24,Saturday,,,100.41749999999999,imputed from 161,
1998-01-25,Sunday,,,100.41749999999999,imputed from 162,
1998-01-26,Monday,69.875,1.4548,101.65415,,
1998-01-27,Tuesday,69.65625,1.4485,100.897078125,,
1998-01-28,Wednesday,69.6640625,1.465,102.0578515625,,
1998-01-29,Thursday,70.03125,1.4742,103.24006874999999,,
1998-01-30,Friday,70.109375,1.4762,103.495459375,,start
1998-01-31,Saturday,,,103.495459375,imputed from 168,
1998-02-01,Sunday,,,103.495459375,imputed from 169,
1998-02-02,Monday,70.0,1.4723,103.06099999999999,,
1998-02-03,Tuesday,70.0546875,1.4643,102.58107890625,,
1998-02-04,Wednesday,70.09375,1.4515,101.741078125,,
1998-02-05,Thursday,69.953125,1.4438,100.998321875,,
1998-02-06,Friday,69.9140625,1.4583,101.95567734375,,start
1998-02-07,Saturday,,,101.95567734375,imputed from 175,
1998-02-08,Sunday,,,101.95567734375,imputed from 176,
1998-02-09,Monday,69.7890625,1.4658,102.2968078125,,
1998-02-10,Tuesday,69.8515625,1.4613,102.07408828125,,
1998-02-11,Wednesday,69.96875,1.4635,102.399265625,,
1998-02-12,Thursday,69.9453125,1.4538,101.6864953125,,
1998-02-13,Friday,70.0390625,1.4607,102.30605859375001,,start
1998-02-14,Saturday,,,102.30605859375001,imputed from 182,
1998-02-15,Sunday,,,102.30605859375001,imputed from 183,
1998-02-16,Monday,,1.4601,102.30605859375001,imputed from 184,
1998-02-17,Tuesday,70.125,1.4725,103.2590625,,
1998-02-18,Wednesday,70.0234375,1.4716,103.046490625,,
1998-02-19,Thursday,69.984375,1.4663,102.61808906249999,,
1998-02-20,Friday,69.9296875,1.4667,102.56587265625,,start
1998-02-21,Saturday,,,102.56587265625,imputed from 189,
1998-02-22,Sunday,,,102.56587265625,imputed from 190,
1998-02-23,Monday,69.8125,1.4503,101.24906874999999,,
1998-02-24,Tuesday,69.453125,1.4523,100.8667734375,,
1998-02-25,Wednesday,69.5703125,1.4686,102.1709609375,,
1998-02-26,Thursday,69.4609375,1.468,101.96865625,,
1998-02-27,Friday,69.5234375,1.4653,101.87269296875,,start
1998-02-28,Saturday,,,101.87269296875,imputed from 196,
1998-03-01,Sunday,,,101.87269296875,imputed from 197,
1998-03-02,Monday,69.328125,1.4677,101.7528890625,,
1998-03-03,Tuesday,69.1875,1.4692,101.65027500000001,,
1998-03-04,Wednesday,69.21875,1.4801,102.450671875,,
1998-03-05,Thursday,69.2265625,1.4923,103.30679921875,,
1998-03-06,Friday,69.34375,1.4905,103.356859375,,start
1998-03-07,Saturday,,,103.356859375,imputed from 203,
1998-03-08,Sunday,,,103.356859375,imputed from 204,
1998-03-09,Monday,69.453125,1.4868,103.26290624999999,,
1998-03-10,Tuesday,69.4765625,1.49,103.520078125,,
1998-03-11,Wednesday,69.5546875,1.49,103.636484375,,
1998-03-12,Thursday,69.7265625,1.4865,103.64853515624999,,
1998-03-13,Friday,69.6953125,1.475,102.8005859375,,start
1998-03-14,Saturday,,,102.8005859375,imputed from 210,
1998-03-15,Sunday,,,102.8005859375,imputed from 211,
1998-03-16,Monday,69.8125,1.4799,103.31551875,,
1998-03-17,Tuesday,69.7890625,1.4805,103.32270703124999,,
1998-03-18,Wednesday,69.7265625,1.4918,104.0180859375,,
1998-03-19,Thursday,69.6953125,1.4965,104.29903515625,,
1998-03-20,Friday,69.703125,1.4985,104.4501328125,,start
1998-03-21,Saturday,,,104.4501328125,imputed from 217,
1998-03-22,Sunday,,,104.4501328125,imputed from 218,
1998-03-23,Monday,69.703125,1.4887,103.7670421875,,
1998-03-24,Tuesday,69.6796875,1.4903,103.84363828125,,
1998-03-25,Wednesday,69.484375,1.4938,103.795759375,,
1998-03-26,Thursday,69.375,1.4876,103.20225,,
1998-03-27,Friday,69.3046875,1.4981,103.82535234375,,start
1998-03-28,Saturday,,,103.82535234375,imputed from 224,
1998-03-29,Sunday,,,103.82535234375,imputed from 225,
1998-03-30,Monday,69.21875,1.5232,105.43400000000001,,
1998-03-31,Tuesday,69.40625,1.5223,105.657134375,,
1998-04-01,Wednesday,69.546875,1.5329,106.6084046875,,
1998-04-02,Thursday,69.6640625,1.5332,106.80894062499999,,
1998-04-03,Friday,69.9609375,1.5266,106.8023671875,,start
1998-04-04,Saturday,,,106.8023671875,imputed from 231,
1998-04-05,Sunday,,,106.8023671875,imputed from 232,
1998-04-06,Monday,69.8515625,1.5271,106.67032109374999,,
1998-04-07,Tuesday,69.8125,1.5248,106.45009999999999,,
1998-04-08,Wednesday,69.7109375,1.5078,105.11015156250001,,
1998-04-09,Thursday,69.671875,1.5168,105.6783,,
1998-04-10,Friday,69.671875,1.5152,105.56682500000001,imputed from 237,start
1998-04-11,Saturday,,,105.56682500000001,imputed from 238,
1998-04-12,Sunday,,,105.56682500000001,imputed from 239,
1998-04-13,Monday,69.4765625,1.5102,104.9235046875,,
1998-04-14,Tuesday,69.5625,1.4928,103.8429,,
1998-04-15,Wednesday,69.6171875,1.4961,104.15427421875,,
1998-04-16,Thursday,69.65625,1.5036,104.73513750000001,,
1998-04-17,Friday,69.65625,1.4995,104.44954687500001,,start
1998-04-18,Saturday,,,104.44954687500001,imputed from 245,
1998-04-19,Sunday,,,104.44954687500001,imputed from 246,
1998-04-20,Monday,69.5546875,1.4976,104.16510000000001,,
1998-04-21,Tuesday,69.4375,1.4821,102.91331875,,
1998-04-22,Wednesday,69.4375,1.4867,103.23273125,,
1998-04-23,Thursday,69.421875,1.4892,103.38305625000001,,
1998-04-24,Friday,69.4765625,1.4915,103.62429296875,,start
1998-04-25,Saturday,,,103.62429296875,imputed from 252,
1998-04-26,Sunday,,,103.62429296875,imputed from 253,
1998-04-27,Monday,69.0859375,1.4866,102.70315468749999,,
1998-04-28,Tuesday,69.0859375,1.4938,103.2005734375,,
1998-04-29,Wednesday,69.0625,1.4983,103.47634375,,
1998-04-30,Thursday,69.4140625,1.5013,104.21133203125001,,
1998-05-01,Friday,69.453125,1.4923,103.6448984375,,start
1998-05-02,Saturday,,,103.6448984375,imputed from 259,
1998-05-03,Sunday,,,103.6448984375,imputed from 260,
1998-05-04,Monday,69.453125,1.4898,103.471265625,,
1998-05-05,Tuesday,69.3828125,1.4788,102.603303125,,
1998-05-06,Wednesday,69.515625,1.4733,102.4173703125,,
1998-05-07,Thursday,69.515625,1.4729,102.3895640625,,
1998-05-08,Friday,69.40625,1.4816,102.8323,,start
1998-05-09,Saturday,,,102.8323,imputed from 266,
1998-05-10,Sunday,,,102.8323,imputed from 267,
1998-05-11,Monday,69.203125,1.4848,102.7528,,
1998-05-12,Tuesday,69.421875,1.4808,102.79991249999999,,
1998-05-13,Wednesday,69.4375,1.4806,102.8091625,,
1998-05-14,Thursday,69.34375,1.4805,102.663421875,,
1998-05-15,Friday,69.328125,1.4868,103.07705625,,start
1998-05-16,Saturday,,,103.07705625,imputed from 273,
1998-05-17,Sunday,,,103.07705625,imputed from 274,
1998-05-18,Monday,69.421875,1.4855,103.1261953125,,
1998-05-19,Tuesday,69.421875,1.4798,102.730490625,,
1998-05-20,Wednesday,69.515625,1.477,102.67457812500001,,
1998-05-21,Thursday,69.3671875,1.4643,101.57437265624999,,
1998-05-22,Friday,69.40625,1.4656,101.7218,,start
1998-05-23,Saturday,,,101.7218,imputed from 280,
1998-05-24,Sunday,,,101.7218,imputed from 281,
1998-05-25,Monday,,1.4721,101.7218,imputed from 282,
1998-05-26,Tuesday,69.515625,1.4705,102.2227265625,,
1998-05-27,Wednesday,69.625,1.4743,102.64813749999999,,
1998-05-28,Thursday,69.5625,1.4751,102.61164375,,
1998-05-29,Friday,69.6015625,1.4831,103.22607734375,,start
1998-05-30,Saturday,,,103.22607734375,imputed from 287,
1998-05-31,Sunday,,,103.22607734375,imputed from 288,
1998-06-01,Monday,69.6796875,1.4765,102.88205859374999,,
1998-06-02,Tuesday,69.625,1.4798,103.031075,,
1998-06-03,Wednesday,69.5859375,1.4746,102.6114234375,,
1998-06-04,Thursday,69.515625,1.4708,102.24358125,,
1998-06-05,Friday,69.5234375,1.478,102.755640625,,start
1998-06-06,Saturday,,,102.755640625,imputed from 294,
1998-06-07,Sunday,,,102.755640625,imputed from 295,
1998-06-08,Monday,69.5234375,1.4795,102.85992578125,,
1998-06-09,Tuesday,69.515625,1.4773,102.6954328125,,
1998-06-10,Wednesday,69.6640625,1.4847,103.43023359374999,,
1998-06-11,Thursday,69.953125,1.496,104.649875,,
1998-06-12,Friday,70.0546875,1.4977,104.92090546875001,,start
1998-06-13,Saturday,,,104.92090546875001,imputed from 301,
1998-06-14,Sunday,,,104.92090546875001,imputed from 302,
1998-06-15,Monday,70.1015625,1.5058,105.5589328125,,
1998-06-16,Tuesday,69.890625,1.4966,104.598309375,,
1998-06-17,Wednesday,69.671875,1.4888,103.7274875,,
1998-06-18,Thursday,69.7421875,1.4961,104.34128671875,,
1998-06-19,Friday,69.8203125,1.4949,104.37438515625,,start
1998-06-20,Saturday,,,104.37438515625,imputed from 308,
1998-06-21,Sunday,,,104.37438515625,imputed from 309,
1998-06-22,Monday,69.8515625,1.4967,104.54683359375,,
1998-06-23,Tuesday,69.8828125,1.505,105.17363281249999,,
1998-06-24,Wednesday,69.8515625,1.508,105.33615625,,
1998-06-25,Thursday,69.8046875,1.5167,105.87276953125,,
1998-06-26,Friday,69.8125,1.526,106.533875,,start
1998-06-27,Saturday,,,106.533875,imputed from 315,
1998-06-28,Sunday,,,106.533875,imputed from 316,
1998-06-29,Monday,69.8046875,1.5235,106.34744140625,,
1998-06-30,Tuesday,69.890625,1.5203,106.25471718749999,,
1998-07-01,Wednesday,69.96875,1.5278,106.89825625,,
1998-07-02,Thursday,70.0,1.532,107.24000000000001,,
1998-07-03,Friday,70.0,1.5305,107.13499999999999,imputed from 321,start
1998-07-04,Saturday,,,107.13499999999999,imputed from 322,
1998-07-05,Sunday,,,107.13499999999999,imputed from 323,
1998-07-06,Monday,70.0703125,1.5233,106.73810703125001,,
1998-07-07,Tuesday,70.0,1.528,106.96000000000001,,
1998-07-08,Wednesday,70.0,1.5287,107.009,,
1998-07-09,Thursday,70.1015625,1.5415,108.06155859375001,,
1998-07-10,Friday,70.09375,1.5378,107.79016875,,start
1998-07-11,Saturday,,,107.79016875,imputed from 329,
1998-07-12,Sunday,,,107.79016875,imputed from 330,
1998-07-13,Monday,69.953125,1.5182,106.202834375,,
1998-07-14,Tuesday,69.8984375,1.5198,106.2316453125,,
1998-07-15,Wednesday,69.921875,1.5103,105.6030078125,,
1998-07-16,Thursday,69.84375,1.5038,105.03103125,,
1998-07-17,Friday,69.84375,1.5028,104.9611875,,start
1998-07-18,Saturday,,,104.9611875,imputed from 336,
1998-07-19,Sunday,,,104.9611875,imputed from 337,
1998-07-20,Monday,69.8984375,1.5056,105.2390875,,
1998-07-21,Tuesday,69.8984375,1.5108,105.602559375,,
1998-07-22,Wednesday,69.8828125,1.5111,105.59991796875,,
1998-07-23,Thursday,69.9140625,1.5048,105.20668124999999,,
1998-07-24,Friday,69.875,1.4976,104.6448,,start
1998-07-25,Saturday,,,104.6448,imputed from 343,
1998-07-26,Sunday,,,104.6448,imputed from 344,
1998-07-27,Monday,69.859375,1.5046,105.110415625,,
1998-07-28,Tuesday,69.8515625,1.4891,104.01596171875,,
1998-07-29,Wednesday,69.75,1.4845,103.543875,,
