date,weekday,GC1_Comdty_PX-LAST-CHF,imputed,GC1_Comdty_start
1997-08-15,Friday,1000.53717,,start
1997-08-16,Saturday,1000.53717,imputed from 0,
1997-08-17,Sunday,1000.53717,imputed from 1,
1997-08-18,Monday,989.52569,,
1997-08-19,Tuesday,999.91943,,
1997-08-20,Wednesday,1000.2757,,
1997-08-21,Thursday,999.56804,,
1997-08-22,Friday,994.75981,,start
1997-08-23,Saturday,994.75981,imputed from 7,
1997-08-24,Sunday,994.75981,imputed from 8,
1997-08-25,Monday,991.98404,,
1997-08-26,Tuesday,986.35778,,
1997-08-27,Wednesday,992.32222,,
1997-08-28,Thursday,978.05283,,
1997-08-29,Friday,986.85503,,start
1997-08-30,Saturday,986.85503,imputed from 14,
1997-08-31,Sunday,986.85503,imputed from 15,
1997-09-01,Monday,986.85503,imputed from 16,
1997-09-02,Tuesday,989.27916,,
1997-09-03,Wednesday,984.451,,
1997-09-04,Thursday,979.69997,,
1997-09-05,Friday,970.59232,,start
1997-09-06,Saturday,970.59232,imputed from 21,
1997-09-07,Sunday,970.59232,imputed from 22,
1997-09-08,Monday,974.06917,,
1997-09-09,Tuesday,975.11582,,
1997-09-10,Wednesday,968.63251,,
1997-09-11,Thursday,972.7072,,
1997-09-12,Friday,966.93043,,start
1997-09-13,Saturday,966.93043,imputed from 28,
1997-09-14,Sunday,966.93043,imputed from 29,
1997-09-15,Monday,947.37001,,
1997-09-16,Tuesday,946.36952,,
1997-09-17,Wednesday,953.06874,,
1997-09-18,Thursday,956.51092,,
1997-09-19,Friday,953.55221,,start
1997-09-20,Saturday,953.55221,imputed from 35,
1997-09-21,Sunday,953.55221,imputed from 36,
1997-09-22,Monday,962.88796,,
1997-09-23,Tuesday,964.17933,,
1997-09-24,Wednesday,959.4186,,
1997-09-25,Thursday,967.89147,,
1997-09-26,Friday,965.08611,,start
1997-09-27,Saturday,965.08611,imputed from 42,
1997-09-28,Sunday,965.08611,imputed from 43,
1997-09-29,Monday,968.39314,,
1997-09-30,Tuesday,985.67764,,
1997-10-01,Wednesday,989.98077,,
1997-10-02,Thursday,979.42994,,
1997-10-03,Friday,983.97879,,start
1997-10-04,Saturday,983.97879,imputed from 49,
1997-10-05,Sunday,983.97879,imputed from 50,
1997-10-06,Monday,978.94847,,
1997-10-07,Tuesday,972.52313,,
1997-10-08,Wednesday,979.30569,,
1997-10-09,Thursday,966.0712,,
1997-10-10,Friday,972.74206,,start
1997-10-11,Saturday,972.74206,imputed from 56,
1997-10-12,Sunday,972.74206,imputed from 57,
1997-10-13,Monday,972.68808,,
1997-10-14,Tuesday,970.01783,,
1997-10-15,Wednesday,967.7404,,
1997-10-16,Thursday,960.21466,,
1997-10-17,Friday,970.88718,,start
1997-10-18,Saturday,970.88718,imputed from 63,
1997-10-19,Sunday,970.88718,imputed from 64,
1997-10-20,Monday,965.08244,,
1997-10-21,Tuesday,973.2534,,
1997-10-22,Wednesday,965.69425,,
1997-10-23,Thursday,959.28385,,
1997-10-24,Friday,912.34096,,start
1997-10-25,Saturday,912.34096,imputed from 70,
1997-10-26,Sunday,912.34096,imputed from 71,
1997-10-27,Monday,915.46853,,
1997-10-28,Tuesday,906.84093,,
1997-10-29,Wednesday,898.41417,,
1997-10-30,Thursday,898.1618,,
1997-10-31,Friday,880.51043,,start
1997-11-01,Saturday,880.51043,imputed from 77,
1997-11-02,Sunday,880.51043,imputed from 78,
1997-11-03,Monday,894.22872,,
