date,weekday,IH1_Index_PX-LAST-CHF,imputed,IH1_Index_start
2000-09-26,Tuesday,,,excluded
2000-09-27,Wednesday,,,excluded
2000-09-28,Thursday,,,excluded
2000-09-29,Friday,3553.54808,,start
2000-09-30,Saturday,3553.54808,imputed from 3,
2000-10-01,Sunday,3553.54808,imputed from 4,
2000-10-02,Monday,3553.54808,imputed from 5,
2000-10-03,Tuesday,3582.81467,,
2000-10-04,Wednesday,3626.43977,,
2000-10-05,Thursday,3616.63685,,
2000-10-06,Friday,3621.96233,,start
2000-10-07,Saturday,3621.96233,imputed from 10,
2000-10-08,Sunday,3621.96233,imputed from 11,
2000-10-09,Monday,3611.28862,,
2000-10-10,Tuesday,3451.60918,,
2000-10-11,Wednesday,3194.29156,,
2000-10-12,Thursday,3310.1037,,
2000-10-13,Friday,3258.92325,,start
2000-10-14,Saturday,3258.92325,imputed from 17,
2000-10-15,Sunday,3258.92325,imputed from 18,
2000-10-16,Monday,3298.1208,,
2000-10-17,Tuesday,3282.45886,,
2000-10-18,Wednesday,3256.15441,,
2000-10-19,Thursday,3356.04252,,
2000-10-20,Friday,3406.70965,,start
2000-10-21,Saturday,3406.70965,imputed from 24,
2000-10-22,Sunday,3406.70965,imputed from 25,
2000-10-23,Monday,3376.79294,,
2000-10-24,Tuesday,3407.95489,,
2000-10-25,Wednesday,3506.43201,,
2000-10-26,Thursday,3506.43201,imputed from 29,
2000-10-27,Friday,3466.8988,,start
2000-10-28,Saturday,3466.8988,imputed from 31,
2000-10-29,Sunday,3466.8988,imputed from 32,
2000-10-30,Monday,3433.53758,,
2000-10-31,Tuesday,3433.7291,,
2000-11-01,Wednesday,3474.5246,,
2000-11-02,Thursday,3547.97855,,
2000-11-03,Friday,3562.59639,,start
2000-11-04,Saturday,3562.59639,imputed from 38,
2000-11-05,Sunday,3562.59639,imputed from 39,
2000-11-06,Monday,3584.70136,,
2000-11-07,Tuesday,3595.63795,,
2000-11-08,Wednesday,3727.99261,,
2000-11-09,Thursday,3625.77118,,
2000-11-10,Friday,3554.41899,,start
2000-11-11,Saturday,3554.41899,imputed from 45,
2000-11-12,Sunday,3554.41899,imputed from 46,
2000-11-13,Monday,3442.442,,
2000-11-14,Tuesday,3663.83892,,
2000-11-15,Wednesday,3595.88565,,
2000-11-16,Thursday,3550.86654,,
2000-11-17,Friday,3597.63681,,start
2000-11-18,Saturday,3597.63681,imputed from 52,
2000-11-19,Sunday,3597.63681,imputed from 53,
2000-11-20,Monday,3595.06912,,
2000-11-21,Tuesday,3594.09399,,
2000-11-22,Wednesday,3581.71389,,
2000-11-23,Thursday,3592.85915,,
2000-11-24,Friday,3614.57341,,start
2000-11-25,Saturday,3614.57341,imputed from 59,
2000-11-26,Sunday,3614.57341,imputed from 60,
2000-11-27,Monday,3639.96002,,
2000-11-28,Tuesday,3662.2587,,
2000-11-29,Wednesday,3614.72711,,
2000-11-30,Thursday,3551.43815,,
2000-12-01,Friday,3568.87769,,start
2000-12-02,Saturday,3568.87769,imputed from 66,
2000-12-03,Sunday,3568.87769,imputed from 67,
2000-12-04,Monday,3548.75093,,
2000-12-05,Tuesday,3595.32119,,
2000-12-06,Wednesday,3609.0687,,
2000-12-07,Thursday,3582.02047,,
2000-12-08,Friday,3622.08447,,start
2000-12-09,Saturday,3622.08447,imputed from 73,
2000-12-10,Sunday,3622.08447,imputed from 74,
2000-12-11,Monday,3706.26362,,
2000-12-12,Tuesday,3721.20913,,
2000-12-13,Wednesday,3780.50899,,
2000-12-14,Thursday,3713.66966,,
2000-12-15,Friday,3606.26929,,start
2000-12-16,Saturday,3606.26929,imputed from 80,
2000-12-17,Sunday,3606.26929,imputed from 81,
2000-12-18,Monday,3602.8285,,
2000-12-19,Tuesday,3603.08072,,
2000-12-20,Wednesday,3538.4893,,
2000-12-21,Thursday,3484.05473,,
2000-12-22,Friday,3357.97977,,start
2000-12-23,Saturday,3357.97977,imputed from 87,
2000-12-24,Sunday,3357.97977,imputed from 88,
2000-12-25,Monday,3357.97977,imputed from 89,
2000-12-26,Tuesday,3246.72569,,
2000-12-27,Wednesday,3318.20645,,
2000-12-28,Thursday,3354.57866,,
2000-12-29,Friday,3359.03188,,start
2000-12-30,Saturday,3359.03188,imputed from 94,
2000-12-31,Sunday,3359.03188,imputed from 95,
2001-01-01,Monday,3359.03188,imputed from 96,
2001-01-02,Tuesday,3408.44517,,
2001-01-03,Wednesday,3399.92957,,
2001-01-04,Thursday,3491.04044,,
2001-01-05,Friday,3479.90234,,start
2001-01-06,Saturday,3479.90234,imputed from 101,
2001-01-07,Sunday,3479.90234,imputed from 102,
2001-01-08,Monday,3474.82643,,
2001-01-09,Tuesday,3497.71291,,
2001-01-10,Wednesday,3452.23925,,
2001-01-11,Thursday,3423.25308,,
2001-01-12,Friday,3424.12457,,start
2001-01-13,Saturday,3424.12457,imputed from 108,
2001-01-14,Sunday,3424.12457,imputed from 109,
2001-01-15,Monday,3459.03223,,
2001-01-16,Tuesday,3498.84637,,
2001-01-17,Wednesday,3539.77328,,
2001-01-18,Thursday,3460.11984,,
2001-01-19,Friday,3515.56454,,start
2001-01-20,Saturday,3515.56454,imputed from 115,
2001-01-21,Sunday,3515.56454,imputed from 116,
2001-01-22,Monday,3616.62328,,
2001-01-23,Tuesday,3671.75806,,
2001-01-24,Wednesday,3746.37414,,
2001-01-25,Thursday,3768.18909,,
2001-01-26,Friday,3768.18909,imputed from 121,start
2001-01-27,Saturday,3768.18909,imputed from 122,
2001-01-28,Sunday,3768.18909,imputed from 123,
2001-01-29,Monday,3704.5816,,
2001-01-30,Tuesday,3718.62319,,
2001-01-31,Wednesday,3697.02048,,
2001-02-01,Thursday,3665.2569,,
2001-02-02,Friday,3716.36318,,start
2001-02-03,Saturday,3716.36318,imputed from 129,
2001-02-04,Sunday,3716.36318,imputed from 130,
2001-02-05,Monday,3769.27915,,
2001-02-06,Tuesday,3824.98351,,
2001-02-07,Wednesday,3755.44087,,
2001-02-08,Thursday,3878.90305,,
2001-02-09,Friday,3875.85979,,start
2001-02-10,Saturday,3875.85979,imputed from 136,
2001-02-11,Sunday,3875.85979,imputed from 137,
2001-02-12,Monday,3864.79032,,
2001-02-13,Tuesday,3850.55567,,
2001-02-14,Wednesday,3873.33392,,
2001-02-15,Thursday,3994.68153,,
2001-02-16,Friday,3843.93834,,start
2001-02-17,Saturday,3843.93834,imputed from 143,
2001-02-18,Sunday,3843.93834,imputed from 144,
2001-02-19,Monday,3850.8267,,
2001-02-20,Tuesday,3890.22463,,
2001-02-21,Wednesday,3854.84602,,
2001-02-22,Thursday,3828.45976,,
2001-02-23,Friday,3731.26091,,start
2001-02-24,Saturday,3731.26091,imputed from 150,
