date,weekday,IK1_Comdty_PX-LAST,IK1_Comdty_CURRENCY-EUR,IK1_Comdty_PX-LAST-CHF,imputed,IK1_Comdty_start
2009-09-15,Tuesday,,1.51684,,,excluded
2009-09-16,Wednesday,,1.518,,,excluded
2009-09-17,Thursday,,1.51596,,,excluded
2009-09-18,Friday,61.98,1.51465,93.878007,,start
2009-09-19,Saturday,,,93.878007,imputed from 3,
2009-09-20,Sunday,,,93.878007,imputed from 4,
2009-09-21,Monday,61.85,1.5154,93.72749,,
2009-09-22,Tuesday,61.81,1.5143,93.598883,,
2009-09-23,Wednesday,61.8,1.51292,93.498456,,
2009-09-24,Thursday,62.12,1.50985,93.79188199999999,,
2009-09-25,Friday,62.3,1.50935,94.032505,,start
2009-09-26,Saturday,,,94.032505,imputed from 10,
2009-09-27,Sunday,,,94.032505,imputed from 11,
2009-09-28,Monday,62.29,1.50972,94.0404588,,
2009-09-29,Tuesday,62.31,1.5114,94.175334,,
2009-09-30,Wednesday,62.29,1.51675,94.4783575,,
2009-10-01,Thursday,62.26,1.51392,94.25665919999999,,
2009-10-02,Friday,62.53,1.50913,94.3658989,,start
2009-10-03,Saturday,,,94.3658989,imputed from 17,
2009-10-04,Sunday,,,94.3658989,imputed from 18,
2009-10-05,Monday,62.67,1.51212,94.7645604,,
2009-10-06,Tuesday,62.62,1.51171,94.6632802,,
2009-10-07,Wednesday,62.83,1.51751,95.34515329999999,,
2009-10-08,Thursday,62.92,1.51772,95.4949424,,
2009-10-09,Friday,62.61,1.51944,95.13213839999999,,start
2009-10-10,Saturday,,,95.13213839999999,imputed from 24,
2009-10-11,Sunday,,,95.13213839999999,imputed from 25,
2009-10-12,Monday,62.66,1.51715,95.064619,,
2009-10-13,Tuesday,62.59,1.51754,94.9828286,,
2009-10-14,Wednesday,62.37,1.51505,94.4936685,,
2009-10-15,Thursday,62.06,1.51645,94.110887,,
2009-10-16,Friday,62.15,1.51775,94.32816249999999,,start
2009-10-17,Saturday,,,94.32816249999999,imputed from 31,
2009-10-18,Sunday,,,94.32816249999999,imputed from 32,
2009-10-19,Monday,62.21,1.51352,94.1560792,,
2009-10-20,Tuesday,62.52,1.51183,94.5196116,,
2009-10-21,Wednesday,62.24,1.51044,94.0097856,,
2009-10-22,Thursday,62.28,1.51015,94.052142,,
2009-10-23,Friday,62.1,1.51392,94.014432,,start
2009-10-24,Saturday,,,94.014432,imputed from 38,
2009-10-25,Sunday,,,94.014432,imputed from 39,
2009-10-26,Monday,62.15,1.51449,94.1255535,,
2009-10-27,Tuesday,62.57,1.5127,94.649639,,
2009-10-28,Wednesday,62.64,1.51046,94.6152144,,
2009-10-29,Thursday,62.38,1.51058,94.2299804,,
2009-10-30,Friday,62.72,1.51079,94.7567488,,start
2009-10-31,Saturday,,,94.7567488,imputed from 45,
2009-11-01,Sunday,,,94.7567488,imputed from 46,
2009-11-02,Monday,62.79,1.5097,94.79406300000001,,
2009-11-03,Tuesday,62.71,1.51055,94.7265905,,
2009-11-04,Wednesday,62.57,1.51025,94.49634250000001,,
2009-11-05,Thursday,62.53,1.5113,94.50158900000001,,
