date,weekday,JB1_Comdty_PX-LAST,JB1_Comdty_CURRENCY-JPY,JB1_Comdty_PX-LAST-CHF,imputed,JB1_Comdty_start
1997-08-15,Friday,88.98,1.2804,1.13929992,,start
1997-08-16,Saturday,,,1.13929992,imputed from 0,
1997-08-17,Sunday,,,1.13929992,imputed from 1,
1997-08-18,Monday,89.06,1.2852,1.1445991199999999,,
1997-08-19,Tuesday,89.18,1.281,1.1423958,,
1997-08-20,Wednesday,89.27,1.2953,1.15631431,,
1997-08-21,Thursday,89.28,1.2907,1.15233696,,
1997-08-22,Friday,89.32,1.2683,1.13284556,,start
1997-08-23,Saturday,,,1.13284556,imputed from 7,
1997-08-24,Sunday,,,1.13284556,imputed from 8,
1997-08-25,Monday,89.39,1.2613,1.12747607,,
1997-08-26,Tuesday,89.51,1.2571,1.1252302100000002,,
1997-08-27,Wednesday,89.29,1.2577,1.1230003300000002,,
1997-08-28,Thursday,89.48,1.2453,1.11429444,,
1997-08-29,Friday,89.53,1.2332,1.10408396,,start
1997-08-30,Saturday,,,1.10408396,imputed from 14,
1997-08-31,Sunday,,,1.10408396,imputed from 15,
1997-09-01,Monday,89.63,1.2348,1.10675124,,
1997-09-02,Tuesday,89.79,1.2402,1.11357558,,
1997-09-03,Wednesday,89.65,1.244,1.115246,,
1997-09-04,Thursday,89.41,1.237,1.1060017,,
1997-09-05,Friday,89.38,1.2197,1.09016786,,start
1997-09-06,Saturday,,,1.09016786,imputed from 21,
1997-09-07,Sunday,,,1.09016786,imputed from 22,
1997-09-08,Monday,89.38,1.2246,1.09454748,,
1997-09-09,Tuesday,89.24,1.252,1.1172848,,
1997-09-10,Wednesday,89.38,1.2409,1.1091164199999999,,
1997-09-11,Thursday,89.29,1.2321,1.10014209,,
1997-09-12,Friday,89.58,1.2083,1.0823951399999998,,start
1997-09-13,Saturday,,,1.0823951399999998,imputed from 28,
1997-09-14,Sunday,,,1.0823951399999998,imputed from 29,
1997-09-15,Monday,,1.2026,1.0823951399999998,imputed from 30,
1997-09-16,Tuesday,89.79,1.1972,1.0749658800000002,,
1997-09-17,Wednesday,89.87,1.2083,1.08589921,,
1997-09-18,Thursday,89.79,1.2036,1.08071244,,
1997-09-19,Friday,89.79,1.1966,1.0744271400000003,,start
1997-09-20,Saturday,,,1.0744271400000003,imputed from 35,
1997-09-21,Sunday,,,1.0744271400000003,imputed from 36,
1997-09-22,Monday,90.06,1.2064,1.0864838399999999,,
1997-09-23,Tuesday,,1.2081,1.0864838399999999,imputed from 38,
1997-09-24,Wednesday,90.1,1.2117,1.0917416999999998,,
1997-09-25,Thursday,90.33,1.1975,1.08170175,,
1997-09-26,Friday,90.44,1.1968,1.0823859200000001,,start
1997-09-27,Saturday,,,1.0823859200000001,imputed from 42,
1997-09-28,Sunday,,,1.0823859200000001,imputed from 43,
1997-09-29,Monday,90.77,1.203,1.0919631,,
1997-09-30,Tuesday,90.53,1.2026,1.08871378,,
1997-10-01,Wednesday,91.08,1.2079,1.1001553199999998,,
1997-10-02,Thursday,91.08,1.197,1.0902276,,
1997-10-03,Friday,90.7,1.1873,1.0768811,,start
1997-10-04,Saturday,,,1.0768811,imputed from 49,
1997-10-05,Sunday,,,1.0768811,imputed from 50,
1997-10-06,Monday,90.97,1.1869,1.07972293,,
1997-10-07,Tuesday,91.38,1.1818,1.07992884,,
1997-10-08,Wednesday,91.21,1.1915,1.0867671499999998,,
1997-10-09,Thursday,90.79,1.2014,1.09075106,,
1997-10-10,Friday,90.79,1.2144,1.10255376,imputed from 55,start
1997-10-11,Saturday,,,1.10255376,imputed from 56,
1997-10-12,Sunday,,,1.10255376,imputed from 57,
1997-10-13,Monday,91.01,1.2109,1.10204009,,
1997-10-14,Tuesday,90.87,1.2008,1.0911669600000002,,
1997-10-15,Wednesday,90.92,1.2051,1.09567692,,
1997-10-16,Thursday,90.72,1.217,1.1040624,,
1997-10-17,Friday,90.96,1.2203,1.1099848799999998,,start
1997-10-18,Saturday,,,1.1099848799999998,imputed from 63,
1997-10-19,Sunday,,,1.1099848799999998,imputed from 64,
1997-10-20,Monday,91.22,1.2149,1.10823178,,
1997-10-21,Tuesday,91.24,1.2314,1.12352936,,
1997-10-22,Wednesday,91.27,1.2265,1.1194265499999998,,
1997-10-23,Thursday,91.39,1.2079,1.10389981,,
1997-10-24,Friday,91.48,1.2081,1.10516988,,start
1997-10-25,Saturday,,,1.10516988,imputed from 70,
1997-10-26,Sunday,,,1.10516988,imputed from 71,
1997-10-27,Monday,91.7,1.1826,1.0844442,,
1997-10-28,Tuesday,91.9,1.1831,1.0872689000000002,,
1997-10-29,Wednesday,91.77,1.1689,1.07269953,,
1997-10-30,Thursday,92.03,1.1638,1.0710451399999998,,
1997-10-31,Friday,91.93,1.1617,1.0679508100000001,,start
1997-11-01,Saturday,,,1.0679508100000001,imputed from 77,
1997-11-02,Sunday,,,1.0679508100000001,imputed from 78,
1997-11-03,Monday,,1.164,1.0679508100000001,imputed from 79,
1997-11-04,Tuesday,91.93,1.1515,1.0585739500000002,,
1997-11-05,Wednesday,92.03,1.1401,1.04923403,,
1997-11-06,Thursday,91.96,1.145,1.0529419999999998,,
1997-11-07,Friday,92.03,1.1213,1.03193239,,start
1997-11-08,Saturday,,,1.03193239,imputed from 84,
1997-11-09,Sunday,,,1.03193239,imputed from 85,
1997-11-10,Monday,91.73,1.1154,1.02315642,,
1997-11-11,Tuesday,91.58,1.1151,1.02120858,,
1997-11-12,Wednesday,91.29,1.1007,1.00482903,,
1997-11-13,Thursday,91.96,1.1146,1.02498616,,
1997-11-14,Friday,91.76,1.1211,1.02872136,,start
1997-11-15,Saturday,,,1.02872136,imputed from 91,
1997-11-16,Sunday,,,1.02872136,imputed from 92,
1997-11-17,Monday,91.39,1.1214,1.02484746,,
1997-11-18,Tuesday,91.39,1.1138,1.0179018199999998,,
1997-11-19,Wednesday,91.34,1.1055,1.0097637,,
1997-11-20,Thursday,91.24,1.1212,1.0229828799999998,,
1997-11-21,Friday,91.26,1.1159,1.01837034,,start
1997-11-22,Saturday,,,1.01837034,imputed from 98,
1997-11-23,Sunday,,,1.01837034,imputed from 99,
1997-11-24,Monday,,1.1076,1.01837034,imputed from 100,
1997-11-25,Tuesday,91.79,1.1089,1.01785931,,
1997-11-26,Wednesday,91.65,1.1159,1.02272235,,
1997-11-27,Thursday,91.51,1.1219,1.02665069,,
1997-11-28,Friday,91.58,1.1155,1.0215749,,start
1997-11-29,Saturday,,,1.0215749,imputed from 105,
1997-11-30,Sunday,,,1.0215749,imputed from 106,
1997-12-01,Monday,91.7,1.1143,1.0218131000000001,,
1997-12-02,Tuesday,91.66,1.1145,1.0215507,,
1997-12-03,Wednesday,92.0,1.1094,1.020648,,
1997-12-04,Thursday,92.17,1.1061,1.01949237,,
1997-12-05,Friday,91.79,1.1062,1.0153809800000002,,start
1997-12-06,Saturday,,,1.0153809800000002,imputed from 112,
1997-12-07,Sunday,,,1.0153809800000002,imputed from 113,
1997-12-08,Monday,91.79,1.1169,1.02520251,,
1997-12-09,Tuesday,91.21,1.1209,1.02237289,,
1997-12-10,Wednesday,91.43,1.1178,1.02200454,,
1997-12-11,Thursday,91.63,1.0968,1.00499784,,
1997-12-12,Friday,91.39,1.1028,1.00784892,,start
1997-12-13,Saturday,,,1.00784892,imputed from 119,
1997-12-14,Sunday,,,1.00784892,imputed from 120,
1997-12-15,Monday,91.54,1.0956,1.00291224,,
1997-12-16,Tuesday,91.43,1.1018,1.0073757399999999,,
1997-12-17,Wednesday,91.01,1.1293,1.02777593,,
1997-12-18,Thursday,91.38,1.1177,1.0213542599999998,,
1997-12-19,Friday,91.39,1.1094,1.0138806599999999,,start
1997-12-20,Saturday,,,1.0138806599999999,imputed from 126,
1997-12-21,Sunday,,,1.0138806599999999,imputed from 127,
1997-12-22,Monday,91.43,1.1053,1.01057579,,
1997-12-23,Tuesday,,1.1067,1.01057579,imputed from 129,
1997-12-24,Wednesday,91.5,1.1038,1.009977,,
1997-12-25,Thursday,91.43,1.1023,1.0078328900000002,,
1997-12-26,Friday,91.49,1.0979,1.00446871,,start
1997-12-27,Saturday,,,1.00446871,imputed from 133,
1997-12-28,Sunday,,,1.00446871,imputed from 134,
1997-12-29,Monday,91.5,1.1193,1.0241595,,
1997-12-30,Tuesday,91.43,1.1178,1.02200454,,
1997-12-31,Wednesday,,1.1195,1.02200454,imputed from 137,
1998-01-01,Thursday,,1.1176,1.02200454,imputed from 138,
1998-01-02,Friday,91.43,1.1109,1.01569587,imputed from 137,start
1998-01-03,Saturday,,,1.01569587,imputed from 140,
1998-01-04,Sunday,,,1.01569587,imputed from 141,
1998-01-05,Monday,91.82,1.1093,1.0185592599999997,,
1998-01-06,Tuesday,92.01,1.1078,1.0192867799999998,,
1998-01-07,Wednesday,91.92,1.1182,1.02784944,,
1998-01-08,Thursday,91.71,1.1128,1.02054888,,
1998-01-09,Friday,91.74,1.1186,1.0262036399999999,,start
1998-01-10,Saturday,,,1.0262036399999999,imputed from 147,
1998-01-11,Sunday,,,1.0262036399999999,imputed from 148,
1998-01-12,Monday,91.91,1.1142,1.02406122,,
1998-01-13,Tuesday,91.81,1.1248,1.03267888,,
1998-01-14,Wednesday,91.77,1.133,1.0397541,,
1998-01-15,Thursday,,1.1529,1.0397541,imputed from 152,
1998-01-16,Friday,91.45,1.1583,1.0592653500000002,,start
1998-01-17,Saturday,,,1.0592653500000002,imputed from 154,
1998-01-18,Sunday,,,1.0592653500000002,imputed from 155,
1998-01-19,Monday,91.36,1.1582,1.0581315199999999,,
1998-01-20,Tuesday,91.29,1.1656,1.06407624,,
1998-01-21,Wednesday,90.88,1.1618,1.0558438399999999,,
1998-01-22,Thursday,91.1,1.1537,1.0510206999999998,,
1998-01-23,Friday,90.58,1.146,1.0380467999999998,,start
1998-01-24,Saturday,,,1.0380467999999998,imputed from 161,
1998-01-25,Sunday,,,1.0380467999999998,imputed from 162,
1998-01-26,Monday,90.56,1.1491,1.0406249600000002,,
1998-01-27,Tuesday,90.58,1.1566,1.04764828,,
1998-01-28,Wednesday,90.49,1.172,1.0605428,,
1998-01-29,Thursday,90.45,1.1698,1.0580840999999999,,
1998-01-30,Friday,90.73,1.1621,1.05437333,,start
1998-01-31,Saturday,,,1.05437333,imputed from 168,
1998-02-01,Sunday,,,1.05437333,imputed from 169,
1998-02-02,Monday,90.56,1.1654,1.05538624,,
1998-02-03,Tuesday,90.6,1.1622,1.0529532,,
1998-02-04,Wednesday,90.81,1.174,1.0661094,,
1998-02-05,Thursday,90.8,1.1695,1.0619059999999998,,
1998-02-06,Friday,90.81,1.1752,1.0671991200000002,,start
1998-02-07,Saturday,,,1.0671991200000002,imputed from 175,
1998-02-08,Sunday,,,1.0671991200000002,imputed from 176,
1998-02-09,Monday,91.0,1.1802,1.073982,,
1998-02-10,Tuesday,91.05,1.1848,1.0787604,,
1998-02-11,Wednesday,,1.1843,1.0787604,imputed from 179,
1998-02-12,Thursday,90.91,1.166,1.0600106,,
1998-02-13,Friday,91.08,1.1678,1.0636322399999998,,start
1998-02-14,Saturday,,,1.0636322399999998,imputed from 182,
1998-02-15,Sunday,,,1.0636322399999998,imputed from 183,
1998-02-16,Monday,91.22,1.1593,1.05751346,,
1998-02-17,Tuesday,91.23,1.1627,1.0607312100000001,,
1998-02-18,Wednesday,91.31,1.1635,1.06239185,,
1998-02-19,Thursday,91.54,1.1646,1.0660748400000002,,
1998-02-20,Friday,91.54,1.1477,1.05060458,,start
1998-02-21,Saturday,,,1.05060458,imputed from 189,
1998-02-22,Sunday,,,1.05060458,imputed from 190,
1998-02-23,Monday,91.86,1.1326,1.04040636,,
1998-02-24,Tuesday,91.86,1.1349,1.04251914,,
1998-02-25,Wednesday,91.48,1.1423,1.04497604,,
1998-02-26,Thursday,91.46,1.1547,1.05608862,,
1998-02-27,Friday,91.31,1.1622,1.06120482,,start
1998-02-28,Saturday,,,1.06120482,imputed from 196,
1998-03-01,Sunday,,,1.06120482,imputed from 197,
1998-03-02,Monday,91.42,1.1691,1.06879122,,
1998-03-03,Tuesday,91.52,1.163,1.0643776,,
1998-03-04,Wednesday,91.55,1.1687,1.06994485,,
1998-03-05,Thursday,91.85,1.1686,1.0733591,,
1998-03-06,Friday,91.62,1.1669,1.0691137800000001,,start
1998-03-07,Saturday,,,1.0691137800000001,imputed from 203,
1998-03-08,Sunday,,,1.0691137800000001,imputed from 204,
1998-03-09,Monday,91.62,1.1642,1.06664004,,
1998-03-10,Tuesday,91.67,1.1693,1.07189731,,
1998-03-11,Wednesday,91.98,1.152,1.0596096,,
1998-03-12,Thursday,91.9,1.1527,1.0593313,,
1998-03-13,Friday,91.81,1.1538,1.0593037799999998,,start
1998-03-14,Saturday,,,1.0593037799999998,imputed from 210,
1998-03-15,Sunday,,,1.0593037799999998,imputed from 211,
1998-03-16,Monday,92.09,1.142,1.0516678,,
1998-03-17,Tuesday,92.0,1.1474,1.055608,,
1998-03-18,Wednesday,92.04,1.1464,1.05514656,,
1998-03-19,Thursday,91.94,1.1448,1.05252912,,
1998-03-20,Friday,91.81,1.1481,1.05407061,,start
