date,weekday,KC1_Comdty_PX-LAST-CHF,imputed,KC1_Comdty_start
1997-08-15,Friday,51.56688,,start
1997-08-16,Saturday,51.56688,imputed from 0,
1997-08-17,Sunday,51.56688,imputed from 1,
1997-08-18,Monday,52.39591,,
1997-08-19,Tuesday,54.66887,,
1997-08-20,Wednesday,51.30835,,
1997-08-21,Thursday,52.93321,,
1997-08-22,Friday,51.3585,,start
1997-08-23,Saturday,51.3585,imputed from 7,
1997-08-24,Sunday,51.3585,imputed from 8,
1997-08-25,Monday,51.91833,,
1997-08-26,Tuesday,53.30783,,
1997-08-27,Wednesday,55.54959,,
1997-08-28,Thursday,55.99566,,
1997-08-29,Friday,57.92746,,start
1997-08-30,Saturday,57.92746,imputed from 14,
1997-08-31,Sunday,57.92746,imputed from 15,
1997-09-01,Monday,57.92746,imputed from 16,
1997-09-02,Tuesday,59.97623,,
1997-09-03,Wednesday,61.28421,,
1997-09-04,Thursday,62.89474,,
1997-09-05,Friday,60.12124,,start
1997-09-06,Saturday,60.12124,imputed from 21,
1997-09-07,Sunday,60.12124,imputed from 22,
1997-09-08,Monday,60.09912,,
1997-09-09,Tuesday,58.90862,,
1997-09-10,Wednesday,58.34156,,
1997-09-11,Thursday,59.80476,,
1997-09-12,Friday,54.49309,,start
1997-09-13,Saturday,54.49309,imputed from 28,
1997-09-14,Sunday,54.49309,imputed from 29,
1997-09-15,Monday,53.80962,,
1997-09-16,Tuesday,52.44437,,
1997-09-17,Wednesday,54.7287,,
1997-09-18,Thursday,53.63942,,
1997-09-19,Friday,54.84069,,start
1997-09-20,Saturday,54.84069,imputed from 35,
1997-09-21,Sunday,54.84069,imputed from 36,
1997-09-22,Monday,54.16925,,
1997-09-23,Tuesday,53.59762,,
1997-09-24,Wednesday,53.03962,,
1997-09-25,Thursday,52.12032,,
1997-09-26,Friday,51.92332,,start
1997-09-27,Saturday,51.92332,imputed from 42,
1997-09-28,Sunday,51.92332,imputed from 43,
1997-09-29,Monday,50.36103,,
1997-09-30,Tuesday,50.81819,,
1997-10-01,Wednesday,51.11431,,
1997-10-02,Thursday,50.55571,,
1997-10-03,Friday,50.5589,,start
1997-10-04,Saturday,50.5589,imputed from 49,
1997-10-05,Sunday,50.5589,imputed from 50,
1997-10-06,Monday,53.14801,,
1997-10-07,Tuesday,50.57239,,
1997-10-08,Wednesday,52.13545,,
1997-10-09,Thursday,51.36444,,
1997-10-10,Friday,52.14455,,start
1997-10-11,Saturday,52.14455,imputed from 56,
1997-10-12,Sunday,52.14455,imputed from 57,
1997-10-13,Monday,52.93045,,
1997-10-14,Tuesday,52.393,,
1997-10-15,Wednesday,52.35082,,
1997-10-16,Thursday,49.38657,,
1997-10-17,Friday,47.81627,,start
1997-10-18,Saturday,47.81627,imputed from 63,
1997-10-19,Sunday,47.81627,imputed from 64,
1997-10-20,Monday,47.8623,,
1997-10-21,Tuesday,48.24106,,
1997-10-22,Wednesday,47.91075,,
1997-10-23,Thursday,48.06306,,
1997-10-24,Friday,48.31708,,start
1997-10-25,Saturday,48.31708,imputed from 70,
1997-10-26,Sunday,48.31708,imputed from 71,
1997-10-27,Monday,48.12764,,
1997-10-28,Tuesday,46.15328,,
1997-10-29,Wednesday,45.99927,,
1997-10-30,Thursday,44.83891,,
1997-10-31,Friday,44.82679,,start
1997-11-01,Saturday,44.82679,imputed from 77,
1997-11-02,Sunday,44.82679,imputed from 78,
1997-11-03,Monday,43.80886,,
1997-11-04,Tuesday,43.67989,,
1997-11-05,Wednesday,46.55428,,
1997-11-06,Thursday,44.33613,,
1997-11-07,Friday,45.02178,,start
1997-11-08,Saturday,45.02178,imputed from 84,
1997-11-09,Sunday,45.02178,imputed from 85,
1997-11-10,Monday,46.9614,,
1997-11-11,Tuesday,46.93335,,
1997-11-12,Wednesday,48.13705,,
1997-11-13,Thursday,49.49837,,
1997-11-14,Friday,49.44388,,start
1997-11-15,Saturday,49.44388,imputed from 91,
1997-11-16,Sunday,49.44388,imputed from 92,
1997-11-17,Monday,50.07438,,
1997-11-18,Tuesday,50.93839,,
1997-11-19,Wednesday,51.45398,,
1997-11-20,Thursday,50.16185,,
1997-11-21,Friday,50.23845,,start
1997-11-22,Saturday,50.23845,imputed from 98,
1997-11-23,Sunday,50.23845,imputed from 99,
1997-11-24,Monday,50.48041,,
1997-11-25,Tuesday,49.60923,,
1997-11-26,Wednesday,51.14214,,
1997-11-27,Thursday,51.14214,imputed from 103,
1997-11-28,Friday,51.14214,imputed from 103,start
1997-11-29,Saturday,51.14214,imputed from 105,
1997-11-30,Sunday,51.14214,imputed from 106,
1997-12-01,Monday,54.20663,,
1997-12-02,Tuesday,56.15077,,
1997-12-03,Wednesday,55.5135,,
1997-12-04,Thursday,56.55633,,
1997-12-05,Friday,58.11392,,start
1997-12-06,Saturday,58.11392,imputed from 112,
1997-12-07,Sunday,58.11392,imputed from 113,
1997-12-08,Monday,59.04923,,
1997-12-09,Tuesday,62.1531,,
1997-12-10,Wednesday,61.30392,,
1997-12-11,Thursday,59.06397,,
1997-12-12,Friday,59.97899,,start
1997-12-13,Saturday,59.97899,imputed from 119,
1997-12-14,Sunday,59.97899,imputed from 120,
1997-12-15,Monday,61.75172,,
1997-12-16,Tuesday,56.06904,,
1997-12-17,Wednesday,53.65388,,
1997-12-18,Thursday,55.31208,,
