date,weekday,MES1_Index_PX-LAST-CHF,imputed,MES1_Index_start
2009-09-09,Wednesday,,,excluded
2009-09-10,Thursday,,,excluded
2009-09-11,Friday,851.23042,,start
2009-09-12,Saturday,851.23042,imputed from 2,
2009-09-13,Sunday,851.23042,imputed from 3,
2009-09-14,Monday,852.96683,,
2009-09-15,Tuesday,859.28656,,
2009-09-16,Wednesday,879.02086,,
2009-09-17,Thursday,867.96807,,
2009-09-18,Friday,868.57853,,start
2009-09-19,Saturday,868.57853,imputed from 9,
2009-09-20,Sunday,868.57853,imputed from 10,
2009-09-21,Monday,865.90263,,
2009-09-22,Tuesday,873.19561,,
2009-09-23,Wednesday,862.58301,,
2009-09-24,Thursday,845.35624,,
2009-09-25,Friday,849.80465,,start
2009-09-26,Saturday,849.80465,imputed from 16,
2009-09-27,Sunday,849.80465,imputed from 17,
2009-09-28,Monday,865.8402,,
2009-09-29,Tuesday,868.86563,,
2009-09-30,Wednesday,875.25935,,
2009-10-01,Thursday,855.97327,,
2009-10-02,Friday,849.08148,,start
2009-10-03,Saturday,849.08148,imputed from 23,
2009-10-04,Sunday,849.08148,imputed from 24,
2009-10-05,Monday,870.65227,,
2009-10-06,Tuesday,878.86562,,
2009-10-07,Wednesday,884.68353,,
2009-10-08,Thursday,889.52229,,
2009-10-09,Friday,898.73783,,start
2009-10-10,Saturday,898.73783,imputed from 30,
2009-10-11,Sunday,898.73783,imputed from 31,
2009-10-12,Monday,897.03314,,
2009-10-13,Tuesday,895.08424,,
2009-10-14,Wednesday,920.16972,,
2009-10-15,Thursday,912.39084,,
2009-10-16,Friday,903.7245,,start
2009-10-17,Saturday,903.7245,imputed from 37,
2009-10-18,Sunday,903.7245,imputed from 38,
2009-10-19,Monday,916.00392,,
2009-10-20,Tuesday,904.2695,,
2009-10-21,Wednesday,889.96313,,
2009-10-22,Thursday,899.78589,,
2009-10-23,Friday,892.146,,start
2009-10-24,Saturday,892.146,imputed from 44,
2009-10-25,Sunday,892.146,imputed from 45,
2009-10-26,Monday,893.88741,,
2009-10-27,Tuesday,881.3727,,
2009-10-28,Wednesday,847.92944,,
2009-10-29,Thursday,875.99611,,
2009-10-30,Friday,841.01142,,start
2009-10-31,Saturday,841.01142,imputed from 51,
2009-11-01,Sunday,841.01142,imputed from 52,
2009-11-02,Monday,852.48038,,
2009-11-03,Tuesday,856.89573,,
2009-11-04,Wednesday,868.72046,,
2009-11-05,Thursday,879.07138,,
2009-11-06,Friday,880.9284,,start
2009-11-07,Saturday,880.9284,imputed from 58,
2009-11-08,Sunday,880.9284,imputed from 59,
2009-11-09,Monday,902.90575,,
2009-11-10,Tuesday,900.82449,,
2009-11-11,Wednesday,905.81303,,
2009-11-12,Thursday,893.04474,,
2009-11-13,Friday,899.2793,,start
2009-11-14,Saturday,899.2793,imputed from 65,
2009-11-15,Sunday,899.2793,imputed from 66,
2009-11-16,Monday,921.06898,,
2009-11-17,Tuesday,926.20333,,
2009-11-18,Wednesday,911.23742,,
2009-11-19,Thursday,900.2798,,
2009-11-20,Friday,902.58669,,start
2009-11-21,Saturday,902.58669,imputed from 72,
2009-11-22,Sunday,902.58669,imputed from 73,
2009-11-23,Monday,913.58175,,
2009-11-24,Tuesday,904.85391,,
2009-11-25,Wednesday,906.43512,,
2009-11-26,Thursday,906.43512,imputed from 77,
2009-11-27,Friday,876.64907,,start
2009-11-28,Saturday,876.64907,imputed from 79,
2009-11-29,Sunday,876.64907,imputed from 80,
2009-11-30,Monday,882.93659,,
2009-12-01,Tuesday,901.60264,,
2009-12-02,Wednesday,908.80568,,
2009-12-03,Thursday,899.1325,,
2009-12-04,Friday,918.48228,,start
2009-12-05,Saturday,918.48228,imputed from 86,
2009-12-06,Sunday,918.48228,imputed from 87,
2009-12-07,Monday,914.36001,,
2009-12-08,Tuesday,908.19796,,
2009-12-09,Wednesday,915.51374,,
2009-12-10,Thursday,915.4902,,
2009-12-11,Friday,926.93874,,start
2009-12-12,Saturday,926.93874,imputed from 93,
2009-12-13,Sunday,926.93874,imputed from 94,
2009-12-14,Monday,930.45614,,
2009-12-15,Tuesday,930.78846,,
2009-12-16,Wednesday,929.10964,,
2009-12-17,Thursday,916.14582,,
2009-12-18,Friday,907.23317,,start
2009-12-19,Saturday,907.23317,imputed from 100,
2009-12-20,Sunday,907.23317,imputed from 101,
2009-12-21,Monday,907.2251,,
2009-12-22,Tuesday,916.5748,,
2009-12-23,Wednesday,918.07353,,
2009-12-24,Thursday,926.87873,,
2009-12-25,Friday,926.87873,imputed from 106,start
2009-12-26,Saturday,926.87873,imputed from 107,
2009-12-27,Sunday,926.87873,imputed from 108,
2009-12-28,Monday,933.12449,,
2009-12-29,Tuesday,930.62131,,
2009-12-30,Wednesday,931.53599,,
2009-12-31,Thursday,933.49329,,
2010-01-01,Friday,933.49329,imputed from 113,start
2010-01-02,Saturday,933.49329,imputed from 114,
2010-01-03,Sunday,933.49329,imputed from 115,
2010-01-04,Monday,958.5141,,
2010-01-05,Tuesday,965.3483,,
2010-01-06,Wednesday,967.59952,,
2010-01-07,Thursday,965.15651,,
2010-01-08,Friday,965.24932,,start
2010-01-09,Saturday,965.24932,imputed from 121,
2010-01-10,Sunday,965.24932,imputed from 122,
2010-01-11,Monday,957.0556,,
2010-01-12,Tuesday,944.83796,,
2010-01-13,Wednesday,947.89957,,
2010-01-14,Thursday,947.53013,,
2010-01-15,Friday,939.19169,,start
2010-01-16,Saturday,939.19169,imputed from 128,
2010-01-17,Sunday,939.19169,imputed from 129,
2010-01-18,Monday,939.19169,imputed from 130,
2010-01-19,Tuesday,968.91959,,
2010-01-20,Wednesday,949.40836,,
2010-01-21,Thursday,921.5029,,
2010-01-22,Friday,898.06096,,start
2010-01-23,Saturday,898.06096,imputed from 135,
2010-01-24,Sunday,898.06096,imputed from 136,
2010-01-25,Monday,905.82996,,
2010-01-26,Tuesday,890.02878,,
2010-01-27,Wednesday,892.03301,,
2010-01-28,Thursday,890.5844,,
2010-01-29,Friday,888.1256,,start
2010-01-30,Saturday,888.1256,imputed from 142,
2010-01-31,Sunday,888.1256,imputed from 143,
2010-02-01,Monday,910.22838,,
2010-02-02,Tuesday,910.20056,,
2010-02-03,Wednesday,915.37956,,
2010-02-04,Thursday,878.00046,,
2010-02-05,Friday,880.35641,,start
2010-02-06,Saturday,880.35641,imputed from 149,
2010-02-07,Sunday,880.35641,imputed from 150,
2010-02-08,Monday,865.23532,,
2010-02-09,Tuesday,887.18212,,
2010-02-10,Wednesday,888.12882,,
2010-02-11,Thursday,913.95679,,
2010-02-12,Friday,908.98669,,start
2010-02-13,Saturday,908.98669,imputed from 156,
2010-02-14,Sunday,908.98669,imputed from 157,
2010-02-15,Monday,908.98669,imputed from 158,
2010-02-16,Tuesday,920.88639,,
2010-02-17,Wednesday,935.65772,,
2010-02-18,Thursday,941.74281,,
2010-02-19,Friday,932.3254,,start
2010-02-20,Saturday,932.3254,imputed from 163,
2010-02-21,Sunday,932.3254,imputed from 164,
2010-02-22,Monday,932.89249,,
2010-02-23,Tuesday,918.16666,,
2010-02-24,Wednesday,922.84993,,
2010-02-25,Thursday,917.06672,,
2010-02-26,Friday,919.87813,,start
2010-02-27,Saturday,919.87813,imputed from 170,
2010-02-28,Sunday,919.87813,imputed from 171,
2010-03-01,Monday,940.31681,,
2010-03-02,Tuesday,947.25195,,
2010-03-03,Wednesday,938.28906,,
2010-03-04,Thursday,945.58528,,
2010-03-05,Friday,967.3148,,start
2010-03-06,Saturday,967.3148,imputed from 177,
2010-03-07,Sunday,967.3148,imputed from 178,
2010-03-08,Monday,970.78221,,
