date,weekday,NG1_Comdty_PX-LAST-CHF,imputed,NG1_Comdty_start
1997-08-15,Friday,2366.16436,,start
1997-08-16,Saturday,2366.16436,imputed from 0,
1997-08-17,Sunday,2366.16436,imputed from 1,
1997-08-18,Monday,2368.3279,,
1997-08-19,Tuesday,2480.00066,,
1997-08-20,Wednesday,2416.75411,,
1997-08-21,Thursday,2320.52689,,
1997-08-22,Friday,2371.36735,,start
1997-08-23,Saturday,2371.36735,imputed from 7,
1997-08-24,Sunday,2371.36735,imputed from 8,
1997-08-25,Monday,2411.96383,,
1997-08-26,Tuesday,2415.70558,,
1997-08-27,Wednesday,2411.39789,,
1997-08-28,Thursday,2556.64156,,
1997-08-29,Friday,2632.74406,,start
1997-08-30,Saturday,2632.74406,imputed from 14,
1997-08-31,Sunday,2632.74406,imputed from 15,
1997-09-01,Monday,2632.74406,imputed from 16,
1997-09-02,Tuesday,2728.60844,,
1997-09-03,Wednesday,2734.81052,,
1997-09-04,Thursday,2601.19874,,
1997-09-05,Friday,2586.64829,,start
1997-09-06,Saturday,2586.64829,imputed from 21,
1997-09-07,Sunday,2586.64829,imputed from 22,
1997-09-08,Monday,2592.85681,,
1997-09-09,Tuesday,2610.30438,,
1997-09-10,Wednesday,2595.83123,,
1997-09-11,Thursday,2647.9743,,
1997-09-12,Friday,2662.30281,,start
1997-09-13,Saturday,2662.30281,imputed from 28,
1997-09-14,Sunday,2662.30281,imputed from 29,
1997-09-15,Monday,2612.11005,,
1997-09-16,Tuesday,2564.48064,,
1997-09-17,Wednesday,2550.39219,,
1997-09-18,Thursday,2749.93496,,
1997-09-19,Friday,2691.4369,,start
1997-09-20,Saturday,2691.4369,imputed from 35,
1997-09-21,Sunday,2691.4369,imputed from 36,
1997-09-22,Monday,2867.23218,,
1997-09-23,Tuesday,2914.77372,,
1997-09-24,Wednesday,2860.37298,,
1997-09-25,Thursday,3119.57241,,
1997-09-26,Friday,3160.62893,,start
1997-09-27,Saturday,3160.62893,imputed from 42,
1997-09-28,Sunday,3160.62893,imputed from 43,
1997-09-29,Monday,2917.10577,,
1997-09-30,Tuesday,2976.59484,,
1997-10-01,Wednesday,3037.54323,,
1997-10-02,Thursday,3017.9348,,
1997-10-03,Friday,3012.92236,,start
1997-10-04,Saturday,3012.92236,imputed from 49,
1997-10-05,Sunday,3012.92236,imputed from 50,
1997-10-06,Monday,2877.11747,,
1997-10-07,Tuesday,2771.13498,,
1997-10-08,Wednesday,2810.45398,,
1997-10-09,Thursday,2834.50236,,
1997-10-10,Friday,2988.08669,,start
1997-10-11,Saturday,2988.08669,imputed from 56,
1997-10-12,Sunday,2988.08669,imputed from 57,
1997-10-13,Monday,2952.89869,,
1997-10-14,Tuesday,2923.00903,,
1997-10-15,Wednesday,2958.94258,,
1997-10-16,Thursday,3149.35607,,
1997-10-17,Friday,3230.5005,,start
1997-10-18,Saturday,3230.5005,imputed from 63,
1997-10-19,Sunday,3230.5005,imputed from 64,
1997-10-20,Monday,3325.07377,,
1997-10-21,Tuesday,3376.42981,,
1997-10-22,Wednesday,3484.33085,,
1997-10-23,Thursday,3344.14826,,
1997-10-24,Friday,3462.56597,,start
1997-10-25,Saturday,3462.56597,imputed from 70,
1997-10-26,Sunday,3462.56597,imputed from 71,
1997-10-27,Monday,3662.60863,,
1997-10-28,Tuesday,3279.17381,,
1997-10-29,Wednesday,3260.08196,,
1997-10-30,Thursday,3233.18557,,
1997-10-31,Friday,3289.98068,,start
1997-11-01,Saturday,3289.98068,imputed from 77,
1997-11-02,Sunday,3289.98068,imputed from 78,
1997-11-03,Monday,3147.78079,,
1997-11-04,Tuesday,3182.51034,,
1997-11-05,Wednesday,3235.8315,,
1997-11-06,Thursday,3163.79628,,
1997-11-07,Friday,3005.68169,,start
1997-11-08,Saturday,3005.68169,imputed from 84,
1997-11-09,Sunday,3005.68169,imputed from 85,
1997-11-10,Monday,3157.02525,,
1997-11-11,Tuesday,3224.45605,,
1997-11-12,Wednesday,3220.05268,,
1997-11-13,Thursday,3006.4482,,
1997-11-14,Friday,2815.18867,,start
1997-11-15,Saturday,2815.18867,imputed from 91,
1997-11-16,Sunday,2815.18867,imputed from 92,
1997-11-17,Monday,2771.7606,,
1997-11-18,Tuesday,2740.44515,,
1997-11-19,Wednesday,2661.69989,,
1997-11-20,Thursday,2530.83492,,
1997-11-21,Friday,2591.17881,,start
1997-11-22,Saturday,2591.17881,imputed from 98,
1997-11-23,Sunday,2591.17881,imputed from 99,
