date,weekday,OE1_Comdty_PX-LAST-CHF,imputed,OE1_Comdty_start
1997-08-15,Friday,75.30792,,start
1997-08-16,Saturday,75.30792,imputed from 0,
1997-08-17,Sunday,75.30792,imputed from 1,
1997-08-18,Monday,75.55282,,
1997-08-19,Tuesday,75.61765,,
1997-08-20,Wednesday,75.38715,,
1997-08-21,Thursday,75.35834,,
1997-08-22,Friday,75.15665,,start
1997-08-23,Saturday,75.15665,imputed from 7,
1997-08-24,Sunday,75.15665,imputed from 8,
1997-08-25,Monday,75.11344,,
1997-08-26,Tuesday,75.19267,,
1997-08-27,Wednesday,75.14945,,
1997-08-28,Thursday,75.45198,,
1997-08-29,Friday,75.23589,,start
1997-08-30,Saturday,75.23589,imputed from 14,
1997-08-31,Sunday,75.23589,imputed from 15,
1997-09-01,Monday,75.32953,,
1997-09-02,Tuesday,75.2647,,
1997-09-03,Wednesday,75.22869,,
1997-09-04,Thursday,75.2719,,
1997-09-05,Friday,75.32953,,start
1997-09-06,Saturday,75.32953,imputed from 21,
1997-09-07,Sunday,75.32953,imputed from 22,
1997-09-08,Monday,75.44583,,
1997-09-09,Tuesday,75.52579,,
1997-09-10,Wednesday,75.62756,,
1997-09-11,Thursday,75.60575,,
1997-09-12,Friday,75.63483,,start
1997-09-13,Saturday,75.63483,imputed from 28,
1997-09-14,Sunday,75.63483,imputed from 29,
1997-09-15,Monday,75.51125,,
1997-09-16,Tuesday,75.68571,,
1997-09-17,Wednesday,75.70752,,
1997-09-18,Thursday,75.81656,,
1997-09-19,Friday,75.63483,,start
1997-09-20,Saturday,75.63483,imputed from 35,
1997-09-21,Sunday,75.63483,imputed from 36,
1997-09-22,Monday,75.63483,,
1997-09-23,Tuesday,75.72933,,
1997-09-24,Wednesday,75.83109,,
1997-09-25,Thursday,75.62756,,
1997-09-26,Friday,75.59121,,start
1997-09-27,Saturday,75.59121,imputed from 42,
1997-09-28,Sunday,75.59121,imputed from 43,
1997-09-29,Monday,75.59121,,
1997-09-30,Tuesday,75.69298,,
1997-10-01,Wednesday,75.76567,,
1997-10-02,Thursday,75.74387,,
1997-10-03,Friday,75.74387,imputed from 48,start
1997-10-04,Saturday,75.74387,imputed from 49,
1997-10-05,Sunday,75.74387,imputed from 50,
1997-10-06,Monday,75.75113,,
1997-10-07,Tuesday,75.7366,,
1997-10-08,Wednesday,75.59121,,
1997-10-09,Thursday,75.0315,,
1997-10-10,Friday,74.87158,,start
1997-10-11,Saturday,74.87158,imputed from 56,
1997-10-12,Sunday,74.87158,imputed from 57,
1997-10-13,Monday,75.06057,,
1997-10-14,Tuesday,75.11872,,
1997-10-15,Wednesday,74.90792,,
1997-10-16,Thursday,74.66804,,
1997-10-17,Friday,74.6317,,start
1997-10-18,Saturday,74.6317,imputed from 63,
1997-10-19,Sunday,74.6317,imputed from 64,
1997-10-20,Monday,74.748,,
1997-10-21,Tuesday,74.59535,,
1997-10-22,Wednesday,74.5372,,
1997-10-23,Thursday,74.75527,,
1997-10-24,Friday,75.00242,,start
1997-10-25,Saturday,75.00242,imputed from 70,
1997-10-26,Sunday,75.00242,imputed from 71,
1997-10-27,Monday,75.01696,,
1997-10-28,Tuesday,75.09692,,
1997-10-29,Wednesday,75.24957,,
1997-10-30,Thursday,75.40222,,
1997-10-31,Friday,75.46764,,start
1997-11-01,Saturday,75.46764,imputed from 77,
1997-11-02,Sunday,75.46764,imputed from 78,
1997-11-03,Monday,75.30772,,
1997-11-04,Tuesday,75.30045,,
1997-11-05,Wednesday,75.18415,,
1997-11-06,Thursday,75.21322,,
1997-11-07,Friday,75.24957,,start
1997-11-08,Saturday,75.24957,imputed from 84,
1997-11-09,Sunday,75.24957,imputed from 85,
1997-11-10,Monday,75.18415,,
1997-11-11,Tuesday,75.16961,,
1997-11-12,Wednesday,75.04603,,
1997-11-13,Thursday,75.28591,,
1997-11-14,Friday,75.38041,,start
1997-11-15,Saturday,75.38041,imputed from 91,
1997-11-16,Sunday,75.38041,imputed from 92,
1997-11-17,Monday,75.40222,,
1997-11-18,Tuesday,75.38041,,
1997-11-19,Wednesday,75.48218,,
1997-11-20,Thursday,75.54033,,
1997-11-21,Friday,75.42403,,start
1997-11-22,Saturday,75.42403,imputed from 98,
1997-11-23,Sunday,75.42403,imputed from 99,
1997-11-24,Monday,75.5476,,
1997-11-25,Tuesday,75.62756,,
1997-11-26,Wednesday,75.53306,,
1997-11-27,Thursday,75.53306,,
1997-11-28,Friday,75.6421,,start
1997-11-29,Saturday,75.6421,imputed from 105,
1997-11-30,Sunday,75.6421,imputed from 106,
1997-12-01,Monday,75.62029,,
1997-12-02,Tuesday,75.68571,,
1997-12-03,Wednesday,75.59848,,
1997-12-04,Thursday,75.71479,,
1997-12-05,Friday,75.60575,,start
1997-12-06,Saturday,75.60575,imputed from 112,
1997-12-07,Sunday,75.60575,imputed from 113,
1997-12-08,Monday,75.64229,,
1997-12-09,Tuesday,75.61306,,
1997-12-10,Wednesday,75.63498,,
1997-12-11,Thursday,75.92729,,
1997-12-12,Friday,76.05152,,start
1997-12-13,Saturday,76.05152,imputed from 119,
1997-12-14,Sunday,76.05152,imputed from 120,
1997-12-15,Monday,76.01499,,
1997-12-16,Tuesday,75.98575,,
1997-12-17,Wednesday,75.90537,,
1997-12-18,Thursday,76.06614,,
1997-12-19,Friday,76.27076,,start
1997-12-20,Saturday,76.27076,imputed from 126,
1997-12-21,Sunday,76.27076,imputed from 127,
1997-12-22,Monday,76.3146,,
1997-12-23,Tuesday,76.37306,,
1997-12-24,Wednesday,76.37306,imputed from 130,
1997-12-25,Thursday,76.37306,imputed from 131,
1997-12-26,Friday,76.37306,imputed from 130,start
1997-12-27,Saturday,76.37306,imputed from 133,
1997-12-28,Sunday,76.37306,imputed from 134,
1997-12-29,Monday,76.24153,,
1997-12-30,Tuesday,76.08076,,
1997-12-31,Wednesday,76.08076,imputed from 137,
1998-01-01,Thursday,76.08076,imputed from 138,
1998-01-02,Friday,76.15383,,start
1998-01-03,Saturday,76.15383,imputed from 140,
1998-01-04,Sunday,76.15383,imputed from 141,
1998-01-05,Monday,76.35845,,
1998-01-06,Tuesday,76.30729,,
1998-01-07,Wednesday,76.36576,,
1998-01-08,Thursday,76.72384,,
1998-01-09,Friday,76.74576,,start
1998-01-10,Saturday,76.74576,imputed from 147,
1998-01-11,Sunday,76.74576,imputed from 148,
1998-01-12,Monday,76.83345,,
1998-01-13,Tuesday,76.83345,,
1998-01-14,Wednesday,76.85537,,
1998-01-15,Thursday,76.81153,,
1998-01-16,Friday,76.8773,,start
1998-01-17,Saturday,76.8773,imputed from 154,
1998-01-18,Sunday,76.8773,imputed from 155,
1998-01-19,Monday,76.86268,,
1998-01-20,Tuesday,76.83345,,
1998-01-21,Wednesday,76.74576,,
1998-01-22,Thursday,76.72384,,
1998-01-23,Friday,76.72384,,start
1998-01-24,Saturday,76.72384,imputed from 161,
1998-01-25,Sunday,76.72384,imputed from 162,
1998-01-26,Monday,76.8773,,
1998-01-27,Tuesday,76.81884,,
1998-01-28,Wednesday,76.76768,,
1998-01-29,Thursday,76.93576,,
1998-01-30,Friday,76.91384,,start
1998-01-31,Saturday,76.91384,imputed from 168,
1998-02-01,Sunday,76.91384,imputed from 169,
1998-02-02,Monday,76.86999,,
1998-02-03,Tuesday,76.97961,,
1998-02-04,Wednesday,76.84076,,
1998-02-05,Thursday,76.7823,,
1998-02-06,Friday,76.86268,,start
1998-02-07,Saturday,76.86268,imputed from 175,
1998-02-08,Sunday,76.86268,imputed from 176,
1998-02-09,Monday,76.84807,,
1998-02-10,Tuesday,76.92114,,
1998-02-11,Wednesday,77.05999,,
1998-02-12,Thursday,77.09653,,
1998-02-13,Friday,77.05268,,start
1998-02-14,Saturday,77.05268,imputed from 182,
1998-02-15,Sunday,77.05268,imputed from 183,
1998-02-16,Monday,77.08191,,
1998-02-17,Tuesday,77.19884,,
1998-02-18,Wednesday,77.11845,,
1998-02-19,Thursday,77.14038,,
1998-02-20,Friday,77.09653,,start
1998-02-21,Saturday,77.09653,imputed from 189,
1998-02-22,Sunday,77.09653,imputed from 190,
1998-02-23,Monday,77.11115,,
1998-02-24,Tuesday,77.04538,,
1998-02-25,Wednesday,77.15499,,
1998-02-26,Thursday,77.13307,,
1998-02-27,Friday,77.09653,,start
1998-02-28,Saturday,77.09653,imputed from 196,
1998-03-01,Sunday,77.09653,imputed from 197,
1998-03-02,Monday,77.14038,,
1998-03-03,Tuesday,77.01614,,
1998-03-04,Wednesday,76.84076,,
1998-03-05,Thursday,77.04604,,
1998-03-06,Friday,77.07536,,start
1998-03-07,Saturday,77.07536,imputed from 203,
1998-03-08,Sunday,77.07536,imputed from 204,
1998-03-09,Monday,77.25865,,
1998-03-10,Tuesday,77.25132,,
1998-03-11,Wednesday,77.22199,,
1998-03-12,Thursday,77.36129,,
1998-03-13,Friday,77.26598,,start
1998-03-14,Saturday,77.26598,imputed from 210,
1998-03-15,Sunday,77.26598,imputed from 211,
1998-03-16,Monday,77.30264,,
1998-03-17,Tuesday,77.27331,,
1998-03-18,Wednesday,77.29531,,
1998-03-19,Thursday,77.06803,,
1998-03-20,Friday,77.12669,,start
1998-03-21,Saturday,77.12669,imputed from 217,
1998-03-22,Sunday,77.12669,imputed from 218,
1998-03-23,Monday,77.12669,,
1998-03-24,Tuesday,77.19267,,
1998-03-25,Wednesday,77.0827,,
1998-03-26,Thursday,77.15601,,
1998-03-27,Friday,77.11935,,start
1998-03-28,Saturday,77.11935,imputed from 224,
1998-03-29,Sunday,77.11935,imputed from 225,
1998-03-30,Monday,76.96539,,
1998-03-31,Tuesday,77.03138,,
1998-04-01,Wednesday,76.88475,,
1998-04-02,Thursday,76.99472,,
1998-04-03,Friday,77.2,,start
1998-04-04,Saturday,77.2,imputed from 231,
1998-04-05,Sunday,77.2,imputed from 232,
1998-04-06,Monday,77.05337,,
1998-04-07,Tuesday,76.99472,,
1998-04-08,Wednesday,77.02404,,
1998-04-09,Thursday,77.03871,,
1998-04-10,Friday,77.03871,imputed from 237,start
1998-04-11,Saturday,77.03871,imputed from 238,
1998-04-12,Sunday,77.03871,imputed from 239,
1998-04-13,Monday,77.03871,imputed from 240,
1998-04-14,Tuesday,77.01671,,
1998-04-15,Wednesday,76.91407,,
1998-04-16,Thursday,76.93607,,
1998-04-17,Friday,76.9214,,start
1998-04-18,Saturday,76.9214,imputed from 245,
1998-04-19,Sunday,76.9214,imputed from 246,
1998-04-20,Monday,76.81143,,
1998-04-21,Tuesday,76.8041,,
1998-04-22,Wednesday,76.89941,,
1998-04-23,Thursday,76.9434,,
1998-04-24,Friday,76.9214,,start
1998-04-25,Saturday,76.9214,imputed from 252,
1998-04-26,Sunday,76.9214,imputed from 253,
1998-04-27,Monday,76.74545,,
1998-04-28,Tuesday,76.81143,,
1998-04-29,Wednesday,76.6648,,
1998-04-30,Thursday,76.85542,,
1998-05-01,Friday,76.85542,imputed from 258,start
1998-05-02,Saturday,76.85542,imputed from 259,
1998-05-03,Sunday,76.85542,imputed from 260,
1998-05-04,Monday,76.84809,,
1998-05-05,Tuesday,76.75278,,
1998-05-06,Wednesday,76.78944,,
