date,weekday,OI1_Index_PX-LAST-CHF,imputed,OI1_Index_start
1997-08-15,Friday,57.63178,,start
1997-08-16,Saturday,57.63178,imputed from 0,
1997-08-17,Sunday,57.63178,imputed from 1,
1997-08-18,Monday,57.10735,,
1997-08-19,Tuesday,57.51311,,
1997-08-20,Wednesday,57.51311,imputed from 4,
1997-08-21,Thursday,57.14931,,
1997-08-22,Friday,56.14569,,start
1997-08-23,Saturday,56.14569,imputed from 7,
1997-08-24,Sunday,56.14569,imputed from 8,
1997-08-25,Monday,56.07954,,
1997-08-26,Tuesday,56.10158,,
1997-08-27,Wednesday,56.14395,,
1997-08-28,Thursday,56.52154,,
1997-08-29,Friday,56.51556,,start
1997-08-30,Saturday,56.51556,imputed from 14,
1997-08-31,Sunday,56.51556,imputed from 15,
1997-09-01,Monday,57.2596,,
1997-09-02,Tuesday,57.78467,,
1997-09-03,Wednesday,58.0859,,
1997-09-04,Thursday,57.93212,,
1997-09-05,Friday,58.04749,,start
1997-09-06,Saturday,58.04749,imputed from 21,
1997-09-07,Sunday,58.04749,imputed from 22,
1997-09-08,Monday,58.23336,,
1997-09-09,Tuesday,58.32271,,
1997-09-10,Wednesday,58.01318,,
1997-09-11,Thursday,58.3692,,
1997-09-12,Friday,58.41298,,start
1997-09-13,Saturday,58.41298,imputed from 28,
1997-09-14,Sunday,58.41298,imputed from 29,
1997-09-15,Monday,57.3905,,
1997-09-16,Tuesday,57.57404,,
1997-09-17,Wednesday,59.1738,,
1997-09-18,Thursday,58.8662,,
1997-09-19,Friday,59.07035,,start
1997-09-20,Saturday,59.07035,imputed from 35,
1997-09-21,Sunday,59.07035,imputed from 36,
1997-09-22,Monday,59.28051,,
1997-09-23,Tuesday,59.14739,,
1997-09-24,Wednesday,59.20021,,
1997-09-25,Thursday,59.56126,,
1997-09-26,Friday,59.97945,,start
1997-09-27,Saturday,59.97945,imputed from 42,
1997-09-28,Sunday,59.97945,imputed from 43,
1997-09-29,Monday,60.41254,,
1997-09-30,Tuesday,60.7351,,
1997-10-01,Wednesday,60.63143,,
1997-10-02,Thursday,60.88084,,
1997-10-03,Friday,62.06728,,start
1997-10-04,Saturday,62.06728,imputed from 49,
1997-10-05,Sunday,62.06728,imputed from 50,
1997-10-06,Monday,62.23043,,
1997-10-07,Tuesday,62.34124,,
1997-10-08,Wednesday,61.82478,,
1997-10-09,Thursday,62.33631,,
1997-10-10,Friday,62.76756,,start
1997-10-11,Saturday,62.76756,imputed from 56,
1997-10-12,Sunday,62.76756,imputed from 57,
1997-10-13,Monday,63.83581,,
1997-10-14,Tuesday,63.3406,,
1997-10-15,Wednesday,62.92296,,
1997-10-16,Thursday,64.0226,,
1997-10-17,Friday,63.52035,,start
1997-10-18,Saturday,63.52035,imputed from 63,
1997-10-19,Sunday,63.52035,imputed from 64,
1997-10-20,Monday,63.37716,,
1997-10-21,Tuesday,64.01653,,
1997-10-22,Wednesday,64.01653,imputed from 67,
1997-10-23,Thursday,62.46947,,
1997-10-24,Friday,62.52143,,start
1997-10-25,Saturday,62.52143,imputed from 70,
1997-10-26,Sunday,62.52143,imputed from 71,
1997-10-27,Monday,61.39775,,
1997-10-28,Tuesday,57.17346,,
1997-10-29,Wednesday,59.31948,,
1997-10-30,Thursday,57.77888,,
1997-10-31,Friday,57.48906,,start
1997-11-01,Saturday,57.48906,imputed from 77,
1997-11-02,Sunday,57.48906,imputed from 78,
1997-11-03,Monday,58.62747,,
1997-11-04,Tuesday,57.66942,,
1997-11-05,Wednesday,57.9729,,
1997-11-06,Thursday,57.94221,,
1997-11-07,Friday,57.36123,,start
1997-11-08,Saturday,57.36123,imputed from 84,
1997-11-09,Sunday,57.36123,imputed from 85,
1997-11-10,Monday,57.21854,,
1997-11-11,Tuesday,56.7122,,
1997-11-12,Wednesday,55.48162,,
1997-11-13,Thursday,55.43272,,
1997-11-14,Friday,54.86383,,start
1997-11-15,Saturday,54.86383,imputed from 91,
1997-11-16,Sunday,54.86383,imputed from 92,
1997-11-17,Monday,55.81416,,
1997-11-18,Tuesday,56.20557,,
1997-11-19,Wednesday,55.88606,,
1997-11-20,Thursday,56.10758,,
1997-11-21,Friday,56.37724,,start
1997-11-22,Saturday,56.37724,imputed from 98,
1997-11-23,Sunday,56.37724,imputed from 99,
1997-11-24,Monday,54.64183,,
1997-11-25,Tuesday,53.58118,,
1997-11-26,Wednesday,53.27287,,
1997-11-27,Thursday,53.93042,,
1997-11-28,Friday,54.28199,,start
1997-11-29,Saturday,54.28199,imputed from 105,
1997-11-30,Sunday,54.28199,imputed from 106,
1997-12-01,Monday,54.31936,,
1997-12-02,Tuesday,54.77547,,
1997-12-03,Wednesday,54.31546,,
1997-12-04,Thursday,55.25275,,
1997-12-05,Friday,55.41805,,start
1997-12-06,Saturday,55.41805,imputed from 112,
1997-12-07,Sunday,55.41805,imputed from 113,
1997-12-08,Monday,57.1188,,
1997-12-09,Tuesday,56.93759,,
1997-12-10,Wednesday,56.47497,,
1997-12-11,Thursday,55.46582,,
1997-12-12,Friday,55.3078,,start
1997-12-13,Saturday,55.3078,imputed from 119,
1997-12-14,Sunday,55.3078,imputed from 120,
1997-12-15,Monday,54.38872,,
1997-12-16,Tuesday,54.67628,,
1997-12-17,Wednesday,54.867,,
1997-12-18,Thursday,54.38485,,
1997-12-19,Friday,53.32696,,start
1997-12-20,Saturday,53.32696,imputed from 126,
1997-12-21,Sunday,53.32696,imputed from 127,
1997-12-22,Monday,52.84985,,
1997-12-23,Tuesday,52.99382,,
1997-12-24,Wednesday,52.99382,imputed from 130,
1997-12-25,Thursday,52.99382,imputed from 131,
1997-12-26,Friday,52.99382,imputed from 130,start
1997-12-27,Saturday,52.99382,imputed from 133,
1997-12-28,Sunday,52.99382,imputed from 134,
1997-12-29,Monday,53.90557,,
1997-12-30,Tuesday,55.36769,,
1997-12-31,Wednesday,55.36769,imputed from 137,
1998-01-01,Thursday,55.36769,imputed from 138,
1998-01-02,Friday,56.31262,,start
1998-01-03,Saturday,56.31262,imputed from 140,
1998-01-04,Sunday,56.31262,imputed from 141,
1998-01-05,Monday,56.55556,,
1998-01-06,Tuesday,55.1615,,
1998-01-07,Wednesday,54.47861,,
1998-01-08,Thursday,53.61152,,
1998-01-09,Friday,52.19694,,start
1998-01-10,Saturday,52.19694,imputed from 147,
1998-01-11,Sunday,52.19694,imputed from 148,
1998-01-12,Monday,49.46642,,
1998-01-13,Tuesday,50.64026,,
1998-01-14,Wednesday,51.3099,,
1998-01-15,Thursday,51.50373,,
1998-01-16,Friday,52.27718,,start
1998-01-17,Saturday,52.27718,imputed from 154,
1998-01-18,Sunday,52.27718,imputed from 155,
1998-01-19,Monday,52.85993,,
1998-01-20,Tuesday,53.58748,,
1998-01-21,Wednesday,52.82725,,
1998-01-22,Thursday,51.9081,,
1998-01-23,Friday,51.50752,,start
1998-01-24,Saturday,51.50752,imputed from 161,
1998-01-25,Sunday,51.50752,imputed from 162,
1998-01-26,Monday,51.25008,,
1998-01-27,Tuesday,51.78023,,
1998-01-28,Wednesday,51.81436,,
1998-01-29,Thursday,52.04296,,
1998-01-30,Friday,52.11621,,start
1998-01-31,Saturday,52.11621,imputed from 168,
1998-02-01,Sunday,52.11621,imputed from 169,
1998-02-02,Monday,53.55247,,
1998-02-03,Tuesday,53.20368,,
1998-02-04,Wednesday,52.98613,,
1998-02-05,Thursday,53.38938,,
1998-02-06,Friday,53.0437,,start
1998-02-07,Saturday,53.0437,imputed from 175,
1998-02-08,Sunday,53.0437,imputed from 176,
1998-02-09,Monday,52.97438,,
1998-02-10,Tuesday,52.38081,,
1998-02-11,Wednesday,52.49448,,
1998-02-12,Thursday,51.81392,,
1998-02-13,Friday,51.90756,,start
1998-02-14,Saturday,51.90756,imputed from 182,
1998-02-15,Sunday,51.90756,imputed from 183,
1998-02-16,Monday,52.50486,,
1998-02-17,Tuesday,53.44871,,
1998-02-18,Wednesday,52.8762,,
1998-02-19,Thursday,53.21833,,
1998-02-20,Friday,53.02299,,start
1998-02-21,Saturday,53.02299,imputed from 189,
1998-02-22,Sunday,53.02299,imputed from 190,
1998-02-23,Monday,52.83122,,
1998-02-24,Tuesday,52.50632,,
1998-02-25,Wednesday,52.87427,,
1998-02-26,Thursday,54.0702,,
1998-02-27,Friday,54.02079,,start
1998-02-28,Saturday,54.02079,imputed from 196,
1998-03-01,Sunday,54.02079,imputed from 197,
1998-03-02,Monday,54.76245,,
1998-03-03,Tuesday,55.41446,,
