date,weekday,QC1_Index_PX-LAST-CHF,imputed,QC1_Index_start
2005-02-15,Tuesday,,,excluded
2005-02-16,Wednesday,,,excluded
2005-02-17,Thursday,,,excluded
2005-02-18,Friday,85.26856,,start
2005-02-19,Saturday,85.26856,imputed from 3,
2005-02-20,Sunday,85.26856,imputed from 4,
2005-02-21,Monday,85.62423,,
2005-02-22,Tuesday,84.97421,,
2005-02-23,Wednesday,85.21498,,
2005-02-24,Thursday,85.98795,,
2005-02-25,Friday,86.77626,,start
2005-02-26,Saturday,86.77626,imputed from 10,
2005-02-27,Sunday,86.77626,imputed from 11,
2005-02-28,Monday,86.43545,,
2005-03-01,Tuesday,86.81374,,
2005-03-02,Wednesday,87.19708,,
2005-03-03,Thursday,88.05889,,
2005-03-04,Friday,88.68639,,start
2005-03-05,Saturday,88.68639,imputed from 17,
2005-03-06,Sunday,88.68639,imputed from 18,
2005-03-07,Monday,88.78077,,
2005-03-08,Tuesday,88.15656,,
2005-03-09,Wednesday,88.08354,,
2005-03-10,Thursday,86.59265,,
2005-03-11,Friday,87.06381,,start
2005-03-12,Saturday,87.06381,imputed from 24,
2005-03-13,Sunday,87.06381,imputed from 25,
2005-03-14,Monday,87.38784,,
2005-03-15,Tuesday,87.83434,,
2005-03-16,Wednesday,86.19552,,
2005-03-17,Thursday,86.22557,,
2005-03-18,Friday,85.91097,,start
2005-03-19,Saturday,85.91097,imputed from 31,
2005-03-20,Sunday,85.91097,imputed from 32,
2005-03-21,Monday,85.3526,,
2005-03-22,Tuesday,86.43826,,
2005-03-23,Wednesday,86.71307,,
2005-03-24,Thursday,87.05103,,
2005-03-25,Friday,87.05103,imputed from 37,start
2005-03-26,Saturday,87.05103,imputed from 38,
2005-03-27,Sunday,87.05103,imputed from 39,
2005-03-28,Monday,87.05103,imputed from 40,
2005-03-29,Tuesday,86.99965,,
2005-03-30,Wednesday,86.39611,,
2005-03-31,Thursday,86.39781,,
2005-04-01,Friday,87.29599,,start
2005-04-02,Saturday,87.29599,imputed from 45,
2005-04-03,Sunday,87.29599,imputed from 46,
2005-04-04,Monday,86.99749,,
2005-04-05,Tuesday,87.63384,,
2005-04-06,Wednesday,88.41133,,
2005-04-07,Thursday,88.60514,,
2005-04-08,Friday,88.74716,,start
2005-04-09,Saturday,88.74716,imputed from 52,
2005-04-10,Sunday,88.74716,imputed from 53,
2005-04-11,Monday,89.13703,,
2005-04-12,Tuesday,88.9318,,
2005-04-13,Wednesday,89.71968,,
2005-04-14,Thursday,90.20643,,
2005-04-15,Friday,88.89036,,start
2005-04-16,Saturday,88.89036,imputed from 59,
2005-04-17,Sunday,88.89036,imputed from 60,
2005-04-18,Monday,86.85821,,
2005-04-19,Tuesday,86.97869,,
2005-04-20,Wednesday,86.9529,,
2005-04-21,Thursday,87.40742,,
2005-04-22,Friday,89.12907,,start
2005-04-23,Saturday,89.12907,imputed from 66,
2005-04-24,Sunday,89.12907,imputed from 67,
2005-04-25,Monday,89.13237,,
2005-04-26,Tuesday,88.46834,,
2005-04-27,Wednesday,86.2638,,
2005-04-28,Thursday,84.83723,,
2005-04-29,Friday,84.73188,,start
2005-04-30,Saturday,84.73188,imputed from 73,
2005-05-01,Sunday,84.73188,imputed from 74,
2005-05-02,Monday,85.72387,,
2005-05-03,Tuesday,86.09895,,
