date,weekday,RX1_Comdty_PX-LAST-CHF,imputed,RX1_Comdty_start
1997-08-15,Friday,103.02671,,start
1997-08-16,Saturday,103.02671,imputed from 0,
1997-08-17,Sunday,103.02671,imputed from 1,
1997-08-18,Monday,103.80728,,
1997-08-19,Tuesday,103.40886,,
1997-08-20,Wednesday,103.1094,,
1997-08-21,Thursday,103.07751,,
1997-08-22,Friday,102.74616,,start
1997-08-23,Saturday,102.74616,imputed from 7,
1997-08-24,Sunday,102.74616,imputed from 8,
1997-08-25,Monday,102.53193,,
1997-08-26,Tuesday,103.18619,,
1997-08-27,Wednesday,103.09956,,
1997-08-28,Thursday,103.39771,,
1997-08-29,Friday,102.93729,,start
1997-08-30,Saturday,102.93729,imputed from 14,
1997-08-31,Sunday,102.93729,imputed from 15,
1997-09-01,Monday,102.91306,,
1997-09-02,Tuesday,102.72362,,
1997-09-03,Wednesday,103.14817,,
1997-09-04,Thursday,103.06577,,
1997-09-05,Friday,102.48275,,start
1997-09-06,Saturday,102.48275,imputed from 21,
1997-09-07,Sunday,102.48275,imputed from 22,
1997-09-08,Monday,102.85505,,
1997-09-09,Tuesday,102.88219,,
1997-09-10,Wednesday,103.12761,,
1997-09-11,Thursday,103.66556,,
1997-09-12,Friday,103.90342,,start
1997-09-13,Saturday,103.90342,imputed from 28,
1997-09-14,Sunday,103.90342,imputed from 29,
1997-09-15,Monday,103.04128,,
1997-09-16,Tuesday,103.51518,,
1997-09-17,Wednesday,104.16716,,
1997-09-18,Thursday,104.24828,,
1997-09-19,Friday,104.14289,,start
1997-09-20,Saturday,104.14289,imputed from 35,
1997-09-21,Sunday,104.14289,imputed from 36,
1997-09-22,Monday,103.97991,,
1997-09-23,Tuesday,103.84282,,
1997-09-24,Wednesday,104.53755,,
1997-09-25,Thursday,104.41173,,
1997-09-26,Friday,104.6145,,start
1997-09-27,Saturday,104.6145,imputed from 42,
1997-09-28,Sunday,104.6145,imputed from 43,
1997-09-29,Monday,104.44345,,
1997-09-30,Tuesday,104.46203,,
1997-10-01,Wednesday,104.84022,,
1997-10-02,Thursday,104.62672,,
1997-10-03,Friday,104.62672,imputed from 48,start
1997-10-04,Saturday,104.62672,imputed from 49,
1997-10-05,Sunday,104.62672,imputed from 50,
1997-10-06,Monday,105.20151,,
1997-10-07,Tuesday,105.22241,,
1997-10-08,Wednesday,104.98207,,
1997-10-09,Thursday,105.63803,,
1997-10-10,Friday,104.89152,,start
1997-10-11,Saturday,104.89152,imputed from 56,
1997-10-12,Sunday,104.89152,imputed from 57,
1997-10-13,Monday,105.57689,,
1997-10-14,Tuesday,105.49585,,
1997-10-15,Wednesday,105.41806,,
1997-10-16,Thursday,104.64725,,
1997-10-17,Friday,104.37373,,start
1997-10-18,Saturday,104.37373,imputed from 63,
1997-10-19,Sunday,104.37373,imputed from 64,
1997-10-20,Monday,104.43811,,
1997-10-21,Tuesday,104.31304,,
1997-10-22,Wednesday,103.68391,,
1997-10-23,Thursday,103.93392,,
1997-10-24,Friday,104.09342,,start
1997-10-25,Saturday,104.09342,imputed from 70,
1997-10-26,Sunday,104.09342,imputed from 71,
1997-10-27,Monday,103.5593,,
1997-10-28,Tuesday,103.07927,,
1997-10-29,Wednesday,103.18523,,
1997-10-30,Thursday,102.98013,,
1997-10-31,Friday,102.76021,,start
1997-11-01,Saturday,102.76021,imputed from 77,
1997-11-02,Sunday,102.76021,imputed from 78,
1997-11-03,Monday,102.66944,,
1997-11-04,Tuesday,103.09625,,
1997-11-05,Wednesday,103.12267,,
1997-11-06,Thursday,103.32299,,
1997-11-07,Friday,103.21309,,start
1997-11-08,Saturday,103.21309,imputed from 84,
1997-11-09,Sunday,103.21309,imputed from 85,
1997-11-10,Monday,102.99744,,
1997-11-11,Tuesday,102.86478,,
1997-11-12,Wednesday,102.25109,,
1997-11-13,Thursday,102.70303,,
1997-11-14,Friday,102.811,,start
1997-11-15,Saturday,102.811,imputed from 91,
1997-11-16,Sunday,102.811,imputed from 92,
1997-11-17,Monday,103.1129,,
1997-11-18,Tuesday,103.06889,,
1997-11-19,Wednesday,103.22514,,
1997-11-20,Thursday,103.64453,,
1997-11-21,Friday,103.52073,,start
1997-11-22,Saturday,103.52073,imputed from 98,
1997-11-23,Sunday,103.52073,imputed from 99,
1997-11-24,Monday,103.28159,,
1997-11-25,Tuesday,103.12019,,
1997-11-26,Wednesday,102.8835,,
1997-11-27,Thursday,102.92696,,
1997-11-28,Friday,103.39495,,start
1997-11-29,Saturday,103.39495,imputed from 105,
1997-11-30,Sunday,103.39495,imputed from 106,
1997-12-01,Monday,103.22165,,
1997-12-02,Tuesday,103.73438,,
1997-12-03,Wednesday,103.57522,,
1997-12-04,Thursday,104.10031,,
1997-12-05,Friday,103.69409,,start
1997-12-06,Saturday,103.69409,imputed from 112,
1997-12-07,Sunday,103.69409,imputed from 113,
1997-12-08,Monday,104.79745,,
1997-12-09,Tuesday,104.60095,,
1997-12-10,Wednesday,104.16779,,
1997-12-11,Thursday,104.69812,,
1997-12-12,Friday,105.00212,,start
1997-12-13,Saturday,105.00212,imputed from 119,
1997-12-14,Sunday,105.00212,imputed from 120,
1997-12-15,Monday,104.6301,,
1997-12-16,Tuesday,104.8742,,
1997-12-17,Wednesday,104.7044,,
1997-12-18,Thursday,105.19563,,
1997-12-19,Friday,105.09084,,start
1997-12-20,Saturday,105.09084,imputed from 126,
1997-12-21,Sunday,105.09084,imputed from 127,
1997-12-22,Monday,105.06851,,
1997-12-23,Tuesday,105.26316,,
1997-12-24,Wednesday,105.26316,imputed from 130,
1997-12-25,Thursday,105.26316,imputed from 131,
1997-12-26,Friday,105.26316,imputed from 130,start
1997-12-27,Saturday,105.26316,imputed from 133,
1997-12-28,Sunday,105.26316,imputed from 134,
1997-12-29,Monday,105.4324,,
1997-12-30,Tuesday,105.14833,,
1997-12-31,Wednesday,105.14833,imputed from 137,
1998-01-01,Thursday,105.14833,imputed from 138,
1998-01-02,Friday,105.40058,,start
1998-01-03,Saturday,105.40058,imputed from 140,
1998-01-04,Sunday,105.40058,imputed from 141,
1998-01-05,Monday,106.16685,,
1998-01-06,Tuesday,105.54878,,
1998-01-07,Wednesday,106.03466,,
1998-01-08,Thursday,106.52895,,
1998-01-09,Friday,106.92666,,start
1998-01-10,Saturday,106.92666,imputed from 147,
1998-01-11,Sunday,106.92666,imputed from 148,
1998-01-12,Monday,107.14049,,
1998-01-13,Tuesday,107.05048,,
1998-01-14,Wednesday,107.41535,,
1998-01-15,Thursday,107.71602,,
1998-01-16,Friday,107.81563,,start
1998-01-17,Saturday,107.81563,imputed from 154,
1998-01-18,Sunday,107.81563,imputed from 155,
1998-01-19,Monday,107.58617,,
1998-01-20,Tuesday,107.39273,,
1998-01-21,Wednesday,106.87703,,
1998-01-22,Thursday,107.11202,,
1998-01-23,Friday,106.44874,,start
1998-01-24,Saturday,106.44874,imputed from 161,
1998-01-25,Sunday,106.44874,imputed from 162,
1998-01-26,Monday,106.95796,,
1998-01-27,Tuesday,106.66397,,
1998-01-28,Wednesday,106.29562,,
1998-01-29,Thursday,106.63244,,
1998-01-30,Friday,106.87202,,start
1998-01-31,Saturday,106.87202,imputed from 168,
1998-02-01,Sunday,106.87202,imputed from 169,
1998-02-02,Monday,106.90452,,
1998-02-03,Tuesday,106.871,,
1998-02-04,Wednesday,106.22565,,
1998-02-05,Thursday,106.22884,,
1998-02-06,Friday,106.35515,,start
1998-02-07,Saturday,106.35515,imputed from 175,
1998-02-08,Sunday,106.35515,imputed from 176,
1998-02-09,Monday,106.27615,,
1998-02-10,Tuesday,106.82599,,
1998-02-11,Wednesday,106.91128,,
1998-02-12,Thursday,107.00282,,
1998-02-13,Friday,106.86335,,start
1998-02-14,Saturday,106.86335,imputed from 182,
1998-02-15,Sunday,106.86335,imputed from 183,
1998-02-16,Monday,107.08247,,
1998-02-17,Tuesday,107.83297,,
1998-02-18,Wednesday,107.83224,,
1998-02-19,Thursday,107.76028,,
1998-02-20,Friday,107.45836,,start
1998-02-21,Saturday,107.45836,imputed from 189,
