date,weekday,S 1_Comdty_PX-LAST-CHF,imputed,S 1_Comdty_start
1997-08-15,Friday,4.89485,,start
1997-08-16,Saturday,4.89485,imputed from 0,
1997-08-17,Sunday,4.89485,imputed from 1,
1997-08-18,Monday,4.87213,,
1997-08-19,Tuesday,4.92611,,
1997-08-20,Wednesday,4.88533,,
1997-08-21,Thursday,4.94918,,
1997-08-22,Friday,4.90439,,start
1997-08-23,Saturday,4.90439,imputed from 7,
1997-08-24,Sunday,4.90439,imputed from 8,
1997-08-25,Monday,4.92549,,
1997-08-26,Tuesday,4.88039,,
1997-08-27,Wednesday,4.9704,,
1997-08-28,Thursday,4.86559,,
1997-08-29,Friday,4.95484,,start
1997-08-30,Saturday,4.95484,imputed from 14,
1997-08-31,Sunday,4.95484,imputed from 15,
1997-09-01,Monday,4.95484,imputed from 16,
1997-09-02,Tuesday,5.05582,,
1997-09-03,Wednesday,5.10767,,
1997-09-04,Thursday,5.10595,,
1997-09-05,Friday,5.01625,,start
1997-09-06,Saturday,5.01625,imputed from 21,
1997-09-07,Sunday,5.01625,imputed from 22,
1997-09-08,Monday,5.01755,,
1997-09-09,Tuesday,5.09588,,
1997-09-10,Wednesday,5.01297,,
1997-09-11,Thursday,5.02857,,
1997-09-12,Friday,4.90999,,start
1997-09-13,Saturday,4.90999,imputed from 28,
1997-09-14,Sunday,4.90999,imputed from 29,
1997-09-15,Monday,4.85978,,
1997-09-16,Tuesday,4.97566,,
1997-09-17,Wednesday,4.99891,,
1997-09-18,Thursday,4.93915,,
1997-09-19,Friday,4.95027,,start
1997-09-20,Saturday,4.95027,imputed from 35,
1997-09-21,Sunday,4.95027,imputed from 36,
1997-09-22,Monday,4.97136,,
1997-09-23,Tuesday,4.92745,,
1997-09-24,Wednesday,4.93803,,
1997-09-25,Thursday,4.90094,,
1997-09-26,Friday,4.873,,start
1997-09-27,Saturday,4.873,imputed from 42,
1997-09-28,Sunday,4.873,imputed from 43,
1997-09-29,Monday,4.83237,,
1997-09-30,Tuesday,4.78141,,
1997-10-01,Wednesday,4.80597,,
1997-10-02,Thursday,4.84587,,
1997-10-03,Friday,4.91141,,start
1997-10-04,Saturday,4.91141,imputed from 49,
1997-10-05,Sunday,4.91141,imputed from 50,
1997-10-06,Monday,4.98143,,
1997-10-07,Tuesday,5.09464,,
1997-10-08,Wednesday,5.12453,,
1997-10-09,Thursday,5.19525,,
1997-10-10,Friday,5.40805,,start
1997-10-11,Saturday,5.40805,imputed from 56,
1997-10-12,Sunday,5.40805,imputed from 57,
1997-10-13,Monday,5.58,,
1997-10-14,Tuesday,5.46856,,
1997-10-15,Wednesday,5.46404,,
1997-10-16,Thursday,5.42574,,
1997-10-17,Friday,5.41591,,start
1997-10-18,Saturday,5.41591,imputed from 63,
1997-10-19,Sunday,5.41591,imputed from 64,
1997-10-20,Monday,5.39892,,
1997-10-21,Tuesday,5.48939,,
1997-10-22,Wednesday,5.47927,,
1997-10-23,Thursday,5.39144,,
1997-10-24,Friday,5.43399,,start
1997-10-25,Saturday,5.43399,imputed from 70,
1997-10-26,Sunday,5.43399,imputed from 71,
1997-10-27,Monday,5.37646,,
1997-10-28,Tuesday,5.21179,,
1997-10-29,Wednesday,5.17719,,
1997-10-30,Thursday,5.10425,,
1997-10-31,Friday,5.11324,,start
1997-11-01,Saturday,5.11324,imputed from 77,
1997-11-02,Sunday,5.11324,imputed from 78,
1997-11-03,Monday,5.34372,,
1997-11-04,Tuesday,5.27821,,
1997-11-05,Wednesday,5.35434,,
1997-11-06,Thursday,5.37278,,
1997-11-07,Friday,5.41262,,start
1997-11-08,Saturday,5.41262,imputed from 84,
1997-11-09,Sunday,5.41262,imputed from 85,
1997-11-10,Monday,5.2608,,
1997-11-11,Tuesday,5.39671,,
1997-11-12,Wednesday,5.36401,,
1997-11-13,Thursday,5.36917,,
1997-11-14,Friday,5.33529,,start
1997-11-15,Saturday,5.33529,imputed from 91,
1997-11-16,Sunday,5.33529,imputed from 92,
1997-11-17,Monday,5.37398,,
1997-11-18,Tuesday,5.30505,,
1997-11-19,Wednesday,5.27791,,
1997-11-20,Thursday,5.25379,,
1997-11-21,Friday,5.27017,,start
1997-11-22,Saturday,5.27017,imputed from 98,
1997-11-23,Sunday,5.27017,imputed from 99,
1997-11-24,Monday,5.25436,,
1997-11-25,Tuesday,5.26473,,
1997-11-26,Wednesday,5.36993,,
1997-11-27,Thursday,5.36993,imputed from 103,
1997-11-28,Friday,5.37739,,start
1997-11-29,Saturday,5.37739,imputed from 105,
1997-11-30,Sunday,5.37739,imputed from 106,
1997-12-01,Monday,5.41093,,
1997-12-02,Tuesday,5.29547,,
1997-12-03,Wednesday,5.29165,,
1997-12-04,Thursday,5.2177,,
1997-12-05,Friday,5.31087,,start
1997-12-06,Saturday,5.31087,imputed from 112,
1997-12-07,Sunday,5.31087,imputed from 113,
1997-12-08,Monday,5.42783,,
1997-12-09,Tuesday,5.41418,,
1997-12-10,Wednesday,5.40322,,
1997-12-11,Thursday,5.26356,,
