date,weekday,SB1_Comdty_PX-LAST-CHF,imputed,SB1_Comdty_start
1997-08-15,Friday,0.29827,,start
1997-08-16,Saturday,0.29827,imputed from 0,
1997-08-17,Sunday,0.29827,imputed from 1,
1997-08-18,Monday,0.29827,,
1997-08-19,Tuesday,0.30024,,
1997-08-20,Wednesday,0.29819,,
1997-08-21,Thursday,0.29396,,
1997-08-22,Friday,0.29461,,start
1997-08-23,Saturday,0.29461,imputed from 7,
1997-08-24,Sunday,0.29461,imputed from 8,
1997-08-25,Monday,0.29207,,
1997-08-26,Tuesday,0.29284,,
1997-08-27,Wednesday,0.29304,,
1997-08-28,Thursday,0.28935,,
1997-08-29,Friday,0.28959,,start
1997-08-30,Saturday,0.28959,imputed from 14,
1997-08-31,Sunday,0.28959,imputed from 15,
1997-09-01,Monday,0.28959,imputed from 16,
1997-09-02,Tuesday,0.29416,,
1997-09-03,Wednesday,0.29085,,
1997-09-04,Thursday,0.29033,,
1997-09-05,Friday,0.28484,,start
1997-09-06,Saturday,0.28484,imputed from 21,
1997-09-07,Sunday,0.28484,imputed from 22,
1997-09-08,Monday,0.28573,,
1997-09-09,Tuesday,0.28623,,
1997-09-10,Wednesday,0.28186,,
1997-09-11,Thursday,0.28481,,
1997-09-12,Friday,0.28166,,start
1997-09-13,Saturday,0.28166,imputed from 28,
1997-09-14,Sunday,0.28166,imputed from 29,
1997-09-15,Monday,0.27314,,
1997-09-16,Tuesday,0.27374,,
1997-09-17,Wednesday,0.27668,,
1997-09-18,Thursday,0.27504,,
1997-09-19,Friday,0.27272,,start
1997-09-20,Saturday,0.27272,imputed from 35,
1997-09-21,Sunday,0.27272,imputed from 36,
1997-09-22,Monday,0.27243,,
1997-09-23,Tuesday,0.27023,,
1997-09-24,Wednesday,0.26236,,
1997-09-25,Thursday,0.25828,,
1997-09-26,Friday,0.26473,,start
1997-09-27,Saturday,0.26473,imputed from 42,
1997-09-28,Sunday,0.26473,imputed from 43,
1997-09-29,Monday,0.26816,,
1997-09-30,Tuesday,0.26768,,
1997-10-01,Wednesday,0.27252,,
1997-10-02,Thursday,0.2759,,
1997-10-03,Friday,0.27508,,start
1997-10-04,Saturday,0.27508,imputed from 49,
1997-10-05,Sunday,0.27508,imputed from 50,
1997-10-06,Monday,0.27347,,
1997-10-07,Tuesday,0.27227,,
1997-10-08,Wednesday,0.27508,,
1997-10-09,Thursday,0.27801,,
1997-10-10,Friday,0.27755,,start
1997-10-11,Saturday,0.27755,imputed from 56,
1997-10-12,Sunday,0.27755,imputed from 57,
1997-10-13,Monday,0.27661,,
1997-10-14,Tuesday,0.2751,,
1997-10-15,Wednesday,0.27663,,
1997-10-16,Thursday,0.27394,,
1997-10-17,Friday,0.27514,,start
1997-10-18,Saturday,0.27514,imputed from 63,
1997-10-19,Sunday,0.27514,imputed from 64,
1997-10-20,Monday,0.27867,,
1997-10-21,Tuesday,0.27919,,
1997-10-22,Wednesday,0.27705,,
1997-10-23,Thursday,0.27427,,
1997-10-24,Friday,0.27633,,start
1997-10-25,Saturday,0.27633,imputed from 70,
1997-10-26,Sunday,0.27633,imputed from 71,
1997-10-27,Monday,0.27585,,
1997-10-28,Tuesday,0.26713,,
1997-10-29,Wednesday,0.27139,,
1997-10-30,Thursday,0.27564,,
1997-10-31,Friday,0.27665,,start
1997-11-01,Saturday,0.27665,imputed from 77,
1997-11-02,Sunday,0.27665,imputed from 78,
1997-11-03,Monday,0.27981,,
1997-11-04,Tuesday,0.27546,,
1997-11-05,Wednesday,0.27712,,
1997-11-06,Thursday,0.27544,,
1997-11-07,Friday,0.27261,,start
1997-11-08,Saturday,0.27261,imputed from 84,
1997-11-09,Sunday,0.27261,imputed from 85,
1997-11-10,Monday,0.27002,,
1997-11-11,Tuesday,0.27467,,
1997-11-12,Wednesday,0.27393,,
1997-11-13,Thursday,0.2751,,
1997-11-14,Friday,0.27648,,start
1997-11-15,Saturday,0.27648,imputed from 91,
1997-11-16,Sunday,0.27648,imputed from 92,
1997-11-17,Monday,0.27695,,
1997-11-18,Tuesday,0.27465,,
1997-11-19,Wednesday,0.27608,,
1997-11-20,Thursday,0.27036,,
1997-11-21,Friday,0.27207,,start
1997-11-22,Saturday,0.27207,imputed from 98,
1997-11-23,Sunday,0.27207,imputed from 99,
1997-11-24,Monday,0.27271,,
1997-11-25,Tuesday,0.27444,,
1997-11-26,Wednesday,0.27707,,
1997-11-27,Thursday,0.27707,imputed from 103,
1997-11-28,Friday,0.27707,imputed from 103,start
1997-11-29,Saturday,0.27707,imputed from 105,
1997-11-30,Sunday,0.27707,imputed from 106,
1997-12-01,Monday,0.28558,,
1997-12-02,Tuesday,0.28473,,
1997-12-03,Wednesday,0.28192,,
1997-12-04,Thursday,0.28299,,
1997-12-05,Friday,0.28563,,start
1997-12-06,Saturday,0.28563,imputed from 112,
1997-12-07,Sunday,0.28563,imputed from 113,
1997-12-08,Monday,0.28706,,
1997-12-09,Tuesday,0.28708,,
1997-12-10,Wednesday,0.28225,,
1997-12-11,Thursday,0.27555,,
1997-12-12,Friday,0.27778,,start
1997-12-13,Saturday,0.27778,imputed from 119,
1997-12-14,Sunday,0.27778,imputed from 120,
1997-12-15,Monday,0.27811,,
1997-12-16,Tuesday,0.27472,,
1997-12-17,Wednesday,0.27837,,
1997-12-18,Thursday,0.28312,,
1997-12-19,Friday,0.28093,,start
1997-12-20,Saturday,0.28093,imputed from 126,
1997-12-21,Sunday,0.28093,imputed from 127,
1997-12-22,Monday,0.28098,,
1997-12-23,Tuesday,0.27936,,
1997-12-24,Wednesday,0.28131,,
1997-12-25,Thursday,0.28131,imputed from 131,
1997-12-26,Friday,0.28131,imputed from 131,start
1997-12-27,Saturday,0.28131,imputed from 133,
1997-12-28,Sunday,0.28131,imputed from 134,
1997-12-29,Monday,0.28593,,
1997-12-30,Tuesday,0.2855,,
1997-12-31,Wednesday,0.28522,,
1998-01-01,Thursday,0.28522,imputed from 138,
1998-01-02,Friday,0.28522,imputed from 138,start
1998-01-03,Saturday,0.28522,imputed from 140,
1998-01-04,Sunday,0.28522,imputed from 141,
1998-01-05,Monday,0.28524,,
1998-01-06,Tuesday,0.28263,,
1998-01-07,Wednesday,0.27881,,
1998-01-08,Thursday,0.27862,,
1998-01-09,Friday,0.27788,,start
1998-01-10,Saturday,0.27788,imputed from 147,
1998-01-11,Sunday,0.27788,imputed from 148,
1998-01-12,Monday,0.2703,,
1998-01-13,Tuesday,0.2713,,
1998-01-14,Wednesday,0.27311,,
1998-01-15,Thursday,0.26667,,
1998-01-16,Friday,0.26785,,start
1998-01-17,Saturday,0.26785,imputed from 154,
1998-01-18,Sunday,0.26785,imputed from 155,
1998-01-19,Monday,0.26785,imputed from 156,
1998-01-20,Tuesday,0.26601,,
1998-01-21,Wednesday,0.2662,,
1998-01-22,Thursday,0.26433,,
1998-01-23,Friday,0.25875,,start
1998-01-24,Saturday,0.25875,imputed from 161,
1998-01-25,Sunday,0.25875,imputed from 162,
1998-01-26,Monday,0.25974,,
1998-01-27,Tuesday,0.25562,,
1998-01-28,Wednesday,0.26192,,
1998-01-29,Thursday,0.26386,,
1998-01-30,Friday,0.2652,,start
1998-01-31,Saturday,0.2652,imputed from 168,
1998-02-01,Sunday,0.2652,imputed from 169,
1998-02-02,Monday,0.2642,,
1998-02-03,Tuesday,0.26208,,
1998-02-04,Wednesday,0.25781,,
1998-02-05,Thursday,0.25093,,
1998-02-06,Friday,0.24933,,start
1998-02-07,Saturday,0.24933,imputed from 175,
1998-02-08,Sunday,0.24933,imputed from 176,
1998-02-09,Monday,0.25244,,
1998-02-10,Tuesday,0.2543,,
1998-02-11,Wednesday,0.25621,,
1998-02-12,Thursday,0.25552,,
1998-02-13,Friday,0.25678,,start
1998-02-14,Saturday,0.25678,imputed from 182,
1998-02-15,Sunday,0.25678,imputed from 183,
1998-02-16,Monday,0.25678,imputed from 184,
1998-02-17,Tuesday,0.25287,,
1998-02-18,Wednesday,0.24833,,
1998-02-19,Thursday,0.24889,,
1998-02-20,Friday,0.2434,,start
1998-02-21,Saturday,0.2434,imputed from 189,
1998-02-22,Sunday,0.2434,imputed from 190,
1998-02-23,Monday,0.22684,,
1998-02-24,Tuesday,0.22585,,
1998-02-25,Wednesday,0.2331,,
1998-02-26,Thursday,0.22495,,
1998-02-27,Friday,0.22576,,start
1998-02-28,Saturday,0.22576,imputed from 196,
1998-03-01,Sunday,0.22576,imputed from 197,
1998-03-02,Monday,0.2286,,
1998-03-03,Tuesday,0.22594,,
1998-03-04,Wednesday,0.22659,,
1998-03-05,Thursday,0.22605,,
1998-03-06,Friday,0.22663,,start
1998-03-07,Saturday,0.22663,imputed from 203,
1998-03-08,Sunday,0.22663,imputed from 204,
1998-03-09,Monday,0.22115,,
1998-03-10,Tuesday,0.21893,,
1998-03-11,Wednesday,0.21744,,
1998-03-12,Thursday,0.21461,,
1998-03-13,Friday,0.21633,,start
1998-03-14,Saturday,0.21633,imputed from 210,
1998-03-15,Sunday,0.21633,imputed from 211,
1998-03-16,Monday,0.21853,,
1998-03-17,Tuesday,0.22296,,
1998-03-18,Wednesday,0.22794,,
1998-03-19,Thursday,0.22995,,
1998-03-20,Friday,0.23114,,start
1998-03-21,Saturday,0.23114,imputed from 217,
1998-03-22,Sunday,0.23114,imputed from 218,
1998-03-23,Monday,0.22888,,
1998-03-24,Tuesday,0.23124,,
1998-03-25,Wednesday,0.22966,,
1998-03-26,Thursday,0.22775,,
1998-03-27,Friday,0.22866,,start
1998-03-28,Saturday,0.22866,imputed from 224,
1998-03-29,Sunday,0.22866,imputed from 225,
1998-03-30,Monday,0.23423,,
1998-03-31,Tuesday,0.24267,,
1998-04-01,Wednesday,0.23831,,
1998-04-02,Thursday,0.23776,,
1998-04-03,Friday,0.23684,,start
1998-04-04,Saturday,0.23684,imputed from 231,
1998-04-05,Sunday,0.23684,imputed from 232,
1998-04-06,Monday,0.23541,,
1998-04-07,Tuesday,0.23367,,
1998-04-08,Wednesday,0.22395,,
1998-04-09,Thursday,0.22539,,
1998-04-10,Friday,0.22539,imputed from 237,start
1998-04-11,Saturday,0.22539,imputed from 238,
1998-04-12,Sunday,0.22539,imputed from 239,
1998-04-13,Monday,0.21944,,
1998-04-14,Tuesday,0.21999,,
1998-04-15,Wednesday,0.21859,,
1998-04-16,Thursday,0.21425,,
1998-04-17,Friday,0.21136,,start
1998-04-18,Saturday,0.21136,imputed from 245,
1998-04-19,Sunday,0.21136,imputed from 246,
1998-04-20,Monday,0.2115,,
1998-04-21,Tuesday,0.21136,,
1998-04-22,Wednesday,0.213,,
1998-04-23,Thursday,0.21322,,
1998-04-24,Friday,0.21305,,start
1998-04-25,Saturday,0.21305,imputed from 252,
1998-04-26,Sunday,0.21305,imputed from 253,
1998-04-27,Monday,0.20981,,
1998-04-28,Tuesday,0.20676,,
1998-04-29,Wednesday,0.19734,,
1998-04-30,Thursday,0.20138,,
1998-05-01,Friday,0.19986,,start
1998-05-02,Saturday,0.19986,imputed from 259,
1998-05-03,Sunday,0.19986,imputed from 260,
1998-05-04,Monday,0.20043,,
1998-05-05,Tuesday,0.2008,,
1998-05-06,Wednesday,0.20935,,
1998-05-07,Thursday,0.21105,,
1998-05-08,Friday,0.21444,,start
1998-05-09,Saturday,0.21444,imputed from 266,
1998-05-10,Sunday,0.21444,imputed from 267,
1998-05-11,Monday,0.21769,,
1998-05-12,Tuesday,0.21925,,
1998-05-13,Wednesday,0.21542,,
1998-05-14,Thursday,0.21693,,
1998-05-15,Friday,0.2143,,start
1998-05-16,Saturday,0.2143,imputed from 273,
1998-05-17,Sunday,0.2143,imputed from 274,
1998-05-18,Monday,0.21096,,
1998-05-19,Tuesday,0.2081,,
1998-05-20,Wednesday,0.20965,,
1998-05-21,Thursday,0.2086,,
1998-05-22,Friday,0.20625,,start
1998-05-23,Saturday,0.20625,imputed from 280,
1998-05-24,Sunday,0.20625,imputed from 281,
1998-05-25,Monday,0.20625,imputed from 282,
1998-05-26,Tuesday,0.1997,,
1998-05-27,Wednesday,0.19461,,
1998-05-28,Thursday,0.19332,,
1998-05-29,Friday,0.19454,,start
1998-05-30,Saturday,0.19454,imputed from 287,
1998-05-31,Sunday,0.19454,imputed from 288,
1998-06-01,Monday,0.18902,,
1998-06-02,Tuesday,0.19371,,
1998-06-03,Wednesday,0.1929,,
1998-06-04,Thursday,0.18887,,
1998-06-05,Friday,0.18882,,start
1998-06-06,Saturday,0.18882,imputed from 294,
1998-06-07,Sunday,0.18882,imputed from 295,
1998-06-08,Monday,0.18407,,
1998-06-09,Tuesday,0.17668,,
1998-06-10,Wednesday,0.17353,,
1998-06-11,Thursday,0.18248,,
1998-06-12,Friday,0.17661,,start
1998-06-13,Saturday,0.17661,imputed from 301,
1998-06-14,Sunday,0.17661,imputed from 302,
1998-06-15,Monday,0.18159,,
1998-06-16,Tuesday,0.18051,,
1998-06-17,Wednesday,0.18855,,
1998-06-18,Thursday,0.18964,,
1998-06-19,Friday,0.18866,,start
1998-06-20,Saturday,0.18866,imputed from 308,
1998-06-21,Sunday,0.18866,imputed from 309,
1998-06-22,Monday,0.18736,,
1998-06-23,Tuesday,0.18707,,
1998-06-24,Wednesday,0.18845,,
1998-06-25,Thursday,0.19705,,
1998-06-26,Friday,0.20896,,start
1998-06-27,Saturday,0.20896,imputed from 315,
1998-06-28,Sunday,0.20896,imputed from 316,
1998-06-29,Monday,0.21152,,
1998-06-30,Tuesday,0.19949,,
1998-07-01,Wednesday,0.19696,,
1998-07-02,Thursday,0.20177,,
1998-07-03,Friday,0.20177,imputed from 321,start
1998-07-04,Saturday,0.20177,imputed from 322,
1998-07-05,Sunday,0.20177,imputed from 323,
1998-07-06,Monday,0.19986,,
1998-07-07,Tuesday,0.1966,,
1998-07-08,Wednesday,0.19549,,
1998-07-09,Thursday,0.19847,,
1998-07-10,Friday,0.20411,,start
1998-07-11,Saturday,0.20411,imputed from 329,
1998-07-12,Sunday,0.20411,imputed from 330,
1998-07-13,Monday,0.20379,,
1998-07-14,Tuesday,0.20207,,
1998-07-15,Wednesday,0.20106,,
1998-07-16,Thursday,0.20117,,
1998-07-17,Friday,0.20663,,start
1998-07-18,Saturday,0.20663,imputed from 336,
1998-07-19,Sunday,0.20663,imputed from 337,
1998-07-20,Monday,0.20788,,
1998-07-21,Tuesday,0.19745,,
1998-07-22,Wednesday,0.19582,,
1998-07-23,Thursday,0.19964,,
1998-07-24,Friday,0.19268,,start
1998-07-25,Saturday,0.19268,imputed from 343,
1998-07-26,Sunday,0.19268,imputed from 344,
1998-07-27,Monday,0.19408,,
