date,weekday,ST1_Index_PX-LAST-CHF,imputed,ST1_Index_start
2004-03-23,Tuesday,,,excluded
2004-03-24,Wednesday,,,excluded
2004-03-25,Thursday,,,excluded
2004-03-26,Friday,24357.40374,,start
2004-03-27,Saturday,24357.40374,imputed from 3,
2004-03-28,Sunday,24357.40374,imputed from 4,
2004-03-29,Monday,24628.22039,,
2004-03-30,Tuesday,24679.19134,,
2004-03-31,Wednesday,24591.50873,,
2004-04-01,Thursday,24843.91546,,
2004-04-02,Friday,25383.85822,,start
2004-04-03,Saturday,25383.85822,imputed from 10,
2004-04-04,Sunday,25383.85822,imputed from 11,
2004-04-05,Monday,25656.91412,,
2004-04-06,Tuesday,25463.23833,,
2004-04-07,Wednesday,25313.99343,,
2004-04-08,Thursday,25358.00978,,
2004-04-09,Friday,25358.00978,imputed from 16,start
2004-04-10,Saturday,25358.00978,imputed from 17,
2004-04-11,Sunday,25358.00978,imputed from 18,
2004-04-12,Monday,25358.00978,imputed from 19,
2004-04-13,Tuesday,25755.23316,,
2004-04-14,Wednesday,25353.52831,,
2004-04-15,Thursday,25439.02806,,
2004-04-16,Friday,25521.22592,,start
2004-04-17,Saturday,25521.22592,imputed from 24,
2004-04-18,Sunday,25521.22592,imputed from 25,
2004-04-19,Monday,25285.81186,,
2004-04-20,Tuesday,25850.6849,,
2004-04-21,Wednesday,25627.19837,,
2004-04-22,Thursday,25850.40871,,
2004-04-23,Friday,25939.01341,,start
2004-04-24,Saturday,25939.01341,imputed from 31,
2004-04-25,Sunday,25939.01341,imputed from 32,
2004-04-26,Monday,25942.2225,,
2004-04-27,Tuesday,25797.27276,,
2004-04-28,Wednesday,25593.30831,,
2004-04-29,Thursday,25370.09255,,
2004-04-30,Friday,25347.24707,,start
2004-05-01,Saturday,25347.24707,imputed from 38,
2004-05-02,Sunday,25347.24707,imputed from 39,
2004-05-03,Monday,25558.33337,,
2004-05-04,Tuesday,25461.89151,,
2004-05-05,Wednesday,25576.23483,,
2004-05-06,Thursday,25111.10483,,
2004-05-07,Friday,24933.67566,,start
2004-05-08,Saturday,24933.67566,imputed from 45,
2004-05-09,Sunday,24933.67566,imputed from 46,
2004-05-10,Monday,24258.69319,,
2004-05-11,Tuesday,24572.6267,,
2004-05-12,Wednesday,24266.31342,,
2004-05-13,Thursday,24595.92463,,
2004-05-14,Friday,24447.63474,,start
2004-05-15,Saturday,24447.63474,imputed from 52,
2004-05-16,Sunday,24447.63474,imputed from 53,
2004-05-17,Monday,24108.1896,,
2004-05-18,Tuesday,24207.17693,,
2004-05-19,Wednesday,24608.48932,,
2004-05-20,Thursday,24552.82109,,
2004-05-21,Friday,24518.03397,,start
2004-05-22,Saturday,24518.03397,imputed from 59,
2004-05-23,Sunday,24518.03397,imputed from 60,
2004-05-24,Monday,24769.56994,,
2004-05-25,Tuesday,24676.53964,,
2004-05-26,Wednesday,24956.95298,,
2004-05-27,Thursday,24896.28044,,
2004-05-28,Friday,24836.75411,,start
2004-05-29,Saturday,24836.75411,imputed from 66,
2004-05-30,Sunday,24836.75411,imputed from 67,
2004-05-31,Monday,24842.15861,,
2004-06-01,Tuesday,24685.59996,,
2004-06-02,Wednesday,24796.15895,,
2004-06-03,Thursday,24790.02556,,
2004-06-04,Friday,24840.79415,,start
2004-06-05,Saturday,24840.79415,imputed from 73,
2004-06-06,Sunday,24840.79415,imputed from 74,
2004-06-07,Monday,25151.09003,,
2004-06-08,Tuesday,25109.15291,,
2004-06-09,Wednesday,25022.62283,,
2004-06-10,Thursday,25036.19076,,
2004-06-11,Friday,25133.30006,,start
2004-06-12,Saturday,25133.30006,imputed from 80,
2004-06-13,Sunday,25133.30006,imputed from 81,
2004-06-14,Monday,24954.59555,,
2004-06-15,Tuesday,25269.41296,,
2004-06-16,Wednesday,25490.28076,,
2004-06-17,Thursday,25278.86569,,
2004-06-18,Friday,25311.20315,,start
2004-06-19,Saturday,25311.20315,imputed from 87,
2004-06-20,Sunday,25311.20315,imputed from 88,
2004-06-21,Monday,25415.50227,,
2004-06-22,Tuesday,25314.16517,,
2004-06-23,Wednesday,25488.46766,,
2004-06-24,Thursday,25562.13332,,
2004-06-25,Friday,25715.86411,,start
2004-06-26,Saturday,25715.86411,imputed from 94,
2004-06-27,Sunday,25715.86411,imputed from 95,
2004-06-28,Monday,25844.28467,,
2004-06-29,Tuesday,25920.59944,,
2004-06-30,Wednesday,25725.38683,,
2004-07-01,Thursday,25492.80746,,
2004-07-02,Friday,25445.37673,,start
2004-07-03,Saturday,25445.37673,imputed from 101,
2004-07-04,Sunday,25445.37673,imputed from 102,
