date,weekday,TFT1_Comdty_PX-LAST-CHF,imputed,TFT1_Comdty_start
2015-03-23,Monday,,,excluded
2015-03-24,Tuesday,,,excluded
2015-03-25,Wednesday,,,excluded
2015-03-26,Thursday,,,excluded
2015-03-27,Friday,12.76292,,start
2015-03-28,Saturday,12.76292,imputed from 4,
2015-03-29,Sunday,12.76292,imputed from 5,
2015-03-30,Monday,12.85033,,
2015-03-31,Tuesday,12.86243,,
2015-04-01,Wednesday,12.7966,,
2015-04-02,Thursday,12.76102,,
2015-04-03,Friday,12.65504,,start
2015-04-04,Saturday,12.65504,imputed from 11,
2015-04-05,Sunday,12.65504,imputed from 12,
2015-04-06,Monday,12.65504,imputed from 13,
2015-04-07,Tuesday,12.78613,,
2015-04-08,Wednesday,12.67759,,
2015-04-09,Thursday,12.84795,,
2015-04-10,Friday,12.86041,,start
2015-04-11,Saturday,12.86041,imputed from 18,
2015-04-12,Sunday,12.86041,imputed from 19,
2015-04-13,Monday,12.86103,,
2015-04-14,Tuesday,12.82943,,
2015-04-15,Wednesday,12.87277,,
2015-04-16,Thursday,12.76114,,
2015-04-17,Friday,12.68738,,start
2015-04-18,Saturday,12.68738,imputed from 25,
2015-04-19,Sunday,12.68738,imputed from 26,
2015-04-20,Monday,12.83156,,
2015-04-21,Tuesday,12.82921,,
2015-04-22,Wednesday,13.03832,,
2015-04-23,Thursday,12.82849,,
2015-04-24,Friday,12.81931,,start
2015-04-25,Saturday,12.81931,imputed from 32,
2015-04-26,Sunday,12.81931,imputed from 33,
2015-04-27,Monday,12.82066,,
2015-04-28,Tuesday,12.88367,,
2015-04-29,Wednesday,12.6641,,
2015-04-30,Thursday,12.70848,,
2015-05-01,Friday,12.70848,imputed from 38,start
2015-05-02,Saturday,12.70848,imputed from 39,
2015-05-03,Sunday,12.70848,imputed from 40,
2015-05-04,Monday,12.59478,,
2015-05-05,Tuesday,12.45002,,
2015-05-06,Wednesday,12.32499,,
2015-05-07,Thursday,12.37112,,
2015-05-08,Friday,12.50772,,start
2015-05-09,Saturday,12.50772,imputed from 46,
2015-05-10,Sunday,12.50772,imputed from 47,
2015-05-11,Monday,12.54353,,
2015-05-12,Tuesday,12.41029,,
2015-05-13,Wednesday,12.31544,,
2015-05-14,Thursday,12.26092,,
2015-05-15,Friday,12.31644,,start
2015-05-16,Saturday,12.31644,imputed from 53,
2015-05-17,Sunday,12.31644,imputed from 54,
2015-05-18,Monday,12.34981,,
2015-05-19,Tuesday,12.47693,,
2015-05-20,Wednesday,12.53286,,
2015-05-21,Thursday,12.48916,,
2015-05-22,Friday,12.6026,,start
2015-05-23,Saturday,12.6026,imputed from 60,
2015-05-24,Sunday,12.6026,imputed from 61,
2015-05-25,Monday,12.60479,,
2015-05-26,Tuesday,12.53298,,
2015-05-27,Wednesday,12.58632,,
2015-05-28,Thursday,12.39562,,
2015-05-29,Friday,12.37591,,start
2015-05-30,Saturday,12.37591,imputed from 67,
2015-05-31,Sunday,12.37591,imputed from 68,
2015-06-01,Monday,12.31794,,
2015-06-02,Tuesday,12.21559,,
2015-06-03,Wednesday,12.28548,,
2015-06-04,Thursday,12.23286,,
2015-06-05,Friday,12.3774,,start
2015-06-06,Saturday,12.3774,imputed from 74,
2015-06-07,Sunday,12.3774,imputed from 75,
2015-06-08,Monday,12.30019,,
2015-06-09,Tuesday,12.28099,,
2015-06-10,Wednesday,12.2258,,
2015-06-11,Thursday,12.27437,,
2015-06-12,Friday,12.09803,,start
2015-06-13,Saturday,12.09803,imputed from 81,
2015-06-14,Sunday,12.09803,imputed from 82,
2015-06-15,Monday,12.1444,,
2015-06-16,Tuesday,12.23425,,
2015-06-17,Wednesday,12.13393,,
2015-06-18,Thursday,12.13875,,
2015-06-19,Friday,12.06496,,start
2015-06-20,Saturday,12.06496,imputed from 88,
2015-06-21,Sunday,12.06496,imputed from 89,
2015-06-22,Monday,12.06496,imputed from 90,
2015-06-23,Tuesday,12.24911,,
2015-06-24,Wednesday,12.25216,,
2015-06-25,Thursday,12.24277,,
2015-06-26,Friday,12.21979,,start
2015-06-27,Saturday,12.21979,imputed from 95,
2015-06-28,Sunday,12.21979,imputed from 96,
2015-06-29,Monday,12.07199,,
2015-06-30,Tuesday,12.24847,,
2015-07-01,Wednesday,12.37952,,
2015-07-02,Thursday,12.34778,,
2015-07-03,Friday,12.39421,,start
2015-07-04,Saturday,12.39421,imputed from 102,
2015-07-05,Sunday,12.39421,imputed from 103,
2015-07-06,Monday,12.46711,,
2015-07-07,Tuesday,12.60331,,
2015-07-08,Wednesday,12.51045,,
2015-07-09,Thursday,12.58683,,
2015-07-10,Friday,12.45124,,start
2015-07-11,Saturday,12.45124,imputed from 109,
2015-07-12,Sunday,12.45124,imputed from 110,
2015-07-13,Monday,12.52919,,
2015-07-14,Tuesday,12.48148,,
2015-07-15,Wednesday,12.53686,,
2015-07-16,Thursday,12.65307,,
2015-07-17,Friday,12.68993,,start
2015-07-18,Saturday,12.68993,imputed from 116,
2015-07-19,Sunday,12.68993,imputed from 117,
2015-07-20,Monday,12.72413,,
2015-07-21,Tuesday,12.62382,,
2015-07-22,Wednesday,12.68504,,
2015-07-23,Thursday,12.64861,,
2015-07-24,Friday,12.73524,,start
2015-07-25,Saturday,12.73524,imputed from 123,
2015-07-26,Sunday,12.73524,imputed from 124,
2015-07-27,Monday,12.71468,,
2015-07-28,Tuesday,12.76837,,
2015-07-29,Wednesday,12.77257,,
2015-07-30,Thursday,12.85461,,
2015-07-31,Friday,12.73308,,start
2015-08-01,Saturday,12.73308,imputed from 130,
2015-08-02,Sunday,12.73308,imputed from 131,
2015-08-03,Monday,12.77018,,
2015-08-04,Tuesday,12.84315,,
2015-08-05,Wednesday,12.93837,,
2015-08-06,Thursday,12.94971,,
2015-08-07,Friday,12.9839,,start
2015-08-08,Saturday,12.9839,imputed from 137,
2015-08-09,Sunday,12.9839,imputed from 138,
2015-08-10,Monday,12.96872,,
2015-08-11,Tuesday,12.76051,,
2015-08-12,Wednesday,12.40989,,
2015-08-13,Thursday,12.47539,,
2015-08-14,Friday,12.4789,,start
2015-08-15,Saturday,12.4789,imputed from 144,
2015-08-16,Sunday,12.4789,imputed from 145,
2015-08-17,Monday,12.44567,,
2015-08-18,Tuesday,12.48684,,
2015-08-19,Wednesday,12.38883,,
2015-08-20,Thursday,12.31556,,
2015-08-21,Friday,12.13336,,start
2015-08-22,Saturday,12.13336,imputed from 151,
2015-08-23,Sunday,12.13336,imputed from 152,
2015-08-24,Monday,12.01881,,
2015-08-25,Tuesday,12.15081,,
2015-08-26,Wednesday,12.20856,,
2015-08-27,Thursday,12.48208,,
2015-08-28,Friday,12.48832,,start
2015-08-29,Saturday,12.48832,imputed from 158,
2015-08-30,Sunday,12.48832,imputed from 159,
2015-08-31,Monday,12.628,,
2015-09-01,Tuesday,12.61804,,
2015-09-02,Wednesday,12.68466,,
2015-09-03,Thursday,12.68466,imputed from 163,
2015-09-04,Friday,12.68466,imputed from 163,start
2015-09-05,Saturday,12.68466,imputed from 165,
2015-09-06,Sunday,12.68466,imputed from 166,
2015-09-07,Monday,12.72937,,
2015-09-08,Tuesday,12.7794,,
2015-09-09,Wednesday,12.70732,,
2015-09-10,Thursday,12.66668,,
2015-09-11,Friday,12.67536,,start
2015-09-12,Saturday,12.67536,imputed from 172,
2015-09-13,Sunday,12.67536,imputed from 173,
2015-09-14,Monday,12.61565,,
2015-09-15,Tuesday,12.72733,,
2015-09-16,Wednesday,12.62951,,
2015-09-17,Thursday,12.66779,,
2015-09-18,Friday,12.54867,,start
2015-09-19,Saturday,12.54867,imputed from 179,
2015-09-20,Sunday,12.54867,imputed from 180,
2015-09-21,Monday,12.63314,,
2015-09-22,Tuesday,12.65534,,
2015-09-23,Wednesday,12.70946,,
2015-09-24,Thursday,12.68072,,
2015-09-25,Friday,12.78663,,start
2015-09-26,Saturday,12.78663,imputed from 186,
2015-09-27,Sunday,12.78663,imputed from 187,
2015-09-28,Monday,12.76447,,
2015-09-29,Tuesday,12.7863,,
2015-09-30,Wednesday,12.84641,,
2015-10-01,Thursday,12.84641,imputed from 191,
2015-10-02,Friday,12.84641,imputed from 191,start
2015-10-03,Saturday,12.84641,imputed from 193,
2015-10-04,Sunday,12.84641,imputed from 194,
2015-10-05,Monday,12.84641,imputed from 195,
2015-10-06,Tuesday,12.84641,imputed from 196,
2015-10-07,Wednesday,12.84641,imputed from 197,
2015-10-08,Thursday,12.74553,,
2015-10-09,Friday,12.77817,,start
2015-10-10,Saturday,12.77817,imputed from 200,
2015-10-11,Sunday,12.77817,imputed from 201,
2015-10-12,Monday,12.8509,,
2015-10-13,Tuesday,12.82747,,
2015-10-14,Wednesday,12.7401,,
2015-10-15,Thursday,12.71406,,
2015-10-16,Friday,12.64616,,start
2015-10-17,Saturday,12.64616,imputed from 207,
2015-10-18,Sunday,12.64616,imputed from 208,
2015-10-19,Monday,12.71455,,
2015-10-20,Tuesday,12.82883,,
2015-10-21,Wednesday,12.8463,,
2015-10-22,Thursday,13.038,,
2015-10-23,Friday,13.17973,,start
2015-10-24,Saturday,13.17973,imputed from 214,
2015-10-25,Sunday,13.17973,imputed from 215,
2015-10-26,Monday,13.22096,,
2015-10-27,Tuesday,13.33831,,
2015-10-28,Wednesday,13.25642,,
2015-10-29,Thursday,13.27944,,
2015-10-30,Friday,13.30231,,start
2015-10-31,Saturday,13.30231,imputed from 221,
2015-11-01,Sunday,13.30231,imputed from 222,
2015-11-02,Monday,13.24704,,
2015-11-03,Tuesday,13.29313,,
2015-11-04,Wednesday,13.29465,,
2015-11-05,Thursday,13.34775,,
2015-11-06,Friday,13.40226,,start
2015-11-07,Saturday,13.40226,imputed from 228,
2015-11-08,Sunday,13.40226,imputed from 229,
2015-11-09,Monday,13.22295,,
2015-11-10,Tuesday,13.3158,,
2015-11-11,Wednesday,13.33554,,
2015-11-12,Thursday,13.27131,,
2015-11-13,Friday,13.36147,,start
2015-11-14,Saturday,13.36147,imputed from 235,
2015-11-15,Sunday,13.36147,imputed from 236,
2015-11-16,Monday,13.40596,,
2015-11-17,Tuesday,13.49965,,
2015-11-18,Wednesday,13.47978,,
2015-11-19,Thursday,13.46308,,
2015-11-20,Friday,13.56284,,start
2015-11-21,Saturday,13.56284,imputed from 242,
2015-11-22,Sunday,13.56284,imputed from 243,
2015-11-23,Monday,13.52078,,
2015-11-24,Tuesday,13.53809,,
2015-11-25,Wednesday,13.62398,,
2015-11-26,Thursday,13.68882,,
2015-11-27,Friday,13.74773,,start
2015-11-28,Saturday,13.74773,imputed from 249,
2015-11-29,Sunday,13.74773,imputed from 250,
2015-11-30,Monday,13.77236,,
2015-12-01,Tuesday,13.75285,,
2015-12-02,Wednesday,13.68815,,
2015-12-03,Thursday,13.39481,,
2015-12-04,Friday,13.39274,,start
2015-12-05,Saturday,13.39274,imputed from 256,
2015-12-06,Sunday,13.39274,imputed from 257,
2015-12-07,Monday,13.38868,,
2015-12-08,Tuesday,13.28072,,
2015-12-09,Wednesday,13.16031,,
2015-12-10,Thursday,13.18392,,
2015-12-11,Friday,13.08128,,start
2015-12-12,Saturday,13.08128,imputed from 263,
2015-12-13,Sunday,13.08128,imputed from 264,
2015-12-14,Monday,13.04638,,
2015-12-15,Tuesday,13.16875,,
2015-12-16,Wednesday,13.07752,,
2015-12-17,Thursday,13.196,,
2015-12-18,Friday,13.22948,,start
2015-12-19,Saturday,13.22948,imputed from 270,
2015-12-20,Sunday,13.22948,imputed from 271,
2015-12-21,Monday,13.23215,,
2015-12-22,Tuesday,13.164,,
2015-12-23,Wednesday,13.28229,,
2015-12-24,Thursday,13.23349,,
2015-12-25,Friday,13.2706,,start
2015-12-26,Saturday,13.2706,imputed from 277,
2015-12-27,Sunday,13.2706,imputed from 278,
2015-12-28,Monday,13.24678,,
2015-12-29,Tuesday,13.28859,,
2015-12-30,Wednesday,13.22688,,
2015-12-31,Thursday,13.34973,,
2016-01-01,Friday,13.34973,imputed from 283,start
2016-01-02,Saturday,13.34973,imputed from 284,
2016-01-03,Sunday,13.34973,imputed from 285,
2016-01-04,Monday,13.29,,
2016-01-05,Tuesday,13.34821,,
2016-01-06,Wednesday,13.35193,,
2016-01-07,Thursday,13.1231,,
2016-01-08,Friday,13.12318,,start
2016-01-09,Saturday,13.12318,imputed from 291,
2016-01-10,Sunday,13.12318,imputed from 292,
2016-01-11,Monday,13.2022,,
2016-01-12,Tuesday,13.30466,,
