date,weekday,TP1_Index_PX-LAST-CHF,imputed,TP1_Index_start
1997-08-15,Friday,12.4561,,start
1997-08-16,Saturday,12.4561,imputed from 0,
1997-08-17,Sunday,12.4561,imputed from 1,
1997-08-18,Monday,12.37501,,
1997-08-19,Tuesday,12.24358,,
1997-08-20,Wednesday,12.44327,,
1997-08-21,Thursday,12.349,,
1997-08-22,Friday,11.93294,,start
1997-08-23,Saturday,11.93294,imputed from 7,
1997-08-24,Sunday,11.93294,imputed from 8,
1997-08-25,Monday,11.86942,,
1997-08-26,Tuesday,11.89627,,
1997-08-27,Wednesday,11.73772,,
1997-08-28,Thursday,11.55536,,
1997-08-29,Friday,11.32834,,start
1997-08-30,Saturday,11.32834,imputed from 14,
1997-08-31,Sunday,11.32834,imputed from 15,
1997-09-01,Monday,11.1045,,
1997-09-02,Tuesday,11.28903,,
1997-09-03,Wednesday,11.60901,,
1997-09-04,Thursday,11.5599,,
1997-09-05,Friday,11.38267,,start
1997-09-06,Saturday,11.38267,imputed from 21,
1997-09-07,Sunday,11.38267,imputed from 22,
1997-09-08,Monday,11.391,,
1997-09-09,Tuesday,11.62173,,
1997-09-10,Wednesday,11.49729,,
1997-09-11,Thursday,11.1849,,
1997-09-12,Friday,10.81597,,start
1997-09-13,Saturday,10.81597,imputed from 28,
1997-09-14,Sunday,10.81597,imputed from 29,
1997-09-15,Monday,10.81597,imputed from 30,
1997-09-16,Tuesday,10.73275,,
1997-09-17,Wednesday,10.58437,,
1997-09-18,Thursday,10.75379,,
1997-09-19,Friday,10.71591,,start
1997-09-20,Saturday,10.71591,imputed from 35,
1997-09-21,Sunday,10.71591,imputed from 36,
1997-09-22,Monday,10.93636,,
1997-09-23,Tuesday,10.93636,imputed from 38,
1997-09-24,Wednesday,11.14721,,
1997-09-25,Thursday,10.98468,,
1997-09-26,Friday,10.75606,,start
1997-09-27,Saturday,10.75606,imputed from 42,
1997-09-28,Sunday,10.75606,imputed from 43,
1997-09-29,Monday,10.74123,,
1997-09-30,Tuesday,10.68654,,
1997-10-01,Wednesday,10.76959,,
1997-10-02,Thursday,10.50566,,
1997-10-03,Friday,10.56941,,start
1997-10-04,Saturday,10.56941,imputed from 49,
1997-10-05,Sunday,10.56941,imputed from 50,
1997-10-06,Monday,10.65598,,
1997-10-07,Tuesday,10.46633,,
1997-10-08,Wednesday,10.57991,,
1997-10-09,Thursday,10.52391,,
1997-10-10,Friday,10.52391,imputed from 55,start
1997-10-11,Saturday,10.52391,imputed from 56,
1997-10-12,Sunday,10.52391,imputed from 57,
1997-10-13,Monday,10.43664,,
1997-10-14,Tuesday,10.41887,,
1997-10-15,Wednesday,10.39598,,
1997-10-16,Thursday,10.74542,,
1997-10-17,Friday,10.74833,,start
1997-10-18,Saturday,10.74833,imputed from 63,
1997-10-19,Sunday,10.74833,imputed from 64,
1997-10-20,Monday,10.56674,,
1997-10-21,Tuesday,10.67001,,
1997-10-22,Wednesday,10.79169,,
1997-10-23,Thursday,10.31861,,
1997-10-24,Friday,10.34564,,start
1997-10-25,Saturday,10.34564,imputed from 70,
1997-10-26,Sunday,10.34564,imputed from 71,
1997-10-27,Monday,10.09486,,
1997-10-28,Tuesday,9.64616,,
1997-10-29,Wednesday,9.94508,,
1997-10-30,Thursday,9.58841,,
1997-10-31,Friday,9.59132,,start
1997-11-01,Saturday,9.59132,imputed from 77,
1997-11-02,Sunday,9.59132,imputed from 78,
1997-11-03,Monday,9.59132,imputed from 79,
1997-11-04,Tuesday,9.47378,,
1997-11-05,Wednesday,9.42429,,
1997-11-06,Thursday,9.3519,,
1997-11-07,Friday,8.88836,,start
1997-11-08,Saturday,8.88836,imputed from 84,
1997-11-09,Sunday,8.88836,imputed from 85,
1997-11-10,Monday,8.76578,,
1997-11-11,Tuesday,8.77706,,
1997-11-12,Wednesday,8.49404,,
1997-11-13,Thursday,8.54848,,
1997-11-14,Friday,8.4236,,start
1997-11-15,Saturday,8.4236,imputed from 91,
1997-11-16,Sunday,8.4236,imputed from 92,
1997-11-17,Monday,9.1322,,
1997-11-18,Tuesday,9.26042,,
1997-11-19,Wednesday,8.66514,,
1997-11-20,Thursday,8.95032,,
1997-11-21,Friday,9.25453,,start
1997-11-22,Saturday,9.25453,imputed from 98,
1997-11-23,Sunday,9.25453,imputed from 99,
1997-11-24,Monday,9.25453,imputed from 100,
1997-11-25,Tuesday,8.50349,,
1997-11-26,Wednesday,8.76543,,
1997-11-27,Thursday,9.07622,,
1997-11-28,Friday,9.08135,,start
1997-11-29,Saturday,9.08135,imputed from 105,
1997-11-30,Sunday,9.08135,imputed from 106,
1997-12-01,Monday,9.15952,,
1997-12-02,Tuesday,9.13477,,
1997-12-03,Wednesday,8.9223,,
1997-12-04,Thursday,8.73509,,
1997-12-05,Friday,8.84325,,start
1997-12-06,Saturday,8.84325,imputed from 112,
1997-12-07,Sunday,8.84325,imputed from 113,
1997-12-08,Monday,8.7632,,
1997-12-09,Tuesday,9.08692,,
1997-12-10,Wednesday,8.96396,,
1997-12-11,Thursday,8.62496,,
1997-12-12,Friday,8.42564,,start
1997-12-13,Saturday,8.42564,imputed from 119,
1997-12-14,Sunday,8.42564,imputed from 120,
1997-12-15,Monday,8.4154,,
1997-12-16,Tuesday,8.49109,,
1997-12-17,Wednesday,8.90727,,
1997-12-18,Thursday,8.65476,,
1997-12-19,Friday,8.31665,,start
1997-12-20,Saturday,8.31665,imputed from 126,
1997-12-21,Sunday,8.31665,imputed from 127,
1997-12-22,Monday,7.9434,,
1997-12-23,Tuesday,7.9434,imputed from 129,
1997-12-24,Wednesday,8.13478,,
1997-12-25,Thursday,8.29291,,
1997-12-26,Friday,7.99367,,start
1997-12-27,Saturday,7.99367,imputed from 133,
1997-12-28,Sunday,7.99367,imputed from 134,
1997-12-29,Monday,8.2397,,
1997-12-30,Tuesday,8.53318,,
1997-12-31,Wednesday,8.53318,imputed from 137,
1998-01-01,Thursday,8.53318,imputed from 138,
1998-01-02,Friday,8.53318,imputed from 137,start
1998-01-03,Saturday,8.53318,imputed from 140,
1998-01-04,Sunday,8.53318,imputed from 141,
1998-01-05,Monday,8.32501,,
1998-01-06,Tuesday,8.23791,,
1998-01-07,Wednesday,8.39554,,
