date,weekday,TU1_Comdty_PX-LAST,TU1_Comdty_CURRENCY-USD,TU1_Comdty_PX-LAST-CHF,imputed,TU1_Comdty_start
1997-08-15,Friday,84.9921875,1.5067,128.05772890625,,start
1997-08-16,Saturday,,,128.05772890625,imputed from 0,
1997-08-17,Sunday,,,128.05772890625,imputed from 1,
1997-08-18,Monday,85.05859375,1.5177,129.093427734375,,
1997-08-19,Tuesday,85.01953125,1.5147,128.779083984375,,
1997-08-20,Wednesday,84.953125,1.5243,129.4940484375,,
1997-08-21,Thursday,84.8984375,1.513,128.4513359375,,
1997-08-22,Friday,84.87890625,1.4987,127.208016796875,,start
1997-08-23,Saturday,,,127.208016796875,imputed from 7,
1997-08-24,Sunday,,,127.208016796875,imputed from 8,
1997-08-25,Monday,84.8125,1.498,127.049125,,
1997-08-26,Tuesday,84.8125,1.4845,125.90415625,,
1997-08-27,Wednesday,84.80078125,1.496,126.86196875,,
1997-08-28,Thursday,84.921875,1.4815,125.8117578125,,
1997-08-29,Friday,84.8515625,1.4925,126.64095703125,,start
1997-08-30,Saturday,,,126.64095703125,imputed from 14,
1997-08-31,Sunday,,,126.64095703125,imputed from 15,
1997-09-01,Monday,,1.4927,126.64095703125,imputed from 16,
1997-09-02,Tuesday,84.90234375,1.5068,127.9308515625,,
1997-09-03,Wednesday,84.87890625,1.5008,127.38626249999999,,
1997-09-04,Thursday,84.87109375,1.4978,127.11992421875,,
1997-09-05,Friday,84.87890625,1.4783,125.476487109375,,start
1997-09-06,Saturday,,,125.476487109375,imputed from 21,
1997-09-07,Sunday,,,125.476487109375,imputed from 22,
1997-09-08,Monday,84.8828125,1.4855,126.09341796875,,
1997-09-09,Tuesday,84.86328125,1.4875,126.234130859375,,
1997-09-10,Wednesday,84.84375,1.4793,125.509359375,,
1997-09-11,Thursday,84.83203125,1.473,124.95758203125001,,
1997-09-12,Friday,84.953125,1.4633,124.31190781250001,,start
1997-09-13,Saturday,,,124.31190781250001,imputed from 28,
1997-09-14,Sunday,,,124.31190781250001,imputed from 29,
1997-09-15,Monday,84.96875,1.446,122.8648125,,
1997-09-16,Tuesday,85.171875,1.4515,123.6269765625,,
1997-09-17,Wednesday,85.19140625,1.4615,124.507240234375,,
1997-09-18,Thursday,85.171875,1.466,124.86196875,,
1997-09-19,Friday,85.16015625,1.4623,124.529696484375,,start
1997-09-20,Saturday,,,124.529696484375,imputed from 35,
1997-09-21,Sunday,,,124.529696484375,imputed from 36,
1997-09-22,Monday,85.19140625,1.4693,125.171733203125,,
1997-09-23,Tuesday,85.140625,1.4703,125.18226093749999,,
1997-09-24,Wednesday,85.21875,1.4573,124.189284375,,
1997-09-25,Thursday,85.109375,1.4503,123.4341265625,,
1997-09-26,Friday,85.1875,1.4512,123.6241,,start
1997-09-27,Saturday,,,123.6241,imputed from 42,
1997-09-28,Sunday,,,123.6241,imputed from 43,
1997-09-29,Monday,85.1875,1.4541,123.87114375,,
1997-09-30,Tuesday,85.15234375,1.4476,123.2665328125,,
1997-10-01,Wednesday,85.26171875,1.4605,124.52474023437499,,
1997-10-02,Thursday,85.2890625,1.4553,124.12117265625,,
1997-10-03,Friday,85.328125,1.4475,123.5124609375,,start
1997-10-04,Saturday,,,123.5124609375,imputed from 49,
1997-10-05,Sunday,,,123.5124609375,imputed from 50,
1997-10-06,Monday,85.37890625,1.4488,123.696959375,,
1997-10-07,Tuesday,85.41015625,1.4487,123.73369335937501,,
1997-10-08,Wednesday,85.21875,1.443,122.97065625,,
1997-10-09,Thursday,85.19921875,1.4573,124.160821484375,,
1997-10-10,Friday,85.140625,1.4571,124.0584046875,,start
1997-10-11,Saturday,,,124.0584046875,imputed from 56,
1997-10-12,Sunday,,,124.0584046875,imputed from 57,
1997-10-13,Monday,,1.4623,124.0584046875,imputed from 58,
1997-10-14,Tuesday,85.21875,1.4613,124.530159375,,
1997-10-15,Wednesday,85.16796875,1.4585,124.21748242187499,,
1997-10-16,Thursday,85.171875,1.4565,124.05283593749999,,
1997-10-17,Friday,85.05859375,1.4759,125.537978515625,,start
1997-10-18,Saturday,,,125.537978515625,imputed from 63,
1997-10-19,Sunday,,,125.537978515625,imputed from 64,
1997-10-20,Monday,85.078125,1.4723,125.2605234375,,
1997-10-21,Tuesday,85.0625,1.489,126.65806250000001,,
1997-10-22,Wednesday,85.0703125,1.4826,126.1252453125,,
1997-10-23,Thursday,85.2421875,1.4633,124.73489296875,,
1997-10-24,Friday,85.26171875,1.4661,125.002205859375,,start
1997-10-25,Saturday,,,125.002205859375,imputed from 70,
1997-10-26,Sunday,,,125.002205859375,imputed from 71,
1997-10-27,Monday,85.49609375,1.4428,123.3537640625,,
1997-10-28,Tuesday,85.31640625,1.4268,121.72944843750001,,
1997-10-29,Wednesday,85.41796875,1.4125,120.652880859375,,
1997-10-30,Thursday,85.49609375,1.3973,119.463691796875,,
1997-10-31,Friday,85.49609375,1.3995,119.65178320312499,,start
1997-11-01,Saturday,,,119.65178320312499,imputed from 77,
1997-11-02,Sunday,,,119.65178320312499,imputed from 78,
1997-11-03,Monday,85.37109375,1.4143,120.74033789062499,,
1997-11-04,Tuesday,85.31640625,1.4033,119.724512890625,,
1997-11-05,Wednesday,85.3203125,1.4033,119.72999453125,,
1997-11-06,Thursday,85.359375,1.4115,120.48475781249999,,
1997-11-07,Friday,85.33984375,1.392,118.79306249999999,,start
1997-11-08,Saturday,,,118.79306249999999,imputed from 84,
1997-11-09,Sunday,,,118.79306249999999,imputed from 85,
1997-11-10,Monday,85.3203125,1.387,118.3392734375,,
1997-11-11,Tuesday,,1.392,118.3392734375,imputed from 87,
1997-11-12,Wednesday,85.359375,1.3922,118.83732187500001,,
1997-11-13,Thursday,85.38671875,1.4,119.54140625,,
1997-11-14,Friday,85.37890625,1.405,119.95736328125,,start
1997-11-15,Saturday,,,119.95736328125,imputed from 91,
1997-11-16,Sunday,,,119.95736328125,imputed from 92,
1997-11-17,Monday,85.3984375,1.4088,120.30931875,,
1997-11-18,Tuesday,85.3671875,1.4055,119.98358203125,,
1997-11-19,Wednesday,85.41015625,1.4051,120.009810546875,,
1997-11-20,Thursday,85.3515625,1.4125,120.55908203125001,,
1997-11-21,Friday,85.4375,1.41,120.46687499999999,,start
1997-11-22,Saturday,,,120.46687499999999,imputed from 98,
1997-11-23,Sunday,,,120.46687499999999,imputed from 99,
1997-11-24,Monday,85.33984375,1.4055,119.945150390625,,
1997-11-25,Tuesday,85.328125,1.4125,120.5259765625,,
1997-11-26,Wednesday,85.30078125,1.4174,120.90532734375,,
1997-11-27,Thursday,,1.424,120.90532734375,imputed from 103,
1997-11-28,Friday,85.2421875,1.4269,121.63207734375,,start
