date,weekday,TY1_Comdty_PX-LAST,TY1_Comdty_CURRENCY-USD,TY1_Comdty_PX-LAST-CHF,imputed,TY1_Comdty_start
1997-08-15,Friday,57.875,1.5067,87.2002625,,start
1997-08-16,Saturday,,,87.2002625,imputed from 0,
1997-08-17,Sunday,,,87.2002625,imputed from 1,
1997-08-18,Monday,58.046875,1.5177,88.0977421875,,
1997-08-19,Tuesday,58.046875,1.5147,87.9236015625,,
1997-08-20,Wednesday,57.984375,1.5243,88.3855828125,,
1997-08-21,Thursday,57.78125,1.513,87.42303125,,
1997-08-22,Friday,57.578125,1.4987,86.2923359375,,start
1997-08-23,Saturday,,,86.2923359375,imputed from 7,
1997-08-24,Sunday,,,86.2923359375,imputed from 8,
1997-08-25,Monday,57.515625,1.498,86.15840625,,
1997-08-26,Tuesday,57.546875,1.4845,85.4283359375,,
1997-08-27,Wednesday,57.546875,1.496,86.090125,,
1997-08-28,Thursday,57.8125,1.4815,85.64921875,,
1997-08-29,Friday,57.6875,1.4925,86.09859374999999,,start
1997-08-30,Saturday,,,86.09859374999999,imputed from 14,
1997-08-31,Sunday,,,86.09859374999999,imputed from 15,
1997-09-01,Monday,,1.4927,86.09859374999999,imputed from 16,
1997-09-02,Tuesday,57.78125,1.5068,87.0647875,,
1997-09-03,Wednesday,57.734375,1.5008,86.64774999999999,,
1997-09-04,Thursday,57.734375,1.4978,86.474546875,,
1997-09-05,Friday,57.640625,1.4783,85.2101359375,,start
1997-09-06,Saturday,,,85.2101359375,imputed from 21,
1997-09-07,Sunday,,,85.2101359375,imputed from 22,
1997-09-08,Monday,57.71875,1.4855,85.741203125,,
1997-09-09,Tuesday,57.703125,1.4875,85.83339843750001,,
1997-09-10,Wednesday,57.640625,1.4793,85.2677765625,,
1997-09-11,Thursday,57.5625,1.473,84.7895625,,
1997-09-12,Friday,57.875,1.4633,84.68848750000001,,start
1997-09-13,Saturday,,,84.68848750000001,imputed from 28,
1997-09-14,Sunday,,,84.68848750000001,imputed from 29,
1997-09-15,Monday,57.890625,1.446,83.70984374999999,,
1997-09-16,Tuesday,58.484375,1.4515,84.8900703125,,
1997-09-17,Wednesday,58.53125,1.4615,85.543421875,,
1997-09-18,Thursday,58.5,1.466,85.761,,
1997-09-19,Friday,58.53125,1.4623,85.59024687499999,,start
1997-09-20,Saturday,,,85.59024687499999,imputed from 35,
1997-09-21,Sunday,,,85.59024687499999,imputed from 36,
1997-09-22,Monday,58.640625,1.4693,86.1606703125,,
1997-09-23,Tuesday,58.53125,1.4703,86.058496875,,
1997-09-24,Wednesday,58.671875,1.4573,85.5025234375,,
1997-09-25,Thursday,58.390625,1.4503,84.6839234375,,
1997-09-26,Friday,58.546875,1.4512,84.96322500000001,,start
1997-09-27,Saturday,,,84.96322500000001,imputed from 42,
1997-09-28,Sunday,,,84.96322500000001,imputed from 43,
1997-09-29,Monday,58.515625,1.4541,85.08757031249999,,
1997-09-30,Tuesday,58.4375,1.4476,84.594125,,
1997-10-01,Wednesday,58.703125,1.4605,85.7359140625,,
1997-10-02,Thursday,58.796875,1.4553,85.56709218750001,,
1997-10-03,Friday,58.8125,1.4475,85.13109375,,start
1997-10-04,Saturday,,,85.13109375,imputed from 49,
1997-10-05,Sunday,,,85.13109375,imputed from 50,
1997-10-06,Monday,58.96875,1.4488,85.433925,,
1997-10-07,Tuesday,59.0625,1.4487,85.56384375,,
1997-10-08,Wednesday,58.59375,1.443,84.55078125,,
1997-10-09,Thursday,58.546875,1.4573,85.3203609375,,
1997-10-10,Friday,58.328125,1.4571,84.9899109375,,start
1997-10-11,Saturday,,,84.9899109375,imputed from 56,
1997-10-12,Sunday,,,84.9899109375,imputed from 57,
1997-10-13,Monday,,1.4623,84.9899109375,imputed from 58,
1997-10-14,Tuesday,58.578125,1.4613,85.6002140625,,
1997-10-15,Wednesday,58.484375,1.4585,85.2994609375,,
1997-10-16,Thursday,58.484375,1.4565,85.18249218749999,,
1997-10-17,Friday,58.25,1.4759,85.971175,,start
1997-10-18,Saturday,,,85.971175,imputed from 63,
1997-10-19,Sunday,,,85.971175,imputed from 64,
1997-10-20,Monday,58.296875,1.4723,85.83048906249999,,
1997-10-21,Tuesday,58.296875,1.489,86.80404687500001,,
1997-10-22,Wednesday,58.34375,1.4826,86.50044375,,
1997-10-23,Thursday,58.65625,1.4633,85.83169062500001,,
1997-10-24,Friday,58.734375,1.4661,86.11046718749999,,start
1997-10-25,Saturday,,,86.11046718749999,imputed from 70,
1997-10-26,Sunday,,,86.11046718749999,imputed from 71,
1997-10-27,Monday,59.09375,1.4428,85.2604625,,
1997-10-28,Tuesday,58.828125,1.4268,83.93596875,,
1997-10-29,Wednesday,59.0625,1.4125,83.42578125,,
1997-10-30,Thursday,59.265625,1.3973,82.8118578125,,
1997-10-31,Friday,59.3125,1.3995,83.00784374999999,,start
1997-11-01,Saturday,,,83.00784374999999,imputed from 77,
1997-11-02,Sunday,,,83.00784374999999,imputed from 78,
1997-11-03,Monday,59.078125,1.4143,83.55419218749999,,
1997-11-04,Tuesday,58.9375,1.4033,82.70699375,,
1997-11-05,Wednesday,58.953125,1.4033,82.7289203125,,
1997-11-06,Thursday,59.140625,1.4115,83.4769921875,,
1997-11-07,Friday,59.109375,1.392,82.28025,,start
1997-11-08,Saturday,,,82.28025,imputed from 84,
1997-11-09,Sunday,,,82.28025,imputed from 85,
1997-11-10,Monday,59.09375,1.387,81.96303125,,
1997-11-11,Tuesday,,1.392,81.96303125,imputed from 87,
1997-11-12,Wednesday,59.140625,1.3922,82.33557812500001,,
1997-11-13,Thursday,59.1875,1.4,82.8625,,
1997-11-14,Friday,59.21875,1.405,83.20234375,,start
1997-11-15,Saturday,,,83.20234375,imputed from 91,
1997-11-16,Sunday,,,83.20234375,imputed from 92,
1997-11-17,Monday,59.265625,1.4088,83.4934125,,
1997-11-18,Tuesday,59.265625,1.4055,83.2978359375,,
1997-11-19,Wednesday,59.390625,1.4051,83.4497671875,,
1997-11-20,Thursday,59.3125,1.4125,83.77890625,,
1997-11-21,Friday,59.40625,1.41,83.7628125,,start
1997-11-22,Saturday,,,83.7628125,imputed from 98,
1997-11-23,Sunday,,,83.7628125,imputed from 99,
1997-11-24,Monday,59.25,1.4055,83.275875,,
1997-11-25,Tuesday,59.265625,1.4125,83.7126953125,,
1997-11-26,Wednesday,59.234375,1.4174,83.958803125,,
1997-11-27,Thursday,,1.424,83.958803125,imputed from 103,
1997-11-28,Friday,59.234375,1.4269,84.5215296875,,start
1997-11-29,Saturday,,,84.5215296875,imputed from 105,
1997-11-30,Sunday,,,84.5215296875,imputed from 106,
1997-12-01,Monday,59.265625,1.4315,84.8387421875,,
1997-12-02,Tuesday,59.265625,1.4335,84.9572734375,,
1997-12-03,Wednesday,59.34375,1.4305,84.89123437500001,,
1997-12-04,Thursday,59.34375,1.4323,84.998053125,,
1997-12-05,Friday,59.109375,1.44,85.11749999999999,,start
1997-12-06,Saturday,,,85.11749999999999,imputed from 112,
1997-12-07,Sunday,,,85.11749999999999,imputed from 113,
1997-12-08,Monday,58.921875,1.4578,85.896309375,,
1997-12-09,Tuesday,58.96875,1.4543,85.758253125,,
1997-12-10,Wednesday,59.15625,1.4468,85.58726250000001,,
1997-12-11,Thursday,59.421875,1.4235,84.5870390625,,
1997-12-12,Friday,59.6875,1.437,85.7709375,,start
1997-12-13,Saturday,,,85.7709375,imputed from 119,
1997-12-14,Sunday,,,85.7709375,imputed from 120,
1997-12-15,Monday,59.5625,1.4333,85.37093125,,
1997-12-16,Tuesday,59.578125,1.4398,85.780584375,,
1997-12-17,Wednesday,59.484375,1.4363,85.4374078125,,
1997-12-18,Thursday,59.625,1.4373,85.6990125,,
1997-12-19,Friday,59.8125,1.4355,85.86084375,,start
1997-12-20,Saturday,,,85.86084375,imputed from 126,
1997-12-21,Sunday,,,85.86084375,imputed from 127,
1997-12-22,Monday,59.78125,1.4377,85.947503125,,
1997-12-23,Tuesday,59.765625,1.4333,85.6620703125,,
1997-12-24,Wednesday,59.71875,1.4325,85.547109375,,
1997-12-25,Thursday,,1.4331,85.547109375,imputed from 131,
1997-12-26,Friday,59.71875,1.434,85.6366875,,start
1997-12-27,Saturday,,,85.6366875,imputed from 133,
1997-12-28,Sunday,,,85.6366875,imputed from 134,
1997-12-29,Monday,59.65625,1.4485,86.412078125,,
1997-12-30,Tuesday,59.484375,1.4533,86.4486421875,,
1997-12-31,Wednesday,59.65625,1.4619,87.211471875,,
1998-01-01,Thursday,,1.4593,87.211471875,imputed from 138,
1998-01-02,Friday,59.96875,1.4702,88.16605625,,start
1998-01-03,Saturday,,,88.16605625,imputed from 140,
1998-01-04,Sunday,,,88.16605625,imputed from 141,
1998-01-05,Monday,60.484375,1.4805,89.54711718749999,,
1998-01-06,Tuesday,60.53125,1.4842,89.84048125,,
1998-01-07,Wednesday,60.390625,1.4783,89.2754609375,,
1998-01-08,Thursday,60.625,1.4767,89.5249375,,
1998-01-09,Friday,60.9375,1.477,90.0046875,,start
1998-01-10,Saturday,,,90.0046875,imputed from 147,
1998-01-11,Sunday,,,90.0046875,imputed from 148,
1998-01-12,Monday,60.9375,1.4768,89.99249999999999,,
1998-01-13,Tuesday,60.828125,1.478,89.90396875,,
1998-01-14,Wednesday,60.6875,1.4833,90.01776875,,
1998-01-15,Thursday,60.65625,1.498,90.8630625,,
1998-01-16,Friday,60.4375,1.4977,90.51724375,,start
1998-01-17,Saturday,,,90.51724375,imputed from 154,
1998-01-18,Sunday,,,90.51724375,imputed from 155,
1998-01-19,Monday,,1.4978,90.51724375,imputed from 156,
1998-01-20,Tuesday,60.359375,1.4957,90.2795171875,,
1998-01-21,Wednesday,60.4375,1.4753,89.16344375,,
1998-01-22,Thursday,60.4375,1.469,88.78268750000001,,
1998-01-23,Friday,59.9375,1.44,86.31,,start
1998-01-24,Saturday,,,86.31,imputed from 161,
1998-01-25,Sunday,,,86.31,imputed from 162,
1998-01-26,Monday,60.171875,1.4548,87.53804375,,
1998-01-27,Tuesday,59.953125,1.4485,86.84210156249999,,
1998-01-28,Wednesday,59.953125,1.465,87.831328125,,
1998-01-29,Thursday,60.359375,1.4742,88.981790625,,
1998-01-30,Friday,60.484375,1.4762,89.28703437499999,,start
1998-01-31,Saturday,,,89.28703437499999,imputed from 168,
1998-02-01,Sunday,,,89.28703437499999,imputed from 169,
1998-02-02,Monday,60.34375,1.4723,88.84410312499999,,
1998-02-03,Tuesday,60.375,1.4643,88.4071125,,
1998-02-04,Wednesday,60.375,1.4515,87.63431250000001,,
1998-02-05,Thursday,60.1875,1.4438,86.8987125,,
1998-02-06,Friday,60.171875,1.4583,87.7486453125,,start
1998-02-07,Saturday,,,87.7486453125,imputed from 175,
1998-02-08,Sunday,,,87.7486453125,imputed from 176,
1998-02-09,Monday,60.046875,1.4658,88.016709375,,
1998-02-10,Tuesday,60.125,1.4613,87.8606625,,
1998-02-11,Wednesday,60.3125,1.4635,88.26734375,,
1998-02-12,Thursday,60.265625,1.4538,87.614165625,,
1998-02-13,Friday,60.390625,1.4607,88.21258593750001,,start
1998-02-14,Saturday,,,88.21258593750001,imputed from 182,
1998-02-15,Sunday,,,88.21258593750001,imputed from 183,
1998-02-16,Monday,,1.4601,88.21258593750001,imputed from 184,
1998-02-17,Tuesday,60.53125,1.4725,89.13226562499999,,
1998-02-18,Wednesday,60.421875,1.4716,88.91683125,,
1998-02-19,Thursday,60.375,1.4663,88.5278625,,
1998-02-20,Friday,60.28125,1.4667,88.414509375,,start
1998-02-21,Saturday,,,88.414509375,imputed from 189,
1998-02-22,Sunday,,,88.414509375,imputed from 190,
1998-02-23,Monday,60.125,1.4503,87.1992875,,
1998-02-24,Tuesday,59.765625,1.4523,86.7976171875,,
1998-02-25,Wednesday,59.9375,1.4686,88.02421249999999,,
1998-02-26,Thursday,59.84375,1.468,87.850625,,
1998-02-27,Friday,59.921875,1.4653,87.8035234375,,start
1998-02-28,Saturday,,,87.8035234375,imputed from 196,
1998-03-01,Sunday,,,87.8035234375,imputed from 197,
1998-03-02,Monday,59.640625,1.4677,87.5345453125,,
1998-03-03,Tuesday,59.453125,1.4692,87.34853125000001,,
1998-03-04,Wednesday,59.484375,1.4801,88.0428234375,,
1998-03-05,Thursday,59.4375,1.4923,88.69858125,,
1998-03-06,Friday,59.59375,1.4905,88.824484375,,start
1998-03-07,Saturday,,,88.824484375,imputed from 203,
1998-03-08,Sunday,,,88.824484375,imputed from 204,
1998-03-09,Monday,59.75,1.4868,88.8363,,
1998-03-10,Tuesday,59.765625,1.49,89.05078125,,
1998-03-11,Wednesday,59.90625,1.49,89.2603125,,
1998-03-12,Thursday,60.125,1.4865,89.3758125,,
1998-03-13,Friday,60.078125,1.475,88.615234375,,start
1998-03-14,Saturday,,,88.615234375,imputed from 210,
1998-03-15,Sunday,,,88.615234375,imputed from 211,
1998-03-16,Monday,60.203125,1.4799,89.0946046875,,
1998-03-17,Tuesday,60.140625,1.4805,89.0381953125,,
1998-03-18,Wednesday,60.078125,1.4918,89.62454687500001,,
1998-03-19,Thursday,60.03125,1.4965,89.836765625,,
1998-03-20,Friday,60.09375,1.4985,90.050484375,,start
1998-03-21,Saturday,,,90.050484375,imputed from 217,
1998-03-22,Sunday,,,90.050484375,imputed from 218,
1998-03-23,Monday,60.109375,1.4887,89.48482656249999,,
1998-03-24,Tuesday,60.109375,1.4903,89.58100156249999,,
1998-03-25,Wednesday,59.890625,1.4938,89.46461562500001,,
1998-03-26,Thursday,59.765625,1.4876,88.90734375,,
1998-03-27,Friday,59.71875,1.4981,89.464659375,,start
1998-03-28,Saturday,,,89.464659375,imputed from 224,
1998-03-29,Sunday,,,89.464659375,imputed from 225,
1998-03-30,Monday,59.609375,1.5232,90.79700000000001,,
1998-03-31,Tuesday,59.78125,1.5223,91.004996875,,
1998-04-01,Wednesday,59.9375,1.5329,91.87819375,,
1998-04-02,Thursday,60.109375,1.5332,92.15969374999999,,
1998-04-03,Friday,60.453125,1.5266,92.287740625,,start
1998-04-04,Saturday,,,92.287740625,imputed from 231,
1998-04-05,Sunday,,,92.287740625,imputed from 232,
1998-04-06,Monday,60.296875,1.5271,92.07935781249999,,
1998-04-07,Tuesday,60.234375,1.5248,91.84537499999999,,
1998-04-08,Wednesday,60.09375,1.5078,90.60935625,,
1998-04-09,Thursday,60.09375,1.5168,91.1502,,
1998-04-10,Friday,60.09375,1.5152,91.05405,imputed from 237,start
1998-04-11,Saturday,,,91.05405,imputed from 238,
1998-04-12,Sunday,,,91.05405,imputed from 239,
1998-04-13,Monday,59.84375,1.5102,90.37603125,,
1998-04-14,Tuesday,59.9375,1.4928,89.4747,,
1998-04-15,Wednesday,60.015625,1.4961,89.7893765625,,
1998-04-16,Thursday,60.046875,1.5036,90.28648125000001,,
1998-04-17,Friday,60.078125,1.4995,90.0871484375,,start
1998-04-18,Saturday,,,90.0871484375,imputed from 245,
1998-04-19,Sunday,,,90.0871484375,imputed from 246,
1998-04-20,Monday,59.9375,1.4976,89.7624,,
1998-04-21,Tuesday,59.78125,1.4821,88.60179062499999,,
1998-04-22,Wednesday,59.78125,1.4867,88.876784375,,
1998-04-23,Thursday,59.75,1.4892,88.97970000000001,,
1998-04-24,Friday,59.828125,1.4915,89.23364843750001,,start
1998-04-25,Saturday,,,89.23364843750001,imputed from 252,
1998-04-26,Sunday,,,89.23364843750001,imputed from 253,
1998-04-27,Monday,59.359375,1.4866,88.243646875,,
1998-04-28,Tuesday,59.34375,1.4938,88.64769375,,
1998-04-29,Wednesday,59.328125,1.4983,88.8913296875,,
1998-04-30,Thursday,59.75,1.5013,89.702675,,
1998-05-01,Friday,59.78125,1.4923,89.211559375,,start
1998-05-02,Saturday,,,89.211559375,imputed from 259,
1998-05-03,Sunday,,,89.211559375,imputed from 260,
1998-05-04,Monday,59.78125,1.4898,89.06210625,,
1998-05-05,Tuesday,59.703125,1.4788,88.28898124999999,,
1998-05-06,Wednesday,59.84375,1.4733,88.16779687500001,,
1998-05-07,Thursday,59.84375,1.4729,88.143859375,,
1998-05-08,Friday,59.71875,1.4816,88.4793,,start
1998-05-09,Saturday,,,88.4793,imputed from 266,
1998-05-10,Sunday,,,88.4793,imputed from 267,
1998-05-11,Monday,59.484375,1.4848,88.32239999999999,,
1998-05-12,Tuesday,59.765625,1.4808,88.50093749999999,,
1998-05-13,Wednesday,59.796875,1.4806,88.535253125,,
1998-05-14,Thursday,59.6875,1.4805,88.36734374999999,,
1998-05-15,Friday,59.6875,1.4868,88.743375,,start
1998-05-16,Saturday,,,88.743375,imputed from 273,
1998-05-17,Sunday,,,88.743375,imputed from 274,
1998-05-18,Monday,59.84375,1.4855,88.897890625,,
1998-05-19,Tuesday,59.796875,1.4798,88.487415625,,
1998-05-20,Wednesday,59.9375,1.477,88.5276875,,
1998-05-21,Thursday,59.765625,1.4643,87.51480468749999,,
1998-05-22,Friday,59.84375,1.4656,87.70700000000001,,start
1998-05-23,Saturday,,,87.70700000000001,imputed from 280,
1998-05-24,Sunday,,,87.70700000000001,imputed from 281,
1998-05-25,Monday,,1.4721,87.70700000000001,imputed from 282,
1998-05-26,Tuesday,59.984375,1.4705,88.2070234375,,
1998-05-27,Wednesday,60.109375,1.4743,88.6192515625,,
1998-05-28,Thursday,60.078125,1.4751,88.6212421875,,
1998-05-29,Friday,60.109375,1.4831,89.1482140625,,start
1998-05-30,Saturday,,,89.1482140625,imputed from 287,
1998-05-31,Sunday,,,89.1482140625,imputed from 288,
1998-06-01,Monday,60.203125,1.4765,88.8899140625,,
1998-06-02,Tuesday,60.140625,1.4798,88.996096875,,
1998-06-03,Wednesday,60.109375,1.4746,88.637284375,,
1998-06-04,Thursday,60.015625,1.4708,88.27098125,,
1998-06-05,Friday,60.078125,1.478,88.79546875,,start
1998-06-06,Saturday,,,88.79546875,imputed from 294,
1998-06-07,Sunday,,,88.79546875,imputed from 295,
1998-06-08,Monday,60.078125,1.4795,88.8855859375,,
1998-06-09,Tuesday,60.046875,1.4773,88.7072484375,,
1998-06-10,Wednesday,60.265625,1.4847,89.4763734375,,
1998-06-11,Thursday,60.546875,1.496,90.578125,,
1998-06-12,Friday,60.625,1.4977,90.7980625,,start
1998-06-13,Saturday,,,90.7980625,imputed from 301,
1998-06-14,Sunday,,,90.7980625,imputed from 302,
1998-06-15,Monday,60.703125,1.5058,91.406765625,,
1998-06-16,Tuesday,60.453125,1.4966,90.474146875,,
1998-06-17,Wednesday,60.15625,1.4888,89.56062499999999,,
1998-06-18,Thursday,60.265625,1.4961,90.1634015625,,
1998-06-19,Friday,60.375,1.4949,90.2545875,,start
1998-06-20,Saturday,,,90.2545875,imputed from 308,
1998-06-21,Sunday,,,90.2545875,imputed from 309,
1998-06-22,Monday,60.40625,1.4967,90.410034375,,
1998-06-23,Tuesday,60.46875,1.505,91.00546874999999,,
1998-06-24,Wednesday,60.421875,1.508,91.1161875,,
1998-06-25,Thursday,60.40625,1.5167,91.61815937499999,,
