date,weekday,UB1_Comdty_PX-LAST,UB1_Comdty_CURRENCY-EUR,UB1_Comdty_PX-LAST-CHF,imputed,UB1_Comdty_start
1999-01-01,Friday,,1.6002,,,excluded
1999-01-02,Saturday,,,,,excluded
1999-01-03,Sunday,,,,,excluded
1999-01-04,Monday,,1.61635,,,excluded
1999-01-05,Tuesday,,1.61525,,,excluded
1999-01-06,Wednesday,,1.62,,,excluded
1999-01-07,Thursday,,1.61175,,,excluded
1999-01-08,Friday,66.53,1.6151,107.452603,,start
1999-01-09,Saturday,,,107.452603,imputed from 7,
1999-01-10,Sunday,,,107.452603,imputed from 8,
1999-01-11,Monday,65.8,1.61,105.938,,
1999-01-12,Tuesday,66.39,1.6045,106.522755,,
1999-01-13,Wednesday,66.33,1.5903,105.484599,,
1999-01-14,Thursday,66.44,1.5878,105.493432,,
1999-01-15,Friday,66.56,1.5989,106.42278400000001,,start
1999-01-16,Saturday,,,106.42278400000001,imputed from 14,
1999-01-17,Sunday,,,106.42278400000001,imputed from 15,
1999-01-18,Monday,66.74,1.6021,106.924154,,
1999-01-19,Tuesday,66.9,1.5994,106.99986,,
1999-01-20,Wednesday,66.66,1.6063,107.075958,,
1999-01-21,Thursday,67.41,1.6066,108.300906,,
1999-01-22,Friday,67.53,1.603,108.25059,,start
1999-01-23,Saturday,,,108.25059,imputed from 21,
1999-01-24,Sunday,,,108.25059,imputed from 22,
1999-01-25,Monday,67.5,1.6023,108.15525000000001,,
1999-01-26,Tuesday,67.43,1.6078,108.413954,,
1999-01-27,Wednesday,67.62,1.6146,109.179252,,
1999-01-28,Thursday,67.31,1.6126,108.544106,,
1999-01-29,Friday,67.2,1.6094,108.15168,,start
1999-01-30,Saturday,,,108.15168,imputed from 28,
1999-01-31,Sunday,,,108.15168,imputed from 29,
1999-02-01,Monday,66.69,1.6063,107.124147,,
1999-02-02,Tuesday,66.79,1.6052,107.211308,,
1999-02-03,Wednesday,66.35,1.6032,106.37231999999999,,
1999-02-04,Thursday,65.74,1.6031,105.38779399999999,,
1999-02-05,Friday,65.98,1.6003,105.58779400000002,,start
1999-02-06,Saturday,,,105.58779400000002,imputed from 35,
1999-02-07,Sunday,,,105.58779400000002,imputed from 36,
1999-02-08,Monday,65.42,1.6034,104.894428,,
1999-02-09,Tuesday,66.05,1.6021,105.818705,,
1999-02-10,Wednesday,66.13,1.5967,105.589771,,
1999-02-11,Thursday,66.37,1.6002,106.20527400000002,,
1999-02-12,Friday,65.44,1.6002,104.717088,,start
1999-02-13,Saturday,,,104.717088,imputed from 42,
1999-02-14,Sunday,,,104.717088,imputed from 43,
1999-02-15,Monday,64.68,1.5979,103.35217200000001,,
1999-02-16,Tuesday,64.72,1.5978,103.409616,,
1999-02-17,Wednesday,65.06,1.5978,103.95286800000001,,
1999-02-18,Thursday,64.94,1.6012,103.981928,,
1999-02-19,Friday,65.13,1.6009,104.266617,,start
1999-02-20,Saturday,,,104.266617,imputed from 49,
1999-02-21,Sunday,,,104.266617,imputed from 50,
1999-02-22,Monday,65.41,1.5993,104.61021299999999,,
1999-02-23,Tuesday,65.52,1.5935,104.40611999999999,,
1999-02-24,Wednesday,65.4,1.5916,104.09064000000001,,
1999-02-25,Thursday,64.06,1.588,101.72728000000001,,
1999-02-26,Friday,64.18,1.595,102.36710000000001,,start
1999-02-27,Saturday,,,102.36710000000001,imputed from 56,
1999-02-28,Sunday,,,102.36710000000001,imputed from 57,
1999-03-01,Monday,63.34,1.592,100.83728,,
1999-03-02,Tuesday,63.38,1.5947,101.072086,,
1999-03-03,Wednesday,62.85,1.5892,99.88122,,
1999-03-04,Thursday,62.62,1.5888,99.490656,,
1999-03-05,Friday,63.98,1.5914,101.81777199999999,,start
1999-03-06,Saturday,,,101.81777199999999,imputed from 63,
1999-03-07,Sunday,,,101.81777199999999,imputed from 64,
1999-03-08,Monday,63.27,1.593,100.78911000000001,,
1999-03-09,Tuesday,62.93,1.5961,100.44257300000001,,
1999-03-10,Wednesday,63.15,1.5973,100.869495,,
1999-03-11,Thursday,64.02,1.603,102.62405999999999,,
1999-03-12,Friday,63.73,1.5973,101.79592899999999,,start
1999-03-13,Saturday,,,101.79592899999999,imputed from 70,
1999-03-14,Sunday,,,101.79592899999999,imputed from 71,
