date,weekday,UGL1_Comdty_PX-LAST,UGL1_Comdty_CURRENCY-GBP,UGL1_Comdty_PX-LAST-CHF,imputed,UGL1_Comdty_start
2013-11-26,Tuesday,,1.47,,,excluded
2013-11-27,Wednesday,,1.4782,,,excluded
2013-11-28,Thursday,,1.4799,,,excluded
2013-11-29,Friday,100.14,1.4834,148.547676,,start
2013-11-30,Saturday,,,148.547676,imputed from 3,
2013-12-01,Sunday,,,148.547676,imputed from 4,
2013-12-02,Monday,100.14,1.4862,148.828068,,
2013-12-03,Tuesday,100.14,1.4824,148.44753599999999,,
2013-12-04,Wednesday,100.14,1.4785,148.05698999999998,,
2013-12-05,Thursday,100.14,1.4648,146.68507200000002,,
2013-12-06,Friday,100.14,1.4581,146.01413399999998,,start
2013-12-07,Saturday,,,146.01413399999998,imputed from 10,
2013-12-08,Sunday,,,146.01413399999998,imputed from 11,
2013-12-09,Monday,100.14,1.4629,146.494806,,
2013-12-10,Tuesday,100.14,1.4594,146.144316,,
2013-12-11,Wednesday,100.14,1.4516,145.363224,,
2013-12-12,Thursday,100.14,1.4539,145.593546,,
2013-12-13,Friday,100.14,1.45,145.203,,start
2013-12-14,Saturday,,,145.203,imputed from 17,
2013-12-15,Sunday,,,145.203,imputed from 18,
2013-12-16,Monday,100.14,1.4459,144.792426,,
2013-12-17,Tuesday,100.14,1.4392,144.121488,,
2013-12-18,Wednesday,100.14,1.4652,146.725128,,
2013-12-19,Thursday,100.14,1.4701,147.215814,,
2013-12-20,Friday,100.14,1.4639,146.594946,,start
2013-12-21,Saturday,,,146.594946,imputed from 24,
2013-12-22,Sunday,,,146.594946,imputed from 25,
2013-12-23,Monday,100.14,1.4619,146.394666,,
2013-12-24,Tuesday,100.14,1.467,146.90538,,
2013-12-25,Wednesday,,1.4634,146.90538,imputed from 28,
2013-12-26,Thursday,,1.4714,146.90538,imputed from 29,
2013-12-27,Friday,100.14,1.4698,147.18577200000001,,start
2013-12-28,Saturday,,,147.18577200000001,imputed from 31,
2013-12-29,Sunday,,,147.18577200000001,imputed from 32,
2013-12-30,Monday,100.14,1.4649,146.695086,,
2013-12-31,Tuesday,100.14,1.4782,148.026948,,
2014-01-01,Wednesday,,1.4773,148.026948,imputed from 35,
2014-01-02,Thursday,100.14,1.4792,148.12708800000001,,
2014-01-03,Friday,100.14,1.4859,148.798026,,start
2014-01-04,Saturday,,,148.798026,imputed from 38,
2014-01-05,Sunday,,,148.798026,imputed from 39,
2014-01-06,Monday,100.14,1.4832,148.527648,,
2014-01-07,Tuesday,100.14,1.4911,149.318754,,
2014-01-08,Wednesday,100.14,1.4988,150.089832,,
2014-01-09,Thursday,100.14,1.4947,149.679258,,
2014-01-10,Friday,100.14,1.4872,148.928208,,start
2014-01-11,Saturday,,,148.928208,imputed from 45,
2014-01-12,Sunday,,,148.928208,imputed from 46,
2014-01-13,Monday,100.14,1.473,147.50622,,
2014-01-14,Tuesday,100.14,1.4837,148.577718,,
2014-01-15,Wednesday,100.14,1.4874,148.948236,,
2014-01-16,Thursday,100.14,1.4799,148.197186,,
2014-01-17,Friday,100.14,1.4952,149.729328,,start
2014-01-18,Saturday,,,149.729328,imputed from 52,
2014-01-19,Sunday,,,149.729328,imputed from 53,
2014-01-20,Monday,100.14,1.495,149.7093,,
2014-01-21,Tuesday,100.14,1.4995,150.15993,,
2014-01-22,Wednesday,100.14,1.511,151.31153999999998,,
2014-01-23,Thursday,100.14,1.493,149.50902000000002,,
2014-01-24,Friday,100.14,1.4742,147.626388,,start
2014-01-25,Saturday,,,147.626388,imputed from 59,
2014-01-26,Sunday,,,147.626388,imputed from 60,
2014-01-27,Monday,100.14,1.4863,148.83808199999999,,
2014-01-28,Tuesday,100.14,1.4876,148.968264,,
2014-01-29,Wednesday,100.14,1.4814,148.347396,,
2014-01-30,Thursday,100.14,1.4881,149.018334,,
2014-01-31,Friday,100.14,1.4899,149.198586,,start
2014-02-01,Saturday,,,149.198586,imputed from 66,
2014-02-02,Sunday,,,149.198586,imputed from 67,
2014-02-03,Monday,100.14,1.469,147.10566,,
2014-02-04,Tuesday,100.14,1.4754,147.746556,,
2014-02-05,Wednesday,100.14,1.4737,147.57631800000001,,
2014-02-06,Thursday,100.14,1.4706,147.265884,,
2014-02-07,Friday,100.14,1.4735,147.55629,,start
2014-02-08,Saturday,,,147.55629,imputed from 73,
2014-02-09,Sunday,,,147.55629,imputed from 74,
2014-02-10,Monday,100.14,1.471,147.30594000000002,,
2014-02-11,Tuesday,100.14,1.4777,147.976878,,
2014-02-12,Wednesday,100.14,1.4946,149.669244,,
2014-02-13,Thursday,100.14,1.4885,149.05839,,
2014-02-14,Friday,100.14,1.4946,149.669244,,start
2014-02-15,Saturday,,,149.669244,imputed from 80,
2014-02-16,Sunday,,,149.669244,imputed from 81,
2014-02-17,Monday,100.14,1.49,149.2086,,
2014-02-18,Tuesday,100.14,1.4815,148.35741000000002,,
2014-02-19,Wednesday,100.14,1.4821,148.417494,,
2014-02-20,Thursday,100.14,1.4812,148.327368,,
2014-02-21,Friday,100.14,1.475,147.7065,,start
2014-02-22,Saturday,,,147.7065,imputed from 87,
2014-02-23,Sunday,,,147.7065,imputed from 88,
2014-02-24,Monday,100.14,1.4806,148.267284,,
2014-02-25,Tuesday,100.14,1.4793,148.137102,,
2014-02-26,Wednesday,100.14,1.4849,148.697886,,
2014-02-27,Thursday,100.14,1.4823,148.437522,,
2014-02-28,Friday,100.14,1.4734,147.546276,,start
2014-03-01,Saturday,,,147.546276,imputed from 94,
2014-03-02,Sunday,,,147.546276,imputed from 95,
2014-03-03,Monday,100.14,1.4719,147.396066,,
2014-03-04,Tuesday,100.14,1.4787,148.07701799999998,,
2014-03-05,Wednesday,100.14,1.4835,148.55769,,
2014-03-06,Thursday,100.14,1.474,147.60636,,
2014-03-07,Friday,100.14,1.4674,146.945436,,start
2014-03-08,Saturday,,,146.945436,imputed from 101,
2014-03-09,Sunday,,,146.945436,imputed from 102,
2014-03-10,Monday,100.14,1.461,146.30454,,
2014-03-11,Tuesday,100.14,1.4593,146.134302,,
2014-03-12,Wednesday,100.14,1.4524,145.443336,,
2014-03-13,Thursday,100.14,1.4539,145.593546,,
2014-03-14,Friday,100.14,1.4524,145.443336,,start
2014-03-15,Saturday,,,145.443336,imputed from 108,
2014-03-16,Sunday,,,145.443336,imputed from 109,
2014-03-17,Monday,100.14,1.4528,145.483392,,
2014-03-18,Tuesday,100.14,1.4488,145.082832,,
2014-03-19,Wednesday,100.14,1.4566,145.863924,,
2014-03-20,Thursday,100.14,1.4587,146.074218,,
2014-03-21,Friday,100.14,1.4555,145.75377,,start
