date,weekday,VG1_Index_PX-LAST-CHF,imputed,VG1_Index_start
1999-01-04,Monday,,,excluded
1999-01-05,Tuesday,,,excluded
1999-01-06,Wednesday,,,excluded
1999-01-07,Thursday,,,excluded
1999-01-08,Friday,3779.18071,,start
1999-01-09,Saturday,3779.18071,imputed from 4,
1999-01-10,Sunday,3779.18071,imputed from 5,
1999-01-11,Monday,3659.57592,,
1999-01-12,Tuesday,3598.42378,,
1999-01-13,Wednesday,3456.41866,,
1999-01-14,Thursday,3416.2175,,
1999-01-15,Friday,3554.00313,,start
1999-01-16,Saturday,3554.00313,imputed from 11,
1999-01-17,Sunday,3554.00313,imputed from 12,
1999-01-18,Monday,3621.18973,,
1999-01-19,Tuesday,3607.68211,,
1999-01-20,Wednesday,3725.79464,,
1999-01-21,Thursday,3672.03217,,
1999-01-22,Friday,3493.26692,,start
1999-01-23,Saturday,3493.26692,imputed from 18,
1999-01-24,Sunday,3493.26692,imputed from 19,
1999-01-25,Monday,3504.00698,,
1999-01-26,Tuesday,3535.75289,,
1999-01-27,Wednesday,3577.07978,,
1999-01-28,Thursday,3641.93018,,
1999-01-29,Friday,3670.88996,,start
1999-01-30,Saturday,3670.88996,imputed from 25,
1999-01-31,Sunday,3670.88996,imputed from 26,
1999-02-01,Monday,3724.31335,,
1999-02-02,Tuesday,3621.85542,,
1999-02-03,Wednesday,3567.90172,,
1999-02-04,Thursday,3555.13284,,
1999-02-05,Friday,3572.16938,,start
1999-02-06,Saturday,3572.16938,imputed from 32,
1999-02-07,Sunday,3572.16938,imputed from 33,
1999-02-08,Monday,3539.07865,,
1999-02-09,Tuesday,3438.32177,,
1999-02-10,Wednesday,3378.66283,,
1999-02-11,Thursday,3453.59765,,
1999-02-12,Friday,3480.16032,,start
1999-02-13,Saturday,3480.16032,imputed from 39,
1999-02-14,Sunday,3480.16032,imputed from 40,
1999-02-15,Monday,3488.35337,,
1999-02-16,Tuesday,3468.60521,,
1999-02-17,Wednesday,3422.26202,,
1999-02-18,Thursday,3445.77747,,
1999-02-19,Friday,3480.82586,,start
1999-02-20,Saturday,3480.82586,imputed from 46,
1999-02-21,Sunday,3480.82586,imputed from 47,
1999-02-22,Monday,3543.02636,,
1999-02-23,Tuesday,3602.27843,,
1999-02-24,Wednesday,3628.21962,,
1999-02-25,Thursday,3521.59458,,
1999-02-26,Friday,3550.88647,,start
1999-02-27,Saturday,3550.88647,imputed from 53,
1999-02-28,Sunday,3550.88647,imputed from 54,
1999-03-01,Monday,3496.82236,,
1999-03-02,Tuesday,3508.88001,,
1999-03-03,Wednesday,3427.34304,,
1999-03-04,Thursday,3478.83978,,
1999-03-05,Friday,3595.34091,,start
1999-03-06,Saturday,3595.34091,imputed from 60,
1999-03-07,Sunday,3595.34091,imputed from 61,
1999-03-08,Monday,3548.09909,,
1999-03-09,Tuesday,3557.79482,,
1999-03-10,Wednesday,3551.39938,,
1999-03-11,Thursday,3592.92434,,
1999-03-12,Friday,3647.19989,,start
1999-03-13,Saturday,3647.19989,imputed from 67,
1999-03-14,Sunday,3647.19989,imputed from 68,
1999-03-15,Monday,3659.37592,,
1999-03-16,Tuesday,3675.58585,,
1999-03-17,Wednesday,3640.75145,,
1999-03-18,Thursday,3647.96116,,
1999-03-19,Friday,3718.59481,,start
1999-03-20,Saturday,3718.59481,imputed from 74,
1999-03-21,Sunday,3718.59481,imputed from 75,
1999-03-22,Monday,3682.28574,,
1999-03-23,Tuesday,3570.67123,,
1999-03-24,Wednesday,3516.59572,,
1999-03-25,Thursday,3602.06362,,
1999-03-26,Friday,3548.57254,,start
1999-03-27,Saturday,3548.57254,imputed from 81,
1999-03-28,Sunday,3548.57254,imputed from 82,
1999-03-29,Monday,3602.61926,,
1999-03-30,Tuesday,3598.98967,,
1999-03-31,Wednesday,3615.67728,,
1999-04-01,Thursday,3634.25523,,
1999-04-02,Friday,3634.25523,imputed from 87,start
1999-04-03,Saturday,3634.25523,imputed from 88,
1999-04-04,Sunday,3634.25523,imputed from 89,
1999-04-05,Monday,3634.25523,imputed from 90,
1999-04-06,Tuesday,3739.45572,,
1999-04-07,Wednesday,3682.62138,,
1999-04-08,Thursday,3722.42683,,
1999-04-09,Friday,3744.91421,,start
1999-04-10,Saturday,3744.91421,imputed from 95,
1999-04-11,Sunday,3744.91421,imputed from 96,
1999-04-12,Monday,3768.28315,,
1999-04-13,Tuesday,3774.39844,,
1999-04-14,Wednesday,3774.12935,,
1999-04-15,Thursday,3684.20046,,
1999-04-16,Friday,3720.08676,,start
1999-04-17,Saturday,3720.08676,imputed from 102,
1999-04-18,Sunday,3720.08676,imputed from 103,
1999-04-19,Monday,3781.1465,,
1999-04-20,Tuesday,3681.87781,,
1999-04-21,Wednesday,3696.93248,,
1999-04-22,Thursday,3732.96169,,
1999-04-23,Friday,3731.08662,,start
1999-04-24,Saturday,3731.08662,imputed from 109,
1999-04-25,Sunday,3731.08662,imputed from 110,
1999-04-26,Monday,3754.06649,,
1999-04-27,Tuesday,3822.37395,,
1999-04-28,Wednesday,3812.00485,,
1999-04-29,Thursday,3806.24344,,
1999-04-30,Friday,3848.91554,,start
1999-05-01,Saturday,3848.91554,imputed from 116,
1999-05-02,Sunday,3848.91554,imputed from 117,
1999-05-03,Monday,3860.92046,,
