date,weekday,W 1_Comdty_PX-LAST-CHF,imputed,W 1_Comdty_start
1997-08-15,Friday,250.6566,,start
1997-08-16,Saturday,250.6566,imputed from 0,
1997-08-17,Sunday,250.6566,imputed from 1,
1997-08-18,Monday,253.99292,,
1997-08-19,Tuesday,257.55833,,
1997-08-20,Wednesday,260.88184,,
1997-08-21,Thursday,263.63152,,
1997-08-22,Friday,259.43458,,start
1997-08-23,Saturday,259.43458,imputed from 7,
1997-08-24,Sunday,259.43458,imputed from 8,
1997-08-25,Monday,257.59098,,
1997-08-26,Tuesday,254.55091,,
1997-08-27,Wednesday,261.3507,,
1997-08-28,Thursday,262.27638,,
1997-08-29,Friday,264.98413,,start
1997-08-30,Saturday,264.98413,imputed from 14,
1997-08-31,Sunday,264.98413,imputed from 15,
1997-09-01,Monday,264.98413,imputed from 16,
1997-09-02,Tuesday,266.86484,,
1997-09-03,Wednesday,263.43549,,
1997-09-04,Thursday,260.20672,,
1997-09-05,Friday,257.33108,,start
1997-09-06,Saturday,257.33108,imputed from 21,
1997-09-07,Sunday,257.33108,imputed from 22,
1997-09-08,Monday,253.96385,,
1997-09-09,Tuesday,256.64235,,
1997-09-10,Wednesday,253.27083,,
1997-09-11,Thursday,251.21891,,
1997-09-12,Friday,247.48115,,start
1997-09-13,Saturday,247.48115,imputed from 28,
1997-09-14,Sunday,247.48115,imputed from 29,
1997-09-15,Monday,240.18709,,
1997-09-16,Tuesday,243.31139,,
1997-09-17,Wednesday,246.31584,,
1997-09-18,Thursday,243.68391,,
1997-09-19,Friday,241.71693,,start
1997-09-20,Saturday,241.71693,imputed from 35,
1997-09-21,Sunday,241.71693,imputed from 36,
1997-09-22,Monday,241.92489,,
1997-09-23,Tuesday,243.32168,,
1997-09-24,Wednesday,239.92452,,
1997-09-25,Thursday,239.85767,,
1997-09-26,Friday,233.96164,,start
1997-09-27,Saturday,233.96164,imputed from 42,
1997-09-28,Sunday,233.96164,imputed from 43,
1997-09-29,Monday,234.91371,,
1997-09-30,Tuesday,231.39076,,
1997-10-01,Wednesday,230.65251,,
1997-10-02,Thursday,232.59598,,
1997-10-03,Friday,233.27416,,start
1997-10-04,Saturday,233.27416,imputed from 49,
1997-10-05,Sunday,233.27416,imputed from 50,
1997-10-06,Monday,232.04395,,
1997-10-07,Tuesday,238.26004,,
1997-10-08,Wednesday,236.53445,,
1997-10-09,Thursday,241.59258,,
1997-10-10,Friday,239.49687,,start
1997-10-11,Saturday,239.49687,imputed from 56,
1997-10-12,Sunday,239.49687,imputed from 57,
1997-10-13,Monday,244.45091,,
1997-10-14,Tuesday,241.02618,,
1997-10-15,Wednesday,243.47988,,
1997-10-16,Thursday,239.59556,,
1997-10-17,Friday,241.37522,,start
1997-10-18,Saturday,241.37522,imputed from 63,
1997-10-19,Sunday,241.37522,imputed from 64,
1997-10-20,Monday,245.77566,,
1997-10-21,Tuesday,252.23485,,
1997-10-22,Wednesday,249.1753,,
1997-10-23,Thursday,241.90076,,
1997-10-24,Friday,243.55098,,start
1997-10-25,Saturday,243.55098,imputed from 70,
1997-10-26,Sunday,243.55098,imputed from 71,
1997-10-27,Monday,236.58216,,
1997-10-28,Tuesday,230.92282,,
