date,weekday,WN1_Comdty_PX-LAST-CHF,imputed,WN1_Comdty_start
2010-01-12,Tuesday,,,excluded
2010-01-13,Wednesday,,,excluded
2010-01-14,Thursday,,,excluded
2010-01-15,Friday,103.45374,,start
2010-01-16,Saturday,103.45374,imputed from 3,
2010-01-17,Sunday,103.45374,imputed from 4,
2010-01-18,Monday,103.45374,imputed from 5,
2010-01-19,Tuesday,103.08492,,
2010-01-20,Wednesday,104.00692,,
2010-01-21,Thursday,104.66557,,
2010-01-22,Friday,104.63918,,start
2010-01-23,Saturday,104.63918,imputed from 10,
2010-01-24,Sunday,104.63918,imputed from 11,
2010-01-25,Monday,103.95424,,
2010-01-26,Tuesday,103.79617,,
2010-01-27,Wednesday,104.05961,,
2010-01-28,Thursday,103.84886,,
2010-01-29,Friday,104.84994,,start
2010-01-30,Saturday,104.84994,imputed from 17,
2010-01-31,Sunday,104.84994,imputed from 18,
2010-02-01,Monday,103.98062,,
2010-02-02,Tuesday,104.27037,,
2010-02-03,Wednesday,102.97954,,
2010-02-04,Thursday,104.42843,,
2010-02-05,Friday,105.37682,,start
2010-02-06,Saturday,105.37682,imputed from 24,
2010-02-07,Sunday,105.37682,imputed from 25,
2010-02-08,Monday,104.90263,,
2010-02-09,Tuesday,104.1123,,
2010-02-10,Wednesday,102.97954,,
2010-02-11,Thursday,102.26821,,
2010-02-12,Friday,102.63702,,start
2010-02-13,Saturday,102.63702,imputed from 31,
2010-02-14,Sunday,102.63702,imputed from 32,
2010-02-15,Monday,102.63702,imputed from 33,
2010-02-16,Tuesday,102.95316,,
2010-02-17,Wednesday,101.68863,,
2010-02-18,Thursday,101.08276,,
2010-02-19,Friday,101.97846,,start
2010-02-20,Saturday,101.97846,imputed from 38,
2010-02-21,Sunday,101.97846,imputed from 39,
2010-02-22,Monday,101.55695,,
2010-02-23,Tuesday,103.1903,,
2010-02-24,Wednesday,103.24298,,
2010-02-25,Thursday,104.09645,,
2010-02-26,Friday,105.02989,,start
2010-02-27,Saturday,105.02989,imputed from 45,
2010-02-28,Sunday,105.02989,imputed from 46,
2010-03-01,Monday,104.57653,,
2010-03-02,Tuesday,104.36316,,
2010-03-03,Wednesday,104.09645,,
2010-03-04,Thursday,104.57653,,
2010-03-05,Friday,103.21627,,start
2010-03-06,Saturday,103.21627,imputed from 52,
2010-03-07,Sunday,103.21627,imputed from 53,
2010-03-08,Monday,102.62951,,
2010-03-09,Tuesday,102.57617,,
2010-03-10,Wednesday,102.4962,,
2010-03-11,Thursday,102.97628,,
2010-03-12,Friday,103.48298,,start
2010-03-13,Saturday,103.48298,imputed from 59,
2010-03-14,Sunday,103.48298,imputed from 60,
2010-03-15,Monday,103.40301,,
2010-03-16,Tuesday,104.14979,,
2010-03-17,Wednesday,104.49647,,
2010-03-18,Thursday,104.28311,,
2010-03-19,Friday,104.44313,,start
2010-03-20,Saturday,104.44313,imputed from 66,
2010-03-21,Sunday,104.44313,imputed from 67,
2010-03-22,Monday,104.60316,,
2010-03-23,Tuesday,104.14979,,
2010-03-24,Wednesday,102.12281,,
2010-03-25,Thursday,101.18928,,
2010-03-26,Friday,101.69607,,start
2010-03-27,Saturday,101.69607,imputed from 73,
2010-03-28,Sunday,101.69607,imputed from 74,
2010-03-29,Monday,101.56268,,
2010-03-30,Tuesday,101.64273,,
2010-03-31,Wednesday,102.38952,,
2010-04-01,Thursday,102.22949,,
2010-04-02,Friday,100.92258,,start
2010-04-03,Saturday,100.92258,imputed from 80,
2010-04-04,Sunday,100.92258,imputed from 81,
2010-04-05,Monday,100.36253,,
2010-04-06,Tuesday,100.30919,,
2010-04-07,Wednesday,101.96278,,
2010-04-08,Thursday,101.69607,,
2010-04-09,Friday,101.96278,,start
2010-04-10,Saturday,101.96278,imputed from 87,
2010-04-11,Sunday,101.96278,imputed from 88,
2010-04-12,Monday,102.76291,,
2010-04-13,Tuesday,103.24298,,
2010-04-14,Wednesday,102.38952,,
2010-04-15,Thursday,102.28283,,
2010-04-16,Friday,103.24298,,start
2010-04-17,Saturday,103.24298,imputed from 94,
2010-04-18,Sunday,103.24298,imputed from 95,
2010-04-19,Monday,102.73619,,
2010-04-20,Tuesday,103.21627,,
2010-04-21,Wednesday,104.25648,,
2010-04-22,Thursday,103.88308,,
2010-04-23,Friday,103.3763,,start
2010-04-24,Saturday,103.3763,imputed from 101,
2010-04-25,Sunday,103.3763,imputed from 102,
2010-04-26,Monday,103.26961,,
2010-04-27,Tuesday,105.16329,,
2010-04-28,Wednesday,103.90971,,
2010-04-29,Thursday,104.68321,,
2010-04-30,Friday,105.85673,,start
2010-05-01,Saturday,105.85673,imputed from 108,
2010-05-02,Sunday,105.85673,imputed from 109,
2010-05-03,Monday,105.56331,,
2010-05-04,Tuesday,107.32358,,
2010-05-05,Wednesday,108.04374,,
2010-05-06,Thursday,112.17768,,
2010-05-07,Friday,109.88399,,start
2010-05-08,Saturday,109.88399,imputed from 115,
2010-05-09,Sunday,109.88399,imputed from 116,
2010-05-10,Monday,107.93706,,
2010-05-11,Tuesday,107.75032,,
2010-05-12,Wednesday,106.92356,,
2010-05-13,Thursday,107.11022,,
2010-05-14,Friday,109.69733,,start
2010-05-15,Saturday,109.69733,imputed from 122,
2010-05-16,Sunday,109.69733,imputed from 123,
2010-05-17,Monday,109.21726,,
2010-05-18,Tuesday,110.7908,,
2010-05-19,Wednesday,111.08422,,
2010-05-20,Thursday,112.76444,,
2010-05-21,Friday,113.88462,,start
2010-05-22,Saturday,113.88462,imputed from 129,
2010-05-23,Sunday,113.88462,imputed from 130,
2010-05-24,Monday,113.03115,,
2010-05-25,Tuesday,114.20467,,
2010-05-26,Wednesday,112.97781,,
2010-05-27,Thursday,110.71232,,
2010-05-28,Friday,111.17077,,start
2010-05-29,Saturday,111.17077,imputed from 136,
2010-05-30,Sunday,111.17077,imputed from 137,
2010-05-31,Monday,111.17077,imputed from 138,
2010-06-01,Tuesday,111.41354,,
2010-06-02,Wednesday,110.95501,,
2010-06-03,Thursday,110.1459,,
2010-06-04,Friday,113.2205,,start
2010-06-05,Saturday,113.2205,imputed from 143,
2010-06-06,Sunday,113.2205,imputed from 144,
2010-06-07,Monday,113.13963,,
2010-06-08,Tuesday,113.65202,,
2010-06-09,Wednesday,113.30145,,
2010-06-10,Thursday,111.17077,,
2010-06-11,Friday,113.11262,,start
2010-06-12,Saturday,113.11262,imputed from 150,
2010-06-13,Sunday,113.11262,imputed from 151,
2010-06-14,Monday,111.95294,,
2010-06-15,Tuesday,111.44047,,
2010-06-16,Wednesday,112.00689,,
2010-06-17,Thursday,113.46327,,
2010-06-18,Friday,113.00474,,start
2010-06-19,Saturday,113.00474,imputed from 157,
2010-06-20,Sunday,113.00474,imputed from 158,
2010-06-21,Monday,112.65417,,
2010-06-22,Tuesday,113.84085,,
2010-06-23,Wednesday,114.569,,
2010-06-24,Thursday,114.08354,,
2010-06-25,Friday,114.43419,,start
2010-06-26,Saturday,114.43419,imputed from 164,
2010-06-27,Sunday,114.43419,imputed from 165,
2010-06-28,Monday,115.45906,,
2010-06-29,Tuesday,116.51085,,
2010-06-30,Wednesday,117.21207,,
2010-07-01,Thursday,118.10213,,
2010-07-02,Friday,116.78055,,start
2010-07-03,Saturday,116.78055,imputed from 171,
2010-07-04,Sunday,116.78055,imputed from 172,
2010-07-05,Monday,116.78055,imputed from 173,
2010-07-06,Tuesday,117.72455,,
2010-07-07,Wednesday,116.61873,,
2010-07-08,Thursday,115.75569,,
2010-07-09,Friday,115.02754,,start
2010-07-10,Saturday,115.02754,imputed from 178,
2010-07-11,Sunday,115.02754,imputed from 179,
2010-07-12,Monday,115.05446,,
2010-07-13,Tuesday,113.97566,,
2010-07-14,Wednesday,115.2433,,
2010-07-15,Thursday,116.42998,,
2010-07-16,Friday,116.91544,,start
2010-07-17,Saturday,116.91544,imputed from 185,
2010-07-18,Sunday,116.91544,imputed from 186,
2010-07-19,Monday,116.26816,,
2010-07-20,Tuesday,116.75362,,
2010-07-21,Wednesday,117.88637,,
2010-07-22,Thursday,116.8615,,
2010-07-23,Friday,115.64781,,start
2010-07-24,Saturday,115.64781,imputed from 192,
2010-07-25,Sunday,115.64781,imputed from 193,
2010-07-26,Monday,115.56694,,
2010-07-27,Tuesday,114.40718,,
2010-07-28,Wednesday,114.75784,,
2010-07-29,Thursday,114.73082,,
2010-07-30,Friday,116.72661,,start
2010-07-31,Saturday,116.72661,imputed from 199,
