date,weekday,XP1_Index_PX-LAST-CHF,imputed,XP1_Index_start
2000-05-03,Wednesday,,,excluded
2000-05-04,Thursday,,,excluded
2000-05-05,Friday,2898.40306,,start
2000-05-06,Saturday,2898.40306,imputed from 2,
2000-05-07,Sunday,2898.40306,imputed from 3,
2000-05-08,Monday,2832.08454,,
2000-05-09,Tuesday,2786.43385,,
2000-05-10,Wednesday,2723.10908,,
2000-05-11,Thursday,2686.86149,,
2000-05-12,Friday,2712.66035,,start
2000-05-13,Saturday,2712.66035,imputed from 9,
2000-05-14,Sunday,2712.66035,imputed from 10,
2000-05-15,Monday,2686.96212,,
2000-05-16,Tuesday,2755.48767,,
2000-05-17,Wednesday,2732.33803,,
2000-05-18,Thursday,2721.64023,,
2000-05-19,Friday,2715.15621,,start
2000-05-20,Saturday,2715.15621,imputed from 16,
2000-05-21,Sunday,2715.15621,imputed from 17,
2000-05-22,Monday,2668.49098,,
2000-05-23,Tuesday,2688.01245,,
2000-05-24,Wednesday,2654.8299,,
2000-05-25,Thursday,2664.98258,,
2000-05-26,Friday,2610.67747,,start
2000-05-27,Saturday,2610.67747,imputed from 23,
2000-05-28,Sunday,2610.67747,imputed from 24,
2000-05-29,Monday,2649.24969,,
2000-05-30,Tuesday,2663.84822,,
2000-05-31,Wednesday,2677.29715,,
2000-06-01,Thursday,2709.11249,,
2000-06-02,Friday,2735.63469,,start
2000-06-03,Saturday,2735.63469,imputed from 30,
2000-06-04,Sunday,2735.63469,imputed from 31,
2000-06-05,Monday,2753.70201,,
2000-06-06,Tuesday,2748.51048,,
2000-06-07,Wednesday,2713.9209,,
2000-06-08,Thursday,2710.75892,,
2000-06-09,Friday,2732.55553,,start
2000-06-10,Saturday,2732.55553,imputed from 37,
2000-06-11,Sunday,2732.55553,imputed from 38,
2000-06-12,Monday,2740.31313,,
2000-06-13,Tuesday,2728.09403,,
2000-06-14,Wednesday,2750.07508,,
2000-06-15,Thursday,2784.61266,,
2000-06-16,Friday,2783.64448,,start
2000-06-17,Saturday,2783.64448,imputed from 44,
2000-06-18,Sunday,2783.64448,imputed from 45,
2000-06-19,Monday,2770.93935,,
2000-06-20,Tuesday,2781.03117,,
2000-06-21,Wednesday,2820.3239,,
2000-06-22,Thursday,2804.33641,,
2000-06-23,Friday,2833.64724,,start
2000-06-24,Saturday,2833.64724,imputed from 51,
2000-06-25,Sunday,2833.64724,imputed from 52,
2000-06-26,Monday,2820.6474,,
2000-06-27,Tuesday,2837.52246,,
2000-06-28,Wednesday,2850.44565,,
2000-06-29,Thursday,2894.84836,,
2000-06-30,Friday,2905.74036,,start
2000-07-01,Saturday,2905.74036,imputed from 58,
2000-07-02,Sunday,2905.74036,imputed from 59,
2000-07-03,Monday,2926.54292,,
2000-07-04,Tuesday,2919.18029,,
2000-07-05,Wednesday,2877.1971,,
2000-07-06,Thursday,2867.86539,,
2000-07-07,Friday,2859.6291,,start
2000-07-08,Saturday,2859.6291,imputed from 65,
2000-07-09,Sunday,2859.6291,imputed from 66,
2000-07-10,Monday,2879.0474,,
2000-07-11,Tuesday,2864.03864,,
2000-07-12,Wednesday,2900.50642,,
2000-07-13,Thursday,2885.49734,,
2000-07-14,Friday,2882.22044,,start
2000-07-15,Saturday,2882.22044,imputed from 72,
2000-07-16,Sunday,2882.22044,imputed from 73,
2000-07-17,Monday,2904.24807,,
2000-07-18,Tuesday,2884.96767,,
2000-07-19,Wednesday,2888.77823,,
2000-07-20,Thursday,2874.5282,,
2000-07-21,Friday,2912.47829,,start
2000-07-22,Saturday,2912.47829,imputed from 79,
2000-07-23,Sunday,2912.47829,imputed from 80,
2000-07-24,Monday,2904.0364,,
2000-07-25,Tuesday,2849.27117,,
2000-07-26,Wednesday,2871.52243,,
2000-07-27,Thursday,2856.27973,,
2000-07-28,Friday,2886.3635,,start
2000-07-29,Saturday,2886.3635,imputed from 86,
2000-07-30,Sunday,2886.3635,imputed from 87,
2000-07-31,Monday,2811.8353,,
2000-08-01,Tuesday,2827.37183,,
2000-08-02,Wednesday,2895.37314,,
2000-08-03,Thursday,2930.71086,,
2000-08-04,Friday,2910.80534,,start
2000-08-05,Saturday,2910.80534,imputed from 93,
2000-08-06,Sunday,2910.80534,imputed from 94,
2000-08-07,Monday,2955.26654,,
2000-08-08,Tuesday,2961.91024,,
2000-08-09,Wednesday,2946.70196,,
2000-08-10,Thursday,2934.73559,,
2000-08-11,Friday,2948.3803,,start
2000-08-12,Saturday,2948.3803,imputed from 100,
2000-08-13,Sunday,2948.3803,imputed from 101,
2000-08-14,Monday,2953.08553,,
2000-08-15,Tuesday,2959.03837,,
2000-08-16,Wednesday,3018.47929,,
2000-08-17,Thursday,3032.98509,,
2000-08-18,Friday,3049.94839,,start
2000-08-19,Saturday,3049.94839,imputed from 107,
2000-08-20,Sunday,3049.94839,imputed from 108,
2000-08-21,Monday,3039.96887,,
2000-08-22,Tuesday,3044.89936,,
2000-08-23,Wednesday,2965.61611,,
2000-08-24,Thursday,2957.62167,,
2000-08-25,Friday,2958.98802,,start
2000-08-26,Saturday,2958.98802,imputed from 114,
2000-08-27,Sunday,2958.98802,imputed from 115,
2000-08-28,Monday,2947.90768,,
2000-08-29,Tuesday,2979.54812,,
2000-08-30,Wednesday,2966.61098,,
2000-08-31,Thursday,2942.93142,,
2000-09-01,Friday,2956.62493,,start
2000-09-02,Saturday,2956.62493,imputed from 121,
2000-09-03,Sunday,2956.62493,imputed from 122,
2000-09-04,Monday,2977.36803,,
2000-09-05,Tuesday,2975.58159,,
2000-09-06,Wednesday,2984.6829,,
2000-09-07,Thursday,2906.30819,,
2000-09-08,Friday,2945.3995,,start
2000-09-09,Saturday,2945.3995,imputed from 128,
2000-09-10,Sunday,2945.3995,imputed from 129,
2000-09-11,Monday,2917.92678,,
2000-09-12,Tuesday,2931.22803,,
2000-09-13,Wednesday,2916.18456,,
2000-09-14,Thursday,2898.72606,,
2000-09-15,Friday,2889.4207,,start
2000-09-16,Saturday,2889.4207,imputed from 135,
2000-09-17,Sunday,2889.4207,imputed from 136,
2000-09-18,Monday,2820.36943,,
2000-09-19,Tuesday,2787.64327,,
2000-09-20,Wednesday,2790.02343,,
2000-09-21,Thursday,2773.2857,,
2000-09-22,Friday,2669.94508,,start
2000-09-23,Saturday,2669.94508,imputed from 142,
2000-09-24,Sunday,2669.94508,imputed from 143,
2000-09-25,Monday,2744.82007,,
2000-09-26,Tuesday,2744.39716,,
2000-09-27,Wednesday,2759.30254,,
2000-09-28,Thursday,2795.44441,,
2000-09-29,Friday,2738.58281,,start
2000-09-30,Saturday,2738.58281,imputed from 149,
2000-10-01,Sunday,2738.58281,imputed from 150,
2000-10-02,Monday,2793.05517,,
2000-10-03,Tuesday,2787.45466,,
2000-10-04,Wednesday,2766.49976,,
2000-10-05,Thursday,2766.62822,,
2000-10-06,Friday,2751.1738,,start
2000-10-07,Saturday,2751.1738,imputed from 156,
2000-10-08,Sunday,2751.1738,imputed from 157,
2000-10-09,Monday,2753.67355,,
2000-10-10,Tuesday,2724.16885,,
