date,weekday,ATT1_Index_PX-LAST-CHF,imputed,ATT1_Index_start
2014-02-10,Monday,,,excluded
2014-02-11,Tuesday,,,excluded
2014-02-12,Wednesday,,,excluded
2014-02-13,Thursday,,,excluded
2014-02-14,Friday,3222.17686,,start
2014-02-15,Saturday,3222.17686,imputed from 4,
2014-02-16,Sunday,3222.17686,imputed from 5,
2014-02-17,Monday,3239.52952,,
2014-02-18,Tuesday,3247.21349,,
2014-02-19,Wednesday,3215.15166,,
2014-02-20,Thursday,3217.69657,,
2014-02-21,Friday,3250.53636,,start
2014-02-22,Saturday,3250.53636,imputed from 11,
2014-02-23,Sunday,3250.53636,imputed from 12,
2014-02-24,Monday,3271.88903,,
2014-02-25,Tuesday,3273.08285,,
2014-02-26,Wednesday,3262.27592,,
2014-02-27,Thursday,3215.51469,,
2014-02-28,Friday,3142.97309,,start
2014-03-01,Saturday,3142.97309,imputed from 18,
2014-03-02,Sunday,3142.97309,imputed from 19,
2014-03-03,Monday,3031.1111,,
2014-03-04,Tuesday,3109.15175,,
2014-03-05,Wednesday,3101.3483,,
2014-03-06,Thursday,3144.82275,,
2014-03-07,Friday,3099.32327,,start
2014-03-08,Saturday,3099.32327,imputed from 25,
2014-03-09,Sunday,3099.32327,imputed from 26,
2014-03-10,Monday,3066.6604,,
2014-03-11,Tuesday,3031.66584,,
2014-03-12,Wednesday,2972.60133,,
2014-03-13,Thursday,2926.191,,
2014-03-14,Friday,2894.89393,,start
2014-03-15,Saturday,2894.89393,imputed from 32,
2014-03-16,Sunday,2894.89393,imputed from 33,
2014-03-17,Monday,2962.54514,,
2014-03-18,Tuesday,3018.49272,,
2014-03-19,Wednesday,3025.43143,,
2014-03-20,Thursday,2949.17103,,
2014-03-21,Friday,2957.63532,,start
2014-03-22,Saturday,2957.63532,imputed from 39,
2014-03-23,Sunday,2957.63532,imputed from 40,
2014-03-24,Monday,2905.88472,,
2014-03-25,Tuesday,2932.88382,,
2014-03-26,Wednesday,2974.42119,,
2014-03-27,Thursday,2924.59896,,
2014-03-28,Friday,2961.16957,,start
2014-03-29,Saturday,2961.16957,imputed from 46,
2014-03-30,Sunday,2961.16957,imputed from 47,
2014-03-31,Monday,3008.37785,,
2014-04-01,Tuesday,3044.69014,,
2014-04-02,Wednesday,3059.8572,,
2014-04-03,Thursday,3082.79819,,
2014-04-04,Friday,3093.33554,,start
2014-04-05,Saturday,3093.33554,imputed from 53,
2014-04-06,Sunday,3093.33554,imputed from 54,
2014-04-07,Monday,3026.48105,,
2014-04-08,Tuesday,2985.97616,,
2014-04-09,Wednesday,3029.12885,,
2014-04-10,Thursday,3002.40203,,
2014-04-11,Friday,2969.63895,,start
2014-04-12,Saturday,2969.63895,imputed from 60,
