date,weekday,BZ1_Index_PX-LAST-CHF,imputed,BZ1_Index_start
1997-08-15,Friday,16150.88362,,start
1997-08-16,Saturday,16150.88362,imputed from 0,
1997-08-17,Sunday,16150.88362,imputed from 1,
1997-08-18,Monday,15918.63628,,
1997-08-19,Tuesday,16016.87907,,
1997-08-20,Wednesday,15498.30608,,
1997-08-21,Thursday,15863.52876,,
1997-08-22,Friday,15689.67305,,start
1997-08-23,Saturday,15689.67305,imputed from 7,
1997-08-24,Sunday,15689.67305,imputed from 8,
1997-08-25,Monday,16063.68944,,
1997-08-26,Tuesday,16242.46636,,
1997-08-27,Wednesday,16541.69145,,
1997-08-28,Thursday,15838.41671,,
1997-08-29,Friday,14647.60423,,start
1997-08-30,Saturday,14647.60423,imputed from 14,
1997-08-31,Sunday,14647.60423,imputed from 15,
1997-09-01,Monday,13859.0754,,
1997-09-02,Tuesday,15393.64182,,
1997-09-03,Wednesday,15557.64124,,
1997-09-04,Thursday,15886.95589,,
1997-09-05,Friday,16477.72567,,start
1997-09-06,Saturday,16477.72567,imputed from 21,
1997-09-07,Sunday,16477.72567,imputed from 22,
1997-09-08,Monday,16299.2141,,
1997-09-09,Tuesday,16372.31185,,
1997-09-10,Wednesday,15559.48685,,
1997-09-11,Thursday,15058.88489,,
1997-09-12,Friday,15382.20029,,start
1997-09-13,Saturday,15382.20029,imputed from 28,
1997-09-14,Sunday,15382.20029,imputed from 29,
1997-09-15,Monday,14477.29649,,
1997-09-16,Tuesday,15139.34492,,
1997-09-17,Wednesday,15646.70995,,
1997-09-18,Thursday,16022.07571,,
1997-09-19,Friday,15751.93526,,start
1997-09-20,Saturday,15751.93526,imputed from 35,
1997-09-21,Sunday,15751.93526,imputed from 36,
1997-09-22,Monday,16041.18811,,
1997-09-23,Tuesday,15571.49877,,
1997-09-24,Wednesday,15403.531,,
1997-09-25,Thursday,15165.4143,,
1997-09-26,Friday,15493.15859,,start
1997-09-27,Saturday,15493.15859,imputed from 42,
1997-09-28,Sunday,15493.15859,imputed from 43,
1997-09-29,Monday,15530.94287,,
1997-09-30,Tuesday,15756.86844,,
1997-10-01,Wednesday,16357.11811,,
1997-10-02,Thursday,16661.62123,,
1997-10-03,Friday,16761.24065,,start
1997-10-04,Saturday,16761.24065,imputed from 49,
1997-10-05,Sunday,16761.24065,imputed from 50,
1997-10-06,Monday,16973.62671,,
1997-10-07,Tuesday,16547.63802,,
1997-10-08,Wednesday,16419.81591,,
1997-10-09,Thursday,16951.74522,,
1997-10-10,Friday,16948.94036,,start
1997-10-11,Saturday,16948.94036,imputed from 56,
1997-10-12,Sunday,16948.94036,imputed from 57,
1997-10-13,Monday,16953.58383,,
1997-10-14,Tuesday,17792.89018,,
1997-10-15,Wednesday,17684.37048,,
1997-10-16,Thursday,17258.31056,,
1997-10-17,Friday,17348.86876,,start
1997-10-18,Saturday,17348.86876,imputed from 63,
