date,weekday,CL1_Comdty_PX-LAST-CHF,imputed,CL1_Comdty_start
1997-08-15,Friday,30.19532,,start
1997-08-16,Saturday,30.19532,imputed from 0,
1997-08-17,Sunday,30.19532,imputed from 1,
1997-08-18,Monday,30.05614,,
1997-08-19,Tuesday,30.52204,,
1997-08-20,Wednesday,30.61156,,
1997-08-21,Thursday,29.80456,,
1997-08-22,Friday,29.44953,,start
1997-08-23,Saturday,29.44953,imputed from 7,
1997-08-24,Sunday,29.44953,imputed from 8,
1997-08-25,Monday,28.86111,,
1997-08-26,Tuesday,28.64815,,
1997-08-27,Wednesday,29.51213,,
1997-08-28,Thursday,29.01756,,
1997-08-29,Friday,29.28754,,start
1997-08-30,Saturday,29.28754,imputed from 14,
1997-08-31,Sunday,29.28754,imputed from 15,
1997-09-01,Monday,29.28754,imputed from 16,
1997-09-02,Tuesday,29.55557,,
1997-09-03,Wednesday,29.415,,
1997-09-04,Thursday,29.0224,,
1997-09-05,Friday,28.98566,,start
1997-09-06,Saturday,28.98566,imputed from 21,
1997-09-07,Sunday,28.98566,imputed from 22,
1997-09-08,Monday,28.8852,,
1997-09-09,Tuesday,28.91638,,
1997-09-10,Wednesday,28.72412,,
1997-09-11,Thursday,28.54944,,
1997-09-12,Friday,28.33278,,start
1997-09-13,Saturday,28.33278,imputed from 28,
1997-09-14,Sunday,28.33278,imputed from 29,
1997-09-15,Monday,27.81625,,
1997-09-16,Tuesday,28.4443,,
1997-09-17,Wednesday,28.42117,,
1997-09-18,Thursday,28.42077,,
1997-09-19,Friday,28.26261,,start
1997-09-20,Saturday,28.26261,imputed from 35,
1997-09-21,Sunday,28.26261,imputed from 36,
1997-09-22,Monday,28.90804,,
1997-09-23,Tuesday,29.13682,,
1997-09-24,Wednesday,29.08648,,
1997-09-25,Thursday,29.69396,,
1997-09-26,Friday,30.35124,,start
1997-09-27,Saturday,30.35124,imputed from 42,
1997-09-28,Sunday,30.35124,imputed from 43,
1997-09-29,Monday,30.89291,,
1997-09-30,Tuesday,30.72159,,
1997-10-01,Wednesday,30.73932,,
1997-10-02,Thursday,31.69712,,
1997-10-03,Friday,32.95648,,start
1997-10-04,Saturday,32.95648,imputed from 49,
1997-10-05,Sunday,32.95648,imputed from 50,
1997-10-06,Monday,31.80946,,
1997-10-07,Tuesday,31.76734,,
1997-10-08,Wednesday,32.11664,,
1997-10-09,Thursday,32.18239,,
1997-10-10,Friday,32.17981,,start
1997-10-11,Saturday,32.17981,imputed from 56,
1997-10-12,Sunday,32.17981,imputed from 57,
1997-10-13,Monday,31.1741,,
1997-10-14,Tuesday,30.23028,,
1997-10-15,Wednesday,30.07951,,
1997-10-16,Thursday,30.547,,
1997-10-17,Friday,30.3826,,start
1997-10-18,Saturday,30.3826,imputed from 63,
1997-10-19,Sunday,30.3826,imputed from 64,
1997-10-20,Monday,30.49317,,
1997-10-21,Tuesday,30.7921,,
1997-10-22,Wednesday,31.69089,,
1997-10-23,Thursday,30.89052,,
1997-10-24,Friday,30.73573,,start
1997-10-25,Saturday,30.73573,imputed from 70,
1997-10-26,Sunday,30.73573,imputed from 71,
1997-10-27,Monday,30.62103,,
1997-10-28,Tuesday,29.06343,,
1997-10-29,Wednesday,29.33986,,
1997-10-30,Thursday,29.78864,,
1997-10-31,Friday,29.4846,,start
1997-11-01,Saturday,29.4846,imputed from 77,
1997-11-02,Sunday,29.4846,imputed from 78,
1997-11-03,Monday,29.5557,,
1997-11-04,Tuesday,29.0628,,
1997-11-05,Wednesday,28.61679,,
1997-11-06,Thursday,28.71932,,
1997-11-07,Friday,28.95338,,start
1997-11-08,Saturday,28.95338,imputed from 84,
1997-11-09,Sunday,28.95338,imputed from 85,
1997-11-10,Monday,28.32948,,
1997-11-11,Tuesday,28.57453,,
1997-11-12,Wednesday,28.65527,,
1997-11-13,Thursday,28.90755,,
1997-11-14,Friday,29.4735,,start
1997-11-15,Saturday,29.4735,imputed from 91,
1997-11-16,Sunday,29.4735,imputed from 92,
1997-11-17,Monday,28.55242,,
1997-11-18,Tuesday,28.12213,,
1997-11-19,Wednesday,27.81702,,
1997-11-20,Thursday,27.04051,,
1997-11-21,Friday,27.04051,imputed from 97,start
1997-11-22,Saturday,27.04051,imputed from 98,
1997-11-23,Sunday,27.04051,imputed from 99,
1997-11-24,Monday,27.88098,,
1997-11-25,Tuesday,27.75616,,
1997-11-26,Wednesday,27.1547,,
1997-11-27,Thursday,27.1547,imputed from 103,
1997-11-28,Friday,27.1547,imputed from 103,start
1997-11-29,Saturday,27.1547,imputed from 105,
1997-11-30,Sunday,27.1547,imputed from 106,
1997-12-01,Monday,26.72672,,
1997-12-02,Tuesday,26.87558,,
1997-12-03,Wednesday,26.8182,,
1997-12-04,Thursday,26.63334,,
1997-12-05,Friday,26.91059,,start
1997-12-06,Saturday,26.91059,imputed from 112,
1997-12-07,Sunday,26.91059,imputed from 113,
1997-12-08,Monday,27.43104,,
1997-12-09,Tuesday,27.2302,,
1997-12-10,Wednesday,26.18146,,
1997-12-11,Thursday,25.89098,,
1997-12-12,Friday,26.10039,,start
1997-12-13,Saturday,26.10039,imputed from 119,
1997-12-14,Sunday,26.10039,imputed from 120,
1997-12-15,Monday,26.01036,,
1997-12-16,Tuesday,26.21023,,
1997-12-17,Wednesday,26.08446,,
1997-12-18,Thursday,26.68176,,
1997-12-19,Friday,26.33264,,start
1997-12-20,Saturday,26.33264,imputed from 126,
1997-12-21,Sunday,26.33264,imputed from 127,
1997-12-22,Monday,26.34416,,
1997-12-23,Tuesday,26.27056,,
1997-12-24,Wednesday,26.31023,,
1997-12-25,Thursday,26.31023,imputed from 131,
1997-12-26,Friday,26.07878,,start
1997-12-27,Saturday,26.07878,imputed from 133,
1997-12-28,Sunday,26.07878,imputed from 134,
1997-12-29,Monday,25.53314,,
1997-12-30,Tuesday,25.5904,,
1997-12-31,Wednesday,25.79144,,
1998-01-01,Thursday,25.79144,imputed from 138,
1998-01-02,Friday,25.58201,,start
1998-01-03,Saturday,25.58201,imputed from 140,
1998-01-04,Sunday,25.58201,imputed from 141,
1998-01-05,Monday,25.10699,,
1998-01-06,Tuesday,25.03187,,
1998-01-07,Wednesday,24.85323,,
1998-01-08,Thursday,24.97305,,
1998-01-09,Friday,24.55253,,start
1998-01-10,Saturday,24.55253,imputed from 147,
1998-01-11,Sunday,24.55253,imputed from 148,
1998-01-12,Monday,24.33443,,
1998-01-13,Tuesday,24.2589,,
1998-01-14,Wednesday,24.38712,,
1998-01-15,Thursday,24.43647,,
1998-01-16,Friday,24.73363,,start
1998-01-17,Saturday,24.73363,imputed from 154,
1998-01-18,Sunday,24.73363,imputed from 155,
1998-01-19,Monday,24.73363,imputed from 156,
1998-01-20,Tuesday,24.60537,,
1998-01-21,Wednesday,24.27369,,
1998-01-22,Thursday,24.12426,,
1998-01-23,Friday,22.71754,,start
1998-01-24,Saturday,22.71754,imputed from 161,
1998-01-25,Sunday,22.71754,imputed from 162,
1998-01-26,Monday,24.47815,,
1998-01-27,Tuesday,24.64987,,
1998-01-28,Wednesday,25.28991,,
1998-01-29,Thursday,26.22748,,
1998-01-30,Friday,25.45875,,start
1998-01-31,Saturday,25.45875,imputed from 168,
1998-02-01,Sunday,25.45875,imputed from 169,
1998-02-02,Monday,25.12659,,
1998-02-03,Tuesday,24.1857,,
1998-02-04,Wednesday,23.77415,,
1998-02-05,Thursday,23.93157,,
1998-02-06,Friday,24.35361,,start
1998-02-07,Saturday,24.35361,imputed from 175,
1998-02-08,Sunday,24.35361,imputed from 176,
1998-02-09,Monday,24.39455,,
1998-02-10,Tuesday,24.05516,,
1998-02-11,Wednesday,23.62745,,
1998-02-12,Thursday,23.20265,,
1998-02-13,Friday,23.42605,,start
1998-02-14,Saturday,23.42605,imputed from 182,
1998-02-15,Sunday,23.42605,imputed from 183,
1998-02-16,Monday,23.42605,imputed from 184,
1998-02-17,Tuesday,23.07501,,
1998-02-18,Wednesday,23.89238,,
1998-02-19,Thursday,23.79075,,
1998-02-20,Friday,23.74534,,start
1998-02-21,Saturday,23.74534,imputed from 189,
1998-02-22,Sunday,23.74534,imputed from 190,
