date,weekday,CN1_Comdty_PX-LAST-CHF,imputed,CN1_Comdty_start
1997-08-15,Friday,119.85,,start
1997-08-16,Saturday,119.85,imputed from 0,
1997-08-17,Sunday,119.85,imputed from 1,
1997-08-18,Monday,120.37,,
1997-08-19,Tuesday,120.16,,
1997-08-20,Wednesday,119.85,,
1997-08-21,Thursday,119.61,,
1997-08-22,Friday,119.42,,start
1997-08-23,Saturday,119.42,imputed from 7,
1997-08-24,Sunday,119.42,imputed from 8,
1997-08-25,Monday,119.39,,
1997-08-26,Tuesday,118.1,,
1997-08-27,Wednesday,118.14,,
1997-08-28,Thursday,118.84,,
1997-08-29,Friday,118.56,,start
1997-08-30,Saturday,118.56,imputed from 14,
1997-08-31,Sunday,118.56,imputed from 15,
1997-09-01,Monday,118.56,imputed from 16,
1997-09-02,Tuesday,118.87,,
1997-09-03,Wednesday,118.6,,
1997-09-04,Thursday,118.71,,
1997-09-05,Friday,118.53,,start
1997-09-06,Saturday,118.53,imputed from 21,
1997-09-07,Sunday,118.53,imputed from 22,
1997-09-08,Monday,118.67,,
1997-09-09,Tuesday,118.52,,
1997-09-10,Wednesday,118.38,,
1997-09-11,Thursday,118.23,,
1997-09-12,Friday,119.03,,start
1997-09-13,Saturday,119.03,imputed from 28,
1997-09-14,Sunday,119.03,imputed from 29,
1997-09-15,Monday,119.27,,
1997-09-16,Tuesday,120.32,,
1997-09-17,Wednesday,120.46,,
1997-09-18,Thursday,120.26,,
1997-09-19,Friday,120.45,,start
1997-09-20,Saturday,120.45,imputed from 35,
1997-09-21,Sunday,120.45,imputed from 36,
1997-09-22,Monday,120.62,,
1997-09-23,Tuesday,120.55,,
1997-09-24,Wednesday,121.02,,
1997-09-25,Thursday,120.56,,
1997-09-26,Friday,121.13,,start
1997-09-27,Saturday,121.13,imputed from 42,
1997-09-28,Sunday,121.13,imputed from 43,
1997-09-29,Monday,120.64,,
1997-09-30,Tuesday,120.62,,
1997-10-01,Wednesday,121.29,,
1997-10-02,Thursday,121.94,,
1997-10-03,Friday,122.43,,start
1997-10-04,Saturday,122.43,imputed from 49,
1997-10-05,Sunday,122.43,imputed from 50,
1997-10-06,Monday,122.67,,
1997-10-07,Tuesday,122.65,,
1997-10-08,Wednesday,122.07,,
1997-10-09,Thursday,121.55,,
1997-10-10,Friday,121.08,,start
1997-10-11,Saturday,121.08,imputed from 56,
1997-10-12,Sunday,121.08,imputed from 57,
1997-10-13,Monday,121.08,imputed from 58,
1997-10-14,Tuesday,121.36,,
1997-10-15,Wednesday,121.36,,
1997-10-16,Thursday,121.33,,
1997-10-17,Friday,120.82,,start
1997-10-18,Saturday,120.82,imputed from 63,
1997-10-19,Sunday,120.82,imputed from 64,
1997-10-20,Monday,121.18,,
1997-10-21,Tuesday,121.1,,
1997-10-22,Wednesday,121.03,,
1997-10-23,Thursday,121.65,,
1997-10-24,Friday,121.78,,start
1997-10-25,Saturday,121.78,imputed from 70,
1997-10-26,Sunday,121.78,imputed from 71,
1997-10-27,Monday,122.62,,
1997-10-28,Tuesday,122.27,,
1997-10-29,Wednesday,122.68,,
1997-10-30,Thursday,122.95,,
1997-10-31,Friday,122.93,,start
1997-11-01,Saturday,122.93,imputed from 77,
1997-11-02,Sunday,122.93,imputed from 78,
1997-11-03,Monday,122.47,,
1997-11-04,Tuesday,122.11,,
1997-11-05,Wednesday,122.26,,
1997-11-06,Thursday,122.52,,
1997-11-07,Friday,122.66,,start
1997-11-08,Saturday,122.66,imputed from 84,
1997-11-09,Sunday,122.66,imputed from 85,
1997-11-10,Monday,122.65,,
1997-11-11,Tuesday,122.65,,
1997-11-12,Wednesday,122.96,,
1997-11-13,Thursday,123.27,,
1997-11-14,Friday,123.26,,start
1997-11-15,Saturday,123.26,imputed from 91,
1997-11-16,Sunday,123.26,imputed from 92,
1997-11-17,Monday,123.14,,
1997-11-18,Tuesday,123.15,,
1997-11-19,Wednesday,123.33,,
1997-11-20,Thursday,122.84,,
1997-11-21,Friday,123.13,,start
1997-11-22,Saturday,123.13,imputed from 98,
1997-11-23,Sunday,123.13,imputed from 99,
1997-11-24,Monday,122.7,,
1997-11-25,Tuesday,124.82,,
1997-11-26,Wednesday,124.98,,
1997-11-27,Thursday,124.08,,
1997-11-28,Friday,123.5,,start
1997-11-29,Saturday,123.5,imputed from 105,
1997-11-30,Sunday,123.5,imputed from 106,
1997-12-01,Monday,124.02,,
1997-12-02,Tuesday,124.48,,
1997-12-03,Wednesday,124.44,,
1997-12-04,Thursday,124.16,,
1997-12-05,Friday,123.32,,start
1997-12-06,Saturday,123.32,imputed from 112,
1997-12-07,Sunday,123.32,imputed from 113,
1997-12-08,Monday,122.9,,
1997-12-09,Tuesday,122.68,,
1997-12-10,Wednesday,122.75,,
1997-12-11,Thursday,122.6,,
1997-12-12,Friday,123.56,,start
1997-12-13,Saturday,123.56,imputed from 119,
1997-12-14,Sunday,123.56,imputed from 120,
1997-12-15,Monday,123.21,,
1997-12-16,Tuesday,123.17,,
1997-12-17,Wednesday,122.96,,
1997-12-18,Thursday,123.19,,
1997-12-19,Friday,123.72,,start
1997-12-20,Saturday,123.72,imputed from 126,
1997-12-21,Sunday,123.72,imputed from 127,
1997-12-22,Monday,123.58,,
1997-12-23,Tuesday,123.76,,
1997-12-24,Wednesday,123.42,,
1997-12-25,Thursday,123.42,imputed from 131,
1997-12-26,Friday,123.42,imputed from 131,start
1997-12-27,Saturday,123.42,imputed from 133,
1997-12-28,Sunday,123.42,imputed from 134,
1997-12-29,Monday,123.74,,
1997-12-30,Tuesday,123.42,,
1997-12-31,Wednesday,124.03,,
1998-01-01,Thursday,124.03,imputed from 138,
1998-01-02,Friday,124.78,,start
1998-01-03,Saturday,124.78,imputed from 140,
1998-01-04,Sunday,124.78,imputed from 141,
1998-01-05,Monday,125.96,,
1998-01-06,Tuesday,125.96,,
1998-01-07,Wednesday,125.6,,
1998-01-08,Thursday,126.27,,
1998-01-09,Friday,126.8,,start
1998-01-10,Saturday,126.8,imputed from 147,
1998-01-11,Sunday,126.8,imputed from 148,
1998-01-12,Monday,127.42,,
1998-01-13,Tuesday,127.28,,
1998-01-14,Wednesday,127.03,,
1998-01-15,Thursday,126.71,,
1998-01-16,Friday,126.5,,start
