date,weekday,CV1_Comdty_PX-LAST,CV1_Comdty_CURRENCY-CAD,CV1_Comdty_PX-LAST-CHF,imputed,CV1_Comdty_start
2004-05-03,Monday,,0.9474,,,excluded
2004-05-04,Tuesday,,0.9356,,,excluded
2004-05-05,Wednesday,,0.9272,,,excluded
2004-05-06,Thursday,,0.9306,,,excluded
2004-05-07,Friday,104.68,0.9417,98.577156,,start
2004-05-08,Saturday,,,98.577156,imputed from 4,
2004-05-09,Sunday,,,98.577156,imputed from 5,
2004-05-10,Monday,104.71,0.9332,97.715372,,
2004-05-11,Tuesday,104.73,0.935,97.92255000000002,,
2004-05-12,Wednesday,104.69,0.933,97.67577,,
2004-05-13,Thursday,104.62,0.9343,97.74646600000001,,
2004-05-14,Friday,104.6,0.9326,97.54996,,start
2004-05-15,Saturday,,,97.54996,imputed from 11,
2004-05-16,Sunday,,,97.54996,imputed from 12,
2004-05-17,Monday,104.66,0.9132,95.575512,,
2004-05-18,Tuesday,104.58,0.9227,96.495966,,
2004-05-19,Wednesday,104.5,0.9284,97.0178,,
2004-05-20,Thursday,104.61,0.9397,98.30201699999999,,
2004-05-21,Friday,104.6,0.9343,97.72778,,start
2004-05-22,Saturday,,,97.72778,imputed from 18,
2004-05-23,Sunday,,,97.72778,imputed from 19,
2004-05-24,Monday,,0.9328,97.72778,imputed from 20,
2004-05-25,Tuesday,104.48,0.9274,96.894752,,
2004-05-26,Wednesday,104.58,0.928,97.05024,,
2004-05-27,Thursday,104.79,0.9176,96.155304,,
2004-05-28,Friday,104.68,0.9189,96.19045200000001,,start
2004-05-29,Saturday,,,96.19045200000001,imputed from 25,
2004-05-30,Sunday,,,96.19045200000001,imputed from 26,
2004-05-31,Monday,104.65,0.9205,96.330325,,
2004-06-01,Tuesday,104.56,0.9109,95.24370400000001,,
2004-06-02,Wednesday,104.51,0.9182,95.961082,,
2004-06-03,Thursday,104.53,0.917,95.85401,,
2004-06-04,Friday,104.22,0.9176,95.632272,,start
2004-06-05,Saturday,,,95.632272,imputed from 32,
2004-06-06,Sunday,,,95.632272,imputed from 33,
2004-06-07,Monday,104.23,0.9184,95.724832,,
2004-06-08,Tuesday,104.3,0.9171,95.65353,,
2004-06-09,Wednesday,104.29,0.9224,96.197096,,
2004-06-10,Thursday,104.24,0.9151,95.390024,,
2004-06-11,Friday,104.1,0.9238,96.16757999999999,,start
2004-06-12,Saturday,,,96.16757999999999,imputed from 39,
2004-06-13,Sunday,,,96.16757999999999,imputed from 40,
2004-06-14,Monday,103.97,0.9136,94.986992,,
2004-06-15,Tuesday,104.15,0.913,95.08895000000001,,
2004-06-16,Wednesday,104.09,0.9223,96.002207,,
2004-06-17,Thursday,104.1,0.9133,95.07453,,
2004-06-18,Friday,104.11,0.9131,95.062841,,start
2004-06-19,Saturday,,,95.062841,imputed from 46,
2004-06-20,Sunday,,,95.062841,imputed from 47,
2004-06-21,Monday,104.14,0.9129,95.069406,,
2004-06-22,Tuesday,104.17,0.9205,95.888485,,
2004-06-23,Wednesday,104.25,0.9214,96.05595,,
2004-06-24,Thursday,104.34,0.9254,96.556236,,
2004-06-25,Friday,104.4,0.9238,96.44472,,start
2004-06-26,Saturday,,,96.44472,imputed from 53,
2004-06-27,Sunday,,,96.44472,imputed from 54,
