date,weekday,FB1_Comdty_PX-LAST-CHF,imputed,FB1_Comdty_start
1997-08-15,Friday,119.8,,start
1997-08-16,Saturday,119.8,imputed from 0,
1997-08-17,Sunday,119.8,imputed from 1,
1997-08-18,Monday,119.97,,
1997-08-19,Tuesday,120.1,,
1997-08-20,Wednesday,120.14,,
1997-08-21,Thursday,120.05,,
1997-08-22,Friday,119.7,,start
1997-08-23,Saturday,119.7,imputed from 7,
1997-08-24,Sunday,119.7,imputed from 8,
1997-08-25,Monday,119.65,,
1997-08-26,Tuesday,119.66,,
1997-08-27,Wednesday,119.62,,
1997-08-28,Thursday,119.6,,
1997-08-29,Friday,119.54,,start
1997-08-30,Saturday,119.54,imputed from 14,
1997-08-31,Sunday,119.54,imputed from 15,
1997-09-01,Monday,119.5,,
1997-09-02,Tuesday,119.72,,
1997-09-03,Wednesday,119.65,,
1997-09-04,Thursday,119.76,,
1997-09-05,Friday,119.57,,start
1997-09-06,Saturday,119.57,imputed from 21,
1997-09-07,Sunday,119.57,imputed from 22,
1997-09-08,Monday,119.7,,
1997-09-09,Tuesday,119.6,,
1997-09-10,Wednesday,119.6,,
1997-09-11,Thursday,119.46,,
1997-09-12,Friday,119.44,,start
1997-09-13,Saturday,119.44,imputed from 28,
1997-09-14,Sunday,119.44,imputed from 29,
1997-09-15,Monday,118.1,,
1997-09-16,Tuesday,118.05,,
1997-09-17,Wednesday,118.27,,
1997-09-18,Thursday,118.88,,
1997-09-19,Friday,119.06,,start
1997-09-20,Saturday,119.06,imputed from 35,
1997-09-21,Sunday,119.06,imputed from 36,
1997-09-22,Monday,119.12,,
1997-09-23,Tuesday,118.9,,
1997-09-24,Wednesday,118.93,,
1997-09-25,Thursday,118.77,,
1997-09-26,Friday,118.65,,start
1997-09-27,Saturday,118.65,imputed from 42,
1997-09-28,Sunday,118.65,imputed from 43,
1997-09-29,Monday,118.62,,
1997-09-30,Tuesday,118.58,,
1997-10-01,Wednesday,119.04,,
1997-10-02,Thursday,119.25,,
1997-10-03,Friday,119.77,,start
1997-10-04,Saturday,119.77,imputed from 49,
1997-10-05,Sunday,119.77,imputed from 50,
1997-10-06,Monday,119.47,,
1997-10-07,Tuesday,119.42,,
1997-10-08,Wednesday,119.2,,
1997-10-09,Thursday,118.7,,
1997-10-10,Friday,118.03,,start
1997-10-11,Saturday,118.03,imputed from 56,
1997-10-12,Sunday,118.03,imputed from 57,
1997-10-13,Monday,118.29,,
1997-10-14,Tuesday,118.49,,
1997-10-15,Wednesday,118.48,,
1997-10-16,Thursday,118.2,,
1997-10-17,Friday,117.85,,start
1997-10-18,Saturday,117.85,imputed from 63,
1997-10-19,Sunday,117.85,imputed from 64,
1997-10-20,Monday,117.94,,
1997-10-21,Tuesday,117.92,,
1997-10-22,Wednesday,117.45,,
1997-10-23,Thursday,117.71,,
1997-10-24,Friday,117.94,,start
1997-10-25,Saturday,117.94,imputed from 70,
1997-10-26,Sunday,117.94,imputed from 71,
1997-10-27,Monday,118.06,,
1997-10-28,Tuesday,118.4,,
1997-10-29,Wednesday,118.28,,
1997-10-30,Thursday,118.6,,
1997-10-31,Friday,118.79,,start
1997-11-01,Saturday,118.79,imputed from 77,
1997-11-02,Sunday,118.79,imputed from 78,
1997-11-03,Monday,118.34,,
1997-11-04,Tuesday,118.5,,
1997-11-05,Wednesday,118.24,,
1997-11-06,Thursday,117.95,,
1997-11-07,Friday,118.17,,start
1997-11-08,Saturday,118.17,imputed from 84,
1997-11-09,Sunday,118.17,imputed from 85,
1997-11-10,Monday,118.09,,
1997-11-11,Tuesday,117.84,,
1997-11-12,Wednesday,117.7,,
1997-11-13,Thursday,117.9,,
1997-11-14,Friday,118.35,,start
1997-11-15,Saturday,118.35,imputed from 91,
1997-11-16,Sunday,118.35,imputed from 92,
1997-11-17,Monday,118.28,,
1997-11-18,Tuesday,118.47,,
1997-11-19,Wednesday,118.9,,
1997-11-20,Thursday,119.4,,
1997-11-21,Friday,119.0,,start
1997-11-22,Saturday,119.0,imputed from 98,
1997-11-23,Sunday,119.0,imputed from 99,
1997-11-24,Monday,119.34,,
1997-11-25,Tuesday,119.37,,
1997-11-26,Wednesday,119.39,,
1997-11-27,Thursday,119.12,,
1997-11-28,Friday,119.5,,start
1997-11-29,Saturday,119.5,imputed from 105,
1997-11-30,Sunday,119.5,imputed from 106,
1997-12-01,Monday,119.6,,
1997-12-02,Tuesday,119.47,,
1997-12-03,Wednesday,119.47,,
1997-12-04,Thursday,119.63,,
1997-12-05,Friday,119.52,,start
1997-12-06,Saturday,119.52,imputed from 112,
1997-12-07,Sunday,119.52,imputed from 113,
1997-12-08,Monday,119.92,,
1997-12-09,Tuesday,119.71,,
1997-12-10,Wednesday,120.06,,
1997-12-11,Thursday,120.61,,
1997-12-12,Friday,121.18,,start
1997-12-13,Saturday,121.18,imputed from 119,
1997-12-14,Sunday,121.18,imputed from 120,
1997-12-15,Monday,119.86,,
1997-12-16,Tuesday,119.81,,
1997-12-17,Wednesday,119.79,,
1997-12-18,Thursday,120.27,,
1997-12-19,Friday,120.63,,start
1997-12-20,Saturday,120.63,imputed from 126,
1997-12-21,Sunday,120.63,imputed from 127,
1997-12-22,Monday,120.8,,
1997-12-23,Tuesday,120.84,,
1997-12-24,Wednesday,120.82,,
1997-12-25,Thursday,120.82,imputed from 131,
1997-12-26,Friday,120.82,imputed from 131,start
1997-12-27,Saturday,120.82,imputed from 133,
1997-12-28,Sunday,120.82,imputed from 134,
1997-12-29,Monday,120.55,,
1997-12-30,Tuesday,120.04,,
1997-12-31,Wednesday,120.3,,
1998-01-01,Thursday,120.3,imputed from 138,
1998-01-02,Friday,120.3,imputed from 138,start
1998-01-03,Saturday,120.3,imputed from 140,
1998-01-04,Sunday,120.3,imputed from 141,
1998-01-05,Monday,121.04,,
1998-01-06,Tuesday,121.03,,
1998-01-07,Wednesday,121.16,,
1998-01-08,Thursday,121.5,,
1998-01-09,Friday,121.7,,start
1998-01-10,Saturday,121.7,imputed from 147,
1998-01-11,Sunday,121.7,imputed from 148,
1998-01-12,Monday,121.9,,
1998-01-13,Tuesday,121.95,,
1998-01-14,Wednesday,121.97,,
1998-01-15,Thursday,122.08,,
1998-01-16,Friday,122.05,,start
1998-01-17,Saturday,122.05,imputed from 154,
1998-01-18,Sunday,122.05,imputed from 155,
1998-01-19,Monday,121.94,,
1998-01-20,Tuesday,122.49,,
1998-01-21,Wednesday,122.15,,
1998-01-22,Thursday,122.31,,
1998-01-23,Friday,122.35,,start
1998-01-24,Saturday,122.35,imputed from 161,
1998-01-25,Sunday,122.35,imputed from 162,
1998-01-26,Monday,122.65,,
1998-01-27,Tuesday,123.16,,
1998-01-28,Wednesday,122.97,,
1998-01-29,Thursday,123.3,,
1998-01-30,Friday,123.48,,start
1998-01-31,Saturday,123.48,imputed from 168,
1998-02-01,Sunday,123.48,imputed from 169,
1998-02-02,Monday,123.36,,
1998-02-03,Tuesday,123.56,,
1998-02-04,Wednesday,123.5,,
1998-02-05,Thursday,123.55,,
1998-02-06,Friday,123.78,,start
1998-02-07,Saturday,123.78,imputed from 175,
1998-02-08,Sunday,123.78,imputed from 176,
1998-02-09,Monday,123.85,,
1998-02-10,Tuesday,124.05,,
1998-02-11,Wednesday,124.69,,
1998-02-12,Thursday,125.0,,
1998-02-13,Friday,125.64,,start
1998-02-14,Saturday,125.64,imputed from 182,
1998-02-15,Sunday,125.64,imputed from 183,
1998-02-16,Monday,126.15,,
1998-02-17,Tuesday,126.35,,
1998-02-18,Wednesday,125.82,,
1998-02-19,Thursday,125.65,,
1998-02-20,Friday,125.7,,start
