date,weekday,G 1_Comdty_PX-LAST-CHF,imputed,G 1_Comdty_start
1997-08-15,Friday,114.625,,start
1997-08-16,Saturday,114.625,imputed from 0,
1997-08-17,Sunday,114.625,imputed from 1,
1997-08-18,Monday,115.0625,,
1997-08-19,Tuesday,115.0625,,
1997-08-20,Wednesday,115.125,,
1997-08-21,Thursday,114.9375,,
1997-08-22,Friday,114.1563,,start
1997-08-23,Saturday,114.1563,imputed from 7,
1997-08-24,Sunday,114.1563,imputed from 8,
1997-08-25,Monday,114.1563,imputed from 9,
1997-08-26,Tuesday,114.4375,,
1997-08-27,Wednesday,113.9688,,
1997-08-28,Thursday,114.1563,,
1997-08-29,Friday,114.1875,,start
1997-08-30,Saturday,114.1875,imputed from 14,
1997-08-31,Sunday,114.1875,imputed from 15,
1997-09-01,Monday,114.5,,
1997-09-02,Tuesday,114.5938,,
1997-09-03,Wednesday,114.75,,
1997-09-04,Thursday,114.7813,,
1997-09-05,Friday,114.8438,,start
1997-09-06,Saturday,114.8438,imputed from 21,
1997-09-07,Sunday,114.8438,imputed from 22,
1997-09-08,Monday,115.125,,
1997-09-09,Tuesday,114.9375,,
1997-09-10,Wednesday,114.9375,,
1997-09-11,Thursday,115.0625,,
1997-09-12,Friday,115.4375,,start
1997-09-13,Saturday,115.4375,imputed from 28,
1997-09-14,Sunday,115.4375,imputed from 29,
1997-09-15,Monday,115.8125,,
1997-09-16,Tuesday,117.1875,,
1997-09-17,Wednesday,117.0938,,
1997-09-18,Thursday,117.7813,,
1997-09-19,Friday,117.4375,,start
1997-09-20,Saturday,117.4375,imputed from 35,
1997-09-21,Sunday,117.4375,imputed from 36,
1997-09-22,Monday,117.8438,,
1997-09-23,Tuesday,117.6875,,
1997-09-24,Wednesday,117.9375,,
1997-09-25,Thursday,118.0,,
1997-09-26,Friday,119.5625,,start
1997-09-27,Saturday,119.5625,imputed from 42,
1997-09-28,Sunday,119.5625,imputed from 43,
1997-09-29,Monday,119.125,,
1997-09-30,Tuesday,119.3438,,
1997-10-01,Wednesday,120.2813,,
1997-10-02,Thursday,120.4688,,
1997-10-03,Friday,121.625,,start
1997-10-04,Saturday,121.625,imputed from 49,
1997-10-05,Sunday,121.625,imputed from 50,
1997-10-06,Monday,120.8438,,
1997-10-07,Tuesday,120.625,,
1997-10-08,Wednesday,119.5938,,
1997-10-09,Thursday,118.9688,,
1997-10-10,Friday,118.875,,start
1997-10-11,Saturday,118.875,imputed from 56,
1997-10-12,Sunday,118.875,imputed from 57,
1997-10-13,Monday,119.5,,
1997-10-14,Tuesday,119.6563,,
1997-10-15,Wednesday,119.3125,,
1997-10-16,Thursday,119.0313,,
1997-10-17,Friday,119.0625,,start
1997-10-18,Saturday,119.0625,imputed from 63,
1997-10-19,Sunday,119.0625,imputed from 64,
1997-10-20,Monday,118.3125,,
1997-10-21,Tuesday,118.0938,,
1997-10-22,Wednesday,118.0625,,
1997-10-23,Thursday,118.6563,,
1997-10-24,Friday,118.7813,,start
1997-10-25,Saturday,118.7813,imputed from 70,
1997-10-26,Sunday,118.7813,imputed from 71,
1997-10-27,Monday,118.4688,,
1997-10-28,Tuesday,118.1563,,
1997-10-29,Wednesday,118.25,,
1997-10-30,Thursday,118.5625,,
1997-10-31,Friday,118.7188,,start
1997-11-01,Saturday,118.7188,imputed from 77,
1997-11-02,Sunday,118.7188,imputed from 78,
1997-11-03,Monday,118.4063,,
1997-11-04,Tuesday,118.5,,
1997-11-05,Wednesday,118.3438,,
1997-11-06,Thursday,117.8125,,
1997-11-07,Friday,118.3438,,start
1997-11-08,Saturday,118.3438,imputed from 84,
1997-11-09,Sunday,118.3438,imputed from 85,
1997-11-10,Monday,118.3438,,
1997-11-11,Tuesday,117.625,,
1997-11-12,Wednesday,116.6563,,
1997-11-13,Thursday,117.0313,,
1997-11-14,Friday,117.875,,start
1997-11-15,Saturday,117.875,imputed from 91,
1997-11-16,Sunday,117.875,imputed from 92,
1997-11-17,Monday,117.9688,,
1997-11-18,Tuesday,117.6563,,
1997-11-19,Wednesday,118.1563,,
1997-11-20,Thursday,118.9063,,
1997-11-21,Friday,118.6875,,start
1997-11-22,Saturday,118.6875,imputed from 98,
1997-11-23,Sunday,118.6875,imputed from 99,
1997-11-24,Monday,118.875,,
1997-11-25,Tuesday,118.9063,,
1997-11-26,Wednesday,119.5,,
1997-11-27,Thursday,119.3438,,
1997-11-28,Friday,119.8125,,start
1997-11-29,Saturday,119.8125,imputed from 105,
1997-11-30,Sunday,119.8125,imputed from 106,
1997-12-01,Monday,119.75,,
1997-12-02,Tuesday,120.0,,
1997-12-03,Wednesday,119.75,,
1997-12-04,Thursday,120.0313,,
1997-12-05,Friday,119.3438,,start
1997-12-06,Saturday,119.3438,imputed from 112,
1997-12-07,Sunday,119.3438,imputed from 113,
1997-12-08,Monday,119.8125,,
1997-12-09,Tuesday,120.375,,
1997-12-10,Wednesday,120.5625,,
1997-12-11,Thursday,121.5,,
1997-12-12,Friday,121.5313,,start
1997-12-13,Saturday,121.5313,imputed from 119,
1997-12-14,Sunday,121.5313,imputed from 120,
1997-12-15,Monday,121.625,,
1997-12-16,Tuesday,121.4063,,
1997-12-17,Wednesday,121.0938,,
1997-12-18,Thursday,121.2813,,
1997-12-19,Friday,121.6563,,start
1997-12-20,Saturday,121.6563,imputed from 126,
1997-12-21,Sunday,121.6563,imputed from 127,
1997-12-22,Monday,121.5,,
1997-12-23,Tuesday,121.9063,,
1997-12-24,Wednesday,122.0625,,
1997-12-25,Thursday,122.0625,imputed from 131,
1997-12-26,Friday,122.0625,imputed from 131,start
1997-12-27,Saturday,122.0625,imputed from 133,
1997-12-28,Sunday,122.0625,imputed from 134,
1997-12-29,Monday,122.0,,
1997-12-30,Tuesday,120.8125,,
1997-12-31,Wednesday,121.1563,,
1998-01-01,Thursday,121.1563,imputed from 138,
1998-01-02,Friday,121.2813,,start
1998-01-03,Saturday,121.2813,imputed from 140,
1998-01-04,Sunday,121.2813,imputed from 141,
1998-01-05,Monday,122.6563,,
1998-01-06,Tuesday,123.0,,
1998-01-07,Wednesday,123.0,,
1998-01-08,Thursday,123.375,,
1998-01-09,Friday,123.75,,start
1998-01-10,Saturday,123.75,imputed from 147,
1998-01-11,Sunday,123.75,imputed from 148,
1998-01-12,Monday,124.125,,
1998-01-13,Tuesday,124.0625,,
1998-01-14,Wednesday,123.6875,,
1998-01-15,Thursday,123.4375,,
1998-01-16,Friday,123.3125,,start
1998-01-17,Saturday,123.3125,imputed from 154,
1998-01-18,Sunday,123.3125,imputed from 155,
1998-01-19,Monday,123.2813,,
1998-01-20,Tuesday,123.6563,,
1998-01-21,Wednesday,123.5,,
1998-01-22,Thursday,123.625,,
1998-01-23,Friday,123.5313,,start
1998-01-24,Saturday,123.5313,imputed from 161,
1998-01-25,Sunday,123.5313,imputed from 162,
1998-01-26,Monday,123.4063,,
1998-01-27,Tuesday,123.4063,,
1998-01-28,Wednesday,122.9063,,
1998-01-29,Thursday,123.1875,,
1998-01-30,Friday,123.5,,start
1998-01-31,Saturday,123.5,imputed from 168,
1998-02-01,Sunday,123.5,imputed from 169,
1998-02-02,Monday,123.125,,
1998-02-03,Tuesday,123.2188,,
1998-02-04,Wednesday,122.8438,,
1998-02-05,Thursday,122.9063,,
1998-02-06,Friday,122.75,,start
1998-02-07,Saturday,122.75,imputed from 175,
1998-02-08,Sunday,122.75,imputed from 176,
1998-02-09,Monday,122.6875,,
1998-02-10,Tuesday,123.4375,,
1998-02-11,Wednesday,124.0,,
1998-02-12,Thursday,124.125,,
1998-02-13,Friday,124.2188,,start
1998-02-14,Saturday,124.2188,imputed from 182,
1998-02-15,Sunday,124.2188,imputed from 183,
1998-02-16,Monday,124.0625,,
1998-02-17,Tuesday,124.25,,
1998-02-18,Wednesday,123.875,,
1998-02-19,Thursday,123.8125,,
1998-02-20,Friday,123.6563,,start
1998-02-21,Saturday,123.6563,imputed from 189,
1998-02-22,Sunday,123.6563,imputed from 190,
1998-02-23,Monday,123.375,,
1998-02-24,Tuesday,122.9688,,
1998-02-25,Wednesday,107.3438,,
1998-02-26,Thursday,107.3125,,
1998-02-27,Friday,106.8438,,start
1998-02-28,Saturday,106.8438,imputed from 196,
1998-03-01,Sunday,106.8438,imputed from 197,
1998-03-02,Monday,107.3438,,
1998-03-03,Tuesday,106.8125,,
1998-03-04,Wednesday,106.5625,,
1998-03-05,Thursday,106.9688,,
1998-03-06,Friday,107.1563,,start
1998-03-07,Saturday,107.1563,imputed from 203,
1998-03-08,Sunday,107.1563,imputed from 204,
1998-03-09,Monday,107.6563,,
1998-03-10,Tuesday,107.75,,
1998-03-11,Wednesday,107.6875,,
1998-03-12,Thursday,108.0625,,
1998-03-13,Friday,107.875,,start
1998-03-14,Saturday,107.875,imputed from 210,
1998-03-15,Sunday,107.875,imputed from 211,
1998-03-16,Monday,108.2813,,
1998-03-17,Tuesday,107.9375,,
1998-03-18,Wednesday,108.125,,
1998-03-19,Thursday,107.7188,,
1998-03-20,Friday,108.1875,,start
1998-03-21,Saturday,108.1875,imputed from 217,
1998-03-22,Sunday,108.1875,imputed from 218,
1998-03-23,Monday,108.0625,,
1998-03-24,Tuesday,108.25,,
1998-03-25,Wednesday,108.25,,
1998-03-26,Thursday,108.1563,,
1998-03-27,Friday,107.9063,,start
1998-03-28,Saturday,107.9063,imputed from 224,
