date,weekday,GC1_Comdty_PX-LAST-CHF,imputed,GC1_Comdty_start
1997-08-15,Friday,492.8742,,start
1997-08-16,Saturday,492.8742,imputed from 0,
1997-08-17,Sunday,492.8742,imputed from 1,
1997-08-18,Monday,487.44984,,
1997-08-19,Tuesday,492.5699,,
1997-08-20,Wednesday,492.7454,,
1997-08-21,Thursday,492.3968,,
1997-08-22,Friday,490.02822,,start
1997-08-23,Saturday,490.02822,imputed from 7,
1997-08-24,Sunday,490.02822,imputed from 8,
1997-08-25,Monday,488.66085,,
1997-08-26,Tuesday,485.8893,,
1997-08-27,Wednesday,488.82744,,
1997-08-28,Thursday,481.7982,,
1997-08-29,Friday,486.13425,,start
1997-08-30,Saturday,486.13425,imputed from 14,
1997-08-31,Sunday,486.13425,imputed from 15,
1997-09-01,Monday,486.13425,imputed from 16,
1997-09-02,Tuesday,487.3284,,
1997-09-03,Wednesday,484.95,,
1997-09-04,Thursday,482.6096,,
1997-09-05,Friday,478.12308,,start
1997-09-06,Saturday,478.12308,imputed from 21,
1997-09-07,Sunday,478.12308,imputed from 22,
1997-09-08,Monday,479.83581,,
1997-09-09,Tuesday,480.3514,,
1997-09-10,Wednesday,477.15766,,
1997-09-11,Thursday,479.16489,,
1997-09-12,Friday,476.3192,,start
1997-09-13,Saturday,476.3192,imputed from 28,
1997-09-14,Sunday,476.3192,imputed from 29,
1997-09-15,Monday,466.68355,,
1997-09-16,Tuesday,466.1907,,
1997-09-17,Wednesday,469.4908,,
1997-09-18,Thursday,471.18645,,
1997-09-19,Friday,469.72896,,start
1997-09-20,Saturday,469.72896,imputed from 35,
1997-09-21,Sunday,469.72896,imputed from 36,
1997-09-22,Monday,474.32784,,
1997-09-23,Tuesday,474.96398,,
1997-09-24,Wednesday,472.6188,,
1997-09-25,Thursday,476.79262,,
1997-09-26,Friday,475.41067,,start
1997-09-27,Saturday,475.41067,imputed from 42,
1997-09-28,Sunday,475.41067,imputed from 43,
1997-09-29,Monday,480.10424,,
1997-09-30,Tuesday,488.67345,,
1997-10-01,Wednesday,490.80683,,
1997-10-02,Thursday,485.576,,
1997-10-03,Friday,487.8312,,start
1997-10-04,Saturday,487.8312,imputed from 49,
1997-10-05,Sunday,487.8312,imputed from 50,
1997-10-06,Monday,485.3373,,
1997-10-07,Tuesday,482.15178,,
1997-10-08,Wednesday,485.5144,,
1997-10-09,Thursday,478.95308,,
1997-10-10,Friday,482.26032,,start
1997-10-11,Saturday,482.26032,imputed from 56,
1997-10-12,Sunday,482.26032,imputed from 57,
1997-10-13,Monday,482.23356,,
1997-10-14,Tuesday,480.90972,,
1997-10-15,Wednesday,479.78063,,
1997-10-16,Thursday,476.04956,,
1997-10-17,Friday,481.34072,,start
1997-10-18,Saturday,481.34072,imputed from 63,
1997-10-19,Sunday,481.34072,imputed from 64,
1997-10-20,Monday,478.46288,,
1997-10-21,Tuesday,482.51383,,
1997-10-22,Wednesday,478.7662,,
1997-10-23,Thursday,475.58809,,
1997-10-24,Friday,452.31502,,start
1997-10-25,Saturday,452.31502,imputed from 70,
1997-10-26,Sunday,452.31502,imputed from 71,
1997-10-27,Monday,453.86559,,
1997-10-28,Tuesday,449.58825,,
1997-10-29,Wednesday,445.41048,,
1997-10-30,Thursday,445.28536,,
1997-10-31,Friday,436.53427,,start
1997-11-01,Saturday,436.53427,imputed from 77,
1997-11-02,Sunday,436.53427,imputed from 78,
1997-11-03,Monday,443.33544,,
1997-11-04,Tuesday,441.9792,,
1997-11-05,Wednesday,443.1305,,
1997-11-06,Thursday,441.1422,,
1997-11-07,Friday,433.8128,,start
1997-11-08,Saturday,433.8128,imputed from 84,
1997-11-09,Sunday,433.8128,imputed from 85,
1997-11-10,Monday,432.02457,,
1997-11-11,Tuesday,432.72792,,
1997-11-12,Wednesday,431.2974,,
1997-11-13,Thursday,431.2392,,
1997-11-14,Friday,427.08505,,start
1997-11-15,Saturday,427.08505,imputed from 91,
1997-11-16,Sunday,427.08505,imputed from 92,
1997-11-17,Monday,429.41371,,
1997-11-18,Tuesday,431.65508,,
1997-11-19,Wednesday,428.4945,,
1997-11-20,Thursday,428.75294,,
1997-11-21,Friday,433.36853,,start
1997-11-22,Saturday,433.36853,imputed from 98,
1997-11-23,Sunday,433.36853,imputed from 99,
1997-11-24,Monday,427.2834,,
1997-11-25,Tuesday,422.7434,,
1997-11-26,Wednesday,421.0042,,
1997-11-27,Thursday,421.0042,imputed from 103,
1997-11-28,Friday,421.0042,imputed from 103,start
1997-11-29,Saturday,421.0042,imputed from 105,
1997-11-30,Sunday,421.0042,imputed from 106,
1997-12-01,Monday,423.53111,,
1997-12-02,Tuesday,423.90634,,
1997-12-03,Wednesday,420.10425,,
1997-12-04,Thursday,413.10315,,
1997-12-05,Friday,417.82615,,start
1997-12-06,Saturday,417.82615,imputed from 112,
1997-12-07,Sunday,417.82615,imputed from 113,
1997-12-08,Monday,422.24,,
1997-12-09,Tuesday,415.52665,,
1997-12-10,Wednesday,416.53638,,
1997-12-11,Thursday,407.979,,
1997-12-12,Friday,408.20384,,start
1997-12-13,Saturday,408.20384,imputed from 119,
1997-12-14,Sunday,408.20384,imputed from 120,
1997-12-15,Monday,409.9816,,
1997-12-16,Tuesday,411.6895,,
1997-12-17,Wednesday,417.4374,,
1997-12-18,Thursday,416.65044,,
1997-12-19,Friday,416.82609,,start
1997-12-20,Saturday,416.82609,imputed from 126,
1997-12-21,Sunday,416.82609,imputed from 127,
1997-12-22,Monday,420.9026,,
1997-12-23,Tuesday,423.5106,,
1997-12-24,Wednesday,427.12902,,
1997-12-25,Thursday,427.12902,imputed from 131,
1997-12-26,Friday,424.42498,,start
1997-12-27,Saturday,424.42498,imputed from 133,
1997-12-28,Sunday,424.42498,imputed from 134,
1997-12-29,Monday,423.86175,,
1997-12-30,Tuesday,423.9864,,
1997-12-31,Wednesday,423.86279,,
1998-01-01,Thursday,423.86279,imputed from 138,
1998-01-02,Friday,424.75238,,start
1998-01-03,Saturday,424.75238,imputed from 140,
1998-01-04,Sunday,424.75238,imputed from 141,
1998-01-05,Monday,420.23355,,
1998-01-06,Tuesday,417.88869,,
1998-01-07,Wednesday,420.67272,,
1998-01-08,Thursday,414.69688,,
1998-01-09,Friday,412.06324,,start
1998-01-10,Saturday,412.06324,imputed from 147,
1998-01-11,Sunday,412.06324,imputed from 148,
1998-01-12,Monday,412.07475,,
1998-01-13,Tuesday,419.0307,,
1998-01-14,Wednesday,418.658,,
1998-01-15,Thursday,428.3112,,
1998-01-16,Friday,436.09691,,start
1998-01-17,Saturday,436.09691,imputed from 154,
1998-01-18,Sunday,436.09691,imputed from 155,
1998-01-19,Monday,436.09691,imputed from 156,
1998-01-20,Tuesday,436.51305,,
1998-01-21,Wednesday,433.58539,,
1998-01-22,Thursday,427.97796,,
1998-01-23,Friday,433.42299,,start
1998-01-24,Saturday,433.42299,imputed from 161,
1998-01-25,Sunday,433.42299,imputed from 162,
1998-01-26,Monday,432.36963,,
1998-01-27,Tuesday,436.52619,,
1998-01-28,Wednesday,447.066,,
1998-01-29,Thursday,448.75182,,
1998-01-30,Friday,450.59478,,start
1998-01-31,Saturday,450.59478,imputed from 168,
1998-02-01,Sunday,450.59478,imputed from 169,
1998-02-02,Monday,449.4785,,
1998-02-03,Tuesday,435.63576,,
1998-02-04,Wednesday,437.43276,,
1998-02-05,Thursday,434.03038,,
1998-02-06,Friday,437.49,,start
1998-02-07,Saturday,437.49,imputed from 175,
1998-02-08,Sunday,437.49,imputed from 176,
1998-02-09,Monday,442.41704,,
1998-02-10,Tuesday,442.59743,,
1998-02-11,Wednesday,441.5334,,
1998-02-12,Thursday,436.72152,,
1998-02-13,Friday,441.02968,,start
1998-02-14,Saturday,441.02968,imputed from 182,
1998-02-15,Sunday,441.02968,imputed from 183,
1998-02-16,Monday,441.02968,imputed from 184,
1998-02-17,Tuesday,441.31325,,
1998-02-18,Wednesday,439.76673,,
1998-02-19,Thursday,442.24888,,
1998-02-20,Friday,439.17861,,start
1998-02-21,Saturday,439.17861,imputed from 189,
1998-02-22,Sunday,439.17861,imputed from 190,
1998-02-23,Monday,426.4309,,
1998-02-24,Tuesday,425.5858,,
1998-02-25,Wednesday,430.5639,,
1998-02-26,Thursday,432.70192,,
1998-02-27,Friday,440.2467,,start
1998-02-28,Saturday,440.2467,imputed from 196,
1998-03-01,Sunday,440.2467,imputed from 197,
1998-03-02,Monday,440.56305,,
1998-03-03,Tuesday,438.2577,,
1998-03-04,Wednesday,438.78912,,
1998-03-05,Thursday,437.3267,,
1998-03-06,Friday,440.08416,,start
1998-03-07,Saturday,440.08416,imputed from 203,
1998-03-08,Sunday,440.08416,imputed from 204,
1998-03-09,Monday,439.55,,
1998-03-10,Tuesday,442.46695,,
1998-03-11,Wednesday,439.72851,,
1998-03-12,Thursday,438.2235,,
1998-03-13,Friday,435.8607,,start
1998-03-14,Saturday,435.8607,imputed from 210,
1998-03-15,Sunday,435.8607,imputed from 211,
1998-03-16,Monday,437.24967,,
1998-03-17,Tuesday,433.15937,,
1998-03-18,Wednesday,435.00888,,
1998-03-19,Thursday,436.45582,,
1998-03-20,Friday,437.54028,,start
1998-03-21,Saturday,437.54028,imputed from 217,
1998-03-22,Sunday,437.54028,imputed from 218,
1998-03-23,Monday,446.34485,,
1998-03-24,Tuesday,447.00095,,
1998-03-25,Wednesday,447.72276,,
1998-03-26,Thursday,448.9275,,
1998-03-27,Friday,454.0438,,start
1998-03-28,Saturday,454.0438,imputed from 224,
1998-03-29,Sunday,454.0438,imputed from 225,
1998-03-30,Monday,462.07995,,
1998-03-31,Tuesday,462.32019,,
1998-04-01,Wednesday,462.8127,,
1998-04-02,Thursday,465.7302,,
1998-04-03,Friday,474.66591,,start
1998-04-04,Saturday,474.66591,imputed from 231,
1998-04-05,Sunday,474.66591,imputed from 232,
1998-04-06,Monday,475.38324,,
1998-04-07,Tuesday,477.1416,,
1998-04-08,Wednesday,468.92103,,
1998-04-09,Thursday,469.58076,,
1998-04-10,Friday,469.58076,imputed from 237,start
1998-04-11,Saturday,469.58076,imputed from 238,
1998-04-12,Sunday,469.58076,imputed from 239,
1998-04-13,Monday,472.57287,,
1998-04-14,Tuesday,462.892,,
1998-04-15,Wednesday,462.3876,,
1998-04-16,Thursday,466.34194,,
1998-04-17,Friday,464.03812,,start
1998-04-18,Saturday,464.03812,imputed from 245,
1998-04-19,Sunday,464.03812,imputed from 246,
1998-04-20,Monday,463.09968,,
1998-04-21,Tuesday,462.1791,,
1998-04-22,Wednesday,467.15415,,
1998-04-23,Thursday,471.0157,,
1998-04-24,Friday,468.25226,,start
1998-04-25,Saturday,468.25226,imputed from 252,
1998-04-26,Sunday,468.25226,imputed from 253,
1998-04-27,Monday,462.2876,,
1998-04-28,Tuesday,462.15078,,
1998-04-29,Wednesday,466.87028,,
1998-04-30,Thursday,462.43501,,
1998-05-01,Friday,451.99968,,start
1998-05-02,Saturday,451.99968,imputed from 259,
1998-05-03,Sunday,451.99968,imputed from 260,
1998-05-04,Monday,454.8933,,
1998-05-05,Tuesday,452.42238,,
1998-05-06,Wednesday,444.61872,,
1998-05-07,Thursday,440.83144,,
1998-05-08,Friday,445.12621,,start
1998-05-09,Saturday,445.12621,imputed from 266,
1998-05-10,Sunday,445.12621,imputed from 267,
1998-05-11,Monday,447.7338,,
1998-05-12,Tuesday,442.22255,,
1998-05-13,Wednesday,442.99552,,
1998-05-14,Thursday,443.94561,,
1998-05-15,Friday,449.07625,,start
1998-05-16,Saturday,449.07625,imputed from 273,
1998-05-17,Sunday,449.07625,imputed from 274,
1998-05-18,Monday,446.45744,,
1998-05-19,Tuesday,444.04148,,
1998-05-20,Wednesday,442.74237,,
1998-05-21,Thursday,440.8104,,
1998-05-22,Friday,439.14,,start
1998-05-23,Saturday,439.14,imputed from 280,
1998-05-24,Sunday,439.14,imputed from 281,
1998-05-25,Monday,439.14,imputed from 282,
1998-05-26,Tuesday,435.1232,,
1998-05-27,Wednesday,432.41451,,
1998-05-28,Thursday,436.51252,,
1998-05-29,Friday,437.45624,,start
1998-05-30,Saturday,437.45624,imputed from 287,
1998-05-31,Sunday,437.45624,imputed from 288,
1998-06-01,Monday,428.9256,,
1998-06-02,Tuesday,433.84804,,
1998-06-03,Wednesday,435.65609,,
1998-06-04,Thursday,433.29048,,
1998-06-05,Friday,433.44168,,start
1998-06-06,Saturday,433.44168,imputed from 294,
1998-06-07,Sunday,433.44168,imputed from 295,
1998-06-08,Monday,440.91584,,
1998-06-09,Tuesday,436.30575,,
1998-06-10,Wednesday,438.99076,,
1998-06-11,Thursday,431.11571,,
1998-06-12,Friday,429.71461,,start
1998-06-13,Saturday,429.71461,imputed from 301,
1998-06-14,Sunday,429.71461,imputed from 302,
1998-06-15,Monday,432.6227,,
1998-06-16,Tuesday,434.594,,
1998-06-17,Wednesday,439.63692,,
1998-06-18,Thursday,441.1635,,
1998-06-19,Friday,449.2448,,start
1998-06-20,Saturday,449.2448,imputed from 308,
1998-06-21,Sunday,449.2448,imputed from 309,
1998-06-22,Monday,445.14493,,
1998-06-23,Tuesday,446.2302,,
1998-06-24,Wednesday,443.3594,,
1998-06-25,Thursday,446.33875,,
1998-06-26,Friday,450.6715,,start
1998-06-27,Saturday,450.6715,imputed from 315,
1998-06-28,Sunday,450.6715,imputed from 316,
1998-06-29,Monday,450.3123,,
1998-06-30,Tuesday,451.83017,,
1998-07-01,Wednesday,454.5759,,
1998-07-02,Thursday,452.235,,
1998-07-03,Friday,452.235,imputed from 321,start
1998-07-04,Saturday,452.235,imputed from 322,
1998-07-05,Sunday,452.235,imputed from 323,
1998-07-06,Monday,448.98408,,
1998-07-07,Tuesday,451.45463,,
1998-07-08,Wednesday,449.5376,,
1998-07-09,Thursday,451.06425,,
1998-07-10,Friday,449.064,,start
1998-07-11,Saturday,449.064,imputed from 329,
1998-07-12,Sunday,449.064,imputed from 330,
1998-07-13,Monday,443.4246,,
1998-07-14,Tuesday,446.6742,,
1998-07-15,Wednesday,445.72575,,
1998-07-16,Thursday,442.6464,,
1998-07-17,Friday,444.1255,,start
