date,weekday,IH1_Index_PX-LAST-CHF,imputed,IH1_Index_start
2000-09-25,Monday,,,excluded
2000-09-26,Tuesday,,,excluded
2000-09-27,Wednesday,,,excluded
2000-09-28,Thursday,,,excluded
2000-09-29,Friday,2186.9196,,start
2000-09-30,Saturday,2186.9196,imputed from 4,
2000-10-01,Sunday,2186.9196,imputed from 5,
2000-10-02,Monday,2186.9196,imputed from 6,
2000-10-03,Tuesday,2204.9308,,
2000-10-04,Wednesday,2231.7785,,
2000-10-05,Thursday,2225.7456,,
2000-10-06,Friday,2229.023,,start
2000-10-07,Saturday,2229.023,imputed from 11,
2000-10-08,Sunday,2229.023,imputed from 12,
2000-10-09,Monday,2222.4542,,
2000-10-10,Tuesday,2124.1845,,
2000-10-11,Wednesday,1965.82645,,
2000-10-12,Thursday,2037.0994,,
2000-10-13,Friday,2005.602,,start
2000-10-14,Saturday,2005.602,imputed from 18,
2000-10-15,Sunday,2005.602,imputed from 19,
2000-10-16,Monday,2029.7249,,
2000-10-17,Tuesday,2020.08625,,
2000-10-18,Wednesday,2003.898,,
2000-10-19,Thursday,2065.371,,
2000-10-20,Friday,2096.5525,,start
2000-10-21,Saturday,2096.5525,imputed from 25,
2000-10-22,Sunday,2096.5525,imputed from 26,
2000-10-23,Monday,2078.1412,,
2000-10-24,Tuesday,2086.4331,,
2000-10-25,Wednesday,2146.7232,,
2000-10-26,Thursday,2146.7232,imputed from 30,
2000-10-27,Friday,2122.52,,start
2000-10-28,Saturday,2122.52,imputed from 32,
2000-10-29,Sunday,2122.52,imputed from 33,
2000-10-30,Monday,2102.09545,,
2000-10-31,Tuesday,2102.2127,,
2000-11-01,Wednesday,2127.1887,,
2000-11-02,Thursday,2172.159,,
2000-11-03,Friday,2181.1084,,start
2000-11-04,Saturday,2181.1084,imputed from 39,
2000-11-05,Sunday,2181.1084,imputed from 40,
2000-11-06,Monday,2194.6416,,
2000-11-07,Tuesday,2201.33725,,
2000-11-08,Wednesday,2282.368,,
2000-11-09,Thursday,2219.78555,,
2000-11-10,Friday,2176.102,,start
2000-11-11,Saturday,2176.102,imputed from 46,
2000-11-12,Sunday,2176.102,imputed from 47,
2000-11-13,Monday,2107.54695,,
2000-11-14,Tuesday,2243.09155,,
2000-11-15,Wednesday,2201.4889,,
2000-11-16,Thursday,2173.9271,,
2000-11-17,Friday,2202.561,,start
2000-11-18,Saturday,2202.561,imputed from 53,
2000-11-19,Sunday,2202.561,imputed from 54,
2000-11-20,Monday,2200.989,,
2000-11-21,Tuesday,2200.392,,
2000-11-22,Wednesday,2192.8126,,
2000-11-23,Thursday,2199.636,,
2000-11-24,Friday,2212.93,,start
2000-11-25,Saturday,2212.93,imputed from 60,
2000-11-26,Sunday,2212.93,imputed from 61,
2000-11-27,Monday,2228.4723,,
2000-11-28,Tuesday,2242.1241,,
2000-11-29,Wednesday,2219.9751,,
2000-11-30,Thursday,2181.10635,,
2000-12-01,Friday,2191.8168,,start
2000-12-02,Saturday,2191.8168,imputed from 67,
2000-12-03,Sunday,2191.8168,imputed from 68,
2000-12-04,Monday,2179.456,,
2000-12-05,Tuesday,2208.057,,
2000-12-06,Wednesday,2216.5,,
2000-12-07,Thursday,2199.8884,,
2000-12-08,Friday,2224.4936,,start
2000-12-09,Saturday,2224.4936,imputed from 74,
2000-12-10,Sunday,2224.4936,imputed from 75,
2000-12-11,Monday,2276.192,,
2000-12-12,Tuesday,2285.37075,,
2000-12-13,Wednesday,2321.7896,,
2000-12-14,Thursday,2280.7404,,
2000-12-15,Friday,2214.78075,,start
2000-12-16,Saturday,2214.78075,imputed from 81,
2000-12-17,Sunday,2214.78075,imputed from 82,
2000-12-18,Monday,2212.6676,,
2000-12-19,Tuesday,2212.8225,,
2000-12-20,Wednesday,2173.15385,,
2000-12-21,Thursday,2139.723,,
2000-12-22,Friday,2062.2944,,start
2000-12-23,Saturday,2062.2944,imputed from 88,
2000-12-24,Sunday,2062.2944,imputed from 89,
2000-12-25,Monday,2062.2944,imputed from 90,
