date,weekday,KAA1_Comdty_PX-LAST,KAA1_Comdty_CURRENCY-KRW,KAA1_Comdty_PX-LAST-CHF,imputed,KAA1_Comdty_start
2008-02-25,Monday,,0.115,,,excluded
2008-02-26,Tuesday,,0.1137,,,excluded
2008-02-27,Wednesday,,0.1134,,,excluded
2008-02-28,Thursday,,0.1123,,,excluded
2008-02-29,Friday,98.36,0.1105,0.10868779999999999,,start
2008-03-01,Saturday,,,0.10868779999999999,imputed from 4,
2008-03-02,Sunday,,,0.10868779999999999,imputed from 5,
2008-03-03,Monday,98.64,0.11,0.108504,,
2008-03-04,Tuesday,98.5,0.1095,0.1078575,,
2008-03-05,Wednesday,98.64,0.1092,0.10771488,,
2008-03-06,Thursday,98.22,0.1068,0.10489896,,
2008-03-07,Friday,98.08,0.1071,0.10504368,,start
2008-03-08,Saturday,,,0.10504368,imputed from 11,
2008-03-09,Sunday,,,0.10504368,imputed from 12,
2008-03-10,Monday,97.36,0.1052,0.10242272,,
2008-03-11,Tuesday,97.24,0.1073,0.10433852,,
2008-03-12,Wednesday,97.5,0.1044,0.10179,,
2008-03-13,Thursday,97.12,0.103,0.1000336,,
2008-03-14,Friday,97.5,0.1002,0.09769499999999999,,start
2008-03-15,Saturday,,,0.09769499999999999,imputed from 18,
2008-03-16,Sunday,,,0.09769499999999999,imputed from 19,
2008-03-17,Monday,96.58,0.0964,0.09310312,,
2008-03-18,Tuesday,97.76,0.0996,0.09736896,,
2008-03-19,Wednesday,96.02,0.0987,0.09477174,,
2008-03-20,Thursday,96.3,0.1001,0.09639629999999999,,
2008-03-21,Friday,97.2,0.1007,0.0978804,,start
2008-03-22,Saturday,,,0.0978804,imputed from 25,
2008-03-23,Sunday,,,0.0978804,imputed from 26,
2008-03-24,Monday,96.48,0.103,0.0993744,,
2008-03-25,Tuesday,96.3,0.1023,0.0985149,,
2008-03-26,Wednesday,96.6,0.0997,0.0963102,,
2008-03-27,Thursday,97.12,0.1002,0.09731424000000001,,
2008-03-28,Friday,97.58,0.1004,0.09797032,,start
2008-03-29,Saturday,,,0.09797032,imputed from 32,
2008-03-30,Sunday,,,0.09797032,imputed from 33,
2008-03-31,Monday,98.08,0.1002,0.09827615999999999,,
2008-04-01,Tuesday,97.94,0.1033,0.10117202,,
2008-04-02,Wednesday,98.04,0.1034,0.10137336000000001,,
2008-04-03,Thursday,98.04,0.1034,0.10137336000000001,,
2008-04-04,Friday,98.22,0.103,0.1011666,,start
2008-04-05,Saturday,,,0.1011666,imputed from 39,
2008-04-06,Sunday,,,0.1011666,imputed from 40,
2008-04-07,Monday,98.2,0.104,0.102128,,
2008-04-08,Tuesday,98.48,0.1036,0.10202528000000001,,
2008-04-09,Wednesday,,0.1023,0.10202528000000001,imputed from 43,
2008-04-10,Thursday,99.32,0.1032,0.10249823999999999,,
2008-04-11,Friday,99.42,0.1023,0.10170666,,start
2008-04-12,Saturday,,,0.10170666,imputed from 46,
2008-04-13,Sunday,,,0.10170666,imputed from 47,
2008-04-14,Monday,99.42,0.1018,0.10120955999999999,,
2008-04-15,Tuesday,99.24,0.1014,0.10062936,,
2008-04-16,Wednesday,99.3,0.1011,0.1003923,,
2008-04-17,Thursday,99.3,0.1006,0.09989579999999998,,
2008-04-18,Friday,99.3,0.1021,0.1013853,,start
2008-04-19,Saturday,,,0.1013853,imputed from 53,
2008-04-20,Sunday,,,0.1013853,imputed from 54,
2008-04-21,Monday,98.76,0.1017,0.10043892,,
2008-04-22,Tuesday,98.92,0.1003,0.09921676,,
2008-04-23,Wednesday,98.92,0.1025,0.10139300000000001,,
2008-04-24,Thursday,98.92,0.1039,0.10277788000000002,,
2008-04-25,Friday,99.2,0.1039,0.10306880000000002,,start
2008-04-26,Saturday,,,0.10306880000000002,imputed from 60,
2008-04-27,Sunday,,,0.10306880000000002,imputed from 61,
2008-04-28,Monday,99.2,0.1037,0.10287040000000001,,
2008-04-29,Tuesday,99.06,0.1034,0.10242804000000001,,
2008-04-30,Wednesday,99.06,0.1032,0.10222992,,
2008-05-01,Thursday,,0.1046,0.10222992,imputed from 65,
2008-05-02,Friday,98.8,0.1046,0.10334479999999999,,start
2008-05-03,Saturday,,,0.10334479999999999,imputed from 67,
2008-05-04,Sunday,,,0.10334479999999999,imputed from 68,
2008-05-05,Monday,,0.1044,0.10334479999999999,imputed from 69,
2008-05-06,Tuesday,98.8,0.1037,0.1024556,,
2008-05-07,Wednesday,98.3,0.1022,0.1004626,,
2008-05-08,Thursday,97.72,0.101,0.09869720000000001,,
2008-05-09,Friday,96.8,0.0998,0.0966064,,start
2008-05-10,Saturday,,,0.0966064,imputed from 74,
2008-05-11,Sunday,,,0.0966064,imputed from 75,
2008-05-12,Monday,,0.1002,0.0966064,imputed from 76,
2008-05-13,Tuesday,96.6,0.1007,0.0972762,,
2008-05-14,Wednesday,96.82,0.1008,0.09759456,,
2008-05-15,Thursday,96.88,0.1013,0.09813944,,
2008-05-16,Friday,96.74,0.1009,0.09761066,,start
2008-05-17,Saturday,,,0.09761066,imputed from 81,
2008-05-18,Sunday,,,0.09761066,imputed from 82,
2008-05-19,Monday,95.38,0.1012,0.09652456,,
2008-05-20,Tuesday,96.3,0.0988,0.0951444,,
2008-05-21,Wednesday,95.84,0.0986,0.09449824,,
2008-05-22,Thursday,95.9,0.099,0.09494100000000001,,
2008-05-23,Friday,95.48,0.0979,0.09347492,,start
2008-05-24,Saturday,,,0.09347492,imputed from 88,
2008-05-25,Sunday,,,0.09347492,imputed from 89,
2008-05-26,Monday,95.26,0.0977,0.09306902,,
2008-05-27,Tuesday,95.26,0.0995,0.09478370000000001,,
2008-05-28,Wednesday,95.94,0.1003,0.09622781999999999,,
2008-05-29,Thursday,95.2,0.1018,0.09691360000000002,,
2008-05-30,Friday,94.8,0.1014,0.0961272,,start
2008-05-31,Saturday,,,0.0961272,imputed from 95,
2008-06-01,Sunday,,,0.0961272,imputed from 96,
2008-06-02,Monday,94.8,0.1014,0.0961272,,
2008-06-03,Tuesday,94.98,0.1025,0.0973545,,
2008-06-04,Wednesday,94.82,0.1019,0.09662158,,
2008-06-05,Thursday,94.8,0.1014,0.0961272,,
2008-06-06,Friday,94.8,0.0987,0.0935676,imputed from 101,start
2008-06-07,Saturday,,,0.0935676,imputed from 102,
2008-06-08,Sunday,,,0.0935676,imputed from 103,
2008-06-09,Monday,94.0,0.0994,0.093436,,
2008-06-10,Tuesday,93.1,0.1014,0.09440339999999998,,
2008-06-11,Wednesday,93.54,0.1001,0.09363353999999999,,
2008-06-12,Thursday,94.06,0.1008,0.09481248,,
2008-06-13,Friday,93.8,0.1003,0.0940814,,start
2008-06-14,Saturday,,,0.0940814,imputed from 109,
2008-06-15,Sunday,,,0.0940814,imputed from 110,
2008-06-16,Monday,94.04,0.1005,0.09451020000000002,,
2008-06-17,Tuesday,94.04,0.102,0.09592079999999999,,
2008-06-18,Wednesday,94.48,0.1006,0.09504688,,
2008-06-19,Thursday,94.28,0.1019,0.09607132,,
2008-06-20,Friday,94.16,0.1005,0.0946308,,start
2008-06-21,Saturday,,,0.0946308,imputed from 116,
2008-06-22,Sunday,,,0.0946308,imputed from 117,
2008-06-23,Monday,91.7,0.1008,0.0924336,,
2008-06-24,Tuesday,93.22,0.101,0.09415219999999999,,
2008-06-25,Wednesday,93.3,0.0997,0.0930201,,
2008-06-26,Thursday,93.62,0.0982,0.09193484,,
2008-06-27,Friday,93.68,0.0979,0.09171272,,start
2008-06-28,Saturday,,,0.09171272,imputed from 123,
2008-06-29,Sunday,,,0.09171272,imputed from 124,
2008-06-30,Monday,92.82,0.0975,0.0904995,,
2008-07-01,Tuesday,92.82,0.0972,0.09022103999999999,,
2008-07-02,Wednesday,92.82,0.0976,0.09059232,,
2008-07-03,Thursday,91.82,0.0982,0.09016723999999998,,
2008-07-04,Friday,91.82,0.0976,0.08961632,,start
2008-07-05,Saturday,,,0.08961632,imputed from 130,
2008-07-06,Sunday,,,0.08961632,imputed from 131,
2008-07-07,Monday,91.82,0.0989,0.09080998,,
2008-07-08,Tuesday,91.82,0.1006,0.09237091999999998,,
2008-07-09,Wednesday,92.66,0.1032,0.09562512,,
2008-07-10,Thursday,92.66,0.1029,0.09534714000000001,,
2008-07-11,Friday,92.66,0.1016,0.09414256,,start
2008-07-12,Saturday,,,0.09414256,imputed from 137,
2008-07-13,Sunday,,,0.09414256,imputed from 138,
2008-07-14,Monday,92.66,0.1012,0.09377192,,
2008-07-15,Tuesday,92.66,0.1001,0.09275265999999999,,
2008-07-16,Wednesday,92.66,0.1009,0.09349394,,
2008-07-17,Thursday,93.56,0.1008,0.09430848000000001,,
2008-07-18,Friday,93.56,0.101,0.0944956,,start
2008-07-19,Saturday,,,0.0944956,imputed from 144,
2008-07-20,Sunday,,,0.0944956,imputed from 145,
2008-07-21,Monday,92.6,0.0999,0.0925074,,
2008-07-22,Tuesday,93.6,0.1016,0.09509759999999998,,
2008-07-23,Wednesday,93.6,0.1028,0.09622080000000001,,
2008-07-24,Thursday,93.6,0.1028,0.09622080000000001,,
2008-07-25,Friday,93.6,0.1026,0.09603359999999998,,start
2008-07-26,Saturday,,,0.09603359999999998,imputed from 151,
2008-07-27,Sunday,,,0.09603359999999998,imputed from 152,
2008-07-28,Monday,93.6,0.1028,0.09622080000000001,,
2008-07-29,Tuesday,93.6,0.1038,0.09715679999999999,,
