date,weekday,KC1_Comdty_PX-LAST-CHF,imputed,KC1_Comdty_start
1997-08-15,Friday,2.67726,,start
1997-08-16,Saturday,2.67726,imputed from 0,
1997-08-17,Sunday,2.67726,imputed from 1,
1997-08-18,Monday,2.7203,,
1997-08-19,Tuesday,2.83831,,
1997-08-20,Wednesday,2.3798,,
1997-08-21,Thursday,2.45516,,
1997-08-22,Friday,2.38212,,start
1997-08-23,Saturday,2.38212,imputed from 7,
1997-08-24,Sunday,2.38212,imputed from 8,
1997-08-25,Monday,2.40809,,
1997-08-26,Tuesday,2.47254,,
1997-08-27,Wednesday,2.57652,,
1997-08-28,Thursday,2.5972,,
1997-08-29,Friday,2.68681,,start
1997-08-30,Saturday,2.68681,imputed from 14,
1997-08-31,Sunday,2.68681,imputed from 15,
1997-09-01,Monday,2.68681,imputed from 16,
1997-09-02,Tuesday,2.78183,,
1997-09-03,Wednesday,2.8425,,
1997-09-04,Thursday,2.9172,,
1997-09-05,Friday,2.78856,,start
1997-09-06,Saturday,2.78856,imputed from 21,
1997-09-07,Sunday,2.78856,imputed from 22,
1997-09-08,Monday,2.78753,,
1997-09-09,Tuesday,2.73232,,
1997-09-10,Wednesday,2.70601,,
1997-09-11,Thursday,2.77388,,
1997-09-12,Friday,2.52751,,start
1997-09-13,Saturday,2.52751,imputed from 28,
1997-09-14,Sunday,2.52751,imputed from 29,
1997-09-15,Monday,2.49581,,
1997-09-16,Tuesday,2.43249,,
1997-09-17,Wednesday,2.53844,,
1997-09-18,Thursday,2.48792,,
1997-09-19,Friday,2.54363,,start
1997-09-20,Saturday,2.54363,imputed from 35,
1997-09-21,Sunday,2.54363,imputed from 36,
1997-09-22,Monday,2.51249,,
1997-09-23,Tuesday,2.48598,,
1997-09-24,Wednesday,2.4601,,
1997-09-25,Thursday,2.41746,,
1997-09-26,Friday,2.40832,,start
1997-09-27,Saturday,2.40832,imputed from 42,
1997-09-28,Sunday,2.40832,imputed from 43,
1997-09-29,Monday,2.33586,,
1997-09-30,Tuesday,2.35706,,
1997-10-01,Wednesday,2.3708,,
1997-10-02,Thursday,2.34489,,
1997-10-03,Friday,2.34504,,start
