date,weekday,LMAHDS03 LME_Comdty_PX-LAST-CHF,imputed,LMAHDS03 LME_Comdty_start
1997-08-15,Friday,2559.1545,,start
1997-08-16,Saturday,2559.1545,imputed from 0,
1997-08-17,Sunday,2559.1545,imputed from 1,
1997-08-18,Monday,2533.1088,,
1997-08-19,Tuesday,2478.778,,
1997-08-20,Wednesday,2490.432,,
1997-08-21,Thursday,2454.404,,
1997-08-22,Friday,2447.1513,,start
1997-08-23,Saturday,2447.1513,imputed from 7,
1997-08-24,Sunday,2447.1513,imputed from 8,
1997-08-25,Monday,2447.1513,imputed from 9,
1997-08-26,Tuesday,2474.0235,,
1997-08-27,Wednesday,2469.5658,,
1997-08-28,Thursday,2420.847,,
1997-08-29,Friday,2436.64525,,start
1997-08-30,Saturday,2436.64525,imputed from 14,
1997-08-31,Sunday,2436.64525,imputed from 15,
1997-09-01,Monday,2425.6064,,
1997-09-02,Tuesday,2406.56,,
1997-09-03,Wednesday,2407.5,,
1997-09-04,Thursday,2423.52,,
1997-09-05,Friday,2389.1388,,start
1997-09-06,Saturday,2389.1388,imputed from 21,
1997-09-07,Sunday,2389.1388,imputed from 22,
1997-09-08,Monday,2382.1004,,
1997-09-09,Tuesday,2404.735,,
1997-09-10,Wednesday,2407.23525,,
1997-09-11,Thursday,2387.718,,
1997-09-12,Friday,2374.99675,,start
1997-09-13,Saturday,2374.99675,imputed from 28,
1997-09-14,Sunday,2374.99675,imputed from 29,
1997-09-15,Monday,2331.2525,,
1997-09-16,Tuesday,2335.305,,
1997-09-17,Wednesday,2363.5525,,
1997-09-18,Thursday,2405.79325,,
1997-09-19,Friday,2392.4628,,start
1997-09-20,Saturday,2392.4628,imputed from 35,
1997-09-21,Sunday,2392.4628,imputed from 36,
1997-09-22,Monday,2440.9595,,
1997-09-23,Tuesday,2436.6565,,
1997-09-24,Wednesday,2392.268,,
1997-09-25,Thursday,2372.3127,,
1997-09-26,Friday,2389.4149,,start
1997-09-27,Saturday,2389.4149,imputed from 42,
1997-09-28,Sunday,2389.4149,imputed from 43,
1997-09-29,Monday,2378.7247,,
1997-09-30,Tuesday,2383.1715,,
1997-10-01,Wednesday,2447.4628,,
1997-10-02,Thursday,2443.168,,
1997-10-03,Friday,2400.784,,start
1997-10-04,Saturday,2400.784,imputed from 49,
1997-10-05,Sunday,2400.784,imputed from 50,
1997-10-06,Monday,2399.127,,
1997-10-07,Tuesday,2379.657,,
