date,weekday,LMCADS03_Comdty_PX-LAST-CHF,imputed,LMCADS03_Comdty_start
1997-08-15,Friday,3329.4585,,start
1997-08-16,Saturday,3329.4585,imputed from 0,
1997-08-17,Sunday,3329.4585,imputed from 1,
1997-08-18,Monday,3263.7552,,
1997-08-19,Tuesday,3253.965,,
1997-08-20,Wednesday,3322.102,,
1997-08-21,Thursday,3304.88,,
1997-08-22,Friday,3264.8616,,start
1997-08-23,Saturday,3264.8616,imputed from 7,
1997-08-24,Sunday,3264.8616,imputed from 8,
1997-08-25,Monday,3264.8616,imputed from 9,
1997-08-26,Tuesday,3245.2056,,
1997-08-27,Wednesday,3269.8188,,
1997-08-28,Thursday,3180.372,,
1997-08-29,Friday,3278.2325,,start
1997-08-30,Saturday,3278.2325,imputed from 14,
1997-08-31,Sunday,3278.2325,imputed from 15,
1997-09-01,Monday,3263.516,,
1997-09-02,Tuesday,3217.2699,,
1997-09-03,Wednesday,3219.0,,
1997-09-04,Thursday,3237.344,,
1997-09-05,Friday,3202.7454,,start
1997-09-06,Saturday,3202.7454,imputed from 21,
1997-09-07,Sunday,3202.7454,imputed from 22,
1997-09-08,Monday,3187.0246,,
1997-09-09,Tuesday,3180.504,,
1997-09-10,Wednesday,3178.5859,,
1997-09-11,Thursday,3089.2944,,
1997-09-12,Friday,3076.717,,start
1997-09-13,Saturday,3076.717,imputed from 28,
1997-09-14,Sunday,3076.717,imputed from 29,
1997-09-15,Monday,3050.1155,,
1997-09-16,Tuesday,3005.436,,
1997-09-17,Wednesday,3045.5435,,
1997-09-18,Thursday,3117.779,,
1997-09-19,Friday,3108.1568,,start
1997-09-20,Saturday,3108.1568,imputed from 35,
1997-09-21,Sunday,3108.1568,imputed from 36,
1997-09-22,Monday,3100.2398,,
1997-09-23,Tuesday,3096.2469,,
1997-09-24,Wednesday,3072.75155,,
1997-09-25,Thursday,3040.7544,,
1997-09-26,Friday,3054.03,,start
1997-09-27,Saturday,3054.03,imputed from 42,
1997-09-28,Sunday,3054.03,imputed from 43,
1997-09-29,Monday,3166.3049,,
1997-09-30,Tuesday,3093.9165,,
1997-10-01,Wednesday,3095.836,,
1997-10-02,Thursday,3040.128,,
1997-10-03,Friday,3008.944,,start
1997-10-04,Saturday,3008.944,imputed from 49,
1997-10-05,Sunday,3008.944,imputed from 50,
1997-10-06,Monday,3038.7975,,
1997-10-07,Tuesday,3014.7144,,
1997-10-08,Wednesday,3021.976,,
1997-10-09,Thursday,3059.6547,,
1997-10-10,Friday,3049.0734,,start
1997-10-11,Saturday,3049.0734,imputed from 56,
1997-10-12,Sunday,3049.0734,imputed from 57,
1997-10-13,Monday,3045.7626,,
1997-10-14,Tuesday,3082.9044,,
1997-10-15,Wednesday,3105.9252,,
1997-10-16,Thursday,3063.4401,,
1997-10-17,Friday,3113.516,,start
1997-10-18,Saturday,3113.516,imputed from 63,
1997-10-19,Sunday,3113.516,imputed from 64,
1997-10-20,Monday,3152.434,,
1997-10-21,Tuesday,3110.4936,,
1997-10-22,Wednesday,3108.4295,,
1997-10-23,Thursday,3043.6466,,
1997-10-24,Friday,2969.5082,,start
1997-10-25,Saturday,2969.5082,imputed from 70,
1997-10-26,Sunday,2969.5082,imputed from 71,
1997-10-27,Monday,2894.9736,,
1997-10-28,Tuesday,2828.2155,,
1997-10-29,Wednesday,2860.3173,,
1997-10-30,Thursday,2818.8304,,
1997-10-31,Friday,2819.7792,,start
1997-11-01,Saturday,2819.7792,imputed from 77,
1997-11-02,Sunday,2819.7792,imputed from 78,
1997-11-03,Monday,2815.9697,,
1997-11-04,Tuesday,2785.536,,
1997-11-05,Wednesday,2796.865,,
1997-11-06,Thursday,2760.66,,
1997-11-07,Friday,2750.362,,start
1997-11-08,Saturday,2750.362,imputed from 84,
1997-11-09,Sunday,2750.362,imputed from 85,
1997-11-10,Monday,2785.7322,,
1997-11-11,Tuesday,2768.2884,,
1997-11-12,Wednesday,2749.451,,
1997-11-13,Thursday,2734.347,,
1997-11-14,Friday,2752.2635,,start
1997-11-15,Saturday,2752.2635,imputed from 91,
1997-11-16,Sunday,2752.2635,imputed from 92,
1997-11-17,Monday,2772.0931,,
1997-11-18,Tuesday,2663.4634,,
1997-11-19,Wednesday,2679.1443,,
1997-11-20,Thursday,2687.1152,,
1997-11-21,Friday,2652.0624,,start
1997-11-22,Saturday,2652.0624,imputed from 98,
1997-11-23,Sunday,2652.0624,imputed from 99,
1997-11-24,Monday,2617.972,,
1997-11-25,Tuesday,2634.9364,,
1997-11-26,Wednesday,2670.094,,
1997-11-27,Thursday,2686.1445,,
1997-11-28,Friday,2674.9884,,start
1997-11-29,Saturday,2674.9884,imputed from 105,
1997-11-30,Sunday,2674.9884,imputed from 106,
1997-12-01,Monday,2622.5413,,
1997-12-02,Tuesday,2614.495,,
1997-12-03,Wednesday,2579.112,,
1997-12-04,Thursday,2611.7856,,
1997-12-05,Friday,2596.1315,,start
1997-12-06,Saturday,2596.1315,imputed from 112,
1997-12-07,Sunday,2596.1315,imputed from 113,
1997-12-08,Monday,2626.624,,
1997-12-09,Tuesday,2645.719,,
1997-12-10,Wednesday,2626.806,,
1997-12-11,Thursday,2583.3915,,
1997-12-12,Friday,2600.0062,,start
1997-12-13,Saturday,2600.0062,imputed from 119,
1997-12-14,Sunday,2600.0062,imputed from 120,
1997-12-15,Monday,2522.303,,
1997-12-16,Tuesday,2531.5875,,
1997-12-17,Wednesday,2545.35,,
1997-12-18,Thursday,2573.0902,,
1997-12-19,Friday,2545.9182,,start
1997-12-20,Saturday,2545.9182,imputed from 126,
1997-12-21,Sunday,2545.9182,imputed from 127,
1997-12-22,Monday,2562.516,,
1997-12-23,Tuesday,2529.598,,
1997-12-24,Wednesday,2514.8852,,
1997-12-25,Thursday,2514.8852,imputed from 131,
1997-12-26,Friday,2514.8852,imputed from 131,start
1997-12-27,Saturday,2514.8852,imputed from 133,
1997-12-28,Sunday,2514.8852,imputed from 134,
1997-12-29,Monday,2501.1466,,
1997-12-30,Tuesday,2525.598,,
1997-12-31,Wednesday,2554.2887,,
1998-01-01,Thursday,2554.2887,imputed from 138,
1998-01-02,Friday,2554.2887,imputed from 138,start
1998-01-03,Saturday,2554.2887,imputed from 140,
1998-01-04,Sunday,2554.2887,imputed from 141,
1998-01-05,Monday,2530.023,,
1998-01-06,Tuesday,2505.40775,,
1998-01-07,Wednesday,2490.4948,,
1998-01-08,Thursday,2489.9472,,
1998-01-09,Friday,2464.1116,,start
1998-01-10,Saturday,2464.1116,imputed from 147,
1998-01-11,Sunday,2464.1116,imputed from 148,
1998-01-12,Monday,2455.605,,
1998-01-13,Tuesday,2524.815,,
1998-01-14,Wednesday,2563.98375,,
1998-01-15,Thursday,2581.233,,
1998-01-16,Friday,2572.2377,,start
1998-01-17,Saturday,2572.2377,imputed from 154,
1998-01-18,Sunday,2572.2377,imputed from 155,
1998-01-19,Monday,2545.8867,,
1998-01-20,Tuesday,2547.45,,
1998-01-21,Wednesday,2551.5458,,
1998-01-22,Thursday,2535.8392,,
1998-01-23,Friday,2522.8884,,start
1998-01-24,Saturday,2522.8884,imputed from 161,
1998-01-25,Sunday,2522.8884,imputed from 162,
1998-01-26,Monday,2556.9621,,
1998-01-27,Tuesday,2578.2192,,
1998-01-28,Wednesday,2580.126,,
1998-01-29,Thursday,2618.3322,,
1998-01-30,Friday,2606.5266,,start
1998-01-31,Saturday,2606.5266,imputed from 168,
1998-02-01,Sunday,2606.5266,imputed from 169,
1998-02-02,Monday,2599.6068,,
1998-02-03,Tuesday,2494.7916,,
1998-02-04,Wednesday,2497.956,,
1998-02-05,Thursday,2465.3272,,
1998-02-06,Friday,2493.693,,start
1998-02-07,Saturday,2493.693,imputed from 175,
1998-02-08,Sunday,2493.693,imputed from 176,
1998-02-09,Monday,2473.1934,,
1998-02-10,Tuesday,2483.1136,,
1998-02-11,Wednesday,2509.045,,
1998-02-12,Thursday,2493.267,,
1998-02-13,Friday,2480.0608,,start
1998-02-14,Saturday,2480.0608,imputed from 182,
1998-02-15,Sunday,2480.0608,imputed from 183,
1998-02-16,Monday,2468.0145,,
1998-02-17,Tuesday,2463.692,,
1998-02-18,Wednesday,2449.5198,,
1998-02-19,Thursday,2473.296,,
1998-02-20,Friday,2453.9307,,start
