date,weekday,LMNIDS03_Comdty_PX-LAST-CHF,imputed,LMNIDS03_Comdty_start
1997-08-15,Friday,9974.835,,start
1997-08-16,Saturday,9974.835,imputed from 0,
1997-08-17,Sunday,9974.835,imputed from 1,
1997-08-18,Monday,10069.032,,
1997-08-19,Tuesday,10118.39,,
1997-08-20,Wednesday,10376.8,,
1997-08-21,Thursday,10172.36,,
1997-08-22,Friday,9941.085,,start
1997-08-23,Saturday,9941.085,imputed from 7,
1997-08-24,Sunday,9941.085,imputed from 8,
1997-08-25,Monday,9941.085,imputed from 9,
1997-08-26,Tuesday,9881.235,,
1997-08-27,Wednesday,9917.154,,
1997-08-28,Thursday,9781.2,,
1997-08-29,Friday,10140.865,,start
1997-08-30,Saturday,10140.865,imputed from 14,
1997-08-31,Sunday,10140.865,imputed from 15,
1997-09-01,Monday,9895.1,,
1997-09-02,Tuesday,9957.142,,
1997-09-03,Wednesday,10102.5,,
1997-09-04,Thursday,9993.28,,
1997-09-05,Friday,9944.901,,start
1997-09-06,Saturday,9944.901,imputed from 21,
1997-09-07,Sunday,9944.901,imputed from 22,
1997-09-08,Monday,9927.8935,,
1997-09-09,Tuesday,9886.96,,
1997-09-10,Wednesday,9836.015,,
1997-09-11,Thursday,9727.74,,
1997-09-12,Friday,9605.575,,start
1997-09-13,Saturday,9605.575,imputed from 28,
1997-09-14,Sunday,9605.575,imputed from 29,
1997-09-15,Monday,9382.75,,
1997-09-16,Tuesday,9355.725,,
1997-09-17,Wednesday,9468.845,,
1997-09-18,Thursday,9546.915,,
1997-09-19,Friday,9559.627,,start
1997-09-20,Saturday,9559.627,imputed from 35,
1997-09-21,Sunday,9559.627,imputed from 36,
1997-09-22,Monday,9616.348,,
1997-09-23,Tuesday,9496.335,,
1997-09-24,Wednesday,9394.028,,
1997-09-25,Thursday,9604.2985,,
1997-09-26,Friday,9932.869,,start
1997-09-27,Saturday,9932.869,imputed from 42,
1997-09-28,Sunday,9932.869,imputed from 43,
1997-09-29,Monday,10302.479,,
1997-09-30,Tuesday,9964.935,,
1997-10-01,Wednesday,10112.5775,,
1997-10-02,Thursday,9915.36,,
1997-10-03,Friday,9745.04,,start
1997-10-04,Saturday,9745.04,imputed from 49,
1997-10-05,Sunday,9745.04,imputed from 50,
1997-10-06,Monday,9645.825,,
1997-10-07,Tuesday,9605.424,,
1997-10-08,Wednesday,9730.56,,
1997-10-09,Thursday,9631.438,,
1997-10-10,Friday,9530.1745,,start
1997-10-11,Saturday,9530.1745,imputed from 56,
1997-10-12,Sunday,9530.1745,imputed from 57,
1997-10-13,Monday,9511.611,,
1997-10-14,Tuesday,9412.278,,
1997-10-15,Wednesday,9548.819,,
1997-10-16,Thursday,9585.086,,
1997-10-17,Friday,9628.29,,start
1997-10-18,Saturday,9628.29,imputed from 63,
1997-10-19,Sunday,9628.29,imputed from 64,
1997-10-20,Monday,9560.419,,
1997-10-21,Tuesday,9608.565,,
1997-10-22,Wednesday,9513.185,,
1997-10-23,Thursday,9190.9925,,
1997-10-24,Friday,9116.654,,start
1997-10-25,Saturday,9116.654,imputed from 70,
1997-10-26,Sunday,9116.654,imputed from 71,
1997-10-27,Monday,8908.729,,
1997-10-28,Tuesday,8849.715,,
1997-10-29,Wednesday,8967.711,,
1997-10-30,Thursday,8689.522,,
1997-10-31,Friday,8839.784,,start
1997-11-01,Saturday,8839.784,imputed from 77,
1997-11-02,Sunday,8839.784,imputed from 78,
1997-11-03,Monday,8791.9735,,
1997-11-04,Tuesday,8683.74,,
1997-11-05,Wednesday,8707.62,,
1997-11-06,Thursday,8627.0625,,
1997-11-07,Friday,8740.38,,start
1997-11-08,Saturday,8740.38,imputed from 84,
1997-11-09,Sunday,8740.38,imputed from 85,
1997-11-10,Monday,8762.697,,
1997-11-11,Tuesday,8846.82,,
1997-11-12,Wednesday,8761.6025,,
1997-11-13,Thursday,8672.265,,
1997-11-14,Friday,8828.015,,start
1997-11-15,Saturday,8828.015,imputed from 91,
1997-11-16,Sunday,8828.015,imputed from 92,
1997-11-17,Monday,8772.8925,,
1997-11-18,Tuesday,8616.262,,
1997-11-19,Wednesday,8717.4045,,
1997-11-20,Thursday,8785.3425,,
1997-11-21,Friday,8903.9595,,start
1997-11-22,Saturday,8903.9595,imputed from 98,
1997-11-23,Sunday,8903.9595,imputed from 99,
1997-11-24,Monday,8822.65,,
1997-11-25,Tuesday,8771.398,,
1997-11-26,Wednesday,8940.49,,
1997-11-27,Thursday,8939.58,,
1997-11-28,Friday,8783.544,,start
1997-11-29,Saturday,8783.544,imputed from 105,
1997-11-30,Sunday,8783.544,imputed from 106,
1997-12-01,Monday,8822.968,,
1997-12-02,Tuesday,8638.578,,
1997-12-03,Wednesday,8516.205,,
1997-12-04,Thursday,8949.375,,
1997-12-05,Friday,8680.1405,,start
1997-12-06,Saturday,8680.1405,imputed from 112,
1997-12-07,Sunday,8680.1405,imputed from 113,
1997-12-08,Monday,8794.24,,
1997-12-09,Tuesday,8896.85,,
1997-12-10,Wednesday,9107.223,,
1997-12-11,Thursday,8908.4925,,
1997-12-12,Friday,8958.125,,start
1997-12-13,Saturday,8958.125,imputed from 119,
1997-12-14,Sunday,8958.125,imputed from 120,
1997-12-15,Monday,8674.89,,
1997-12-16,Tuesday,8676.6375,,
1997-12-17,Wednesday,8582.49,,
1997-12-18,Thursday,8644.2,,
1997-12-19,Friday,8526.9645,,start
1997-12-20,Saturday,8526.9645,imputed from 126,
1997-12-21,Sunday,8526.9645,imputed from 127,
1997-12-22,Monday,8642.38,,
1997-12-23,Tuesday,8541.872,,
1997-12-24,Wednesday,8566.955,,
1997-12-25,Thursday,8566.955,imputed from 131,
1997-12-26,Friday,8566.955,imputed from 131,start
1997-12-27,Saturday,8566.955,imputed from 133,
1997-12-28,Sunday,8566.955,imputed from 134,
1997-12-29,Monday,8665.618,,
1997-12-30,Tuesday,8840.32,,
1997-12-31,Wednesday,8874.947,,
1998-01-01,Thursday,8874.947,imputed from 138,
1998-01-02,Friday,8874.947,imputed from 138,start
1998-01-03,Saturday,8874.947,imputed from 140,
1998-01-04,Sunday,8874.947,imputed from 141,
1998-01-05,Monday,8807.5125,,
1998-01-06,Tuesday,8615.346,,
1998-01-07,Wednesday,8570.08,,
1998-01-08,Thursday,8549.996,,
1998-01-09,Friday,8518.828,,start
1998-01-10,Saturday,8518.828,imputed from 147,
1998-01-11,Sunday,8518.828,imputed from 148,
1998-01-12,Monday,8399.5875,,
1998-01-13,Tuesday,8416.05,,
1998-01-14,Wednesday,8487.3125,,
1998-01-15,Thursday,8382.2775,,
1998-01-16,Friday,8374.379,,start
1998-01-17,Saturday,8374.379,imputed from 154,
1998-01-18,Sunday,8374.379,imputed from 155,
1998-01-19,Monday,8142.048,,
1998-01-20,Tuesday,8136.855,,
1998-01-21,Wednesday,8064.1265,,
1998-01-22,Thursday,7933.68,,
1998-01-23,Friday,8075.2635,,start
1998-01-24,Saturday,8075.2635,imputed from 161,
1998-01-25,Sunday,8075.2635,imputed from 162,
1998-01-26,Monday,7902.279,,
1998-01-27,Tuesday,7759.3365,,
1998-01-28,Wednesday,7794.435,,
1998-01-29,Thursday,8006.592,,
1998-01-30,Friday,8032.599,,start
1998-01-31,Saturday,8032.599,imputed from 168,
1998-02-01,Sunday,8032.599,imputed from 169,
1998-02-02,Monday,8142.1925,,
1998-02-03,Tuesday,7959.294,,
1998-02-04,Wednesday,7864.2045,,
1998-02-05,Thursday,7974.785,,
1998-02-06,Friday,8137.314,,start
1998-02-07,Saturday,8137.314,imputed from 175,
1998-02-08,Sunday,8137.314,imputed from 176,
1998-02-09,Monday,8207.3055,,
1998-02-10,Tuesday,8242.883,,
1998-02-11,Wednesday,8324.47,,
1998-02-12,Thursday,8330.274,,
1998-02-13,Friday,8349.733,,start
1998-02-14,Saturday,8349.733,imputed from 182,
1998-02-15,Sunday,8349.733,imputed from 183,
1998-02-16,Monday,8027.25,,
1998-02-17,Tuesday,8045.31,,
1998-02-18,Wednesday,7983.729,,
1998-02-19,Thursday,8126.544,,
1998-02-20,Friday,8123.4075,,start
1998-02-21,Saturday,8123.4075,imputed from 189,
1998-02-22,Sunday,8123.4075,imputed from 190,
1998-02-23,Monday,7813.8,,
1998-02-24,Tuesday,7648.04,,
1998-02-25,Wednesday,7726.94,,
1998-02-26,Thursday,7778.088,,
1998-02-27,Friday,7892.46,,start
1998-02-28,Saturday,7892.46,imputed from 196,
1998-03-01,Sunday,7892.46,imputed from 197,
1998-03-02,Monday,7916.94,,
1998-03-03,Tuesday,7832.847,,
1998-03-04,Wednesday,7850.304,,
1998-03-05,Thursday,8074.41,,
1998-03-06,Friday,8244.124,,start
1998-03-07,Saturday,8244.124,imputed from 203,
1998-03-08,Sunday,8244.124,imputed from 204,
1998-03-09,Monday,8120.5,,
1998-03-10,Tuesday,8103.189,,
1998-03-11,Wednesday,8061.441,,
1998-03-12,Thursday,8048.7,,
1998-03-13,Friday,8049.945,,start
1998-03-14,Saturday,8049.945,imputed from 210,
1998-03-15,Sunday,8049.945,imputed from 211,
1998-03-16,Monday,8186.3925,,
1998-03-17,Tuesday,8283.821,,
1998-03-18,Wednesday,8115.392,,
1998-03-19,Thursday,8218.1,,
1998-03-20,Friday,8265.648,,start
1998-03-21,Saturday,8265.648,imputed from 217,
1998-03-22,Sunday,8265.648,imputed from 218,
1998-03-23,Monday,8405.292,,
1998-03-24,Tuesday,8331.895,,
1998-03-25,Wednesday,8314.424,,
1998-03-26,Thursday,8218.4375,,
1998-03-27,Friday,8276.45,,start
1998-03-28,Saturday,8276.45,imputed from 224,
1998-03-29,Sunday,8276.45,imputed from 225,
1998-03-30,Monday,8575.62,,
1998-03-31,Tuesday,8482.7295,,
1998-04-01,Wednesday,8485.155,,
1998-04-02,Thursday,8351.605,,
1998-04-03,Friday,8199.192,,start
1998-04-04,Saturday,8199.192,imputed from 231,
1998-04-05,Sunday,8199.192,imputed from 232,
1998-04-06,Monday,8228.374,,
1998-04-07,Tuesday,8334.685,,
1998-04-08,Wednesday,8124.347,,
1998-04-09,Thursday,8159.382,,
1998-04-10,Friday,8159.382,imputed from 237,start
1998-04-11,Saturday,8159.382,imputed from 238,
1998-04-12,Sunday,8159.382,imputed from 239,
1998-04-13,Monday,8159.382,imputed from 240,
1998-04-14,Tuesday,8212.6,,
1998-04-15,Wednesday,8334.948,,
1998-04-16,Thursday,8188.832,,
1998-04-17,Friday,8233.902,,start
1998-04-18,Saturday,8233.902,imputed from 245,
1998-04-19,Sunday,8233.902,imputed from 246,
1998-04-20,Monday,8099.757,,
1998-04-21,Tuesday,8205.675,,
1998-04-22,Wednesday,8203.755,,
1998-04-23,Thursday,8262.91,,
1998-04-24,Friday,8226.456,,start
1998-04-25,Saturday,8226.456,imputed from 252,
1998-04-26,Sunday,8226.456,imputed from 253,
1998-04-27,Monday,8281.6625,,
1998-04-28,Tuesday,8327.3775,,
1998-04-29,Wednesday,8390.48,,
1998-04-30,Thursday,8358.0735,,
1998-05-01,Friday,8307.504,,start
1998-05-02,Saturday,8307.504,imputed from 259,
1998-05-03,Sunday,8307.504,imputed from 260,
1998-05-04,Monday,8307.504,imputed from 261,
1998-05-05,Tuesday,8243.415,,
1998-05-06,Wednesday,8078.616,,
1998-05-07,Thursday,7916.132,,
1998-05-08,Friday,7993.62,,start
1998-05-09,Saturday,7993.62,imputed from 266,
1998-05-10,Sunday,7993.62,imputed from 267,
1998-05-11,Monday,7685.205,,
1998-05-12,Tuesday,7515.86,,
1998-05-13,Wednesday,7365.985,,
1998-05-14,Thursday,7510.191,,
1998-05-15,Friday,7407.75,,start
1998-05-16,Saturday,7407.75,imputed from 273,
1998-05-17,Sunday,7407.75,imputed from 274,
1998-05-18,Monday,7212.92,,
1998-05-19,Tuesday,7210.296,,
1998-05-20,Wednesday,7160.055,,
1998-05-21,Thursday,7158.96,,
