date,weekday,MES1_Index_PX-LAST-CHF,imputed,MES1_Index_start
2009-09-08,Tuesday,,,excluded
2009-09-09,Wednesday,,,excluded
2009-09-10,Thursday,,,excluded
2009-09-11,Friday,926.5188,,start
2009-09-12,Saturday,926.5188,imputed from 3,
2009-09-13,Sunday,926.5188,imputed from 4,
2009-09-14,Monday,928.40879,,
2009-09-15,Tuesday,935.28747,,
2009-09-16,Wednesday,956.7672,,
2009-09-17,Thursday,947.692,,
2009-09-18,Friday,948.35853,,start
2009-09-19,Saturday,948.35853,imputed from 10,
2009-09-20,Sunday,948.35853,imputed from 11,
2009-09-21,Monday,945.43685,,
2009-09-22,Tuesday,953.3997,,
2009-09-23,Wednesday,941.81232,,
2009-09-24,Thursday,923.00325,,
2009-09-25,Friday,927.86025,,start
2009-09-26,Saturday,927.86025,imputed from 17,
2009-09-27,Sunday,927.86025,imputed from 18,
2009-09-28,Monday,945.36868,,
2009-09-29,Tuesday,948.672,,
2009-09-30,Wednesday,955.653,,
2009-10-01,Thursday,934.59547,,
2009-10-02,Friday,927.07065,,start
2009-10-03,Saturday,927.07065,imputed from 24,
2009-10-04,Sunday,927.07065,imputed from 25,
2009-10-05,Monday,950.62275,,
2009-10-06,Tuesday,959.5905,,
2009-10-07,Wednesday,965.9428,,
2009-10-08,Thursday,971.226,,
2009-10-09,Friday,981.288,,start
2009-10-10,Saturday,981.288,imputed from 31,
2009-10-11,Sunday,981.288,imputed from 32,
2009-10-12,Monday,979.42673,,
2009-10-13,Tuesday,977.29882,,
2009-10-14,Wednesday,1004.68844,,
2009-10-15,Thursday,996.19506,,
2009-10-16,Friday,986.7327,,start
2009-10-17,Saturday,986.7327,imputed from 38,
2009-10-18,Sunday,986.7327,imputed from 39,
2009-10-19,Monday,1000.14,,
2009-10-20,Tuesday,987.32776,,
2009-10-21,Wednesday,971.70734,,
2009-10-22,Thursday,982.43233,,
2009-10-23,Friday,974.0907,,start
2009-10-24,Saturday,974.0907,imputed from 45,
2009-10-25,Sunday,974.0907,imputed from 46,
2009-10-26,Monday,975.99207,,
2009-10-27,Tuesday,962.32786,,
2009-10-28,Wednesday,925.8128,,
2009-10-29,Thursday,956.45743,,
2009-10-30,Friday,918.25935,,start
2009-10-31,Saturday,918.25935,imputed from 52,
2009-11-01,Sunday,918.25935,imputed from 53,
2009-11-02,Monday,930.78175,,
2009-11-03,Tuesday,935.60265,,
2009-11-04,Wednesday,948.5135,,
2009-11-05,Thursday,959.81516,,
2009-11-06,Friday,961.84275,,start
2009-11-07,Saturday,961.84275,imputed from 59,
2009-11-08,Sunday,961.84275,imputed from 60,
2009-11-09,Monday,985.83875,,
2009-11-10,Tuesday,983.56632,,
2009-11-11,Wednesday,989.01307,,
2009-11-12,Thursday,975.072,,
2009-11-13,Friday,981.87921,,start
2009-11-14,Saturday,981.87921,imputed from 66,
2009-11-15,Sunday,981.87921,imputed from 67,
2009-11-16,Monday,1005.6703,,
2009-11-17,Tuesday,1011.27624,,
2009-11-18,Wednesday,994.9357,,
2009-11-19,Thursday,982.9716,,
2009-11-20,Friday,985.49038,,start
2009-11-21,Saturday,985.49038,imputed from 73,
2009-11-22,Sunday,985.49038,imputed from 74,
2009-11-23,Monday,997.49535,,
2009-11-24,Tuesday,987.96585,,
2009-11-25,Wednesday,989.6923,,
2009-11-26,Thursday,989.6923,imputed from 78,
2009-11-27,Friday,957.17036,,start
2009-11-28,Saturday,957.17036,imputed from 80,
2009-11-29,Sunday,957.17036,imputed from 81,
2009-11-30,Monday,964.0354,,
2009-12-01,Tuesday,984.41595,,
2009-12-02,Wednesday,992.2806,,
2009-12-03,Thursday,981.71892,,
2009-12-04,Friday,1002.846,,start
2009-12-05,Saturday,1002.846,imputed from 87,
2009-12-06,Sunday,1002.846,imputed from 88,
2009-12-07,Monday,998.3451,,
2009-12-08,Tuesday,991.61706,,
2009-12-09,Wednesday,999.6048,,
2009-12-10,Thursday,999.5791,,
2009-12-11,Friday,1012.0792,,start
2009-12-12,Saturday,1012.0792,imputed from 94,
2009-12-13,Sunday,1012.0792,imputed from 95,
2009-12-14,Monday,1015.91968,,
2009-12-15,Tuesday,1016.28252,,
