date,weekday,NI1_Index_PX-LAST-CHF,imputed,NI1_Index_start
1997-08-15,Friday,248.65971,,start
1997-08-16,Saturday,248.65971,imputed from 0,
1997-08-17,Sunday,248.65971,imputed from 1,
1997-08-18,Monday,244.31127,,
1997-08-19,Tuesday,242.82267,,
1997-08-20,Wednesday,248.51483,,
1997-08-21,Thursday,246.64208,,
1997-08-22,Friday,238.70939,,start
1997-08-23,Saturday,238.70939,imputed from 7,
1997-08-24,Sunday,238.70939,imputed from 8,
1997-08-25,Monday,235.22598,,
1997-08-26,Tuesday,236.39604,,
1997-08-27,Wednesday,232.21546,,
1997-08-28,Thursday,229.70687,,
1997-08-29,Friday,224.58693,,start
1997-08-30,Saturday,224.58693,imputed from 14,
1997-08-31,Sunday,224.58693,imputed from 15,
1997-09-01,Monday,220.98365,,
1997-09-02,Tuesday,224.79755,,
1997-09-03,Wednesday,231.99835,,
1997-09-04,Thursday,230.23959,,
1997-09-05,Friday,227.19737,,start
1997-09-06,Saturday,227.19737,imputed from 21,
1997-09-07,Sunday,227.19737,imputed from 22,
1997-09-08,Monday,228.22222,,
1997-09-09,Tuesday,233.99643,,
1997-09-10,Wednesday,231.72525,,
1997-09-11,Thursday,224.89373,,
1997-09-12,Friday,215.2805,,start
1997-09-13,Saturday,215.2805,imputed from 28,
1997-09-14,Sunday,215.2805,imputed from 29,
1997-09-15,Monday,215.2805,imputed from 30,
1997-09-16,Tuesday,215.1571,,
1997-09-17,Wednesday,213.55042,,
1997-09-18,Thursday,216.51201,,
1997-09-19,Friday,215.72693,,start
1997-09-20,Saturday,215.72693,imputed from 35,
1997-09-21,Sunday,215.72693,imputed from 36,
1997-09-22,Monday,219.94017,,
1997-09-23,Tuesday,219.94017,imputed from 38,
1997-09-24,Wednesday,224.8728,,
1997-09-25,Thursday,219.803,,
1997-09-26,Friday,215.51414,,start
1997-09-27,Saturday,215.51414,imputed from 42,
1997-09-28,Sunday,215.51414,imputed from 43,
1997-09-29,Monday,215.43192,,
1997-09-30,Tuesday,214.2401,,
1997-10-01,Wednesday,215.1157,,
1997-10-02,Thursday,209.10256,,
1997-10-03,Friday,209.88693,,start
1997-10-04,Saturday,209.88693,imputed from 49,
1997-10-05,Sunday,209.88693,imputed from 50,
1997-10-06,Monday,212.53118,,
1997-10-07,Tuesday,208.01907,,
1997-10-08,Wednesday,210.59429,,
1997-10-09,Thursday,209.32733,,
1997-10-10,Friday,209.32733,imputed from 55,start
1997-10-11,Saturday,209.32733,imputed from 56,
1997-10-12,Sunday,209.32733,imputed from 57,
1997-10-13,Monday,208.46189,,
1997-10-14,Tuesday,208.84284,,
1997-10-15,Wednesday,208.16711,,
1997-10-16,Thursday,214.67733,,
1997-10-17,Friday,214.43962,,start
1997-10-18,Saturday,214.43962,imputed from 63,
1997-10-19,Sunday,214.43962,imputed from 64,
1997-10-20,Monday,210.82475,,
1997-10-21,Tuesday,212.8231,,
1997-10-22,Wednesday,216.00553,,
1997-10-23,Thursday,207.79002,,
1997-10-24,Friday,209.09354,,start
1997-10-25,Saturday,209.09354,imputed from 70,
1997-10-26,Sunday,209.09354,imputed from 71,
1997-10-27,Monday,203.80336,,
1997-10-28,Tuesday,192.81599,,
1997-10-29,Wednesday,197.32356,,
1997-10-30,Thursday,190.6431,,
1997-10-31,Friday,191.71686,,start
1997-11-01,Saturday,191.71686,imputed from 77,
1997-11-02,Sunday,191.71686,imputed from 78,
1997-11-03,Monday,191.71686,imputed from 79,
1997-11-04,Tuesday,189.77016,,
1997-11-05,Wednesday,188.3696,,
1997-11-06,Thursday,187.93718,,
1997-11-07,Friday,177.25093,,start
1997-11-08,Saturday,177.25093,imputed from 84,
1997-11-09,Sunday,177.25093,imputed from 85,
1997-11-10,Monday,175.86768,,
1997-11-11,Tuesday,176.3347,,
1997-11-12,Wednesday,168.90686,,
1997-11-13,Thursday,170.67472,,
1997-11-14,Friday,166.98487,,start
1997-11-15,Saturday,166.98487,imputed from 91,
1997-11-16,Sunday,166.98487,imputed from 92,
1997-11-17,Monday,184.09016,,
1997-11-18,Tuesday,186.77976,,
1997-11-19,Wednesday,175.64013,,
1997-11-20,Thursday,182.80335,,
1997-11-21,Friday,189.31303,,start
1997-11-22,Saturday,189.31303,imputed from 98,
1997-11-23,Sunday,189.31303,imputed from 99,
1997-11-24,Monday,189.31303,imputed from 100,
1997-11-25,Tuesday,175.18829,,
1997-11-26,Wednesday,179.85723,,
1997-11-27,Thursday,187.12255,,
1997-11-28,Friday,186.07917,,start
1997-11-29,Saturday,186.07917,imputed from 105,
1997-11-30,Sunday,186.07917,imputed from 106,
1997-12-01,Monday,188.50149,,
1997-12-02,Tuesday,188.59967,,
1997-12-03,Wednesday,184.48128,,
1997-12-04,Thursday,181.21533,,
1997-12-05,Friday,182.66145,,start
1997-12-06,Saturday,182.66145,imputed from 112,
1997-12-07,Sunday,182.66145,imputed from 113,
1997-12-08,Monday,179.97886,,
1997-12-09,Tuesday,187.86695,,
1997-12-10,Wednesday,185.42629,,
1997-12-11,Thursday,178.2987,,
1997-12-12,Friday,175.33007,,start
1997-12-13,Saturday,175.33007,imputed from 119,
1997-12-14,Sunday,175.33007,imputed from 120,
1997-12-15,Monday,174.77044,,
1997-12-16,Tuesday,176.50774,,
1997-12-17,Wednesday,185.95159,,
1997-12-18,Thursday,179.16626,,
1997-12-19,Friday,170.34538,,start
1997-12-20,Saturday,170.34538,imputed from 126,
1997-12-21,Sunday,170.34538,imputed from 127,
1997-12-22,Monday,162.08256,,
1997-12-23,Tuesday,162.08256,imputed from 129,
1997-12-24,Wednesday,166.42814,,
1997-12-25,Thursday,168.88473,,
1997-12-26,Friday,162.04305,,start
1997-12-27,Saturday,162.04305,imputed from 133,
1997-12-28,Sunday,162.04305,imputed from 134,
1997-12-29,Monday,164.76436,,
1997-12-30,Tuesday,169.5402,,
1997-12-31,Wednesday,169.5402,imputed from 137,
1998-01-01,Thursday,169.5402,imputed from 138,
1998-01-02,Friday,169.5402,imputed from 137,start
1998-01-03,Saturday,169.5402,imputed from 140,
1998-01-04,Sunday,169.5402,imputed from 141,
1998-01-05,Monday,166.48622,,
1998-01-06,Tuesday,164.38562,,
1998-01-07,Wednesday,168.96348,,
1998-01-08,Thursday,166.61301,,
1998-01-09,Friday,168.00723,,start
1998-01-10,Saturday,168.00723,imputed from 147,
1998-01-11,Sunday,168.00723,imputed from 148,
1998-01-12,Monday,163.70945,,
1998-01-13,Tuesday,165.46886,,
1998-01-14,Wednesday,170.91861,,
1998-01-15,Thursday,170.91861,imputed from 152,
1998-01-16,Friday,186.59567,,start
1998-01-17,Saturday,186.59567,imputed from 154,
1998-01-18,Sunday,186.59567,imputed from 155,
1998-01-19,Monday,188.94675,,
1998-01-20,Tuesday,191.10189,,
1998-01-21,Wednesday,194.68475,,
1998-01-22,Thursday,189.6971,,
1998-01-23,Friday,193.39047,,start
1998-01-24,Saturday,193.39047,imputed from 161,
1998-01-25,Sunday,193.39047,imputed from 162,
1998-01-26,Monday,196.46493,,
1998-01-27,Tuesday,196.81424,,
1998-01-28,Wednesday,198.76042,,
1998-01-29,Thursday,200.20981,,
1998-01-30,Friday,195.01932,,start
1998-01-31,Saturday,195.01932,imputed from 168,
1998-02-01,Sunday,195.01932,imputed from 169,
1998-02-02,Monday,196.07042,,
1998-02-03,Tuesday,198.29495,,
1998-02-04,Wednesday,199.23164,,
1998-02-05,Thursday,198.88635,,
1998-02-06,Friday,201.38373,,start
1998-02-07,Saturday,201.38373,imputed from 175,
1998-02-08,Sunday,201.38373,imputed from 176,
1998-02-09,Monday,203.55895,,
1998-02-10,Tuesday,204.11109,,
1998-02-11,Wednesday,204.11109,imputed from 179,
1998-02-12,Thursday,200.80788,,
1998-02-13,Friday,195.26521,,start
1998-02-14,Saturday,195.26521,imputed from 182,
1998-02-15,Sunday,195.26521,imputed from 183,
1998-02-16,Monday,194.60387,,
1998-02-17,Tuesday,195.52591,,
1998-02-18,Wednesday,194.22898,,
1998-02-19,Thursday,193.01427,,
1998-02-20,Friday,192.92069,,start
1998-02-21,Saturday,192.92069,imputed from 189,
1998-02-22,Sunday,192.92069,imputed from 190,
1998-02-23,Monday,188.11452,,
1998-02-24,Tuesday,183.80776,,
1998-02-25,Wednesday,186.2193,,
1998-02-26,Thursday,189.71115,,
1998-02-27,Friday,198.04674,,start
1998-02-28,Saturday,198.04674,imputed from 196,
1998-03-01,Sunday,198.04674,imputed from 197,
1998-03-02,Monday,201.68974,,
1998-03-03,Tuesday,199.35139,,
1998-03-04,Wednesday,198.85185,,
1998-03-05,Thursday,195.84168,,
1998-03-06,Friday,200.30367,,start
1998-03-07,Saturday,200.30367,imputed from 203,
1998-03-08,Sunday,200.30367,imputed from 204,
1998-03-09,Monday,197.74332,,
1998-03-10,Tuesday,198.90705,,
1998-03-11,Wednesday,193.50524,,
1998-03-12,Thursday,191.02375,,
1998-03-13,Friday,195.14545,,start
1998-03-14,Saturday,195.14545,imputed from 210,
1998-03-15,Sunday,195.14545,imputed from 211,
1998-03-16,Monday,192.22023,,
1998-03-17,Tuesday,194.41136,,
1998-03-18,Wednesday,190.37423,,
1998-03-19,Thursday,191.15053,,
1998-03-20,Friday,192.80865,,start
1998-03-21,Saturday,192.80865,imputed from 217,
1998-03-22,Sunday,192.80865,imputed from 218,
1998-03-23,Monday,192.31336,,
1998-03-24,Tuesday,189.78736,,
1998-03-25,Wednesday,190.82078,,
1998-03-26,Thursday,195.46794,,
1998-03-27,Friday,194.24274,,start
1998-03-28,Saturday,194.24274,imputed from 224,
1998-03-29,Sunday,194.24274,imputed from 225,
