date,weekday,OAT1_Comdty_PX-LAST,OAT1_Comdty_CURRENCY-EUR,OAT1_Comdty_PX-LAST-CHF,imputed,OAT1_Comdty_start
2012-04-16,Monday,,1.20191,,,excluded
2012-04-17,Tuesday,,1.20148,,,excluded
2012-04-18,Wednesday,,1.20204,,,excluded
2012-04-19,Thursday,,1.20222,,,excluded
2012-04-20,Friday,124.56,1.20161,149.67254160000002,,start
2012-04-21,Saturday,,,149.67254160000002,imputed from 4,
2012-04-22,Sunday,,,149.67254160000002,imputed from 5,
2012-04-23,Monday,124.53,1.20203,149.6887959,,
2012-04-24,Tuesday,125.05,1.20155,150.25382749999997,,
2012-04-25,Wednesday,125.61,1.20173,150.9493053,,
2012-04-26,Thursday,125.8,1.20174,151.178892,,
2012-04-27,Friday,125.72,1.20156,151.0601232,,start
2012-04-28,Saturday,,,151.0601232,imputed from 11,
2012-04-29,Sunday,,,151.0601232,imputed from 12,
2012-04-30,Monday,126.13,1.20138,151.53005939999997,,
2012-05-01,Tuesday,,1.20161,151.53005939999997,imputed from 14,
2012-05-02,Wednesday,126.12,1.20154,151.53822480000002,,
2012-05-03,Thursday,126.73,1.20147,152.26229310000002,,
2012-05-04,Friday,127.38,1.20135,153.02796299999997,,start
2012-05-05,Saturday,,,153.02796299999997,imputed from 18,
2012-05-06,Sunday,,,153.02796299999997,imputed from 19,
2012-05-07,Monday,127.77,1.20141,153.5041557,,
2012-05-08,Tuesday,127.6,1.20118,153.27056799999997,,
2012-05-09,Wednesday,127.15,1.20107,152.71605050000002,,
2012-05-10,Thursday,127.55,1.20115,153.2066825,,
2012-05-11,Friday,127.71,1.20118,153.40269779999997,,start
2012-05-12,Saturday,,,153.40269779999997,imputed from 25,
2012-05-13,Sunday,,,153.40269779999997,imputed from 26,
2012-05-14,Monday,127.42,1.20108,153.0416136,,
2012-05-15,Tuesday,126.79,1.20107,152.28366530000002,,
2012-05-16,Wednesday,126.93,1.20106,152.45054580000001,,
2012-05-17,Thursday,127.18,1.20104,152.74826720000002,,
2012-05-18,Friday,127.38,1.20115,153.00248699999997,,start
2012-05-19,Saturday,,,153.00248699999997,imputed from 32,
2012-05-20,Sunday,,,153.00248699999997,imputed from 33,
2012-05-21,Monday,127.38,1.20123,153.0126774,,
2012-05-22,Tuesday,128.02,1.20121,153.77890420000003,,
2012-05-23,Wednesday,128.63,1.20102,154.4872026,,
2012-05-24,Thursday,130.42,1.2013,156.673546,,
2012-05-25,Friday,130.8,1.2012,157.11696,,start
2012-05-26,Saturday,,,157.11696,imputed from 39,
2012-05-27,Sunday,,,157.11696,imputed from 40,
2012-05-28,Monday,130.58,1.202,156.95716000000002,,
2012-05-29,Tuesday,130.82,1.20101,157.1161282,,
2012-05-30,Wednesday,130.89,1.20082,157.1753298,,
2012-05-31,Thursday,132.65,1.20115,159.3325475,,
2012-06-01,Friday,133.89,1.20129,160.84071809999998,,start
2012-06-02,Saturday,,,160.84071809999998,imputed from 46,
2012-06-03,Sunday,,,160.84071809999998,imputed from 47,
2012-06-04,Monday,133.39,1.20106,160.20939339999998,,
2012-06-05,Tuesday,133.01,1.20104,159.7503304,,
2012-06-06,Wednesday,130.61,1.20071,156.8247331,,
2012-06-07,Thursday,129.08,1.20106,155.03282480000001,,
2012-06-08,Friday,129.45,1.20138,155.51864099999997,,start
2012-06-09,Saturday,,,155.51864099999997,imputed from 53,
2012-06-10,Sunday,,,155.51864099999997,imputed from 54,
2012-06-11,Monday,129.08,1.20102,155.02766160000002,,
