date,weekday,OI1_Index_PX-LAST-CHF,imputed,OI1_Index_start
1997-08-15,Friday,34.37326,,start
1997-08-16,Saturday,34.37326,imputed from 0,
1997-08-17,Sunday,34.37326,imputed from 1,
1997-08-18,Monday,34.06047,,
1997-08-19,Tuesday,34.30248,,
1997-08-20,Wednesday,34.30248,imputed from 4,
1997-08-21,Thursday,34.2574,,
1997-08-22,Friday,33.65579,,start
1997-08-23,Saturday,33.65579,imputed from 7,
1997-08-24,Sunday,33.65579,imputed from 8,
1997-08-25,Monday,33.61614,,
1997-08-26,Tuesday,33.62935,,
1997-08-27,Wednesday,33.65475,,
1997-08-28,Thursday,33.88109,,
1997-08-29,Friday,33.87751,,start
1997-08-30,Saturday,33.87751,imputed from 14,
1997-08-31,Sunday,33.87751,imputed from 15,
1997-09-01,Monday,34.32351,,
1997-09-02,Tuesday,34.63826,,
1997-09-03,Wednesday,34.81883,,
1997-09-04,Thursday,34.72665,,
1997-09-05,Friday,34.7958,,start
1997-09-06,Saturday,34.7958,imputed from 21,
1997-09-07,Sunday,34.7958,imputed from 22,
1997-09-08,Monday,34.90722,,
1997-09-09,Tuesday,34.96078,,
1997-09-10,Wednesday,34.77523,,
1997-09-11,Thursday,34.98865,,
1997-09-12,Friday,35.01489,,start
1997-09-13,Saturday,35.01489,imputed from 28,
1997-09-14,Sunday,35.01489,imputed from 29,
1997-09-15,Monday,34.40198,,
1997-09-16,Tuesday,34.512,,
1997-09-17,Wednesday,35.53493,,
1997-09-18,Thursday,35.35021,,
1997-09-19,Friday,35.47281,,start
1997-09-20,Saturday,35.47281,imputed from 35,
1997-09-21,Sunday,35.47281,imputed from 36,
1997-09-22,Monday,35.59901,,
1997-09-23,Tuesday,35.51908,,
1997-09-24,Wednesday,35.5508,,
1997-09-25,Thursday,35.76761,,
1997-09-26,Friday,36.01874,,start
1997-09-27,Saturday,36.01874,imputed from 42,
1997-09-28,Sunday,36.01874,imputed from 43,
1997-09-29,Monday,36.27882,,
1997-09-30,Tuesday,36.47252,,
1997-10-01,Wednesday,36.41027,,
1997-10-02,Thursday,36.56005,,
1997-10-03,Friday,37.27252,,start
1997-10-04,Saturday,37.27252,imputed from 49,
1997-10-05,Sunday,37.27252,imputed from 50,
1997-10-06,Monday,37.3705,,
1997-10-07,Tuesday,37.43704,,
1997-10-08,Wednesday,37.1269,,
1997-10-09,Thursday,37.43408,,
1997-10-10,Friday,37.69305,,start
1997-10-11,Saturday,37.69305,imputed from 56,
1997-10-12,Sunday,37.69305,imputed from 57,
1997-10-13,Monday,38.33456,,
1997-10-14,Tuesday,38.03717,,
1997-10-15,Wednesday,37.99174,,
1997-10-16,Thursday,38.65568,,
1997-10-17,Friday,38.35243,,start
1997-10-18,Saturday,38.35243,imputed from 63,
1997-10-19,Sunday,38.35243,imputed from 64,
1997-10-20,Monday,38.26597,,
1997-10-21,Tuesday,38.65201,,
1997-10-22,Wednesday,38.65201,imputed from 67,
1997-10-23,Thursday,37.71793,,
1997-10-24,Friday,37.7493,,start
1997-10-25,Saturday,37.7493,imputed from 70,
1997-10-26,Sunday,37.7493,imputed from 71,
1997-10-27,Monday,37.07084,,
1997-10-28,Tuesday,34.52029,,
1997-10-29,Wednesday,35.81602,,
1997-10-30,Thursday,34.88583,,
1997-10-31,Friday,34.71084,,start
1997-11-01,Saturday,34.71084,imputed from 77,
1997-11-02,Sunday,34.71084,imputed from 78,
1997-11-03,Monday,35.3982,,
1997-11-04,Tuesday,34.81974,,
1997-11-05,Wednesday,35.00298,,
1997-11-06,Thursday,34.98445,,
1997-11-07,Friday,34.63367,,start
1997-11-08,Saturday,34.63367,imputed from 84,
1997-11-09,Sunday,34.63367,imputed from 85,
1997-11-10,Monday,34.54751,,
1997-11-11,Tuesday,34.24179,,
1997-11-12,Wednesday,33.49879,,
1997-11-13,Thursday,33.46926,,
1997-11-14,Friday,33.12578,,start
1997-11-15,Saturday,33.12578,imputed from 91,
1997-11-16,Sunday,33.12578,imputed from 92,
1997-11-17,Monday,33.69957,,
1997-11-18,Tuesday,33.9359,,
1997-11-19,Wednesday,33.90443,,
1997-11-20,Thursday,34.03882,,
1997-11-21,Friday,34.20241,,start
1997-11-22,Saturday,34.20241,imputed from 98,
1997-11-23,Sunday,34.20241,imputed from 99,
1997-11-24,Monday,33.14959,,
1997-11-25,Tuesday,32.50613,,
1997-11-26,Wednesday,32.31909,,
1997-11-27,Thursday,32.718,,
1997-11-28,Friday,32.93129,,start
1997-11-29,Saturday,32.93129,imputed from 105,
1997-11-30,Sunday,32.93129,imputed from 106,
1997-12-01,Monday,32.95396,,
1997-12-02,Tuesday,33.23067,,
1997-12-03,Wednesday,32.9516,,
1997-12-04,Thursday,33.52022,,
1997-12-05,Friday,33.6205,,start
1997-12-06,Saturday,33.6205,imputed from 112,
1997-12-07,Sunday,33.6205,imputed from 113,
1997-12-08,Monday,34.6523,,
1997-12-09,Tuesday,34.54237,,
1997-12-10,Wednesday,34.26171,,
1997-12-11,Thursday,33.64949,,
1997-12-12,Friday,33.55362,,start
1997-12-13,Saturday,33.55362,imputed from 119,
1997-12-14,Sunday,33.55362,imputed from 120,
1997-12-15,Monday,32.99604,,
1997-12-16,Tuesday,33.1705,,
1997-12-17,Wednesday,33.44707,,
1997-12-18,Thursday,33.15315,,
1997-12-19,Friday,32.50826,,start
1997-12-20,Saturday,32.50826,imputed from 126,
1997-12-21,Sunday,32.50826,imputed from 127,
1997-12-22,Monday,32.21741,,
1997-12-23,Tuesday,32.30517,,
1997-12-24,Wednesday,32.30517,imputed from 130,
1997-12-25,Thursday,32.30517,imputed from 131,
1997-12-26,Friday,32.30517,imputed from 130,start
1997-12-27,Saturday,32.30517,imputed from 133,
1997-12-28,Sunday,32.30517,imputed from 134,
1997-12-29,Monday,32.86098,,
1997-12-30,Tuesday,33.75229,,
1997-12-31,Wednesday,33.75229,imputed from 137,
1998-01-01,Thursday,33.75229,imputed from 138,
1998-01-02,Friday,34.32832,,start
1998-01-03,Saturday,34.32832,imputed from 140,
1998-01-04,Sunday,34.32832,imputed from 141,
1998-01-05,Monday,34.47642,,
1998-01-06,Tuesday,33.6266,,
1998-01-07,Wednesday,33.2103,,
1998-01-08,Thursday,32.68172,,
1998-01-09,Friday,31.81939,,start
1998-01-10,Saturday,31.81939,imputed from 147,
1998-01-11,Sunday,31.81939,imputed from 148,
1998-01-12,Monday,30.15486,,
1998-01-13,Tuesday,30.87043,,
1998-01-14,Wednesday,31.4527,,
1998-01-15,Thursday,31.57151,,
1998-01-16,Friday,32.04564,,start
1998-01-17,Saturday,32.04564,imputed from 154,
1998-01-18,Sunday,32.04564,imputed from 155,
1998-01-19,Monday,32.40285,,
1998-01-20,Tuesday,32.84884,,
1998-01-21,Wednesday,32.38283,,
1998-01-22,Thursday,31.81939,,
1998-01-23,Friday,31.57383,,start
1998-01-24,Saturday,31.57383,imputed from 161,
1998-01-25,Sunday,31.57383,imputed from 162,
1998-01-26,Monday,31.41603,,
1998-01-27,Tuesday,31.74101,,
1998-01-28,Wednesday,31.76193,,
1998-01-29,Thursday,31.90206,,
1998-01-30,Friday,31.94696,,start
1998-01-31,Saturday,31.94696,imputed from 168,
1998-02-01,Sunday,31.94696,imputed from 169,
1998-02-02,Monday,32.82738,,
1998-02-03,Tuesday,32.61357,,
1998-02-04,Wednesday,32.48022,,
1998-02-05,Thursday,32.72741,,
1998-02-06,Friday,32.51551,,start
1998-02-07,Saturday,32.51551,imputed from 175,
1998-02-08,Sunday,32.51551,imputed from 176,
1998-02-09,Monday,32.47301,,
1998-02-10,Tuesday,32.10916,,
1998-02-11,Wednesday,32.17884,,
1998-02-12,Thursday,31.76166,,
1998-02-13,Friday,31.81906,,start
1998-02-14,Saturday,31.81906,imputed from 182,
1998-02-15,Sunday,31.81906,imputed from 183,
1998-02-16,Monday,32.1852,,
1998-02-17,Tuesday,32.76377,,
1998-02-18,Wednesday,32.50844,,
1998-02-19,Thursday,32.71879,,
1998-02-20,Friday,32.59869,,start
1998-02-21,Saturday,32.59869,imputed from 189,
1998-02-22,Sunday,32.59869,imputed from 190,
1998-02-23,Monday,32.48079,,
1998-02-24,Tuesday,32.28104,,
1998-02-25,Wednesday,32.50726,,
1998-02-26,Thursday,33.24252,,
1998-02-27,Friday,33.21214,,start
1998-02-28,Saturday,33.21214,imputed from 196,
1998-03-01,Sunday,33.21214,imputed from 197,
1998-03-02,Monday,33.66812,,
1998-03-03,Tuesday,34.06897,,
1998-03-04,Wednesday,34.30654,,
1998-03-05,Thursday,33.83543,,
1998-03-06,Friday,34.51923,,start
1998-03-07,Saturday,34.51923,imputed from 203,
1998-03-08,Sunday,34.51923,imputed from 204,
1998-03-09,Monday,34.54568,,
1998-03-10,Tuesday,34.87862,,
1998-03-11,Wednesday,35.14987,,
1998-03-12,Thursday,35.18483,,
1998-03-13,Friday,35.56434,,start
1998-03-14,Saturday,35.56434,imputed from 210,
1998-03-15,Sunday,35.56434,imputed from 211,
1998-03-16,Monday,35.57556,,
1998-03-17,Tuesday,35.39927,,
1998-03-18,Wednesday,35.43294,,
