date,weekday,PT1_Index_PX-LAST-CHF,imputed,PT1_Index_start
1999-09-07,Tuesday,,,excluded
1999-09-08,Wednesday,,,excluded
1999-09-09,Thursday,,,excluded
1999-09-10,Friday,444.76788,,start
1999-09-11,Saturday,444.76788,imputed from 3,
1999-09-12,Sunday,444.76788,imputed from 4,
1999-09-13,Monday,442.89799,,
1999-09-14,Tuesday,443.65037,,
1999-09-15,Wednesday,436.67785,,
1999-09-16,Thursday,433.46509,,
1999-09-17,Friday,439.51052,,start
1999-09-18,Saturday,439.51052,imputed from 10,
1999-09-19,Sunday,439.51052,imputed from 11,
1999-09-20,Monday,437.08847,,
1999-09-21,Tuesday,422.56239,,
1999-09-22,Wednesday,424.88797,,
1999-09-23,Thursday,418.44645,,
1999-09-24,Friday,412.80226,,start
1999-09-25,Saturday,412.80226,imputed from 17,
1999-09-26,Sunday,412.80226,imputed from 18,
1999-09-27,Monday,422.9217,,
1999-09-28,Tuesday,420.66785,,
1999-09-29,Wednesday,415.63632,,
1999-09-30,Thursday,420.10386,,
1999-10-01,Friday,411.2286,,start
1999-10-02,Saturday,411.2286,imputed from 24,
1999-10-03,Sunday,411.2286,imputed from 25,
1999-10-04,Monday,423.49534,,
1999-10-05,Tuesday,421.52912,,
1999-10-06,Wednesday,424.40048,,
1999-10-07,Thursday,425.57812,,
1999-10-08,Friday,432.24195,,start
1999-10-09,Saturday,432.24195,imputed from 31,
1999-10-10,Sunday,432.24195,imputed from 32,
1999-10-11,Monday,432.24195,imputed from 33,
1999-10-12,Tuesday,431.6772,,
1999-10-13,Wednesday,414.19535,,
1999-10-14,Thursday,412.37465,,
1999-10-15,Friday,401.89799,,start
1999-10-16,Saturday,401.89799,imputed from 38,
1999-10-17,Sunday,401.89799,imputed from 39,
1999-10-18,Monday,399.32205,,
1999-10-19,Tuesday,400.7143,,
1999-10-20,Wednesday,409.53823,,
1999-10-21,Thursday,410.31304,,
1999-10-22,Friday,427.09133,,start
1999-10-23,Saturday,427.09133,imputed from 45,
1999-10-24,Sunday,427.09133,imputed from 46,
1999-10-25,Monday,425.4973,,
1999-10-26,Tuesday,430.20975,,
1999-10-27,Wednesday,430.23346,,
1999-10-28,Thursday,441.34078,,
1999-10-29,Friday,448.23579,,start
1999-10-30,Saturday,448.23579,imputed from 52,
1999-10-31,Sunday,448.23579,imputed from 53,
1999-11-01,Monday,453.92273,,
1999-11-02,Tuesday,447.83497,,
1999-11-03,Wednesday,451.4106,,
1999-11-04,Thursday,462.2352,,
1999-11-05,Friday,462.14721,,start
1999-11-06,Saturday,462.14721,imputed from 59,
1999-11-07,Sunday,462.14721,imputed from 60,
1999-11-08,Monday,460.71856,,
1999-11-09,Tuesday,458.63062,,
1999-11-10,Wednesday,460.98671,,
1999-11-11,Thursday,474.19397,,
1999-11-12,Friday,481.11543,,start
1999-11-13,Saturday,481.11543,imputed from 66,
1999-11-14,Sunday,481.11543,imputed from 67,
1999-11-15,Monday,487.75698,,
1999-11-16,Tuesday,481.83988,,
1999-11-17,Wednesday,477.78547,,
1999-11-18,Thursday,484.53919,,
1999-11-19,Friday,489.913,,start
1999-11-20,Saturday,489.913,imputed from 73,
1999-11-21,Sunday,489.913,imputed from 74,
1999-11-22,Monday,485.40562,,
1999-11-23,Tuesday,491.20218,,
1999-11-24,Wednesday,498.01945,,
1999-11-25,Thursday,503.53217,,
1999-11-26,Friday,506.88768,,start
1999-11-27,Saturday,506.88768,imputed from 80,
1999-11-28,Sunday,506.88768,imputed from 81,
1999-11-29,Monday,497.76512,,
1999-11-30,Tuesday,482.9947,,
1999-12-01,Wednesday,487.63485,,
1999-12-02,Thursday,491.30944,,
1999-12-03,Friday,499.93517,,start
1999-12-04,Saturday,499.93517,imputed from 87,
1999-12-05,Sunday,499.93517,imputed from 88,
1999-12-06,Monday,496.11194,,
1999-12-07,Tuesday,498.0182,,
1999-12-08,Wednesday,489.65381,,
1999-12-09,Thursday,491.46664,,
1999-12-10,Friday,503.95099,,start
1999-12-11,Saturday,503.95099,imputed from 94,
1999-12-12,Sunday,503.95099,imputed from 95,
1999-12-13,Monday,508.39368,,
1999-12-14,Tuesday,505.55366,,
1999-12-15,Wednesday,509.31815,,
1999-12-16,Thursday,514.35933,,
1999-12-17,Friday,522.15142,,start
1999-12-18,Saturday,522.15142,imputed from 101,
1999-12-19,Sunday,522.15142,imputed from 102,
1999-12-20,Monday,522.43257,,
1999-12-21,Tuesday,531.91527,,
1999-12-22,Wednesday,532.67112,,
1999-12-23,Thursday,538.77488,,
1999-12-24,Friday,543.16324,,start
1999-12-25,Saturday,543.16324,imputed from 108,
1999-12-26,Sunday,543.16324,imputed from 109,
1999-12-27,Monday,543.16324,imputed from 110,
1999-12-28,Tuesday,543.16324,imputed from 111,
1999-12-29,Wednesday,553.98871,,
1999-12-30,Thursday,550.12753,,
1999-12-31,Friday,546.81319,,start
2000-01-01,Saturday,546.81319,imputed from 115,
2000-01-02,Sunday,546.81319,imputed from 116,
2000-01-03,Monday,546.81319,imputed from 117,
2000-01-04,Tuesday,522.32134,,
2000-01-05,Wednesday,513.07177,,
2000-01-06,Thursday,509.01659,,
2000-01-07,Friday,532.04766,,start
2000-01-08,Saturday,532.04766,imputed from 122,
2000-01-09,Sunday,532.04766,imputed from 123,
2000-01-10,Monday,546.0235,,
2000-01-11,Tuesday,534.40542,,
2000-01-12,Wednesday,530.31347,,
2000-01-13,Thursday,536.77715,,
2000-01-14,Friday,538.88034,,start
2000-01-15,Saturday,538.88034,imputed from 129,
2000-01-16,Sunday,538.88034,imputed from 130,
2000-01-17,Monday,547.3846,,
2000-01-18,Tuesday,552.89767,,
2000-01-19,Wednesday,555.56209,,
2000-01-20,Thursday,555.99964,,
2000-01-21,Friday,558.2446,,start
2000-01-22,Saturday,558.2446,imputed from 136,
2000-01-23,Sunday,558.2446,imputed from 137,
2000-01-24,Monday,555.02241,,
2000-01-25,Tuesday,561.60045,,
2000-01-26,Wednesday,570.61592,,
2000-01-27,Thursday,582.89442,,
2000-01-28,Friday,567.20667,,start
2000-01-29,Saturday,567.20667,imputed from 143,
2000-01-30,Sunday,567.20667,imputed from 144,
2000-01-31,Monday,570.07174,,
2000-02-01,Tuesday,575.92788,,
2000-02-02,Wednesday,590.57174,,
2000-02-03,Thursday,590.06804,,
2000-02-04,Friday,620.42063,,start
2000-02-05,Saturday,620.42063,imputed from 150,
2000-02-06,Sunday,620.42063,imputed from 151,
2000-02-07,Monday,612.20259,,
2000-02-08,Tuesday,614.06606,,
2000-02-09,Wednesday,612.31199,,
2000-02-10,Thursday,617.90098,,
2000-02-11,Friday,607.81554,,start
2000-02-12,Saturday,607.81554,imputed from 157,
2000-02-13,Sunday,607.81554,imputed from 158,
2000-02-14,Monday,621.91071,,
2000-02-15,Tuesday,619.6812,,
2000-02-16,Wednesday,626.55385,,
2000-02-17,Thursday,627.12381,,
2000-02-18,Friday,616.58972,,start
2000-02-19,Saturday,616.58972,imputed from 164,
2000-02-20,Sunday,616.58972,imputed from 165,
2000-02-21,Monday,602.1435,,
2000-02-22,Tuesday,591.87831,,
2000-02-23,Wednesday,598.76648,,
2000-02-24,Thursday,595.08254,,
2000-02-25,Friday,600.24045,,start
2000-02-26,Saturday,600.24045,imputed from 171,
2000-02-27,Sunday,600.24045,imputed from 172,
2000-02-28,Monday,603.46438,,
2000-02-29,Tuesday,599.30058,,
2000-03-01,Wednesday,613.38841,,
2000-03-02,Thursday,621.71443,,
2000-03-03,Friday,626.87755,,start
2000-03-04,Saturday,626.87755,imputed from 178,
2000-03-05,Sunday,626.87755,imputed from 179,
2000-03-06,Monday,636.98702,,
2000-03-07,Tuesday,631.33112,,
2000-03-08,Wednesday,618.40956,,
2000-03-09,Thursday,619.57012,,
2000-03-10,Friday,628.23257,,start
2000-03-11,Saturday,628.23257,imputed from 185,
2000-03-12,Sunday,628.23257,imputed from 186,
2000-03-13,Monday,626.40394,,
2000-03-14,Tuesday,628.60005,,
2000-03-15,Wednesday,622.94504,,
2000-03-16,Thursday,640.41089,,
2000-03-17,Friday,640.27633,,start
2000-03-18,Saturday,640.27633,imputed from 192,
2000-03-19,Sunday,640.27633,imputed from 193,
2000-03-20,Monday,646.0162,,
2000-03-21,Tuesday,658.92008,,
2000-03-22,Wednesday,669.72882,,
2000-03-23,Thursday,663.35366,,
2000-03-24,Friday,667.64447,,start
2000-03-25,Saturday,667.64447,imputed from 199,
2000-03-26,Sunday,667.64447,imputed from 200,
2000-03-27,Monday,680.82333,,
2000-03-28,Tuesday,683.07729,,
2000-03-29,Wednesday,678.54954,,
2000-03-30,Thursday,650.32637,,
2000-03-31,Friday,661.18492,,start
2000-04-01,Saturday,661.18492,imputed from 206,
2000-04-02,Sunday,661.18492,imputed from 207,
