date,weekday,QS1_Comdty_PX-LAST-CHF,imputed,QS1_Comdty_start
1997-08-15,Friday,257.64563,,start
1997-08-16,Saturday,257.64563,imputed from 0,
1997-08-17,Sunday,257.64563,imputed from 1,
1997-08-18,Monday,255.8772,,
1997-08-19,Tuesday,260.54475,,
1997-08-20,Wednesday,261.3275,,
1997-08-21,Thursday,256.204,,
1997-08-22,Friday,248.90085,,start
1997-08-23,Saturday,248.90085,imputed from 7,
1997-08-24,Sunday,248.90085,imputed from 8,
1997-08-25,Monday,248.90085,imputed from 9,
1997-08-26,Tuesday,242.2017,,
1997-08-27,Wednesday,244.5633,,
1997-08-28,Thursday,243.048,,
1997-08-29,Friday,245.30738,,start
1997-08-30,Saturday,245.30738,imputed from 14,
1997-08-31,Sunday,245.30738,imputed from 15,
1997-09-01,Monday,244.2036,,
1997-09-02,Tuesday,247.80048,,
1997-09-03,Wednesday,245.625,,
1997-09-04,Thursday,244.222,,
1997-09-05,Friday,242.9007,,start
1997-09-06,Saturday,242.9007,imputed from 21,
1997-09-07,Sunday,242.9007,imputed from 22,
1997-09-08,Monday,242.44258,,
1997-09-09,Tuesday,243.82375,,
1997-09-10,Wednesday,240.72353,,
1997-09-11,Thursday,242.08808,,
1997-09-12,Friday,239.77275,,start
1997-09-13,Saturday,239.77275,imputed from 28,
1997-09-14,Sunday,239.77275,imputed from 29,
1997-09-15,Monday,236.37313,,
1997-09-16,Tuesday,242.2335,,
1997-09-17,Wednesday,243.30688,,
1997-09-18,Thursday,244.53888,,
1997-09-19,Friday,243.1899,,start
1997-09-20,Saturday,243.1899,imputed from 35,
1997-09-21,Sunday,243.1899,imputed from 36,
1997-09-22,Monday,250.36428,,
1997-09-23,Tuesday,251.02715,,
1997-09-24,Wednesday,248.34368,,
1997-09-25,Thursday,251.21175,,
1997-09-26,Friday,251.95748,,start
1997-09-27,Saturday,251.95748,imputed from 42,
1997-09-28,Sunday,251.95748,imputed from 43,
1997-09-29,Monday,255.01905,,
1997-09-30,Tuesday,262.17787,,
1997-10-01,Wednesday,260.29848,,
1997-10-02,Thursday,259.896,,
1997-10-03,Friday,271.138,,start
1997-10-04,Saturday,271.138,imputed from 49,
1997-10-05,Sunday,271.138,imputed from 50,
1997-10-06,Monday,268.3425,,
1997-10-07,Tuesday,266.8977,,
1997-10-08,Wednesday,268.604,,
1997-10-09,Thursday,270.6114,,
1997-10-10,Friday,270.10655,,start
1997-10-11,Saturday,270.10655,imputed from 56,
1997-10-12,Sunday,270.10655,imputed from 57,
1997-10-13,Monday,265.02375,,
1997-10-14,Tuesday,263.9673,,
