date,weekday,RX1_Comdty_PX-LAST-CHF,imputed,RX1_Comdty_start
1997-08-15,Friday,84.38186,,start
1997-08-16,Saturday,84.38186,imputed from 0,
1997-08-17,Sunday,84.38186,imputed from 1,
1997-08-18,Monday,85.02116,,
1997-08-19,Tuesday,84.69485,,
1997-08-20,Wednesday,84.44958,,
1997-08-21,Thursday,84.42346,,
1997-08-22,Friday,84.15208,,start
1997-08-23,Saturday,84.15208,imputed from 7,
1997-08-24,Sunday,84.15208,imputed from 8,
1997-08-25,Monday,83.97662,,
1997-08-26,Tuesday,84.51248,,
1997-08-27,Wednesday,84.44152,,
1997-08-28,Thursday,84.68571,,
1997-08-29,Friday,84.30862,,start
1997-08-30,Saturday,84.30862,imputed from 14,
1997-08-31,Sunday,84.30862,imputed from 15,
1997-09-01,Monday,84.28877,,
1997-09-02,Tuesday,84.13362,,
1997-09-03,Wednesday,84.48133,,
1997-09-04,Thursday,84.41384,,
1997-09-05,Friday,83.93634,,start
1997-09-06,Saturday,83.93634,imputed from 21,
1997-09-07,Sunday,83.93634,imputed from 22,
1997-09-08,Monday,83.45881,,
1997-09-09,Tuesday,83.48083,,
1997-09-10,Wednesday,83.67997,,
1997-09-11,Thursday,84.11647,,
1997-09-12,Friday,84.30948,,start
1997-09-13,Saturday,84.30948,imputed from 28,
1997-09-14,Sunday,84.30948,imputed from 29,
1997-09-15,Monday,83.60992,,
1997-09-16,Tuesday,83.99445,,
1997-09-17,Wednesday,84.52348,,
1997-09-18,Thursday,84.5893,,
1997-09-19,Friday,84.50379,,start
1997-09-20,Saturday,84.50379,imputed from 35,
1997-09-21,Sunday,84.50379,imputed from 36,
1997-09-22,Monday,84.37154,,
1997-09-23,Tuesday,84.26031,,
1997-09-24,Wednesday,84.82403,,
1997-09-25,Thursday,84.72193,,
1997-09-26,Friday,84.88646,,start
1997-09-27,Saturday,84.88646,imputed from 42,
1997-09-28,Sunday,84.88646,imputed from 43,
1997-09-29,Monday,84.74767,,
1997-09-30,Tuesday,84.76274,,
1997-10-01,Wednesday,85.06962,,
1997-10-02,Thursday,84.89638,,
1997-10-03,Friday,84.89638,imputed from 48,start
1997-10-04,Saturday,84.89638,imputed from 49,
1997-10-05,Sunday,84.89638,imputed from 50,
1997-10-06,Monday,85.36278,,
1997-10-07,Tuesday,85.37974,,
1997-10-08,Wednesday,85.18472,,
1997-10-09,Thursday,85.71698,,
1997-10-10,Friday,85.11124,,start
1997-10-11,Saturday,85.11124,imputed from 56,
1997-10-12,Sunday,85.11124,imputed from 57,
1997-10-13,Monday,85.66736,,
1997-10-14,Tuesday,85.60161,,
1997-10-15,Wednesday,85.53849,,
1997-10-16,Thursday,84.91304,,
1997-10-17,Friday,84.6911,,start
1997-10-18,Saturday,84.6911,imputed from 63,
1997-10-19,Sunday,84.6911,imputed from 64,
1997-10-20,Monday,84.74334,,
1997-10-21,Tuesday,84.64186,,
1997-10-22,Wednesday,84.13136,,
1997-10-23,Thursday,84.33423,,
1997-10-24,Friday,84.46365,,start
1997-10-25,Saturday,84.46365,imputed from 70,
1997-10-26,Sunday,84.46365,imputed from 71,
1997-10-27,Monday,84.03025,,
1997-10-28,Tuesday,83.64074,,
1997-10-29,Wednesday,83.72672,,
1997-10-30,Thursday,83.5603,,
1997-10-31,Friday,83.38185,,start
1997-11-01,Saturday,83.38185,imputed from 77,
1997-11-02,Sunday,83.38185,imputed from 78,
1997-11-03,Monday,83.3082,,
1997-11-04,Tuesday,83.65452,,
1997-11-05,Wednesday,83.67596,,
1997-11-06,Thursday,83.83851,,
1997-11-07,Friday,83.74933,,start
1997-11-08,Saturday,83.74933,imputed from 84,
1997-11-09,Sunday,83.74933,imputed from 85,
1997-11-10,Monday,83.57434,,
1997-11-11,Tuesday,83.46671,,
1997-11-12,Wednesday,82.96874,,
1997-11-13,Thursday,83.33546,,
1997-11-14,Friday,83.42307,,start
1997-11-15,Saturday,83.42307,imputed from 91,
1997-11-16,Sunday,83.42307,imputed from 92,
1997-11-17,Monday,83.66804,,
1997-11-18,Tuesday,83.63232,,
1997-11-19,Wednesday,83.75911,,
1997-11-20,Thursday,84.09941,,
1997-11-21,Friday,83.99895,,start
1997-11-22,Saturday,83.99895,imputed from 98,
1997-11-23,Sunday,83.99895,imputed from 99,
1997-11-24,Monday,83.80491,,
1997-11-25,Tuesday,83.67395,,
1997-11-26,Wednesday,83.48189,,
1997-11-27,Thursday,83.51716,,
1997-11-28,Friday,83.8969,,start
1997-11-29,Saturday,83.8969,imputed from 105,
1997-11-30,Sunday,83.8969,imputed from 106,
1997-12-01,Monday,83.75628,,
1997-12-02,Tuesday,84.17231,,
1997-12-03,Wednesday,84.04317,,
1997-12-04,Thursday,84.46924,,
1997-12-05,Friday,84.13962,,start
1997-12-06,Saturday,84.13962,imputed from 112,
1997-12-07,Sunday,84.13962,imputed from 113,
1997-12-08,Monday,84.49651,,
1997-12-09,Tuesday,84.33808,,
1997-12-10,Wednesday,83.98883,,
1997-12-11,Thursday,84.41643,,
1997-12-12,Friday,84.66154,,start
1997-12-13,Saturday,84.66154,imputed from 119,
