date,weekday,SB1_Comdty_PX-LAST-CHF,imputed,SB1_Comdty_start
1997-08-15,Friday,0.17843,,start
1997-08-16,Saturday,0.17843,imputed from 0,
1997-08-17,Sunday,0.17843,imputed from 1,
1997-08-18,Monday,0.17843,,
1997-08-19,Tuesday,0.17961,,
1997-08-20,Wednesday,0.17839,,
1997-08-21,Thursday,0.17586,,
1997-08-22,Friday,0.17625,,start
1997-08-23,Saturday,0.17625,imputed from 7,
1997-08-24,Sunday,0.17625,imputed from 8,
1997-08-25,Monday,0.17473,,
1997-08-26,Tuesday,0.17519,,
1997-08-27,Wednesday,0.17531,,
1997-08-28,Thursday,0.1731,,
1997-08-29,Friday,0.17325,,start
1997-08-30,Saturday,0.17325,imputed from 14,
1997-08-31,Sunday,0.17325,imputed from 15,
1997-09-01,Monday,0.17325,imputed from 16,
1997-09-02,Tuesday,0.17598,,
1997-09-03,Wednesday,0.174,,
1997-09-04,Thursday,0.17369,,
1997-09-05,Friday,0.1704,,start
1997-09-06,Saturday,0.1704,imputed from 21,
1997-09-07,Sunday,0.1704,imputed from 22,
1997-09-08,Monday,0.17094,,
1997-09-09,Tuesday,0.17124,,
1997-09-10,Wednesday,0.16862,,
1997-09-11,Thursday,0.17038,,
1997-09-12,Friday,0.1685,,start
1997-09-13,Saturday,0.1685,imputed from 28,
1997-09-14,Sunday,0.1685,imputed from 29,
1997-09-15,Monday,0.1634,,
1997-09-16,Tuesday,0.16376,,
1997-09-17,Wednesday,0.16552,,
1997-09-18,Thursday,0.16454,,
1997-09-19,Friday,0.16315,,start
1997-09-20,Saturday,0.16315,imputed from 35,
1997-09-21,Sunday,0.16315,imputed from 36,
1997-09-22,Monday,0.16298,,
1997-09-23,Tuesday,0.16166,,
1997-09-24,Wednesday,0.15696,,
1997-09-25,Thursday,0.15451,,
1997-09-26,Friday,0.15837,,start
1997-09-27,Saturday,0.15837,imputed from 42,
1997-09-28,Sunday,0.15837,imputed from 43,
1997-09-29,Monday,0.16042,,
1997-09-30,Tuesday,0.16768,,
1997-10-01,Wednesday,0.17071,,
1997-10-02,Thursday,0.17283,,
1997-10-03,Friday,0.17231,,start
1997-10-04,Saturday,0.17231,imputed from 49,
1997-10-05,Sunday,0.17231,imputed from 50,
1997-10-06,Monday,0.1713,,
1997-10-07,Tuesday,0.17055,,
1997-10-08,Wednesday,0.17231,,
1997-10-09,Thursday,0.17415,,
1997-10-10,Friday,0.17386,,start
1997-10-11,Saturday,0.17386,imputed from 56,
1997-10-12,Sunday,0.17386,imputed from 57,
1997-10-13,Monday,0.17327,,
1997-10-14,Tuesday,0.17233,,
1997-10-15,Wednesday,0.17328,,
1997-10-16,Thursday,0.1716,,
1997-10-17,Friday,0.17235,,start
1997-10-18,Saturday,0.17235,imputed from 63,
1997-10-19,Sunday,0.17235,imputed from 64,
1997-10-20,Monday,0.17456,,
1997-10-21,Tuesday,0.17489,,
