date,weekday,ST1_Index_PX-LAST-CHF,imputed,ST1_Index_start
2004-03-22,Monday,,,excluded
2004-03-23,Tuesday,,,excluded
2004-03-24,Wednesday,,,excluded
2004-03-25,Thursday,,,excluded
2004-03-26,Friday,40752.95908,,start
2004-03-27,Saturday,40752.95908,imputed from 4,
2004-03-28,Sunday,40752.95908,imputed from 5,
2004-03-29,Monday,41206.06895,,
2004-03-30,Tuesday,41291.34967,,
2004-03-31,Wednesday,41144.64578,,
2004-04-01,Thursday,41566.95357,,
2004-04-02,Friday,42470.34481,,start
2004-04-03,Saturday,42470.34481,imputed from 11,
2004-04-04,Sunday,42470.34481,imputed from 12,
2004-04-05,Monday,42927.20122,,
2004-04-06,Tuesday,42603.15758,,
2004-04-07,Wednesday,42353.45235,,
2004-04-08,Thursday,42427.09717,,
2004-04-09,Friday,42427.09717,imputed from 17,start
2004-04-10,Saturday,42427.09717,imputed from 18,
2004-04-11,Sunday,42427.09717,imputed from 19,
2004-04-12,Monday,42427.09717,imputed from 20,
2004-04-13,Tuesday,43091.70117,,
2004-04-14,Wednesday,42419.59911,,
2004-04-15,Thursday,42562.6508,,
2004-04-16,Friday,42700.17802,,start
2004-04-17,Saturday,42700.17802,imputed from 25,
2004-04-18,Sunday,42700.17802,imputed from 26,
2004-04-19,Monday,42306.30109,,
2004-04-20,Tuesday,43251.40377,,
2004-04-21,Wednesday,42877.48308,,
2004-04-22,Thursday,43250.94167,,
2004-04-23,Friday,43399.18833,,start
2004-04-24,Saturday,43399.18833,imputed from 32,
2004-04-25,Sunday,43399.18833,imputed from 33,
2004-04-26,Monday,43404.55754,,
2004-04-27,Tuesday,43162.03863,,
2004-04-28,Wednesday,42820.7808,,
2004-04-29,Thursday,42447.31314,,
2004-04-30,Friday,42409.08982,,start
2004-05-01,Saturday,42409.08982,imputed from 39,
2004-05-02,Sunday,42409.08982,imputed from 40,
2004-05-03,Monday,42762.26338,,
2004-05-04,Tuesday,42600.90419,,
2004-05-05,Wednesday,42792.21476,,
2004-05-06,Thursday,42013.99455,,
2004-05-07,Friday,41717.13352,,start
2004-05-08,Saturday,41717.13352,imputed from 46,
2004-05-09,Sunday,41717.13352,imputed from 47,
2004-05-10,Monday,40587.80409,,
2004-05-11,Tuesday,41113.05381,,
2004-05-12,Wednesday,40600.55368,,
2004-05-13,Thursday,41152.03413,,
2004-05-14,Friday,40903.92675,,start
2004-05-15,Saturday,40903.92675,imputed from 53,
2004-05-16,Sunday,40903.92675,imputed from 54,
2004-05-17,Monday,40335.9929,,
2004-05-18,Tuesday,40501.611,,
2004-05-19,Wednesday,41173.05642,,
2004-05-20,Thursday,41079.91657,,
2004-05-21,Friday,41021.71339,,start
2004-05-22,Saturday,41021.71339,imputed from 60,
2004-05-23,Sunday,41021.71339,imputed from 61,
2004-05-24,Monday,41442.56429,,
2004-05-25,Tuesday,41286.91306,,
2004-05-26,Wednesday,41756.07936,,
2004-05-27,Thursday,41654.56668,,
2004-05-28,Friday,41554.97174,,start
2004-05-29,Saturday,41554.97174,imputed from 67,
2004-05-30,Sunday,41554.97174,imputed from 68,
2004-05-31,Monday,41564.01414,,
2004-06-01,Tuesday,41302.07209,,
2004-06-02,Wednesday,41487.05101,,
2004-06-03,Thursday,41476.78908,,
2004-06-04,Friday,41561.73122,,start
2004-06-05,Saturday,41561.73122,imputed from 74,
2004-06-06,Sunday,41561.73122,imputed from 75,
2004-06-07,Monday,42080.89474,,
2004-06-08,Tuesday,42010.72874,,
2004-06-09,Wednesday,41865.95317,,
2004-06-10,Thursday,41888.65401,,
2004-06-11,Friday,42051.12992,,start
2004-06-12,Saturday,42051.12992,imputed from 81,
2004-06-13,Sunday,42051.12992,imputed from 82,
2004-06-14,Monday,41752.13509,,
2004-06-15,Tuesday,42278.8637,,
2004-06-16,Wednesday,42648.40293,,
2004-06-17,Thursday,42294.67928,,
2004-06-18,Friday,42348.78387,,start
2004-06-19,Saturday,42348.78387,imputed from 88,
2004-06-20,Sunday,42348.78387,imputed from 89,
2004-06-21,Monday,42523.28923,,
2004-06-22,Tuesday,42353.73969,,
2004-06-23,Wednesday,42645.36938,,
2004-06-24,Thursday,42768.62117,,
2004-06-25,Friday,43025.83186,,start
2004-06-26,Saturday,43025.83186,imputed from 95,
2004-06-27,Sunday,43025.83186,imputed from 96,
2004-06-28,Monday,43240.6954,,
2004-06-29,Tuesday,43368.37948,,
2004-06-30,Wednesday,43041.76456,,
2004-07-01,Thursday,42652.63041,,
2004-07-02,Friday,42573.27292,,start
2004-07-03,Saturday,42573.27292,imputed from 102,
2004-07-04,Sunday,42573.27292,imputed from 103,
2004-07-05,Monday,42602.18713,,
2004-07-06,Tuesday,42364.73623,,
2004-07-07,Wednesday,42381.35829,,
2004-07-08,Thursday,42382.75029,,
2004-07-09,Friday,42569.83486,,start
2004-07-10,Saturday,42569.83486,imputed from 109,
2004-07-11,Sunday,42569.83486,imputed from 110,
2004-07-12,Monday,42318.21293,,
2004-07-13,Tuesday,42471.42964,,
2004-07-14,Wednesday,42212.92685,,
2004-07-15,Thursday,42165.54314,,
2004-07-16,Friday,41983.33075,,start
2004-07-17,Saturday,41983.33075,imputed from 116,
2004-07-18,Sunday,41983.33075,imputed from 117,
2004-07-19,Monday,41890.07591,,
2004-07-20,Tuesday,42114.32752,,
2004-07-21,Wednesday,42322.54288,,
2004-07-22,Thursday,41695.90843,,
2004-07-23,Friday,41656.63617,,start
2004-07-24,Saturday,41656.63617,imputed from 123,
2004-07-25,Sunday,41656.63617,imputed from 124,
2004-07-26,Monday,41369.17718,,
2004-07-27,Tuesday,41697.14018,,
2004-07-28,Wednesday,41686.66551,,
2004-07-29,Thursday,42374.7485,,
2004-07-30,Friday,42563.15539,,start
2004-07-31,Saturday,42563.15539,imputed from 130,
2004-08-01,Sunday,42563.15539,imputed from 131,
2004-08-02,Monday,42299.82902,,
2004-08-03,Tuesday,42450.06942,,
2004-08-04,Wednesday,41953.67111,,
2004-08-05,Thursday,41864.49229,,
2004-08-06,Friday,40958.03992,,start
2004-08-07,Saturday,40958.03992,imputed from 137,
2004-08-08,Sunday,40958.03992,imputed from 138,
2004-08-09,Monday,40771.98461,,
2004-08-10,Tuesday,41050.1773,,
2004-08-11,Wednesday,40527.03757,,
2004-08-12,Thursday,40427.68988,,
2004-08-13,Friday,40246.6096,,start
2004-08-14,Saturday,40246.6096,imputed from 144,
2004-08-15,Sunday,40246.6096,imputed from 145,
2004-08-16,Monday,40683.96485,,
2004-08-17,Tuesday,40671.62141,,
2004-08-18,Wednesday,40725.05964,,
2004-08-19,Thursday,40745.36437,,
2004-08-20,Friday,40779.83227,,start
