date,weekday,TU1_Comdty_PX-LAST,TU1_Comdty_CURRENCY-USD,TU1_Comdty_PX-LAST-CHF,imputed,TU1_Comdty_start
1997-08-15,Friday,103.5546875,1.5067,156.02584765625,,start
1997-08-16,Saturday,,,156.02584765625,imputed from 0,
1997-08-17,Sunday,,,156.02584765625,imputed from 1,
1997-08-18,Monday,103.6328125,1.5177,157.28351953125,,
1997-08-19,Tuesday,103.5859375,1.5147,156.90161953125,,
1997-08-20,Wednesday,103.5078125,1.5243,157.77695859375,,
1997-08-21,Thursday,103.4375,1.513,156.5009375,,
1997-08-22,Friday,103.4140625,1.4987,154.98665546875,,start
1997-08-23,Saturday,,,154.98665546875,imputed from 7,
1997-08-24,Sunday,,,154.98665546875,imputed from 8,
1997-08-25,Monday,103.3359375,1.498,154.797234375,,
1997-08-26,Tuesday,103.3359375,1.4845,153.40219921874998,,
1997-08-27,Wednesday,103.3203125,1.496,154.5671875,,
1997-08-28,Thursday,103.2421875,1.4815,152.95330078125,,
1997-08-29,Friday,103.15625,1.4925,153.96070312499998,,start
1997-08-30,Saturday,,,153.96070312499998,imputed from 14,
1997-08-31,Sunday,,,153.96070312499998,imputed from 15,
1997-09-01,Monday,,1.4927,153.96070312499998,imputed from 16,
1997-09-02,Tuesday,103.21875,1.5068,155.5300125,,
1997-09-03,Wednesday,103.1875,1.5008,154.8638,,
1997-09-04,Thursday,103.1796875,1.4978,154.5425359375,,
1997-09-05,Friday,103.1875,1.4783,152.54208125,,start
1997-09-06,Saturday,,,152.54208125,imputed from 21,
1997-09-07,Sunday,,,152.54208125,imputed from 22,
1997-09-08,Monday,103.1953125,1.4855,153.29663671875,,
1997-09-09,Tuesday,103.171875,1.4875,153.4681640625,,
1997-09-10,Wednesday,103.1484375,1.4793,152.58748359375,,
1997-09-11,Thursday,103.1328125,1.473,151.9146328125,,
1997-09-12,Friday,103.28125,1.4633,151.131453125,,start
1997-09-13,Saturday,,,151.131453125,imputed from 28,
1997-09-14,Sunday,,,151.131453125,imputed from 29,
1997-09-15,Monday,103.296875,1.446,149.36728125,,
1997-09-16,Tuesday,103.546875,1.4515,150.2982890625,,
1997-09-17,Wednesday,103.5703125,1.4615,151.36801171875,,
1997-09-18,Thursday,103.546875,1.466,151.79971875,,
1997-09-19,Friday,103.53125,1.4623,151.393746875,,start
1997-09-20,Saturday,,,151.393746875,imputed from 35,
1997-09-21,Sunday,,,151.393746875,imputed from 36,
1997-09-22,Monday,103.5703125,1.4693,152.17586015625,,
1997-09-23,Tuesday,103.5078125,1.4703,152.18753671874998,,
1997-09-24,Wednesday,103.6015625,1.4573,150.97855703125,,
1997-09-25,Thursday,103.46875,1.4503,150.060728125,,
1997-09-26,Friday,103.5625,1.4512,150.28990000000002,,start
1997-09-27,Saturday,,,150.28990000000002,imputed from 42,
1997-09-28,Sunday,,,150.28990000000002,imputed from 43,
1997-09-29,Monday,103.5625,1.4541,150.59023125,,
1997-09-30,Tuesday,103.5234375,1.4476,149.860528125,,
1997-10-01,Wednesday,103.65625,1.4605,151.38995312499998,,
1997-10-02,Thursday,103.6875,1.4553,150.89641875,,
1997-10-03,Friday,103.734375,1.4475,150.1555078125,,start
1997-10-04,Saturday,,,150.1555078125,imputed from 49,
1997-10-05,Sunday,,,150.1555078125,imputed from 50,
1997-10-06,Monday,103.796875,1.4488,150.38091250000002,,
1997-10-07,Tuesday,103.8359375,1.4487,150.42712265625002,,
1997-10-08,Wednesday,103.6015625,1.443,149.4970546875,,
1997-10-09,Thursday,103.578125,1.4573,150.9444015625,,
1997-10-10,Friday,103.5078125,1.4571,150.82123359375,,start
1997-10-11,Saturday,,,150.82123359375,imputed from 56,
