date,weekday,TY1_Comdty_PX-LAST,TY1_Comdty_CURRENCY-USD,TY1_Comdty_PX-LAST-CHF,imputed,TY1_Comdty_start
1997-08-15,Friday,109.40625,1.5067,164.842396875,,start
1997-08-16,Saturday,,,164.842396875,imputed from 0,
1997-08-17,Sunday,,,164.842396875,imputed from 1,
1997-08-18,Monday,109.71875,1.5177,166.520146875,,
1997-08-19,Tuesday,109.71875,1.5147,166.19099062499998,,
1997-08-20,Wednesday,109.59375,1.5243,167.053753125,,
1997-08-21,Thursday,109.21875,1.513,165.24796874999998,,
1997-08-22,Friday,108.84375,1.4987,163.124128125,,start
1997-08-23,Saturday,,,163.124128125,imputed from 7,
1997-08-24,Sunday,,,163.124128125,imputed from 8,
1997-08-25,Monday,108.71875,1.498,162.8606875,,
1997-08-26,Tuesday,108.78125,1.4845,161.485765625,,
1997-08-27,Wednesday,108.78125,1.496,162.73675,,
1997-08-28,Thursday,108.9375,1.4815,161.39090625,,
1997-08-29,Friday,108.6875,1.4925,162.21609375,,start
1997-08-30,Saturday,,,162.21609375,imputed from 14,
1997-08-31,Sunday,,,162.21609375,imputed from 15,
1997-09-01,Monday,,1.4927,162.21609375,imputed from 16,
1997-09-02,Tuesday,108.875,1.5068,164.05284999999998,,
1997-09-03,Wednesday,108.78125,1.5008,163.25889999999998,,
1997-09-04,Thursday,108.78125,1.4978,162.93255625,,
1997-09-05,Friday,108.625,1.4783,160.58033749999998,,start
1997-09-06,Saturday,,,160.58033749999998,imputed from 21,
1997-09-07,Sunday,,,160.58033749999998,imputed from 22,
1997-09-08,Monday,108.75,1.4855,161.548125,,
1997-09-09,Tuesday,108.71875,1.4875,161.719140625,,
1997-09-10,Wednesday,108.625,1.4793,160.6889625,,
1997-09-11,Thursday,108.46875,1.473,159.77446875,,
1997-09-12,Friday,109.0625,1.4633,159.59115625,,start
1997-09-13,Saturday,,,159.59115625,imputed from 28,
1997-09-14,Sunday,,,159.59115625,imputed from 29,
1997-09-15,Monday,109.09375,1.446,157.7495625,,
1997-09-16,Tuesday,110.1875,1.4515,159.93715625000002,,
1997-09-17,Wednesday,110.28125,1.4615,161.176046875,,
1997-09-18,Thursday,110.21875,1.466,161.5806875,,
1997-09-19,Friday,110.28125,1.4623,161.264271875,,start
1997-09-20,Saturday,,,161.264271875,imputed from 35,
1997-09-21,Sunday,,,161.264271875,imputed from 36,
1997-09-22,Monday,110.5,1.4693,162.35765,,
1997-09-23,Tuesday,110.28125,1.4703,162.146521875,,
1997-09-24,Wednesday,110.5625,1.4573,161.12273125000002,,
1997-09-25,Thursday,110.03125,1.4503,159.578321875,,
1997-09-26,Friday,110.3125,1.4512,160.0855,,start
1997-09-27,Saturday,,,160.0855,imputed from 42,
1997-09-28,Sunday,,,160.0855,imputed from 43,
1997-09-29,Monday,110.25,1.4541,160.314525,,
1997-09-30,Tuesday,110.125,1.4476,159.41694999999999,,
1997-10-01,Wednesday,110.625,1.4605,161.5678125,,
1997-10-02,Thursday,110.78125,1.4553,161.21995312500002,,
1997-10-03,Friday,110.8125,1.4475,160.40109375,,start
1997-10-04,Saturday,,,160.40109375,imputed from 49,
1997-10-05,Sunday,,,160.40109375,imputed from 50,
1997-10-06,Monday,111.125,1.4488,160.99790000000002,,
1997-10-07,Tuesday,111.28125,1.4487,161.213146875,,
1997-10-08,Wednesday,110.40625,1.443,159.31621875000002,,
1997-10-09,Thursday,110.3125,1.4573,160.75840625,,
1997-10-10,Friday,109.90625,1.4571,160.144396875,,start
1997-10-11,Saturday,,,160.144396875,imputed from 56,
1997-10-12,Sunday,,,160.144396875,imputed from 57,
1997-10-13,Monday,,1.4623,160.144396875,imputed from 58,
1997-10-14,Tuesday,110.375,1.4613,161.2909875,,
1997-10-15,Wednesday,110.1875,1.4585,160.70846874999998,,
1997-10-16,Thursday,110.1875,1.4565,160.48809375,,
1997-10-17,Friday,109.75,1.4759,161.980025,,start
1997-10-18,Saturday,,,161.980025,imputed from 63,
1997-10-19,Sunday,,,161.980025,imputed from 64,
1997-10-20,Monday,109.84375,1.4723,161.722953125,,
1997-10-21,Tuesday,109.84375,1.489,163.55734375,,
1997-10-22,Wednesday,109.9375,1.4826,162.9933375,,
1997-10-23,Thursday,110.53125,1.4633,161.740378125,,
1997-10-24,Friday,110.6875,1.4661,162.27894375,,start
1997-10-25,Saturday,,,162.27894375,imputed from 70,
1997-10-26,Sunday,,,162.27894375,imputed from 71,
1997-10-27,Monday,111.34375,1.4428,160.64676250000002,,
1997-10-28,Tuesday,110.84375,1.4268,158.15186250000002,,
1997-10-29,Wednesday,111.28125,1.4125,157.184765625,,
1997-10-30,Thursday,111.6875,1.3973,156.06094375,,
1997-10-31,Friday,111.75,1.3995,156.394125,,start
1997-11-01,Saturday,,,156.394125,imputed from 77,
1997-11-02,Sunday,,,156.394125,imputed from 78,
1997-11-03,Monday,111.3125,1.4143,157.42926874999998,,
1997-11-04,Tuesday,111.0625,1.4033,155.85400625,,
1997-11-05,Wednesday,111.09375,1.4033,155.897859375,,
1997-11-06,Thursday,111.4375,1.4115,157.29403125,,
1997-11-07,Friday,111.375,1.392,155.034,,start
1997-11-08,Saturday,,,155.034,imputed from 84,
1997-11-09,Sunday,,,155.034,imputed from 85,
1997-11-10,Monday,111.34375,1.387,154.43378125,,
1997-11-11,Tuesday,,1.392,154.43378125,imputed from 87,
1997-11-12,Wednesday,111.4375,1.3922,155.1432875,,
1997-11-13,Thursday,111.53125,1.4,156.14374999999998,,
1997-11-14,Friday,111.59375,1.405,156.78921875,,start
1997-11-15,Saturday,,,156.78921875,imputed from 91,
1997-11-16,Sunday,,,156.78921875,imputed from 92,
1997-11-17,Monday,111.6875,1.4088,157.34535,,
1997-11-18,Tuesday,111.6875,1.4055,156.97678125,,
1997-11-19,Wednesday,111.90625,1.4051,157.239471875,,
1997-11-20,Thursday,111.75,1.4125,157.846875,,
1997-11-21,Friday,111.9375,1.41,157.831875,,start
1997-11-22,Saturday,,,157.831875,imputed from 98,
1997-11-23,Sunday,,,157.831875,imputed from 99,
1997-11-24,Monday,111.65625,1.4055,156.932859375,,
1997-11-25,Tuesday,111.6875,1.4125,157.75859375000002,,
1997-11-26,Wednesday,111.625,1.4174,158.217275,,
