date,weekday,UB1_Comdty_PX-LAST,UB1_Comdty_CURRENCY-EUR,UB1_Comdty_PX-LAST-CHF,imputed,UB1_Comdty_start
1999-01-01,Friday,,1.6002,,,excluded
1999-01-02,Saturday,,,,,excluded
1999-01-03,Sunday,,,,,excluded
1999-01-04,Monday,,1.61635,,,excluded
1999-01-05,Tuesday,,1.61525,,,excluded
1999-01-06,Wednesday,,1.62,,,excluded
1999-01-07,Thursday,,1.61175,,,excluded
1999-01-08,Friday,119.6,1.6151,193.16595999999998,,start
1999-01-09,Saturday,,,193.16595999999998,imputed from 7,
1999-01-10,Sunday,,,193.16595999999998,imputed from 8,
1999-01-11,Monday,118.3,1.61,190.463,,
1999-01-12,Tuesday,119.35,1.6045,191.497075,,
1999-01-13,Wednesday,119.24,1.5903,189.627372,,
1999-01-14,Thursday,119.44,1.5878,189.64683200000002,,
1999-01-15,Friday,119.66,1.5989,191.324374,,start
1999-01-16,Saturday,,,191.324374,imputed from 14,
1999-01-17,Sunday,,,191.324374,imputed from 15,
1999-01-18,Monday,119.99,1.6021,192.23597900000001,,
1999-01-19,Tuesday,120.28,1.5994,192.375832,,
1999-01-20,Wednesday,119.84,1.6063,192.49899200000002,,
1999-01-21,Thursday,121.19,1.6066,194.703854,,
1999-01-22,Friday,121.4,1.603,194.60420000000002,,start
1999-01-23,Saturday,,,194.60420000000002,imputed from 21,
1999-01-24,Sunday,,,194.60420000000002,imputed from 22,
1999-01-25,Monday,121.35,1.6023,194.439105,,
1999-01-26,Tuesday,121.23,1.6078,194.913594,,
1999-01-27,Wednesday,121.57,1.6146,196.286922,,
1999-01-28,Thursday,121.01,1.6126,195.140726,,
1999-01-29,Friday,120.82,1.6094,194.44770799999998,,start
1999-01-30,Saturday,,,194.44770799999998,imputed from 28,
1999-01-31,Sunday,,,194.44770799999998,imputed from 29,
1999-02-01,Monday,119.9,1.6063,192.59537,,
1999-02-02,Tuesday,120.08,1.6052,192.75241599999998,,
1999-02-03,Wednesday,119.29,1.6032,191.245728,,
1999-02-04,Thursday,118.18,1.6031,189.454358,,
1999-02-05,Friday,118.61,1.6003,189.811583,,start
1999-02-06,Saturday,,,189.811583,imputed from 35,
1999-02-07,Sunday,,,189.811583,imputed from 36,
1999-02-08,Monday,117.61,1.6034,188.575874,,
1999-02-09,Tuesday,118.74,1.6021,190.233354,,
1999-02-10,Wednesday,118.88,1.5967,189.815696,,
1999-02-11,Thursday,119.32,1.6002,190.935864,,
1999-02-12,Friday,117.64,1.6002,188.24752800000002,,start
1999-02-13,Saturday,,,188.24752800000002,imputed from 42,
1999-02-14,Sunday,,,188.24752800000002,imputed from 43,
1999-02-15,Monday,116.29,1.5979,185.819791,,
1999-02-16,Tuesday,116.36,1.5978,185.92000800000002,,
1999-02-17,Wednesday,116.97,1.5978,186.894666,,
1999-02-18,Thursday,116.75,1.6012,186.9401,,
1999-02-19,Friday,117.09,1.6009,187.44938100000002,,start
1999-02-20,Saturday,,,187.44938100000002,imputed from 49,
1999-02-21,Sunday,,,187.44938100000002,imputed from 50,
1999-02-22,Monday,117.6,1.5993,188.07768,,
1999-02-23,Tuesday,117.8,1.5935,187.71429999999998,,
1999-02-24,Wednesday,117.58,1.5916,187.14032799999998,,
1999-02-25,Thursday,115.16,1.588,182.87408,,
1999-02-26,Friday,115.39,1.595,184.04704999999998,,start
1999-02-27,Saturday,,,184.04704999999998,imputed from 56,
1999-02-28,Sunday,,,184.04704999999998,imputed from 57,
1999-03-01,Monday,113.87,1.592,181.28104000000002,,
1999-03-02,Tuesday,113.95,1.5947,181.71606500000001,,
1999-03-03,Wednesday,112.99,1.5892,179.563708,,
1999-03-04,Thursday,112.58,1.5888,178.86710399999998,,
1999-03-05,Friday,115.03,1.5914,183.058742,,start
1999-03-06,Saturday,,,183.058742,imputed from 63,
1999-03-07,Sunday,,,183.058742,imputed from 64,
1999-03-08,Monday,113.18,1.593,180.29574,,
1999-03-09,Tuesday,112.57,1.5961,179.672977,,
1999-03-10,Wednesday,112.95,1.5973,180.415035,,
1999-03-11,Thursday,114.51,1.603,183.55953,,
1999-03-12,Friday,113.99,1.5973,182.076227,,start
1999-03-13,Saturday,,,182.076227,imputed from 70,
1999-03-14,Sunday,,,182.076227,imputed from 71,
