date,weekday,UGL1_Comdty_PX-LAST,UGL1_Comdty_CURRENCY-GBP,UGL1_Comdty_PX-LAST-CHF,imputed,UGL1_Comdty_start
2013-11-25,Monday,,1.4731,,,excluded
2013-11-26,Tuesday,,1.47,,,excluded
2013-11-27,Wednesday,,1.4782,,,excluded
2013-11-28,Thursday,,1.4799,,,excluded
2013-11-29,Friday,106.06,1.4834,157.329404,,start
2013-11-30,Saturday,,,157.329404,imputed from 4,
2013-12-01,Sunday,,,157.329404,imputed from 5,
2013-12-02,Monday,106.06,1.4862,157.626372,,
2013-12-03,Tuesday,106.06,1.4824,157.223344,,
2013-12-04,Wednesday,106.06,1.4785,156.80971,,
2013-12-05,Thursday,106.06,1.4648,155.35668800000002,,
2013-12-06,Friday,106.06,1.4581,154.646086,,start
2013-12-07,Saturday,,,154.646086,imputed from 11,
2013-12-08,Sunday,,,154.646086,imputed from 12,
2013-12-09,Monday,106.06,1.4629,155.15517400000002,,
2013-12-10,Tuesday,106.06,1.4594,154.783964,,
2013-12-11,Wednesday,106.06,1.4516,153.956696,,
2013-12-12,Thursday,106.06,1.4539,154.200634,,
2013-12-13,Friday,106.06,1.45,153.787,,start
2013-12-14,Saturday,,,153.787,imputed from 18,
2013-12-15,Sunday,,,153.787,imputed from 19,
2013-12-16,Monday,106.06,1.4459,153.352154,,
2013-12-17,Tuesday,106.06,1.4392,152.64155200000002,,
2013-12-18,Wednesday,106.06,1.4652,155.399112,,
2013-12-19,Thursday,106.06,1.4701,155.918806,,
2013-12-20,Friday,106.06,1.4639,155.261234,,start
2013-12-21,Saturday,,,155.261234,imputed from 25,
2013-12-22,Sunday,,,155.261234,imputed from 26,
2013-12-23,Monday,106.06,1.4619,155.049114,,
2013-12-24,Tuesday,106.06,1.467,155.59002,,
2013-12-25,Wednesday,,1.4634,155.59002,imputed from 29,
2013-12-26,Thursday,,1.4714,155.59002,imputed from 30,
2013-12-27,Friday,106.06,1.4698,155.886988,,start
2013-12-28,Saturday,,,155.886988,imputed from 32,
