date,weekday,VG1_Index_PX-LAST-CHF,imputed,VG1_Index_start
1999-01-04,Monday,,,excluded
1999-01-05,Tuesday,,,excluded
1999-01-06,Wednesday,,,excluded
1999-01-07,Thursday,,,excluded
1999-01-08,Friday,5935.50735,,start
1999-01-09,Saturday,5935.50735,imputed from 4,
1999-01-10,Sunday,5935.50735,imputed from 5,
1999-01-11,Monday,5747.65841,,
1999-01-12,Tuesday,5651.61405,,
1999-01-13,Wednesday,5428.58358,,
1999-01-14,Thursday,5365.44443,,
1999-01-15,Friday,5581.84785,,start
1999-01-16,Saturday,5581.84785,imputed from 11,
1999-01-17,Sunday,5581.84785,imputed from 12,
1999-01-18,Monday,5687.3698,,
1999-01-19,Tuesday,5666.155,,
1999-01-20,Wednesday,5851.66023,,
1999-01-21,Thursday,5767.22195,,
1999-01-22,Friday,5486.45674,,start
1999-01-23,Saturday,5486.45674,imputed from 18,
1999-01-24,Sunday,5486.45674,imputed from 19,
1999-01-25,Monday,5503.32487,,
1999-01-26,Tuesday,5553.18437,,
1999-01-27,Wednesday,5618.09158,,
1999-01-28,Thursday,5719.94435,,
1999-01-29,Friday,5765.42801,,start
1999-01-30,Saturday,5765.42801,imputed from 25,
1999-01-31,Sunday,5765.42801,imputed from 26,
1999-02-01,Monday,5849.33374,,
1999-02-02,Tuesday,5688.41533,,
1999-02-03,Wednesday,5603.6767,,
1999-02-04,Thursday,5583.62214,,
1999-02-05,Friday,5610.3794,,start
1999-02-06,Saturday,5610.3794,imputed from 32,
1999-02-07,Sunday,5610.3794,imputed from 33,
1999-02-08,Monday,5558.40775,,
1999-02-09,Tuesday,5400.16096,,
1999-02-10,Wednesday,5306.4618,,
1999-02-11,Thursday,5424.15296,,
1999-02-12,Friday,5465.87177,,start
1999-02-13,Saturday,5465.87177,imputed from 39,
1999-02-14,Sunday,5465.87177,imputed from 40,
1999-02-15,Monday,5478.73961,,
1999-02-16,Tuesday,5447.72355,,
1999-02-17,Wednesday,5374.93784,,
1999-02-18,Thursday,5411.87074,,
1999-02-19,Friday,5466.91705,,start
1999-02-20,Saturday,5466.91705,imputed from 46,
1999-02-21,Sunday,5466.91705,imputed from 47,
1999-02-22,Monday,5564.60794,,
1999-02-23,Tuesday,5657.66809,,
1999-02-24,Wednesday,5698.41082,,
1999-02-25,Thursday,5530.9476,,
1999-02-26,Friday,5576.95288,,start
1999-02-27,Saturday,5576.95288,imputed from 53,
1999-02-28,Sunday,5576.95288,imputed from 54,
1999-03-01,Monday,5492.04084,,
1999-03-02,Tuesday,5510.97835,,
1999-03-03,Wednesday,5382.91799,,
1999-03-04,Thursday,5463.79775,,
1999-03-05,Friday,5646.77215,,start
1999-03-06,Saturday,5646.77215,imputed from 60,
1999-03-07,Sunday,5646.77215,imputed from 61,
1999-03-08,Monday,5572.57507,,
1999-03-09,Tuesday,5587.803,,
1999-03-10,Wednesday,5577.75845,,
1999-03-11,Thursday,5642.97674,,
1999-03-12,Friday,5728.22085,,start
1999-03-13,Saturday,5728.22085,imputed from 67,
1999-03-14,Sunday,5728.22085,imputed from 68,
1999-03-15,Monday,5747.34428,,
1999-03-16,Tuesday,5772.80328,,
1999-03-17,Wednesday,5718.09307,,
1999-03-18,Thursday,5713.41253,,
1999-03-19,Friday,5824.03849,,start
1999-03-20,Saturday,5824.03849,imputed from 74,
1999-03-21,Sunday,5824.03849,imputed from 75,
1999-03-22,Monday,5767.17147,,
1999-03-23,Tuesday,5592.36155,,
1999-03-24,Wednesday,5507.66885,,
1999-03-25,Thursday,5641.5281,,
1999-03-26,Friday,5557.75073,,start
1999-03-27,Saturday,5557.75073,imputed from 81,
1999-03-28,Sunday,5557.75073,imputed from 82,
1999-03-29,Monday,5642.39835,,
1999-03-30,Tuesday,5636.71371,,
1999-03-31,Wednesday,5662.84974,,
1999-04-01,Thursday,5691.9464,,
1999-04-02,Friday,5691.9464,imputed from 87,start
1999-04-03,Saturday,5691.9464,imputed from 88,
1999-04-04,Sunday,5691.9464,imputed from 89,
1999-04-05,Monday,5691.9464,imputed from 90,
1999-04-06,Tuesday,5856.71071,,
1999-04-07,Wednesday,5767.69714,,
1999-04-08,Thursday,5830.04017,,
1999-04-09,Friday,5865.25976,,start
1999-04-10,Saturday,5865.25976,imputed from 95,
1999-04-11,Sunday,5865.25976,imputed from 96,
1999-04-12,Monday,5901.86004,,
1999-04-13,Tuesday,5911.43776,,
1999-04-14,Wednesday,5911.01631,,
1999-04-15,Thursday,5770.17028,,
1999-04-16,Friday,5826.37516,,start
1999-04-17,Saturday,5826.37516,imputed from 102,
1999-04-18,Sunday,5826.37516,imputed from 103,
1999-04-19,Monday,5922.00653,,
1999-04-20,Tuesday,5766.53256,,
1999-04-21,Wednesday,5790.11108,,
1999-04-22,Thursday,5846.53979,,
1999-04-23,Friday,5843.60308,,start
1999-04-24,Saturday,5843.60308,imputed from 109,
1999-04-25,Sunday,5843.60308,imputed from 110,
1999-04-26,Monday,5879.594,,
1999-04-27,Tuesday,5986.57668,,
1999-04-28,Wednesday,5970.33667,,
1999-04-29,Thursday,5961.31318,,
1999-04-30,Friday,6028.14595,,start
1999-05-01,Saturday,6028.14595,imputed from 116,
1999-05-02,Sunday,6028.14595,imputed from 117,
1999-05-03,Monday,6046.94798,,
