date,weekday,WX1_Comdty_PX-LAST,WX1_Comdty_CURRENCY-GBP,WX1_Comdty_PX-LAST-CHF,imputed,WX1_Comdty_start
2009-11-23,Monday,,1.6773,,,excluded
2009-11-24,Tuesday,,1.6732,,,excluded
2009-11-25,Wednesday,,1.6646,,,excluded
2009-11-26,Thursday,,1.6578,,,excluded
2009-11-27,Friday,113.53,1.6597,188.425741,,start
2009-11-28,Saturday,,,188.425741,imputed from 4,
2009-11-29,Sunday,,,188.425741,imputed from 5,
2009-11-30,Monday,113.65,1.6529,187.85208500000002,,
2009-12-01,Tuesday,113.81,1.66,188.9246,,
2009-12-02,Wednesday,113.73,1.6663,189.508299,,
2009-12-03,Thursday,113.73,1.6559,188.325507,,
2009-12-04,Friday,113.39,1.675,189.92825000000002,,start
2009-12-05,Saturday,,,189.92825000000002,imputed from 11,
2009-12-06,Sunday,,,189.92825000000002,imputed from 12,
2009-12-07,Monday,113.55,1.6768,190.40064,,
2009-12-08,Tuesday,113.73,1.6728,190.247544,,
2009-12-09,Wednesday,113.9,1.6697,190.17883,,
2009-12-10,Thursday,113.51,1.6703,189.595753,,
2009-12-11,Friday,113.23,1.6824,190.498152,,start
2009-12-12,Saturday,,,190.498152,imputed from 18,
2009-12-13,Sunday,,,190.498152,imputed from 19,
2009-12-14,Monday,113.29,1.6827,190.63308300000003,,
2009-12-15,Tuesday,113.12,1.6924,191.444288,,
2009-12-16,Wednesday,113.22,1.6963,192.055086,,
2009-12-17,Thursday,113.49,1.6922,192.047778,,
2009-12-18,Friday,113.81,1.6845,191.71294500000002,,start
2009-12-19,Saturday,,,191.71294500000002,imputed from 25,
2009-12-20,Sunday,,,191.71294500000002,imputed from 26,
2009-12-21,Monday,113.39,1.6778,190.245742,,
2009-12-22,Tuesday,113.17,1.674,189.44657999999998,,
2009-12-23,Wednesday,112.81,1.6578,187.016418,,
2009-12-24,Thursday,112.79,1.6563,186.81407700000003,,
2009-12-25,Friday,112.79,1.6541,186.565939,imputed from 31,start
2009-12-26,Saturday,,,186.565939,imputed from 32,
2009-12-27,Sunday,,,186.565939,imputed from 33,
2009-12-28,Monday,112.79,1.6558,186.75768200000002,,
2009-12-29,Tuesday,112.48,1.6489,185.468272,,
2009-12-30,Wednesday,112.49,1.6667,187.487083,,
2009-12-31,Thursday,112.49,1.6739,188.297011,,
2010-01-01,Friday,112.49,1.6725,188.139525,imputed from 38,start
2010-01-02,Saturday,,,188.139525,imputed from 39,
2010-01-03,Sunday,,,188.139525,imputed from 40,
2010-01-04,Monday,112.7,1.6565,186.68755000000002,,
2010-01-05,Tuesday,112.4,1.6527,185.76348000000002,,
2010-01-06,Wednesday,112.43,1.6461,185.071023,,
2010-01-07,Thursday,112.54,1.6474,185.39839600000002,,
2010-01-08,Friday,112.57,1.6407,184.693599,,start
2010-01-09,Saturday,,,184.693599,imputed from 46,
2010-01-10,Sunday,,,184.693599,imputed from 47,
2010-01-11,Monday,112.77,1.6381,184.728537,,
2010-01-12,Tuesday,113.05,1.6465,186.13682500000002,,
2010-01-13,Wednesday,112.94,1.6577,187.22063799999998,,
2010-01-14,Thursday,112.87,1.6641,187.826967,,
2010-01-15,Friday,113.04,1.6677,188.516808,,start
2010-01-16,Saturday,,,188.516808,imputed from 53,
2010-01-17,Sunday,,,188.516808,imputed from 54,
2010-01-18,Monday,113.08,1.6748,189.386384,,
2010-01-19,Tuesday,112.55,1.6896,190.16448,,
2010-01-20,Wednesday,112.61,1.7009,191.538349,,
2010-01-21,Thursday,113.06,1.6888,190.935728,,
2010-01-22,Friday,112.98,1.6778,189.557844,,start
2010-01-23,Saturday,,,189.557844,imputed from 60,
2010-01-24,Sunday,,,189.557844,imputed from 61,
2010-01-25,Monday,113.17,1.689,191.14413000000002,,
2010-01-26,Tuesday,113.39,1.6893,191.549727,,
2010-01-27,Wednesday,113.46,1.698,192.65508,,
2010-01-28,Thursday,113.13,1.6979,192.083427,,
2010-01-29,Friday,113.28,1.6957,192.088896,,start
2010-01-30,Saturday,,,192.088896,imputed from 67,
2010-01-31,Sunday,,,192.088896,imputed from 68,
2010-02-01,Monday,113.37,1.6857,191.107809,,
2010-02-02,Tuesday,113.41,1.685,191.09585,,
2010-02-03,Wednesday,113.52,1.684,191.16768,,
2010-02-04,Thursday,113.59,1.6809,190.933431,,
2010-02-05,Friday,113.74,1.6775,190.79885,,start
2010-02-06,Saturday,,,190.79885,imputed from 74,
2010-02-07,Sunday,,,190.79885,imputed from 75,
2010-02-08,Monday,113.46,1.6728,189.795888,,
2010-02-09,Tuesday,113.41,1.6722,189.64420199999998,,
2010-02-10,Wednesday,113.76,1.665,189.4104,,
2010-02-11,Thursday,113.52,1.6811,190.838472,,
2010-02-12,Friday,113.56,1.6887,191.768772,,start
2010-02-13,Saturday,,,191.768772,imputed from 81,
2010-02-14,Sunday,,,191.768772,imputed from 82,
2010-02-15,Monday,113.47,1.6876,191.491972,,
2010-02-16,Tuesday,113.61,1.6835,191.262435,,
2010-02-17,Wednesday,113.71,1.6901,192.18127099999998,,
2010-02-18,Thursday,113.76,1.6832,191.48083200000002,,
2010-02-19,Friday,113.65,1.6642,189.13633,,start
2010-02-20,Saturday,,,189.13633,imputed from 88,
2010-02-21,Sunday,,,189.13633,imputed from 89,
2010-02-22,Monday,113.66,1.6661,189.368926,,
2010-02-23,Tuesday,113.84,1.6717,190.306328,,
2010-02-24,Wednesday,112.46,1.6657,187.32462199999998,,
2010-02-25,Thursday,113.01,1.6488,186.33088800000002,,
2010-02-26,Friday,113.16,1.6355,185.07317999999998,,start
2010-02-27,Saturday,,,185.07317999999998,imputed from 95,
2010-02-28,Sunday,,,185.07317999999998,imputed from 96,
2010-03-01,Monday,112.94,1.6179,182.72562599999998,,
2010-03-02,Tuesday,113.06,1.6091,181.924846,,
2010-03-03,Wednesday,112.86,1.6123,181.964178,,
2010-03-04,Thursday,112.94,1.6192,182.872448,,
2010-03-05,Friday,112.66,1.6264,183.230224,,start
2010-03-06,Saturday,,,183.230224,imputed from 102,
2010-03-07,Sunday,,,183.230224,imputed from 103,
2010-03-08,Monday,112.7,1.6171,182.24717,,
2010-03-09,Tuesday,113.01,1.6124,182.21732400000002,,
2010-03-10,Wednesday,112.98,1.6024,181.039152,,
