date,weekday,XP1_Index_PX-LAST-CHF,imputed,XP1_Index_start
2000-05-02,Tuesday,,,excluded
2000-05-03,Wednesday,,,excluded
2000-05-04,Thursday,,,excluded
2000-05-05,Friday,3217.3896,,start
2000-05-06,Saturday,3217.3896,imputed from 3,
2000-05-07,Sunday,3217.3896,imputed from 4,
2000-05-08,Monday,3143.77233,,
2000-05-09,Tuesday,3093.09751,,
2000-05-10,Wednesday,3022.80347,,
2000-05-11,Thursday,2982.56662,,
2000-05-12,Friday,3011.2048,,start
2000-05-13,Saturday,3011.2048,imputed from 10,
2000-05-14,Sunday,3011.2048,imputed from 11,
2000-05-15,Monday,2982.67833,,
2000-05-16,Tuesday,3058.74552,,
2000-05-17,Wednesday,3033.04812,,
2000-05-18,Thursday,3021.17297,,
2000-05-19,Friday,3013.97534,,start
2000-05-20,Saturday,3013.97534,imputed from 17,
2000-05-21,Sunday,3013.97534,imputed from 18,
2000-05-22,Monday,2962.17432,,
2000-05-23,Tuesday,2983.84425,,
2000-05-24,Wednesday,2947.00976,,
2000-05-25,Thursday,2958.2798,,
2000-05-26,Friday,2897.99809,,start
2000-05-27,Saturday,2897.99809,imputed from 24,
2000-05-28,Sunday,2897.99809,imputed from 25,
2000-05-29,Monday,2940.81542,,
2000-05-30,Tuesday,2957.02061,,
2000-05-31,Wednesday,2971.94967,,
2000-06-01,Thursday,3007.26647,,
2000-06-02,Friday,3036.7076,,start
2000-06-03,Saturday,3036.7076,imputed from 31,
2000-06-04,Sunday,3036.7076,imputed from 32,
2000-06-05,Monday,3056.76334,,
2000-06-06,Tuesday,3051.00045,,
2000-06-07,Wednesday,3012.60408,,
2000-06-08,Thursday,3009.0941,,
2000-06-09,Friday,3033.28956,,start
2000-06-10,Saturday,3033.28956,imputed from 38,
2000-06-11,Sunday,3033.28956,imputed from 39,
2000-06-12,Monday,3041.90094,,
2000-06-13,Tuesday,3028.33704,,
2000-06-14,Wednesday,3052.73725,,
2000-06-15,Thursday,3091.07589,,
2000-06-16,Friday,3090.00115,,start
2000-06-17,Saturday,3090.00115,imputed from 45,
2000-06-18,Sunday,3090.00115,imputed from 46,
2000-06-19,Monday,3075.89775,,
2000-06-20,Tuesday,3087.10024,,
2000-06-21,Wednesday,3130.71736,,
2000-06-22,Thursday,3112.97035,,
2000-06-23,Friday,3145.50702,,start
2000-06-24,Saturday,3145.50702,imputed from 52,
2000-06-25,Sunday,3145.50702,imputed from 53,
2000-06-26,Monday,3131.07647,,
2000-06-27,Tuesday,3149.80872,,
2000-06-28,Wednesday,3164.15419,,
2000-06-29,Thursday,3248.64573,,
2000-06-30,Friday,3260.8689,,start
2000-07-01,Saturday,3260.8689,imputed from 59,
2000-07-02,Sunday,3260.8689,imputed from 60,
2000-07-03,Monday,3284.21387,,
2000-07-04,Tuesday,3275.95141,,
2000-07-05,Wednesday,3228.8372,,
2000-07-06,Thursday,3218.36501,,
2000-07-07,Friday,3209.1221,,start
2000-07-08,Saturday,3209.1221,imputed from 66,
2000-07-09,Sunday,3209.1221,imputed from 67,
