date,weekday,Z 1_Index_PX-LAST-CHF,imputed,Z 1_Index_start
1997-08-15,Friday,11733.3292,,start
1997-08-16,Saturday,11733.3292,imputed from 0,
1997-08-17,Sunday,11733.3292,imputed from 1,
1997-08-18,Monday,11781.6649,,
1997-08-19,Tuesday,12024.82696,,
1997-08-20,Wednesday,12117.51369,,
1997-08-21,Thursday,12030.218,,
1997-08-22,Friday,11830.62365,,start
1997-08-23,Saturday,11830.62365,imputed from 7,
1997-08-24,Sunday,11830.62365,imputed from 8,
1997-08-25,Monday,11830.62365,imputed from 9,
1997-08-26,Tuesday,11753.59382,,
1997-08-27,Wednesday,11873.34673,,
1997-08-28,Thursday,11623.46412,,
1997-08-29,Friday,11671.52328,,start
1997-08-30,Saturday,11671.52328,imputed from 14,
1997-08-31,Sunday,11671.52328,imputed from 15,
1997-09-01,Monday,11794.72022,,
1997-09-02,Tuesday,11968.45881,,
1997-09-03,Wednesday,11887.6005,,
1997-09-04,Thursday,11884.37525,,
1997-09-05,Friday,11757.09453,,start
1997-09-06,Saturday,11757.09453,imputed from 21,
1997-09-07,Sunday,11757.09453,imputed from 22,
1997-09-08,Monday,11713.86095,,
1997-09-09,Tuesday,11707.68776,,
1997-09-10,Wednesday,11489.94373,,
1997-09-11,Thursday,11455.33504,,
1997-09-12,Friday,11388.59336,,start
1997-09-13,Saturday,11388.59336,imputed from 28,
1997-09-14,Sunday,11388.59336,imputed from 29,
1997-09-15,Monday,11392.0688,,
1997-09-16,Tuesday,11590.14627,,
1997-09-17,Wednesday,11792.16662,,
1997-09-18,Thursday,12093.65474,,
1997-09-19,Friday,12009.13266,,start
1997-09-20,Saturday,12009.13266,imputed from 35,
1997-09-21,Sunday,12009.13266,imputed from 36,
1997-09-22,Monday,12198.47682,,
1997-09-23,Tuesday,12150.56063,,
1997-09-24,Wednesday,12173.36277,,
1997-09-25,Thursday,12170.60856,,
1997-09-26,Friday,12478.31284,,start
1997-09-27,Saturday,12478.31284,imputed from 42,
1997-09-28,Sunday,12478.31284,imputed from 43,
1997-09-29,Monday,12441.80141,,
1997-09-30,Tuesday,12471.05349,,
1997-10-01,Wednesday,12708.53529,,
1997-10-02,Thursday,12625.6858,,
1997-10-03,Friday,12625.68975,,start
1997-10-04,Saturday,12625.68975,imputed from 49,
1997-10-05,Sunday,12625.68975,imputed from 50,
1997-10-06,Monday,12567.07413,,
1997-10-07,Tuesday,12628.28782,,
1997-10-08,Wednesday,12418.67281,,
1997-10-09,Thursday,12454.40491,,
1997-10-10,Friday,12531.68003,,start
1997-10-11,Saturday,12531.68003,imputed from 56,
1997-10-12,Sunday,12531.68003,imputed from 57,
1997-10-13,Monday,12683.83928,,
1997-10-14,Tuesday,12638.43231,,
1997-10-15,Wednesday,12638.2991,,
1997-10-16,Thursday,12696.0473,,
1997-10-17,Friday,12756.65791,,start
1997-10-18,Saturday,12756.65791,imputed from 63,
1997-10-19,Sunday,12756.65791,imputed from 64,
1997-10-20,Monday,12629.16869,,
1997-10-21,Tuesday,12818.25698,,
1997-10-22,Wednesday,12483.22148,,
1997-10-23,Thursday,11976.90522,,
1997-10-24,Friday,11970.84752,,start
1997-10-25,Saturday,11970.84752,imputed from 70,
1997-10-26,Sunday,11970.84752,imputed from 71,
1997-10-27,Monday,11755.57047,,
1997-10-28,Tuesday,11298.88996,,
1997-10-29,Wednesday,11721.66955,,
1997-10-30,Thursday,11207.89989,,
1997-10-31,Friday,11378.29162,,start
1997-11-01,Saturday,11378.29162,imputed from 77,
1997-11-02,Sunday,11378.29162,imputed from 78,
1997-11-03,Monday,11740.92268,,
1997-11-04,Tuesday,11631.9492,,
1997-11-05,Wednesday,11643.49342,,
1997-11-06,Thursday,11650.63198,,
1997-11-07,Friday,11238.42033,,start
1997-11-08,Saturday,11238.42033,imputed from 84,
1997-11-09,Sunday,11238.42033,imputed from 85,
1997-11-10,Monday,11333.31846,,
1997-11-11,Tuesday,11447.48972,,
1997-11-12,Wednesday,11330.4796,,
1997-11-13,Thursday,11228.60364,,
1997-11-14,Friday,11342.21978,,start
1997-11-15,Saturday,11342.21978,imputed from 91,
1997-11-16,Sunday,11342.21978,imputed from 92,
1997-11-17,Monday,11697.34502,,
1997-11-18,Tuesday,11579.29346,,
1997-11-19,Wednesday,11551.1173,,
1997-11-20,Thursday,11765.58132,,
1997-11-21,Friday,11999.75926,,start
1997-11-22,Saturday,11999.75926,imputed from 98,
1997-11-23,Sunday,11999.75926,imputed from 99,
1997-11-24,Monday,11704.76778,,
1997-11-25,Tuesday,11502.33865,,
1997-11-26,Wednesday,11643.85099,,
1997-11-27,Thursday,11665.24086,,
1997-11-28,Friday,11711.04931,,start
1997-11-29,Saturday,11711.04931,imputed from 105,
1997-11-30,Sunday,11711.04931,imputed from 106,
1997-12-01,Monday,11935.8214,,
1997-12-02,Tuesday,12072.26233,,
1997-12-03,Wednesday,11982.3903,,
1997-12-04,Thursday,12198.94203,,
1997-12-05,Friday,12371.97656,,start
1997-12-06,Saturday,12371.97656,imputed from 112,
1997-12-07,Sunday,12371.97656,imputed from 113,
1997-12-08,Monday,12520.52838,,
1997-12-09,Tuesday,12476.09068,,
1997-12-10,Wednesday,12234.69245,,
1997-12-11,Thursday,11910.94405,,
1997-12-12,Friday,11940.60731,,start
1997-12-13,Saturday,11940.60731,imputed from 119,
1997-12-14,Sunday,11940.60731,imputed from 120,
1997-12-15,Monday,11986.48087,,
1997-12-16,Tuesday,12320.88901,,
1997-12-17,Wednesday,12337.58534,,
1997-12-18,Thursday,12530.02932,,
1997-12-19,Friday,12040.01946,,start
1997-12-20,Saturday,12040.01946,imputed from 126,
1997-12-21,Sunday,12040.01946,imputed from 127,
1997-12-22,Monday,12082.6814,,
1997-12-23,Tuesday,12213.46096,,
1997-12-24,Wednesday,12036.85137,,
1997-12-25,Thursday,12036.85137,imputed from 131,
1997-12-26,Friday,12036.85137,imputed from 131,start
1997-12-27,Saturday,12036.85137,imputed from 133,
1997-12-28,Sunday,12036.85137,imputed from 134,
1997-12-29,Monday,12487.9821,,
1997-12-30,Tuesday,12511.38065,,
1997-12-31,Wednesday,12488.64997,,
1998-01-01,Thursday,12488.64997,imputed from 138,
1998-01-02,Friday,12630.25052,,start
1998-01-03,Saturday,12630.25052,imputed from 140,
1998-01-04,Sunday,12630.25052,imputed from 141,
1998-01-05,Monday,12803.72694,,
1998-01-06,Tuesday,12811.17937,,
1998-01-07,Wednesday,12629.07764,,
1998-01-08,Thursday,12546.20438,,
1998-01-09,Friday,12325.06796,,start
1998-01-10,Saturday,12325.06796,imputed from 147,
1998-01-11,Sunday,12325.06796,imputed from 148,
1998-01-12,Monday,12127.67105,,
1998-01-13,Tuesday,12327.03052,,
1998-01-14,Wednesday,12406.67543,,
1998-01-15,Thursday,12674.7627,,
1998-01-16,Friday,13008.7909,,start
1998-01-17,Saturday,13008.7909,imputed from 154,
1998-01-18,Sunday,13008.7909,imputed from 155,
1998-01-19,Monday,12958.86174,,
1998-01-20,Tuesday,12909.80227,,
1998-01-21,Wednesday,12766.15398,,
1998-01-22,Thursday,12743.96936,,
1998-01-23,Friday,12501.3212,,start
1998-01-24,Saturday,12501.3212,imputed from 161,
1998-01-25,Sunday,12501.3212,imputed from 162,
1998-01-26,Monday,12658.19503,,
1998-01-27,Tuesday,12822.37688,,
1998-01-28,Wednesday,12976.58987,,
1998-01-29,Thursday,13142.87964,,
1998-01-30,Friday,13193.75954,,start
1998-01-31,Saturday,13193.75954,imputed from 168,
1998-02-01,Sunday,13193.75954,imputed from 169,
1998-02-02,Monday,13568.28074,,
1998-02-03,Tuesday,13557.33063,,
1998-02-04,Wednesday,13525.24957,,
1998-02-05,Thursday,13367.22983,,
1998-02-06,Friday,13488.33513,,start
1998-02-07,Saturday,13488.33513,imputed from 175,
1998-02-08,Sunday,13488.33513,imputed from 176,
1998-02-09,Monday,13397.97516,,
1998-02-10,Tuesday,13419.49639,,
1998-02-11,Wednesday,13381.23148,,
1998-02-12,Thursday,13220.4228,,
1998-02-13,Friday,13355.99952,,start
1998-02-14,Saturday,13355.99952,imputed from 182,
1998-02-15,Sunday,13355.99952,imputed from 183,
1998-02-16,Monday,13451.20445,,
1998-02-17,Tuesday,13691.81888,,
1998-02-18,Wednesday,13836.83715,,
1998-02-19,Thursday,13802.85166,,
1998-02-20,Friday,13819.24252,,start
1998-02-21,Saturday,13819.24252,imputed from 189,
1998-02-22,Sunday,13819.24252,imputed from 190,
1998-02-23,Monday,13599.96231,,
1998-02-24,Tuesday,13554.34881,,
1998-02-25,Wednesday,13819.02167,,
1998-02-26,Thursday,13953.32973,,
1998-02-27,Friday,13955.03628,,start
1998-02-28,Saturday,13955.03628,imputed from 196,
