name,date,PX_LAST
ATT1 N:02_0_R Index,2014-02-11,2106.82463
ATT1 N:02_0_R Index,2014-02-12,2113.05447
ATT1 N:02_0_R Index,2014-02-13,2082.75632
ATT1 N:02_0_R Index,2014-02-14,2100.85791
ATT1 N:02_0_R Index,2014-02-17,2112.17184
ATT1 N:02_0_R Index,2014-02-18,2117.18179
ATT1 N:02_0_R Index,2014-02-19,2096.27749
ATT1 N:02_0_R Index,2014-02-20,2097.93676
ATT1 N:02_0_R Index,2014-02-21,2119.3483
ATT1 N:02_0_R Index,2014-02-24,2133.27023
ATT1 N:02_0_R Index,2014-02-25,2134.0486
ATT1 N:02_0_R Index,2014-02-26,2127.00248
ATT1 N:02_0_R Index,2014-02-27,2096.51418
ATT1 N:02_0_R Index,2014-02-28,2049.21709
ATT1 N:02_0_R Index,2014-03-03,1976.28312
ATT1 N:02_0_R Index,2014-03-04,2027.16559
ATT1 N:02_0_R Index,2014-03-05,2022.07775
ATT1 N:02_0_R Index,2014-03-06,2050.42307
ATT1 N:02_0_R Index,2014-03-07,2020.75743
ATT1 N:02_0_R Index,2014-03-10,1999.46125
ATT1 N:02_0_R Index,2014-03-11,1976.64481
ATT1 N:02_0_R Index,2014-03-12,1938.13478
ATT1 N:02_0_R Index,2014-03-13,1907.87526
ATT1 N:02_0_R Index,2014-03-14,1887.46958
ATT1 N:02_0_R Index,2014-03-17,1931.57815
ATT1 N:02_0_R Index,2014-03-18,1968.05594
ATT1 N:02_0_R Index,2014-03-19,1972.57998
ATT1 N:02_0_R Index,2014-03-20,1959.91967
ATT1 N:02_0_R Index,2014-03-21,1965.54476
ATT1 N:02_0_R Index,2014-03-24,1931.15306
ATT1 N:02_0_R Index,2014-03-25,1949.09575
ATT1 N:02_0_R Index,2014-03-26,1976.70008
ATT1 N:02_0_R Index,2014-03-27,1943.58991
ATT1 N:02_0_R Index,2014-03-28,1967.8935
ATT1 N:02_0_R Index,2014-03-31,1999.26654
ATT1 N:02_0_R Index,2014-04-01,2023.39846
ATT1 N:02_0_R Index,2014-04-02,2033.47797
ATT1 N:02_0_R Index,2014-04-03,2048.72379
ATT1 N:02_0_R Index,2014-04-04,2055.72655
ATT1 N:02_0_R Index,2014-04-07,2011.29731
ATT1 N:02_0_R Index,2014-04-08,1984.37913
ATT1 N:02_0_R Index,2014-04-09,2013.05695
ATT1 N:02_0_R Index,2014-04-10,1995.29521
ATT1 N:02_0_R Index,2014-04-11,1973.52197
ATT1 N:02_0_R Index,2014-04-14,1953.94961
ATT1 N:02_0_R Index,2014-04-15,1928.79067
ATT1 N:02_0_R Index,2014-04-16,1955.58296
ATT1 N:02_0_R Index,2014-04-17,1964.28352
ATT1 N:02_0_R Index,2014-04-22,2002.34969
ATT1 N:02_0_R Index,2014-04-23,2003.26992
ATT1 N:02_0_R Index,2014-04-24,1996.55523
ATT1 N:02_0_R Index,2014-04-25,1969.16983
ATT1 N:02_0_R Index,2014-04-28,1971.53908
ATT1 N:02_0_R Index,2014-04-29,2007.72008
ATT1 N:02_0_R Index,2014-04-30,2010.7518
ATT1 N:02_0_R Index,2014-05-02,2009.1846
ATT1 N:02_0_R Index,2014-05-05,1991.86691
ATT1 N:02_0_R Index,2014-05-06,1970.30044
ATT1 N:02_0_R Index,2014-05-07,1965.86223
